VALUE,SOURCE,_id,UNIT,HOURS_WORKED,REGION,YEAR
136.47,สำนักงานสถิติแห่งชาติ,19,พันคน,05) 35-39 ชั่วโมง,3) ภาคเหนือ,2563
430.5,สำนักงานสถิติแห่งชาติ,20,พันคน,06) 40-48 ชั่วโมง,3) ภาคเหนือ,2563
215.32,สำนักงานสถิติแห่งชาติ,21,พันคน,07) 49 ชั่วโมงขึ้นไป,3) ภาคเหนือ,2563
61.8,สำนักงานสถิติแห่งชาติ,22,พันคน,01) น้อยกว่า 15 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2563
43.51,สำนักงานสถิติแห่งชาติ,23,พันคน,02) 15-19 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2563
320.87,สำนักงานสถิติแห่งชาติ,24,พันคน,03) 20-29 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2563
183.77,สำนักงานสถิติแห่งชาติ,25,พันคน,04) 30-34 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2563
245.99,สำนักงานสถิติแห่งชาติ,26,พันคน,05) 35-39 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2563
472.57,สำนักงานสถิติแห่งชาติ,27,พันคน,06) 40-48 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2563
290.25,สำนักงานสถิติแห่งชาติ,28,พันคน,07) 49 ชั่วโมงขึ้นไป,4) ภาคตะวันออกเฉียงเหนือ,2563
82.2,สำนักงานสถิติแห่งชาติ,29,พันคน,01) น้อยกว่า 15 ชั่วโมง,5) ภาคใต้,2563
41.9,สำนักงานสถิติแห่งชาติ,30,พันคน,02) 15-19 ชั่วโมง,5) ภาคใต้,2563
127.7,สำนักงานสถิติแห่งชาติ,31,พันคน,03) 20-29 ชั่วโมง,5) ภาคใต้,2563
78.28,สำนักงานสถิติแห่งชาติ,32,พันคน,04) 30-34 ชั่วโมง,5) ภาคใต้,2563
73.46,สำนักงานสถิติแห่งชาติ,33,พันคน,05) 35-39 ชั่วโมง,5) ภาคใต้,2563
122.58,สำนักงานสถิติแห่งชาติ,34,พันคน,06) 40-48 ชั่วโมง,5) ภาคใต้,2563
83.89,สำนักงานสถิติแห่งชาติ,35,พันคน,07) 49 ชั่วโมงขึ้นไป,5) ภาคใต้,2563
23.33,สำนักงานสถิติแห่งชาติ,36,พันคน,01) น้อยกว่า 15 ชั่วโมง,1) กรุงเทพมหานคร,2564
1.71,สำนักงานสถิติแห่งชาติ,37,พันคน,02) 15-19 ชั่วโมง,1) กรุงเทพมหานคร,2564
14.11,สำนักงานสถิติแห่งชาติ,38,พันคน,03) 20-29 ชั่วโมง,1) กรุงเทพมหานคร,2564
21.22,สำนักงานสถิติแห่งชาติ,39,พันคน,04) 30-34 ชั่วโมง,1) กรุงเทพมหานคร,2564
25.14,สำนักงานสถิติแห่งชาติ,40,พันคน,05) 35-39 ชั่วโมง,1) กรุงเทพมหานคร,2564
149.64,สำนักงานสถิติแห่งชาติ,41,พันคน,06) 40-48 ชั่วโมง,1) กรุงเทพมหานคร,2564
62.77,สำนักงานสถิติแห่งชาติ,42,พันคน,07) 49 ชั่วโมงขึ้นไป,1) กรุงเทพมหานคร,2564
57.8,สำนักงานสถิติแห่งชาติ,43,พันคน,01) น้อยกว่า 15 ชั่วโมง,2) ภาคกลาง,2564
8.41,สำนักงานสถิติแห่งชาติ,44,พันคน,02) 15-19 ชั่วโมง,2) ภาคกลาง,2564
101.57,สำนักงานสถิติแห่งชาติ,45,พันคน,03) 20-29 ชั่วโมง,2) ภาคกลาง,2564
100.54,สำนักงานสถิติแห่งชาติ,46,พันคน,04) 30-34 ชั่วโมง,2) ภาคกลาง,2564
174.5,สำนักงานสถิติแห่งชาติ,47,พันคน,05) 35-39 ชั่วโมง,2) ภาคกลาง,2564
441.35,สำนักงานสถิติแห่งชาติ,48,พันคน,06) 40-48 ชั่วโมง,2) ภาคกลาง,2564
219.87,สำนักงานสถิติแห่งชาติ,49,พันคน,07) 49 ชั่วโมงขึ้นไป,2) ภาคกลาง,2564
50.92,สำนักงานสถิติแห่งชาติ,50,พันคน,01) น้อยกว่า 15 ชั่วโมง,3) ภาคเหนือ,2564
23.65,สำนักงานสถิติแห่งชาติ,51,พันคน,02) 15-19 ชั่วโมง,3) ภาคเหนือ,2564
169.69,สำนักงานสถิติแห่งชาติ,52,พันคน,03) 20-29 ชั่วโมง,3) ภาคเหนือ,2564
154.41,สำนักงานสถิติแห่งชาติ,53,พันคน,04) 30-34 ชั่วโมง,3) ภาคเหนือ,2564
141.85,สำนักงานสถิติแห่งชาติ,54,พันคน,05) 35-39 ชั่วโมง,3) ภาคเหนือ,2564
362.5,สำนักงานสถิติแห่งชาติ,55,พันคน,06) 40-48 ชั่วโมง,3) ภาคเหนือ,2564
225.33,สำนักงานสถิติแห่งชาติ,56,พันคน,07) 49 ชั่วโมงขึ้นไป,3) ภาคเหนือ,2564
112.36,สำนักงานสถิติแห่งชาติ,57,พันคน,01) น้อยกว่า 15 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2564
50.13,สำนักงานสถิติแห่งชาติ,58,พันคน,02) 15-19 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2564
348.67,สำนักงานสถิติแห่งชาติ,59,พันคน,03) 20-29 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2564
227.84,สำนักงานสถิติแห่งชาติ,60,พันคน,04) 30-34 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2564
295.44,สำนักงานสถิติแห่งชาติ,61,พันคน,05) 35-39 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2564
463.33,สำนักงานสถิติแห่งชาติ,62,พันคน,06) 40-48 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2564
220.63,สำนักงานสถิติแห่งชาติ,63,พันคน,07) 49 ชั่วโมงขึ้นไป,4) ภาคตะวันออกเฉียงเหนือ,2564
81.94,สำนักงานสถิติแห่งชาติ,64,พันคน,01) น้อยกว่า 15 ชั่วโมง,5) ภาคใต้,2564
39.66,สำนักงานสถิติแห่งชาติ,65,พันคน,02) 15-19 ชั่วโมง,5) ภาคใต้,2564
155.97,สำนักงานสถิติแห่งชาติ,66,พันคน,03) 20-29 ชั่วโมง,5) ภาคใต้,2564
114.06,สำนักงานสถิติแห่งชาติ,67,พันคน,04) 30-34 ชั่วโมง,5) ภาคใต้,2564
73.11,สำนักงานสถิติแห่งชาติ,68,พันคน,05) 35-39 ชั่วโมง,5) ภาคใต้,2564
111.62,สำนักงานสถิติแห่งชาติ,69,พันคน,06) 40-48 ชั่วโมง,5) ภาคใต้,2564
57.12,สำนักงานสถิติแห่งชาติ,70,พันคน,07) 49 ชั่วโมงขึ้นไป,5) ภาคใต้,2564
4.14,สำนักงานสถิติแห่งชาติ,71,พันคน,01) น้อยกว่า 15 ชั่วโมง,1) กรุงเทพมหานคร,2565
4.74,สำนักงานสถิติแห่งชาติ,72,พันคน,02) 15-19 ชั่วโมง,1) กรุงเทพมหานคร,2565
10.75,สำนักงานสถิติแห่งชาติ,73,พันคน,03) 20-29 ชั่วโมง,1) กรุงเทพมหานคร,2565
17.86,สำนักงานสถิติแห่งชาติ,74,พันคน,04) 30-34 ชั่วโมง,1) กรุงเทพมหานคร,2565
13.16,สำนักงานสถิติแห่งชาติ,75,พันคน,05) 35-39 ชั่วโมง,1) กรุงเทพมหานคร,2565
175.53,สำนักงานสถิติแห่งชาติ,76,พันคน,06) 40-48 ชั่วโมง,1) กรุงเทพมหานคร,2565
112.49,สำนักงานสถิติแห่งชาติ,77,พันคน,07) 49 ชั่วโมงขึ้นไป,1) กรุงเทพมหานคร,2565
21.65,สำนักงานสถิติแห่งชาติ,78,พันคน,01) น้อยกว่า 15 ชั่วโมง,2) ภาคกลาง,2565
8.29,สำนักงานสถิติแห่งชาติ,79,พันคน,02) 15-19 ชั่วโมง,2) ภาคกลาง,2565
76.58,สำนักงานสถิติแห่งชาติ,80,พันคน,03) 20-29 ชั่วโมง,2) ภาคกลาง,2565
87.14,สำนักงานสถิติแห่งชาติ,81,พันคน,04) 30-34 ชั่วโมง,2) ภาคกลาง,2565
176.6,สำนักงานสถิติแห่งชาติ,82,พันคน,05) 35-39 ชั่วโมง,2) ภาคกลาง,2565
494.11,สำนักงานสถิติแห่งชาติ,83,พันคน,06) 40-48 ชั่วโมง,2) ภาคกลาง,2565
219.26,สำนักงานสถิติแห่งชาติ,84,พันคน,07) 49 ชั่วโมงขึ้นไป,2) ภาคกลาง,2565
26.71,สำนักงานสถิติแห่งชาติ,85,พันคน,01) น้อยกว่า 15 ชั่วโมง,3) ภาคเหนือ,2565
23.9,สำนักงานสถิติแห่งชาติ,86,พันคน,02) 15-19 ชั่วโมง,3) ภาคเหนือ,2565
145.22,สำนักงานสถิติแห่งชาติ,87,พันคน,03) 20-29 ชั่วโมง,3) ภาคเหนือ,2565
117.44,สำนักงานสถิติแห่งชาติ,88,พันคน,04) 30-34 ชั่วโมง,3) ภาคเหนือ,2565
129.91,สำนักงานสถิติแห่งชาติ,89,พันคน,05) 35-39 ชั่วโมง,3) ภาคเหนือ,2565
418.09,สำนักงานสถิติแห่งชาติ,90,พันคน,06) 40-48 ชั่วโมง,3) ภาคเหนือ,2565
249.6,สำนักงานสถิติแห่งชาติ,91,พันคน,07) 49 ชั่วโมงขึ้นไป,3) ภาคเหนือ,2565
33.79,สำนักงานสถิติแห่งชาติ,92,พันคน,01) น้อยกว่า 15 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2565
20.21,สำนักงานสถิติแห่งชาติ,93,พันคน,02) 15-19 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2565
277.22,สำนักงานสถิติแห่งชาติ,94,พันคน,03) 20-29 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2565
204.79,สำนักงานสถิติแห่งชาติ,95,พันคน,04) 30-34 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2565
266.49,สำนักงานสถิติแห่งชาติ,96,พันคน,05) 35-39 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2565
505.99,สำนักงานสถิติแห่งชาติ,97,พันคน,06) 40-48 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2565
317.68,สำนักงานสถิติแห่งชาติ,98,พันคน,07) 49 ชั่วโมงขึ้นไป,4) ภาคตะวันออกเฉียงเหนือ,2565
71.01,สำนักงานสถิติแห่งชาติ,99,พันคน,01) น้อยกว่า 15 ชั่วโมง,5) ภาคใต้,2565
40.83,สำนักงานสถิติแห่งชาติ,100,พันคน,02) 15-19 ชั่วโมง,5) ภาคใต้,2565
127.49,สำนักงานสถิติแห่งชาติ,101,พันคน,03) 20-29 ชั่วโมง,5) ภาคใต้,2565
76.63,สำนักงานสถิติแห่งชาติ,102,พันคน,04) 30-34 ชั่วโมง,5) ภาคใต้,2565
73.1,สำนักงานสถิติแห่งชาติ,103,พันคน,05) 35-39 ชั่วโมง,5) ภาคใต้,2565
137.85,สำนักงานสถิติแห่งชาติ,104,พันคน,06) 40-48 ชั่วโมง,5) ภาคใต้,2565
57.81,สำนักงานสถิติแห่งชาติ,105,พันคน,07) 49 ชั่วโมงขึ้นไป,5) ภาคใต้,2565
6.72,สำนักงานสถิติแห่งชาติ,106,พันคน,01) น้อยกว่า 15 ชั่วโมง,1) กรุงเทพมหานคร,2566
14.6,สำนักงานสถิติแห่งชาติ,107,พันคน,02) 15-19 ชั่วโมง,1) กรุงเทพมหานคร,2566
33.95,สำนักงานสถิติแห่งชาติ,108,พันคน,03) 20-29 ชั่วโมง,1) กรุงเทพมหานคร,2566
35.0,สำนักงานสถิติแห่งชาติ,109,พันคน,04) 30-34 ชั่วโมง,1) กรุงเทพมหานคร,2566
37.61,สำนักงานสถิติแห่งชาติ,110,พันคน,05) 35-39 ชั่วโมง,1) กรุงเทพมหานคร,2566
373.13,สำนักงานสถิติแห่งชาติ,111,พันคน,06) 40-48 ชั่วโมง,1) กรุงเทพมหานคร,2566
200.26,สำนักงานสถิติแห่งชาติ,112,พันคน,07) 49 ชั่วโมงขึ้นไป,1) กรุงเทพมหานคร,2566
37.81,สำนักงานสถิติแห่งชาติ,113,พันคน,01) น้อยกว่า 15 ชั่วโมง,2) ภาคกลาง,2566
23.42,สำนักงานสถิติแห่งชาติ,114,พันคน,02) 15-19 ชั่วโมง,2) ภาคกลาง,2566
217.08,สำนักงานสถิติแห่งชาติ,115,พันคน,03) 20-29 ชั่วโมง,2) ภาคกลาง,2566
204.8,สำนักงานสถิติแห่งชาติ,116,พันคน,04) 30-34 ชั่วโมง,2) ภาคกลาง,2566
358.6,สำนักงานสถิติแห่งชาติ,117,พันคน,05) 35-39 ชั่วโมง,2) ภาคกลาง,2566
1043.99,สำนักงานสถิติแห่งชาติ,118,พันคน,06) 40-48 ชั่วโมง,2) ภาคกลาง,2566
531.43,สำนักงานสถิติแห่งชาติ,119,พันคน,07) 49 ชั่วโมงขึ้นไป,2) ภาคกลาง,2566
68.8,สำนักงานสถิติแห่งชาติ,120,พันคน,01) น้อยกว่า 15 ชั่วโมง,3) ภาคเหนือ,2566
55.22,สำนักงานสถิติแห่งชาติ,121,พันคน,02) 15-19 ชั่วโมง,3) ภาคเหนือ,2566
367.44,สำนักงานสถิติแห่งชาติ,122,พันคน,03) 20-29 ชั่วโมง,3) ภาคเหนือ,2566
240.24,สำนักงานสถิติแห่งชาติ,123,พันคน,04) 30-34 ชั่วโมง,3) ภาคเหนือ,2566
309.71,สำนักงานสถิติแห่งชาติ,124,พันคน,05) 35-39 ชั่วโมง,3) ภาคเหนือ,2566
828.94,สำนักงานสถิติแห่งชาติ,125,พันคน,06) 40-48 ชั่วโมง,3) ภาคเหนือ,2566
479.03,สำนักงานสถิติแห่งชาติ,126,พันคน,07) 49 ชั่วโมงขึ้นไป,3) ภาคเหนือ,2566
112.16,สำนักงานสถิติแห่งชาติ,127,พันคน,01) น้อยกว่า 15 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2566
60.43,สำนักงานสถิติแห่งชาติ,128,พันคน,02) 15-19 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2566
545.76,สำนักงานสถิติแห่งชาติ,129,พันคน,03) 20-29 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2566
356.95,สำนักงานสถิติแห่งชาติ,130,พันคน,04) 30-34 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2566
706.66,สำนักงานสถิติแห่งชาติ,131,พันคน,05) 35-39 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2566
1060.42,สำนักงานสถิติแห่งชาติ,132,พันคน,06) 40-48 ชั่วโมง,4) ภาคตะวันออกเฉียงเหนือ,2566
648.44,สำนักงานสถิติแห่งชาติ,133,พันคน,07) 49 ชั่วโมงขึ้นไป,4) ภาคตะวันออกเฉียงเหนือ,2566
143.07,สำนักงานสถิติแห่งชาติ,134,พันคน,01) น้อยกว่า 15 ชั่วโมง,5) ภาคใต้,2566
70.11,สำนักงานสถิติแห่งชาติ,135,พันคน,02) 15-19 ชั่วโมง,5) ภาคใต้,2566
267.97,สำนักงานสถิติแห่งชาติ,136,พันคน,03) 20-29 ชั่วโมง,5) ภาคใต้,2566
183.97,สำนักงานสถิติแห่งชาติ,137,พันคน,04) 30-34 ชั่วโมง,5) ภาคใต้,2566
162.51,สำนักงานสถิติแห่งชาติ,138,พันคน,05) 35-39 ชั่วโมง,5) ภาคใต้,2566
296.58,สำนักงานสถิติแห่งชาติ,139,พันคน,06) 40-48 ชั่วโมง,5) ภาคใต้,2566
136.12,สำนักงานสถิติแห่งชาติ,140,พันคน,07) 49 ชั่วโมงขึ้นไป,5) ภาคใต้,2566
6.67,สำนักงานสถิติแห่งชาติ,141,พันคน,น้อยกว่า 15 ชั่วโมง,กรุงเทพมหานคร,2567
1.11,สำนักงานสถิติแห่งชาติ,142,พันคน,15-19 ชั่วโมง,กรุงเทพมหานคร,2567
11.14,สำนักงานสถิติแห่งชาติ,143,พันคน,20-29 ชั่วโมง,กรุงเทพมหานคร,2567
22.85,สำนักงานสถิติแห่งชาติ,144,พันคน,30-34 ชั่วโมง,กรุงเทพมหานคร,2567
26.86,สำนักงานสถิติแห่งชาติ,145,พันคน,35-39 ชั่วโมง,กรุงเทพมหานคร,2567
222.61,สำนักงานสถิติแห่งชาติ,146,พันคน,40-48 ชั่วโมง,กรุงเทพมหานคร,2567
131.26,สำนักงานสถิติแห่งชาติ,147,พันคน,49 ชั่วโมงขึ้นไป,กรุงเทพมหานคร,2567
19.74,สำนักงานสถิติแห่งชาติ,148,พันคน,น้อยกว่า 15 ชั่วโมง,ภาคกลาง,2567
9.89,สำนักงานสถิติแห่งชาติ,149,พันคน,15-19 ชั่วโมง,ภาคกลาง,2567
93.52,สำนักงานสถิติแห่งชาติ,150,พันคน,20-29 ชั่วโมง,ภาคกลาง,2567
77.43,สำนักงานสถิติแห่งชาติ,151,พันคน,30-34 ชั่วโมง,ภาคกลาง,2567
173.27,สำนักงานสถิติแห่งชาติ,152,พันคน,35-39 ชั่วโมง,ภาคกลาง,2567
624.64,สำนักงานสถิติแห่งชาติ,153,พันคน,40-48 ชั่วโมง,ภาคกลาง,2567
268.43,สำนักงานสถิติแห่งชาติ,154,พันคน,49 ชั่วโมงขึ้นไป,ภาคกลาง,2567
31.64,สำนักงานสถิติแห่งชาติ,155,พันคน,น้อยกว่า 15 ชั่วโมง,ภาคเหนือ,2567
25.85,สำนักงานสถิติแห่งชาติ,156,พันคน,15-19 ชั่วโมง,ภาคเหนือ,2567
142.63,สำนักงานสถิติแห่งชาติ,157,พันคน,20-29 ชั่วโมง,ภาคเหนือ,2567
150.34,สำนักงานสถิติแห่งชาติ,158,พันคน,30-34 ชั่วโมง,ภาคเหนือ,2567
160.56,สำนักงานสถิติแห่งชาติ,159,พันคน,35-39 ชั่วโมง,ภาคเหนือ,2567
399.35,สำนักงานสถิติแห่งชาติ,160,พันคน,40-48 ชั่วโมง,ภาคเหนือ,2567
287.21,สำนักงานสถิติแห่งชาติ,161,พันคน,49 ชั่วโมงขึ้นไป,ภาคเหนือ,2567
32.58,สำนักงานสถิติแห่งชาติ,162,พันคน,น้อยกว่า 15 ชั่วโมง,ภาคตะวันออกเฉียงเหนือ,2567
22.64,สำนักงานสถิติแห่งชาติ,163,พันคน,15-19 ชั่วโมง,ภาคตะวันออกเฉียงเหนือ,2567
287.34,สำนักงานสถิติแห่งชาติ,164,พันคน,20-29 ชั่วโมง,ภาคตะวันออกเฉียงเหนือ,2567
149.13,สำนักงานสถิติแห่งชาติ,165,พันคน,30-34 ชั่วโมง,ภาคตะวันออกเฉียงเหนือ,2567
343.31,สำนักงานสถิติแห่งชาติ,166,พันคน,35-39 ชั่วโมง,ภาคตะวันออกเฉียงเหนือ,2567
535.53,สำนักงานสถิติแห่งชาติ,167,พันคน,40-48 ชั่วโมง,ภาคตะวันออกเฉียงเหนือ,2567
336.81,สำนักงานสถิติแห่งชาติ,168,พันคน,49 ชั่วโมงขึ้นไป,ภาคตะวันออกเฉียงเหนือ,2567
53.2,สำนักงานสถิติแห่งชาติ,169,พันคน,น้อยกว่า 15 ชั่วโมง,ภาคใต้,2567
38.39,สำนักงานสถิติแห่งชาติ,170,พันคน,15-19 ชั่วโมง,ภาคใต้,2567
158.67,สำนักงานสถิติแห่งชาติ,171,พันคน,20-29 ชั่วโมง,ภาคใต้,2567
112.96,สำนักงานสถิติแห่งชาติ,172,พันคน,30-34 ชั่วโมง,ภาคใต้,2567
73.37,สำนักงานสถิติแห่งชาติ,173,พันคน,35-39 ชั่วโมง,ภาคใต้,2567
155.37,สำนักงานสถิติแห่งชาติ,174,พันคน,40-48 ชั่วโมง,ภาคใต้,2567
77.9,สำนักงานสถิติแห่งชาติ,175,พันคน,49 ชั่วโมงขึ้นไป,ภาคใต้,2567
