จำนวน,การศึกษาที่สำเร็จ,_id,ปี,ไตรมาส,หน่วยวัด
"55,756",มัธยมศึกษาตอนต้น,112,2565,2,คน
"52,410",มัธยมศึกษาตอนปลาย(สายสามัญ),113,2565,2,คน
"5,679",มัธยมศึกษาตอนปลาย(สายอาชีวศึกษา),114,2565,2,คน
0,มัธยมศึกษาตอนปลาย(สายวิชาการศึกษา),115,2565,2,คน
"30,917",มหาวิทยาลัย(สายวิชาการ),116,2565,2,คน
"8,594",มหาวิทยาลัย(สายวิชาชีพ),117,2565,2,คน
"7,349",มหาวิทยาลัย(สายวิชาการศึกษา),118,2565,2,คน
0,อื่นๆ,119,2565,2,คน
0,ไม่ทราบ,120,2565,2,คน
"21,127",ไม่มีการศึกษา,121,2565,3,คน
"75,536",ต่ำกว่าประถมศึกษา,122,2565,3,คน
"48,590",ประถมศึกษา,123,2565,3,คน
"54,622",มัธยมศึกษาตอนต้น,124,2565,3,คน
"49,648",มัธยมศึกษาตอนปลาย(สายสามัญ),125,2565,3,คน
"9,870",มัธยมศึกษาตอนปลาย(สายอาชีวศึกษา),126,2565,3,คน
0,มัธยมศึกษาตอนปลาย(สายวิชาการศึกษา),127,2565,3,คน
"32,035",มหาวิทยาลัย(สายวิชาการ),128,2565,3,คน
"8,945",มหาวิทยาลัย(สายวิชาชีพ),129,2565,3,คน
"6,236",มหาวิทยาลัย(สายวิชาการศึกษา),130,2565,3,คน
0,อื่นๆ,131,2565,3,คน
85,ไม่ทราบ,132,2565,3,คน
"18,066",ไม่มีการศึกษา,133,2565,4,คน
"83,378",ต่ำกว่าประถมศึกษา,134,2565,4,คน
"43,832",ประถมศึกษา,135,2565,4,คน
"56,701",มัธยมศึกษาตอนต้น,136,2565,4,คน
"51,077",มัธยมศึกษาตอนปลาย(สายสามัญ),137,2565,4,คน
"7,723",มัธยมศึกษาตอนปลาย(สายอาชีวศึกษา),138,2565,4,คน
0,มัธยมศึกษาตอนปลาย(สายวิชาการศึกษา),139,2565,4,คน
"26,264",มหาวิทยาลัย(สายวิชาการ),140,2565,4,คน
"10,186",มหาวิทยาลัย(สายวิชาชีพ),141,2565,4,คน
"8,495",มหาวิทยาลัย(สายวิชาการศึกษา),142,2565,4,คน
0,อื่นๆ,143,2565,4,คน
91,ไม่ทราบ,144,2565,4,คน
"17,582",ไม่มีการศึกษา,145,2566,1,คน
"76,039",ต่ำกว่าประถมศึกษา,146,2566,1,คน
"53,011",ประถมศึกษา,147,2566,1,คน
"50,165",มัธยมศึกษาตอนต้น,148,2566,1,คน
"54,218",มัธยมศึกษาตอนปลาย(สายสามัญ),149,2566,1,คน
"5,707",มัธยมศึกษาตอนปลาย(สายอาชีวศึกษา),150,2566,1,คน
0,มัธยมศึกษาตอนปลาย(สายวิชาการศึกษา),151,2566,1,คน
"31,809",มหาวิทยาลัย(สายวิชาการ),152,2566,1,คน
"10,014",มหาวิทยาลัย(สายวิชาชีพ),153,2566,1,คน
"6,404",มหาวิทยาลัย(สายวิชาการศึกษา),154,2566,1,คน
0,อื่นๆ,155,2566,1,คน
0,ไม่ทราบ,156,2566,1,คน
"19,003",ไม่มีการศึกษา,157,2566,2,คน
"79,665",ต่ำกว่าประถมศึกษา,158,2566,2,คน
"50,738",ประถมศึกษา,159,2566,2,คน
"47,588",มัธยมศึกษาตอนต้น,160,2566,2,คน
"50,296",มัธยมศึกษาตอนปลาย(สายสามัญ),161,2566,2,คน
"7,001",มัธยมศึกษาตอนปลาย(สายอาชีวศึกษา),162,2566,2,คน
0,มัธยมศึกษาตอนปลาย(สายวิชาการศึกษา),163,2566,2,คน
"31,200",มหาวิทยาลัย(สายวิชาการ),164,2566,2,คน
"10,435",มหาวิทยาลัย(สายวิชาชีพ),165,2566,2,คน
"8,189",มหาวิทยาลัย(สายวิชาการศึกษา),166,2566,2,คน
0,อื่นๆ,167,2566,2,คน
0,ไม่ทราบ,168,2566,2,คน
"18,405",ไม่มีการศึกษา,169,2566,3,คน
"82,581",ต่ำกว่าประถมศึกษา,170,2566,3,คน
"44,502",ประถมศึกษา,171,2566,3,คน
"50,544",มัธยมศึกษาตอนต้น,172,2566,3,คน
"53,140",มัธยมศึกษาตอนปลาย(สายสามัญ),173,2566,3,คน
"5,506",มัธยมศึกษาตอนปลาย(สายอาชีวศึกษา),174,2566,3,คน
0,มัธยมศึกษาตอนปลาย(สายวิชาการศึกษา),175,2566,3,คน
"29,942",มหาวิทยาลัย(สายวิชาการ),176,2566,3,คน
"9,813",มหาวิทยาลัย(สายวิชาชีพ),177,2566,3,คน
"8,842",มหาวิทยาลัย(สายวิชาการศึกษา),178,2566,3,คน
0,อื่นๆ,179,2566,3,คน
0,ไม่ทราบ,180,2566,3,คน
"16,112",ไม่มีการศึกษา,181,2566,4,คน
"81,555",ต่ำกว่าประถมศึกษา,182,2566,4,คน
"47,860",ประถมศึกษา,183,2566,4,คน
"47,214",มัธยมศึกษาตอนต้น,184,2566,4,คน
"49,095",มัธยมศึกษาตอนปลาย(สายสามัญ),185,2566,4,คน
"5,888",มัธยมศึกษาตอนปลาย(สายอาชีวศึกษา),186,2566,4,คน
0,มัธยมศึกษาตอนปลาย(สายวิชาการศึกษา),187,2566,4,คน
"32,794",มหาวิทยาลัย(สายวิชาการ),188,2566,4,คน
"13,512",มหาวิทยาลัย(สายวิชาชีพ),189,2566,4,คน
"8,374",มหาวิทยาลัย(สายวิชาการศึกษา),190,2566,4,คน
0,อื่นๆ,191,2566,4,คน
0,ไม่ทราบ,192,2566,4,คน
"13,333",ไม่มีการศึกษา,193,2567,1,คน
"74,394",ต่ำกว่าประถมศึกษา,194,2567,1,คน
"50,348",ประถมศึกษา,195,2567,1,คน
"47,955",มัธยมศึกษาตอนต้น,196,2567,1,คน
"44,389",มัธยมศึกษาตอนปลาย(สายสามัญ),197,2567,1,คน
"5,859",มัธยมศึกษาตอนปลาย(สายอาชีวศึกษา),198,2567,1,คน
0,มัธยมศึกษาตอนปลาย(สายวิชาการศึกษา),199,2567,1,คน
"41,007",มหาวิทยาลัย(สายวิชาการ),200,2567,1,คน
"15,435",มหาวิทยาลัย(สายวิชาชีพ),201,2567,1,คน
"8,753",มหาวิทยาลัย(สายวิชาการศึกษา),202,2567,1,คน
0,อื่นๆ,203,2567,1,คน
76,ไม่ทราบ,204,2567,1,คน
"12,756",ไม่มีการศึกษา,205,2567,2,คน
"77,038",ต่ำกว่าประถมศึกษา,206,2567,2,คน
"50,489",ประถมศึกษา,207,2567,2,คน
"46,280",มัธยมศึกษาตอนต้น,208,2567,2,คน
"46,377",มัธยมศึกษาตอนปลาย(สายสามัญ),209,2567,2,คน
"6,289",มัธยมศึกษาตอนปลาย(สายอาชีวศึกษา),210,2567,2,คน
0,มัธยมศึกษาตอนปลาย(สายวิชาการศึกษา),211,2567,2,คน
"38,790",มหาวิทยาลัย(สายวิชาการ),212,2567,2,คน
"12,773",มหาวิทยาลัย(สายวิชาชีพ),213,2567,2,คน
"9,919",มหาวิทยาลัย(สายวิชาการศึกษา),214,2567,2,คน
0,อื่นๆ,215,2567,2,คน
0,ไม่ทราบ,216,2567,2,คน
"12,115",ไม่มีการศึกษา,217,2567,3,คน
"76,578",ต่ำกว่าประถมศึกษา,218,2567,3,คน
"47,981",ประถมศึกษา,219,2567,3,คน
"46,494",มัธยมศึกษาตอนต้น,220,2567,3,คน
"50,442",มัธยมศึกษาตอนปลาย(สายสามัญ),221,2567,3,คน
"10,186",มัธยมศึกษาตอนปลาย(สายอาชีวศึกษา),222,2567,3,คน
0,มัธยมศึกษาตอนปลาย(สายวิชาการศึกษา),223,2567,3,คน
"36,525",มหาวิทยาลัย(สายวิชาการ),224,2567,3,คน
"10,965",มหาวิทยาลัย(สายวิชาชีพ),225,2567,3,คน
"8,589",มหาวิทยาลัย(สายวิชาการศึกษา),226,2567,3,คน
0,อื่นๆ,227,2567,3,คน
0,ไม่ทราบ,228,2567,3,คน
