จำนวน,_id,หน่วยงานเจ้าของ,หน่วย,ชื่อโรงงาน,ประกอบกิจการ,ปีที่ได้รับอนุญาต,เพศ,ตำบล,อำเภอ,TSIC,รหัสประเภท
20,11,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ภาคอีสาณอุบล (ตังปัก) สาขามุกดาหาร,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,2537,ชาย,มุกดาหาร,เมืองมุกดาหาร,33121,9501
0,12,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ภาคอีสาณอุบล (ตังปัก) สาขามุกดาหาร,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,2537,หญิง,มุกดาหาร,เมืองมุกดาหาร,33121,9501
13,13,,คน,โรงน้ำแข็งเกียรติมุกดา,ผลิตน้ำแข็งก้อนเล็ก,2537,ชาย,มุกดาหาร,เมืองมุกดาหาร,10795,1400
0,14,,คน,โรงน้ำแข็งเกียรติมุกดา,ผลิตน้ำแข็งก้อนเล็ก,2537,หญิง,มุกดาหาร,เมืองมุกดาหาร,10795,1400
9,15,,คน,บริษัท มุกดาธัญญทิพย์ จำกัด,สีข้าว (รวมกำลังสีสูงสุดของร้านสีข้าวได้ 210 เกวียนต่อวัน เท่าสิทธิเดิม) และอบข้าวเปลือก,2538,ชาย,มุกดาหาร,เมืองมุกดาหาร,10611,901
0,16,,คน,บริษัท มุกดาธัญญทิพย์ จำกัด,สีข้าว (รวมกำลังสีสูงสุดของร้านสีข้าวได้ 210 เกวียนต่อวัน เท่าสิทธิเดิม) และอบข้าวเปลือก,2538,หญิง,มุกดาหาร,เมืองมุกดาหาร,10611,901
10,17,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ริมโขง คอนกรีต จำกัด,"ผลิตคอนกรีตผสมเสร็จ,ซีเมนต์บล๊อก และผลิตภัณฑ์จากคอนกรีตอื่นๆ",2539,ชาย,บางทรายใหญ่,เมืองมุกดาหาร,23953,5801
5,18,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ริมโขง คอนกรีต จำกัด,"ผลิตคอนกรีตผสมเสร็จ,ซีเมนต์บล๊อก และผลิตภัณฑ์จากคอนกรีตอื่นๆ",2539,หญิง,บางทรายใหญ่,เมืองมุกดาหาร,23953,5801
16,19,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท สยามนิสสันมุกดาหาร จำกัด,"ซ่อมเครื่องยนต์,รถยนต์ และซ่อมสีรถยนต์",2539,ชาย,มุกดาหาร,เมืองมุกดาหาร,33121,9501
2,20,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท สยามนิสสันมุกดาหาร จำกัด,"ซ่อมเครื่องยนต์,รถยนต์ และซ่อมสีรถยนต์",2539,หญิง,มุกดาหาร,เมืองมุกดาหาร,33121,9501
59,21,สำนักงานอุตสาหกรรมจังหวัด,คน,สหกิจคาร์แคร์,ซ่อมรถยนต์-เคาะพ่นสีรถยนต์,2539,ชาย,มุกดาหาร,เมืองมุกดาหาร,33121,9503
12,22,สำนักงานอุตสาหกรรมจังหวัด,คน,สหกิจคาร์แคร์,ซ่อมรถยนต์-เคาะพ่นสีรถยนต์,2539,หญิง,มุกดาหาร,เมืองมุกดาหาร,33121,9503
13,23,สำนักงานอุตสาหกรรมจังหวัด,คน,มุกดาหารคว้านเจียร์,ซ่อมแซมส่วนประกอบหรืออุปกรณ์ของเครื่องยนต์และเครื่องยนต์,2541,ชาย,มุกดาหาร,เมืองมุกดาหาร,28110,6500
0,24,สำนักงานอุตสาหกรรมจังหวัด,คน,มุกดาหารคว้านเจียร์,ซ่อมแซมส่วนประกอบหรืออุปกรณ์ของเครื่องยนต์และเครื่องยนต์,2541,หญิง,มุกดาหาร,เมืองมุกดาหาร,28110,6500
10,25,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ชัยวัฒนาธร จำกัด,ซอยไม้แปรรูป,2542,ชาย,มุกดาหาร,เมืองมุกดาหาร,16101,3401
0,26,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ชัยวัฒนาธร จำกัด,ซอยไม้แปรรูป,2542,หญิง,มุกดาหาร,เมืองมุกดาหาร,16101,3401
6,27,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ซี เอ็ม เค เอ็นจิเนียริ่ง กรุ๊ป,ผลิตผลิตภัณฑ์คอนกรีต เช่น เสา คานสำเร็จรูป แผ่นพื้นสำเร็จรูป ท่อ และท่อคอนกรีตอัดแรง ฯลฯ,2543,ชาย,ศรีบุญเรือง,เมืองมุกดาหาร,23953,5801
2,28,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ซี เอ็ม เค เอ็นจิเนียริ่ง กรุ๊ป,ผลิตผลิตภัณฑ์คอนกรีต เช่น เสา คานสำเร็จรูป แผ่นพื้นสำเร็จรูป ท่อ และท่อคอนกรีตอัดแรง ฯลฯ,2543,หญิง,ศรีบุญเรือง,เมืองมุกดาหาร,23953,5801
5,29,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ชื่นชนก,ผลิตน้ำแข็งก้อนเล็ก ได้วันละ 37 ตัน,2545,ชาย,บางทรายใหญ่,เมืองมุกดาหาร,10795,1400
0,30,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ชื่นชนก,ผลิตน้ำแข็งก้อนเล็ก ได้วันละ 37 ตัน,2545,หญิง,บางทรายใหญ่,เมืองมุกดาหาร,10795,1400
3,31,สำนักงานอุตสาหกรรมจังหวัด,คน,โรงงานคอนกรีตผสมเสร็จมุกดาหาร,ผลิตคอนกรีตผสมเสร็จ,2545,ชาย,บางทรายใหญ่,เมืองมุกดาหาร,23953,5801
0,32,สำนักงานอุตสาหกรรมจังหวัด,คน,โรงงานคอนกรีตผสมเสร็จมุกดาหาร,ผลิตคอนกรีตผสมเสร็จ,2545,หญิง,บางทรายใหญ่,เมืองมุกดาหาร,23953,5801
5,33,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ป.มุกดาหาร,ต่อเรือและซ่อมเรือ,2545,ชาย,บางทรายใหญ่,เมืองมุกดาหาร,33151,7501
0,34,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ป.มุกดาหาร,ต่อเรือและซ่อมเรือ,2545,หญิง,บางทรายใหญ่,เมืองมุกดาหาร,33151,7501
1,35,สำนักงานอุตสาหกรรมจังหวัด,คน,สุริยาการค้า,สีข้าว ชนิดแยกแกลบแยกรำกำลังสูงสุด 15 เกวียน/วัน,2546,ชาย,น้ำเที่ยง,คำชะอี,10611,901
0,36,สำนักงานอุตสาหกรรมจังหวัด,คน,สุริยาการค้า,สีข้าว ชนิดแยกแกลบแยกรำกำลังสูงสุด 15 เกวียน/วัน,2546,หญิง,น้ำเที่ยง,คำชะอี,10611,901
1,37,สำนักงานอุตสาหกรรมจังหวัด,คน,ไทยปราณี,สีข้าวชนิดแยกแกลบแยกรำ ,2546,ชาย,บ้านเป้า,หนองสูง,10611,901
0,38,สำนักงานอุตสาหกรรมจังหวัด,คน,ไทยปราณี,สีข้าวชนิดแยกแกลบแยกรำ ,2546,หญิง,บ้านเป้า,หนองสูง,10611,901
4,39,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด วิบูลย์เอ็นจิเนียริ่ง,ผลิตคอนกรีตผสมเสร็จ,2547,ชาย,มุกดาหาร,เมืองมุกดาหาร,23953,5801
0,40,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด วิบูลย์เอ็นจิเนียริ่ง,ผลิตคอนกรีตผสมเสร็จ,2547,หญิง,มุกดาหาร,เมืองมุกดาหาร,23953,5801
1,41,สำนักงานอุตสาหกรรมจังหวัด,คน,อู่ทศพลเซอร์วิส,ซ่อมรถยนต์ เครื่องยนต์,2547,ชาย,มุกดาหาร,เมืองมุกดาหาร,33121,9501
0,42,สำนักงานอุตสาหกรรมจังหวัด,คน,อู่ทศพลเซอร์วิส,ซ่อมรถยนต์ เครื่องยนต์,2547,หญิง,มุกดาหาร,เมืองมุกดาหาร,33121,9501
8,43,สำนักงานอุตสาหกรรมจังหวัด,คน,,ซ่อมรถยนต์และเคาะพ่นสีรถยนต์,2547,ชาย,มุกดาหาร,เมืองมุกดาหาร,33121,9501
2,44,สำนักงานอุตสาหกรรมจังหวัด,คน,,ซ่อมรถยนต์และเคาะพ่นสีรถยนต์,2547,หญิง,มุกดาหาร,เมืองมุกดาหาร,33121,9501
13,45,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ประทุมมาประดิษฐกรรมเฟอร์นิเจอร์,ผลิตและจำหน่ายวงกบ ประตู หน้าต่าง,2548,ชาย,นาสีนวน,เมืองมุกดาหาร,16220,3402
0,46,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ประทุมมาประดิษฐกรรมเฟอร์นิเจอร์,ผลิตและจำหน่ายวงกบ ประตู หน้าต่าง,2548,หญิง,นาสีนวน,เมืองมุกดาหาร,16220,3402
5,47,สำนักงานอุตสาหกรรมจังหวัด,คน,อู่ต่อเรือศรีเผย,ต่อเรือและซ่อมเรือ,2548,ชาย,บางทรายใหญ่,เมืองมุกดาหาร,33151,7501
0,48,สำนักงานอุตสาหกรรมจังหวัด,คน,อู่ต่อเรือศรีเผย,ต่อเรือและซ่อมเรือ,2548,หญิง,บางทรายใหญ่,เมืองมุกดาหาร,33151,7501
6,49,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัดชัยมงคลมุกดาหาร,ผสมผลิตภัณฑ์จากปิโตรเลี่ยมกับหินเพื่อใช้ในงานก่อสร้างผิวถนน,2549,ชาย,ศรีบุญเรือง,เมืองมุกดาหาร,19209,5004
2,50,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัดชัยมงคลมุกดาหาร,ผสมผลิตภัณฑ์จากปิโตรเลี่ยมกับหินเพื่อใช้ในงานก่อสร้างผิวถนน,2549,หญิง,ศรีบุญเรือง,เมืองมุกดาหาร,19209,5004
60,51,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),ผลิตแป้งมันสำปะหลัง,2550,ชาย,คำป่าหลาย,เมืองมุกดาหาร,10612,902
25,52,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),ผลิตแป้งมันสำปะหลัง,2550,หญิง,คำป่าหลาย,เมืองมุกดาหาร,10612,902
25,53,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท โตโยต้ามุกดาหาร(1993) ผู้จำหน่ายโตโยต้า จำกัด,ซ่อมและพ่นสีรถยนต์,2550,ชาย,มุกดาหาร,เมืองมุกดาหาร,33121,9501
1,54,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท โตโยต้ามุกดาหาร(1993) ผู้จำหน่ายโตโยต้า จำกัด,ซ่อมและพ่นสีรถยนต์,2550,หญิง,มุกดาหาร,เมืองมุกดาหาร,33121,9501
35,55,สำนักงานอุตสาหกรรมจังหวัด,คน,โรงฆ่าสัตว์สหกรณ์การเกษตรหนองสูง จำกัด,ฆ่าและชำแหละโคขุน,2550,ชาย,หนองสูงเหนือ,หนองสูง,10111,401
4,56,สำนักงานอุตสาหกรรมจังหวัด,คน,โรงฆ่าสัตว์สหกรณ์การเกษตรหนองสูง จำกัด,ฆ่าและชำแหละโคขุน,2550,หญิง,หนองสูงเหนือ,หนองสูง,10111,401
6,57,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),ทำมันเส้น,2551,ชาย,คำป่าหลาย,เมืองมุกดาหาร,10621,906
0,58,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),ทำมันเส้น,2551,หญิง,คำป่าหลาย,เมืองมุกดาหาร,10621,906
5,59,สำนักงานอุตสาหกรรมจังหวัด,คน,วงษ์พาณิชย์,อัดเศษกระดาษ อัดเศษโลหะ และอัดเศษพลาสติก,2552,ชาย,มุกดาหาร,เมืองมุกดาหาร,25999,6411
0,60,สำนักงานอุตสาหกรรมจังหวัด,คน,วงษ์พาณิชย์,อัดเศษกระดาษ อัดเศษโลหะ และอัดเศษพลาสติก,2552,หญิง,มุกดาหาร,เมืองมุกดาหาร,25999,6411
19,61,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด กรเดชมุกดาหาร,ทำน้ำแข็งก้อนเล็ก กำลังการผลิตสูงสุด 220 ตัน/วัน,2553,ชาย,บางทรายใหญ่,เมืองมุกดาหาร,10795,1400
0,62,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด กรเดชมุกดาหาร,ทำน้ำแข็งก้อนเล็ก กำลังการผลิตสูงสุด 220 ตัน/วัน,2553,หญิง,บางทรายใหญ่,เมืองมุกดาหาร,10795,1400
14,63,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท พรีเมียร์ไบโอเอนเนอร์จี จำกัด,ผลิตพลังงานไฟฟ้าจากก๊าซชีวภาพ กำลังการผลิตส่วนขยาย 2.352 เมกะวัตต์,2553,ชาย,คำป่าหลาย,เมืองมุกดาหาร,35101,8802
2,64,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท พรีเมียร์ไบโอเอนเนอร์จี จำกัด,ผลิตพลังงานไฟฟ้าจากก๊าซชีวภาพ กำลังการผลิตส่วนขยาย 2.352 เมกะวัตต์,2553,หญิง,คำป่าหลาย,เมืองมุกดาหาร,35101,8802
8,65,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท พรีเมียร์ไบโอเอนเนอร์จี จำกัด,ผลิตก๊าชชีวภาพ,2553,ชาย,คำป่าหลาย,เมืองมุกดาหาร,20111,8900
0,66,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท พรีเมียร์ไบโอเอนเนอร์จี จำกัด,ผลิตก๊าชชีวภาพ,2553,หญิง,คำป่าหลาย,เมืองมุกดาหาร,20111,8900
8,67,สำนักงานอุตสาหกรรมจังหวัด,คน,อู่เกรียงไกรเคาะพ่นสี,ซ่อม - เคาะพ่นสีรถยนต์,2553,ชาย,มุกดาหาร,เมืองมุกดาหาร,33121,9501
0,68,สำนักงานอุตสาหกรรมจังหวัด,คน,อู่เกรียงไกรเคาะพ่นสี,ซ่อม - เคาะพ่นสีรถยนต์,2553,หญิง,มุกดาหาร,เมืองมุกดาหาร,33121,9501
12,69,สำนักงานอุตสาหกรรมจังหวัด,คน,อู่ทิพย์เซอร์วิส,"เคาะพ่นสีรถยนต์ซ่อมบำรุง,ตรวจสภาพรถยนต์",2553,ชาย,คำอาฮวน,เมืองมุกดาหาร,33121,9501
0,70,สำนักงานอุตสาหกรรมจังหวัด,คน,อู่ทิพย์เซอร์วิส,"เคาะพ่นสีรถยนต์ซ่อมบำรุง,ตรวจสภาพรถยนต์",2553,หญิง,คำอาฮวน,เมืองมุกดาหาร,33121,9501
5,71,สำนักงานอุตสาหกรรมจังหวัด,คน,อู่รุ่งโรจน์,"ซ่อม,เคาะพ่นสีรถยนต์",2553,ชาย,มุกดาหาร,เมืองมุกดาหาร,33121,9501
0,72,สำนักงานอุตสาหกรรมจังหวัด,คน,อู่รุ่งโรจน์,"ซ่อม,เคาะพ่นสีรถยนต์",2553,หญิง,มุกดาหาร,เมืองมุกดาหาร,33121,9501
60,73,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ดงหลวง ควอลลิตี้ สตาร์ช จำกัด,ทำแป้งมันสำปะหลัง (กำลังการผลิตสูงสุด 50 ตันแป้ง/วัน),2553,ชาย,หนองแคน,ดงหลวง,10622,902
0,74,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ดงหลวง ควอลลิตี้ สตาร์ช จำกัด,ทำแป้งมันสำปะหลัง (กำลังการผลิตสูงสุด 50 ตันแป้ง/วัน),2553,หญิง,หนองแคน,ดงหลวง,10622,902
27,75,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด สมบูรณ์พูนผล,สีข้าว,2554,ชาย,คำป่าหลาย,เมืองมุกดาหาร,10611,901
6,76,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด สมบูรณ์พูนผล,สีข้าว,2554,หญิง,คำป่าหลาย,เมืองมุกดาหาร,10611,901
8,77,สำนักงานอุตสาหกรรมจังหวัด,คน,เมืองโขงการเกษตร,ทำหรือผลิตปุ๋ยอินทรีย์อัดเม็ด,2554,ชาย,คำอาฮวน,เมืองมุกดาหาร,20121,4301
0,78,สำนักงานอุตสาหกรรมจังหวัด,คน,เมืองโขงการเกษตร,ทำหรือผลิตปุ๋ยอินทรีย์อัดเม็ด,2554,หญิง,คำอาฮวน,เมืองมุกดาหาร,20121,4301
10,79,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ดนุสิริกำพลการโยธา จำกัด,ผลิตแอสฟัลท์ติดคอนกรีต,2554,ชาย,มุกดาหาร,เมืองมุกดาหาร,19209,5004
0,80,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ดนุสิริกำพลการโยธา จำกัด,ผลิตแอสฟัลท์ติดคอนกรีต,2554,หญิง,มุกดาหาร,เมืองมุกดาหาร,19209,5004
30,81,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท รับเบอร์แลนด์ โปรดักส์ จำกัด,"ผลิตยางเครป, ยางแท่ง เอสทีอาร์ 20, ยางผสม",2554,ชาย,บางทรายใหญ่,เมืองมุกดาหาร,22191,5203
20,82,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท รับเบอร์แลนด์ โปรดักส์ จำกัด,"ผลิตยางเครป, ยางแท่ง เอสทีอาร์ 20, ยางผสม",2554,หญิง,บางทรายใหญ่,เมืองมุกดาหาร,22191,5203
271,83,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท เอ็นเทคโพลิเมอร์ จำกัด,"ผลิตยางแท่ง STR, Mixture Rubber (ยางผสมสารเคมี) Block Rubber",2554,ชาย,คำป่าหลาย,เมืองมุกดาหาร,22191,5203
119,84,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท เอ็นเทคโพลิเมอร์ จำกัด,"ผลิตยางแท่ง STR, Mixture Rubber (ยางผสมสารเคมี) Block Rubber",2554,หญิง,คำป่าหลาย,เมืองมุกดาหาร,22191,5203
5,85,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด เค เค มุกดาหารก่อสร้าง,ผลิตภัณฑ์คอนกรีตสำเร็จรูป,2554,ชาย,กุดแข้,เมืองมุกดาหาร,23953,5801
0,86,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด เค เค มุกดาหารก่อสร้าง,ผลิตภัณฑ์คอนกรีตสำเร็จรูป,2554,หญิง,กุดแข้,เมืองมุกดาหาร,23953,5801
3,87,สำนักงานอุตสาหกรรมจังหวัด,คน,คอนกรีตผสมเสร็จ มุกดาหาร 3,ผลิตคอนกรีตผสมเสร็จ,2554,ชาย,มุกดาหาร,เมืองมุกดาหาร,23953,5801
0,88,สำนักงานอุตสาหกรรมจังหวัด,คน,คอนกรีตผสมเสร็จ มุกดาหาร 3,ผลิตคอนกรีตผสมเสร็จ,2554,หญิง,มุกดาหาร,เมืองมุกดาหาร,23953,5801
22,89,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท โรงสีมุกธัญญา จำกัด,สีข้าว,2555,ชาย,มุกดาหาร,เมืองมุกดาหาร,10611,901
5,90,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท โรงสีมุกธัญญา จำกัด,สีข้าว,2555,หญิง,มุกดาหาร,เมืองมุกดาหาร,10611,901
5,91,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ฟ้ารุ่งค้าไม้ จำกัด,ทำวงกบประตู ขอบหน้าต่าง บานประตู บานหน้าต่างหรือส่วนประกอบที่ทำด้วยไม้ของอาคาร,2555,ชาย,บางทรายใหญ่,เมืองมุกดาหาร,16220,3402
0,92,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ฟ้ารุ่งค้าไม้ จำกัด,ทำวงกบประตู ขอบหน้าต่าง บานประตู บานหน้าต่างหรือส่วนประกอบที่ทำด้วยไม้ของอาคาร,2555,หญิง,บางทรายใหญ่,เมืองมุกดาหาร,16220,3402
2,93,สำนักงานอุตสาหกรรมจังหวัด,คน,สุรัญญาพืชผล,ทำมันเส้น,2555,ชาย,น้ำเที่ยง,คำชะอี,10621,906
2,94,สำนักงานอุตสาหกรรมจังหวัด,คน,สุรัญญาพืชผล,ทำมันเส้น,2555,หญิง,น้ำเที่ยง,คำชะอี,10621,906
6,95,สำนักงานอุตสาหกรรมจังหวัด,คน,ลูกชิ้นสมศักดิ์,ผลิตลูกชิ้นและหมูยอจากเนื้อสัตว์,2556,ชาย,นาสีนวน,เมืองมุกดาหาร,10139,403
7,96,สำนักงานอุตสาหกรรมจังหวัด,คน,ลูกชิ้นสมศักดิ์,ผลิตลูกชิ้นและหมูยอจากเนื้อสัตว์,2556,หญิง,นาสีนวน,เมืองมุกดาหาร,10139,403
94,97,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ธงทอง รับเบอร์ จำกัด,"การทำยางเครป, ยางเครปอบแห้ง, ยางผสม (Compound Rubber) , ยางแท่ง",2556,ชาย,โพนทราย,เมืองมุกดาหาร,22191,5203
28,98,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ธงทอง รับเบอร์ จำกัด,"การทำยางเครป, ยางเครปอบแห้ง, ยางผสม (Compound Rubber) , ยางแท่ง",2556,หญิง,โพนทราย,เมืองมุกดาหาร,22191,5203
8,99,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด บิ๊ก ดี เลี่ยงเมือง,ทำส่วนประกอบงานก่อสร้างอาคาร เช่น หลังคาแผ่นเหล็ก กันสาด ผนังอาคารและโครงหลังคา,2556,ชาย,มุกดาหาร,เมืองมุกดาหาร,25111,6302
0,100,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด บิ๊ก ดี เลี่ยงเมือง,ทำส่วนประกอบงานก่อสร้างอาคาร เช่น หลังคาแผ่นเหล็ก กันสาด ผนังอาคารและโครงหลังคา,2556,หญิง,มุกดาหาร,เมืองมุกดาหาร,25111,6302
4,101,สำนักงานอุตสาหกรรมจังหวัด,คน,ลานมันสุวิทย์พืชผล,ทำมันเส้น,2556,ชาย,หนองแคน,ดงหลวง,10621,906
1,102,สำนักงานอุตสาหกรรมจังหวัด,คน,ลานมันสุวิทย์พืชผล,ทำมันเส้น,2556,หญิง,หนองแคน,ดงหลวง,10621,906
3,103,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท มุกดาหารไบโอแก๊ส จำกัด,"ผลิต ส่งและจำหน่ายก๊าซชีวภาพ 13,000 ลบ.ม/วัน",2556,ชาย,หนองแคน,ดงหลวง,20111,8900
1,104,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท มุกดาหารไบโอแก๊ส จำกัด,"ผลิต ส่งและจำหน่ายก๊าซชีวภาพ 13,000 ลบ.ม/วัน",2556,หญิง,หนองแคน,ดงหลวง,20111,8900
62,105,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ทรัสต์ รับเบอร์ อินดัสตรี จำกัด,ทำน้ำยางข้น ทำผลิตภัณฑ์ยางพารา เช่น ถุงมือแพทย์ หมอน เป็นต้น,2556,ชาย,กกแดง,นิคมคำสร้อย,22191,5203
68,106,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ทรัสต์ รับเบอร์ อินดัสตรี จำกัด,ทำน้ำยางข้น ทำผลิตภัณฑ์ยางพารา เช่น ถุงมือแพทย์ หมอน เป็นต้น,2556,หญิง,กกแดง,นิคมคำสร้อย,22191,5203
15,107,สำนักงานอุตสาหกรรมจังหวัด,คน,โรงงานผลิตอาหารสัตว์หนองสูง,ผลิตอาหารสัตว์สำเร็จรูปสำหรับเลี้ยงสัตว์,2556,ชาย,หนองสูงเหนือ,หนองสูง,10801,1501
10,108,สำนักงานอุตสาหกรรมจังหวัด,คน,โรงงานผลิตอาหารสัตว์หนองสูง,ผลิตอาหารสัตว์สำเร็จรูปสำหรับเลี้ยงสัตว์,2556,หญิง,หนองสูงเหนือ,หนองสูง,10801,1501
