จำนวน,_id,ปี,รหัส,ปริมาณ
22,360,61,19,1837.09
23,361,61,19,11969
33,362,61,19,947.2
65,363,61,19,1113.73
1,364,61,19,300
40,365,61,19,189.17
23,366,61,19,6791
13,367,61,19,733.05
12,368,61,19,1521
124,369,61,19,38111.15
13,370,61,19,416.8
2,371,61,19,50
3,372,61,19,31.5
15,373,61,19,4550.5
2,374,61,19,38
4,375,61,19,1068
44,376,61,19,1992.91
35,377,61,19,6216.25
26,378,61,19,3432.5
16,379,61,19,1745.85
9,380,61,19,158.3
1,381,61,19,2
2,382,61,19,6
1,383,62,1,60
1,384,62,1,8
2,385,62,1,12
1,386,62,2,470
4,387,62,2,5940
1,388,62,2,1100
2,389,62,2,2132
1,390,62,2,30
10,391,62,2,6618
10,392,62,2,30510
3,393,62,2,30455
1,394,62,2,10
3,395,62,2,229
2,396,62,2,100
1,397,62,2,1200
11,398,62,3,582.96
1,399,62,3,7500
6,400,62,3,11450
1,401,62,3,90
1,402,62,3,60
1,403,62,4,5
6,404,62,4,312
1,405,62,4,22
2,406,62,4,215
2,407,62,4,71
2,408,62,4,325
6,409,62,4,979.5
11,410,62,4,1919
1,411,62,4,77.23
1,412,62,5,50
4,413,62,5,11650
1,414,62,5,280
1,415,62,5,3500
4,416,62,5,6811
1,417,62,5,1600
2,418,62,5,240
7,419,62,5,194
1,420,62,5,100
1,421,62,5,300
1,422,62,5,5
7,423,62,6,537
3,424,62,6,16
1,425,62,6,10
1,426,62,6,20
2,427,62,6,60
4,428,62,6,64
1,429,62,6,5
1,430,62,6,300
2,431,62,6,20
4,432,62,6,4015
5,433,62,6,716
1,434,62,6,20
2,435,62,6,4018
2,436,62,6,270
1,437,62,6,170
3,438,62,6,17300
5,439,62,6,304
1,440,62,6,5
1,441,62,6,500
1,442,62,6,16
22,443,62,6,3044
11,444,62,7,32810
6,445,62,7,802
2,446,62,7,1765
14,447,62,7,4960
2,448,62,7,65
25,449,62,7,8685
15,450,62,7,13224
5,451,62,7,34838
2,452,62,7,48000
31,453,62,7,14937
1,454,62,7,12
28,455,62,7,4555
4,456,62,7,700
44,457,62,7,33083.3
1,458,62,7,100
16,459,62,7,6952
21,460,62,7,12084
20,461,62,7,42377.63
180,462,62,7,77100.38
29,463,62,7,2060.5
3,464,62,7,2603
4,465,62,7,1055
17,466,62,7,8422
1,467,62,7,1
1,468,62,7,300
3,469,62,7,2480
2,470,62,7,10.15
39,471,62,7,575.85
1,472,62,7,20
1,473,62,7,30
1,474,62,7,500
2,475,62,7,48880
2,476,62,7,5750
8,477,62,7,4926
5,478,62,7,3040
4,479,62,7,300
1,480,62,7,300
3,481,62,7,285332
136,482,62,8,6008.08
2,483,62,8,35
33,484,62,8,2095.27
2,485,62,8,380
31,486,62,8,3399.48
39,487,62,8,3778.9
4,488,62,8,470
1,489,62,8,3
2,490,62,8,130
1,491,62,8,20
4,492,62,8,69
5,493,62,8,43
1,494,62,8,1
1,495,62,8,8
43,496,62,8,1924.77
2,497,62,8,302
5,498,62,8,118
1,499,62,8,5
3,500,62,8,725
10,501,62,8,722
1,502,62,8,250
1,503,62,8,7.5
3,504,62,8,1015.8
1,505,62,9,1
13,506,62,10,109635
1,507,62,10,5
1,508,62,10,6
7,509,62,10,157
1,510,62,10,4000
2,511,62,10,20
2,512,62,10,81
2,513,62,10,30
1,514,62,10,335
1,515,62,10,30
1,516,62,10,4
1,517,62,10,60
4,518,62,10,65
11,519,62,10,849452
10,520,62,10,499680
9,521,62,10,101500
19,522,62,10,191870
1,523,62,10,190
1,524,62,10,100
17,525,62,10,35881.5
4,526,62,10,14050
1,527,62,10,1400
1,528,62,10,150
2,529,62,10,7.3
1,530,62,10,20
1,531,62,10,20
2,532,62,10,140
2,533,62,10,40501.5
1,534,62,10,3
1,535,62,10,12
1,536,62,10,2150
3,537,62,10,117
4,538,62,10,47100
1,539,62,10,290
5,540,62,10,2550
1,541,62,10,200
1,542,62,10,5
6,543,62,10,13900
1,544,62,10,5
2,545,62,10,50
1,546,62,10,260
4,547,62,10,1118
1,548,62,10,420
2,549,62,10,22
7,550,62,10,5677
2,551,62,10,210
3,552,62,10,655
3,553,62,10,1723
2,554,62,10,402
8,555,62,10,12354
1,556,62,10,520
1,557,62,10,40
1,558,62,10,2
1,559,62,10,120
1,560,62,10,3500
4,561,62,10,3517
1,562,62,10,3500
21,563,62,10,14700
33,564,62,11,57148.5
22,565,62,11,15618.64
18,566,62,11,1580
19,567,62,11,4690
34,568,62,11,5266.7
4,569,62,11,131
43,570,62,11,5016
10,571,62,11,603
2,572,62,11,100.3
14,573,62,11,738
1,574,62,11,120
2,575,62,11,63.1
8,576,62,11,5750
6,577,62,11,1130
2,578,62,11,50
406,579,62,12,716069.52
24,580,62,12,8976
211,581,62,12,35433.83
6,582,62,12,409
129,583,62,12,24037.1
1,584,62,12,70
17,585,62,12,4311
3,586,62,12,183.5
116,587,62,12,22453.86
44,588,62,12,15400.5
11,589,62,12,1179
17,590,62,12,583.8
67,591,62,12,4249.25
16,592,62,12,897.2
58,593,62,12,5140.5
44,594,62,12,3952
60,595,62,12,4461.6
4,596,62,12,961
53,597,62,12,1585.21
46,598,62,12,866.79
29,599,62,12,1680.7
1,600,62,12,200
1,601,62,12,5
1,602,62,13,20
1,603,62,13,2
11,604,62,13,479
20,605,62,13,665.5
3,606,62,13,27
107,607,62,13,1967.2
2,608,62,13,10.5
19,609,62,13,516.5
57,610,62,13,2674.4
1,611,62,13,50
443,612,62,13,18267.32
6,613,62,13,445
6,614,62,13,179.11
8,615,62,13,1556
14,616,62,13,2360
3,617,62,13,620
15,618,62,13,10842.1
9,619,62,13,791.8
5,620,62,13,421.5
9,621,62,13,152.5
38,622,62,13,4401.3
10,623,62,14,204
170,624,62,14,37074.43
1,625,62,14,30
668,626,62,15,67116.58
610,627,62,15,55387.35
566,628,62,15,61393.25
111,629,62,15,10429.65
16,630,62,15,516.5
5,631,62,15,349
15,632,62,15,232
7,633,62,15,152
856,634,62,15,45579.85
362,635,62,15,931.4
880,636,62,15,53783
142,637,62,15,9889.11
45,638,62,16,350.3
1,639,62,16,10
1,640,62,16,10
20,641,62,16,79.85
4,642,62,16,49.2
2,643,62,16,50.5
1,644,62,16,1
16,645,62,16,2814
8,646,62,16,318.5
7,647,62,16,175
11,648,62,16,59.8
10,649,62,16,27.56
3,650,62,16,54.2
5,651,62,16,47.5
1,652,62,16,2
2,653,62,16,52
148,654,62,16,811.79
21,655,62,16,265.6
649,656,62,16,1748.06
104,657,62,16,2012.25
25,658,62,16,4595.7
47,659,62,16,17379
46,660,62,16,4653
69,661,62,16,85245.22
12,662,62,16,124.13
2,663,62,16,5.2
102,664,62,16,1238.58
51,665,62,16,931.98
92,666,62,16,2952.36
17,667,62,16,14951.5
186,668,62,16,1133.99
97,669,62,16,89.38
8,670,62,16,12.6
13,671,62,16,20.7
7,672,62,16,10.1
31,673,62,16,54773
32,674,62,16,7031.7
4,675,62,16,690
9,676,62,16,1542.5
19,677,62,16,1500
2,678,62,16,1300
2,679,62,16,22
27,680,62,16,13073.25
2,681,62,16,90
3,682,62,16,110.5
209,683,62,16,88418.1
9,684,62,16,2972
2,685,62,16,310
3,686,62,16,245
2,687,62,16,40
13,688,62,16,678
12,689,62,16,2861
21,690,62,16,3377
19,691,62,16,5299.5
14,692,62,17,5687
2,693,62,17,50.5
18,694,62,17,505.55
17,695,62,17,1623
22,696,62,17,3713
10,697,62,17,1074
4,698,62,17,17
62,699,62,17,3308.35
7,700,62,17,121
1,701,62,17,90
51,702,62,17,525.05
62,703,62,17,756.03
4,704,62,17,60.2
15,705,62,17,108.5
270,706,62,17,32976.7
53,707,62,17,5311
8,708,62,17,82
16,709,62,17,532.5
29,710,62,17,12458.93
3,711,62,17,14530
16,712,62,17,1344
10,713,62,17,798
12,714,62,17,239.5
116,715,62,17,3832.85
91,716,62,17,4203.15
2,717,62,17,27
3,718,62,17,35.5
1,719,62,17,300
12,720,62,17,317.5
20,721,62,17,11309.8
2,722,62,18,2
1,723,62,19,15
3,724,62,19,90
1,725,62,19,10
2,726,62,19,600
1,727,62,19,70
2,728,62,19,1040
2,729,62,19,240
2,730,62,19,7443
1,731,62,19,40
1,732,62,19,55
1,733,62,19,8
3,734,62,19,2080
2,735,62,19,320
4,736,62,19,505
1,737,62,19,200
16,738,62,19,10717
6,739,62,19,1270
19,740,62,19,37525
95,741,62,19,46017.5
73,742,62,19,38511
1,743,62,19,60
23,744,62,19,1776
25,745,62,19,18092
32,746,62,19,1310
65,747,62,19,1214.76
1,748,62,19,600
43,749,62,19,817.6
1,750,62,19,11
27,751,62,19,5563.2
13,752,62,19,277.25
12,753,62,19,920.9
132,754,62,19,49362.3
19,755,62,19,514.6
2,756,62,19,90
4,757,62,19,43
17,758,62,19,3486.5
3,759,62,19,56
5,760,62,19,2625.25
49,761,62,19,1281
46,762,62,19,8325.45
1,763,62,19,50
30,764,62,19,4330.6
18,765,62,19,1765.3
9,766,62,19,140.3
3,767,62,19,7.5
1,768,63,1,60
1,769,63,1,16
2,770,63,1,15
1,771,63,2,470
5,772,63,2,8100
2,773,63,2,550
1,774,63,2,1169
1,775,63,2,30
8,776,63,2,20792
11,777,63,2,19985
2,778,63,2,28400
1,779,63,2,10
3,780,63,2,275
1,781,63,2,40
2,782,63,3,17
9,783,63,3,307.96
1,784,63,3,16600
7,785,63,3,9966
1,786,63,3,90
1,787,63,3,60
1,788,63,4,5
6,789,63,4,287
1,790,63,4,20
3,791,63,4,860
1,792,63,4,70
2,793,63,4,295
5,794,63,4,823
9,795,63,4,1952
1,796,63,5,50
4,797,63,5,4380
1,798,63,5,400
1,799,63,5,1500
4,800,63,5,3641
3,801,63,5,3050
1,802,63,5,200
6,803,63,5,173
1,804,63,5,100
1,805,63,5,300
1,806,63,5,10
7,807,63,6,1555
3,808,63,6,112
2,809,63,6,120
1,810,63,6,50
1,811,63,6,1
1,812,63,6,50
1,813,63,6,600
2,814,63,6,2010
6,815,63,6,140
4,816,63,6,912
1,817,63,6,40
1,818,63,6,4000
2,819,63,6,270
1,820,63,6,400
1,821,63,6,170
3,822,63,6,17000
5,823,63,6,203
1,824,63,6,200
1,825,63,6,5
1,826,63,6,500
1,827,63,6,4
19,828,63,6,1862
9,829,63,7,28605
5,830,63,7,9140
2,831,63,7,1765
12,832,63,7,4536
2,833,63,7,345
18,834,63,7,10010
11,835,63,7,8410
4,836,63,7,22678
2,837,63,7,42500
28,838,63,7,87010
2,839,63,7,212
28,840,63,7,5135.83
4,841,63,7,560
48,842,63,7,29654.3
1,843,63,7,150
17,844,63,7,6734
22,845,63,7,13393
17,846,63,7,40430
191,847,63,7,79918.2
28,848,63,7,1829.5
2,849,63,7,13403
5,850,63,7,1022
23,851,63,7,10413
1,852,63,7,300
2,853,63,7,1400
7,854,63,7,102.15
40,855,63,7,426.45
1,856,63,7,20
1,857,63,7,30
1,858,63,7,400
3,859,63,7,39195
2,860,63,7,4320
8,861,63,7,4761
8,862,63,7,4400
4,863,63,7,295
1,864,63,7,12200
2,865,63,7,321510
139,866,63,8,6563.41
1,867,63,8,20
33,868,63,8,2276.77
2,869,63,8,360
27,870,63,8,3106
43,871,63,8,4857.45
4,872,63,8,496
1,873,63,8,120
3,874,63,8,50
3,875,63,8,51
6,876,63,8,112.5
1,877,63,8,0.01
49,878,63,8,2055.24
1,879,63,8,290
5,880,63,8,216
2,881,63,8,65
10,882,63,8,1620
1,883,63,8,250
1,884,63,8,2
3,885,63,8,1017.8
0,886,63,9,0
16,887,63,10,117243
1,888,63,10,2
1,889,63,10,25
5,890,63,10,371
1,891,63,10,3500
1,892,63,10,30
2,893,63,10,21
3,894,63,10,413
1,895,63,10,1000
2,896,63,10,5230
1,897,63,10,100
1,898,63,10,600
1,899,63,10,6
1,900,63,10,60
3,901,63,10,45
10,902,63,10,884015.3
10,903,63,10,532450
9,904,63,10,98050
18,905,63,10,181475
1,906,63,10,140
1,907,63,10,2600
1,908,63,10,7
1,909,63,10,50
18,910,63,10,32800
4,911,63,10,12700
1,912,63,10,1400
1,913,63,10,450
1,914,63,10,0.3
1,915,63,10,40
1,916,63,10,30
1,917,63,10,135
1,918,63,10,30
1,919,63,10,3
1,920,63,10,12
1,921,63,10,350
2,922,63,10,42
1,923,63,10,0
4,924,63,10,46700
1,925,63,10,1
1,926,63,10,290
5,927,63,10,3900
1,928,63,10,200
7,929,63,10,19410
1,930,63,10,10
2,931,63,10,115
3,932,63,10,3234
1,933,63,10,1200
3,934,63,10,29
5,935,63,10,3015
2,936,63,10,105
3,937,63,10,855
1,938,63,10,50
2,939,63,10,210
1,940,63,10,200
7,941,63,10,10425
1,942,63,10,520
3,943,63,10,105
1,944,63,10,120
1,945,63,10,5000
6,946,63,10,3583
1,947,63,10,5000
1,948,63,10,10
1,949,63,10,10
13,950,63,10,11860
1,951,63,10,10
35,952,63,11,62518.5
18,953,63,11,15227
14,954,63,11,1428
18,955,63,11,4811
35,956,63,11,6746
1,957,63,11,150
34,958,63,11,4383
10,959,63,11,1094
2,960,63,11,100.3
13,961,63,11,673
1,962,63,11,100
1,963,63,11,150
1,964,63,11,50
8,965,63,11,6785
5,966,63,11,990
3,967,63,11,131
1,968,63,11,3
401,969,63,12,737974.25
22,970,63,12,9042
215,971,63,12,37771.45
5,972,63,12,352
131,973,63,12,27152.74
2,974,63,12,520
17,975,63,12,4425.8
2,976,63,12,82.5
122,977,63,12,20884.5
52,978,63,12,26881
10,979,63,12,1005
19,980,63,12,491.9
71,981,63,12,3739.33
18,982,63,12,1330
55,983,63,12,6026.5
46,984,63,12,10305.5
60,985,63,12,5759.5
4,986,63,12,893
52,987,63,12,1579.46
52,988,63,12,1189.79
30,989,63,12,2061.15
1,990,63,12,5
1,991,63,13,2
11,992,63,13,578.5
18,993,63,13,599.5
6,994,63,13,47
99,995,63,13,2129.72
4,996,63,13,75
20,997,63,13,558.5
54,998,63,13,3277.02
1,999,63,13,40
470,1000,63,13,18652.79
7,1001,63,13,436
6,1002,63,13,230.11
9,1003,63,13,2132
14,1004,63,13,1113
4,1005,63,13,3150
20,1006,63,13,7238
8,1007,63,13,550.8
4,1008,63,13,2245
6,1009,63,13,157
48,1010,63,13,4346
3,1011,63,14,29
10,1012,63,14,400.2
180,1013,63,14,18234.82
662,1014,63,15,68522.58
612,1015,63,15,65654.83
573,1016,63,15,118681.5
118,1017,63,15,11379.3
19,1018,63,15,1963
4,1019,63,15,307
16,1020,63,15,209
9,1021,63,15,150
867,1022,63,15,87876.58
382,1023,63,15,913.77
878,1024,63,15,60354.73
150,1025,63,15,10146.85
46,1026,63,16,3615.3
1,1027,63,16,16
15,1028,63,16,64.3
7,1029,63,16,134.3
1,1030,63,16,40
1,1031,63,16,10
1,1032,63,16,0.5
1,1033,63,16,1
15,1034,63,16,3493
8,1035,63,16,320.5
9,1036,63,16,232
10,1037,63,16,52.3
8,1038,63,16,18.82
3,1039,63,16,56.2
4,1040,63,16,44
3,1041,63,16,216
1,1042,63,16,10
1,1043,63,16,20
3,1044,63,16,57
161,1045,63,16,1021.5
14,1046,63,16,231.5
662,1047,63,16,2496.48
114,1048,63,16,2829.81
22,1049,63,16,4451
49,1050,63,16,16391
47,1051,63,16,3902.5
72,1052,63,16,71953.6
15,1053,63,16,423.53
102,1054,63,16,1299.98
48,1055,63,16,951.05
122,1056,63,16,3534.8
19,1057,63,16,2123.5
186,1058,63,16,1441.49
96,1059,63,16,284.04
9,1060,63,16,9.6
12,1061,63,16,35.71
11,1062,63,16,65.9
32,1063,63,16,38525
25,1064,63,16,6561.3
2,1065,63,16,310
10,1066,63,16,1626
22,1067,63,16,12678.2
2,1068,63,16,1300
2,1069,63,16,7
27,1070,63,16,10941.1
1,1071,63,16,2
1,1072,63,16,40
3,1073,63,16,110.5
236,1074,63,16,124619.12
10,1075,63,16,11163
3,1076,63,16,330
2,1077,63,16,500
3,1078,63,16,50
13,1079,63,16,700
12,1080,63,16,1011
23,1081,63,16,3289
19,1082,63,16,2827
16,1083,63,17,1848
2,1084,63,17,50.5
12,1085,63,17,412
15,1086,63,17,1068
20,1087,63,17,4209.1
14,1088,63,17,1201
6,1089,63,17,23
61,1090,63,17,2953.95
9,1091,63,17,524
53,1092,63,17,508.9
68,1093,63,17,1632.52
1,1094,63,17,0.2
14,1095,63,17,131
253,1096,63,17,28012.8
54,1097,63,17,3211.4
10,1098,63,17,80
15,1099,63,17,428
20,1100,63,17,8588
2,1101,63,17,65
18,1102,63,17,1154.5
12,1103,63,17,1140
9,1104,63,17,235
115,1105,63,17,3875.36
114,1106,63,17,5281.81
4,1107,63,17,105.5
2,1108,63,17,13
12,1109,63,17,780.5
22,1110,63,17,10326
2,1111,63,18,2
1,1112,63,18,0.5
1,1113,63,19,15
2,1114,63,19,70
1,1115,63,19,60
1,1116,63,19,40
1,1117,63,19,100
4,1118,63,19,286
5,1119,63,19,5623
2,1120,63,19,255
1,1121,63,19,8
3,1122,63,19,2665
1,1123,63,19,5000
4,1124,63,19,602
4,1125,63,19,870
1,1126,63,19,8
1,1127,63,19,300
16,1128,63,19,19456
4,1129,63,19,325
22,1130,63,19,24282
107,1131,63,19,47428
67,1132,63,19,41198.5
5,1133,63,19,280
26,1134,63,19,1783
26,1135,63,19,42345
32,1136,63,19,1541.8
73,1137,63,19,1646.36
3,1138,63,19,730
47,1139,63,19,931.4
26,1140,63,19,8822
18,1141,63,19,2084.55
17,1142,63,19,1534.7
144,1143,63,19,43421.73
23,1144,63,19,658.8
2,1145,63,19,60
4,1146,63,19,45.5
19,1147,63,19,3237.5
2,1148,63,19,60
6,1149,63,19,3515
44,1150,63,19,4375.51
54,1151,63,19,8382
26,1152,63,19,5669.6
22,1153,63,19,4076.5
8,1154,63,19,140.5
1,1155,63,19,0.5
2,1156,63,19,7
1,1157,64,1,72
1,1158,64,1,30
2,1159,64,1,35
1,1160,64,2,2.3
1,1161,64,2,470
4,1162,64,2,7920
2,1163,64,2,580
1,1164,64,2,400
1,1165,64,2,30
8,1166,64,2,5898
12,1167,64,2,24260
2,1168,64,2,23400
1,1169,64,2,10
3,1170,64,2,4225
1,1171,64,2,40
1,1172,64,2,1350
8,1173,64,3,549.59
1,1174,64,3,2
1,1175,64,3,21000
7,1176,64,3,13781
1,1177,64,3,40
1,1178,64,3,90
1,1179,64,3,60
5,1180,64,4,142
1,1181,64,4,20
2,1182,64,4,1540
1,1183,64,4,70
2,1184,64,4,595
6,1185,64,4,1131
8,1186,64,4,2059
1,1187,64,5,150
4,1188,64,5,9360
1,1189,64,5,400
1,1190,64,5,1500
3,1191,64,5,3340.5
2,1192,64,5,2800
5,1193,64,5,66
1,1194,64,5,150
1,1195,64,5,300
1,1196,64,5,10
10,1197,64,6,1668
4,1198,64,6,13510
2,1199,64,6,116
1,1200,64,6,1
1,1201,64,6,600
1,1202,64,6,300
6,1203,64,6,318
3,1204,64,6,502.5
1,1205,64,6,135
4,1206,64,6,4145
2,1207,64,6,29
1,1208,64,6,400
1,1209,64,6,120
4,1210,64,6,21120
7,1211,64,6,268
1,1212,64,6,5.4
2,1213,64,6,23.5
23,1214,64,6,2005
1,1215,64,6,100
9,1216,64,7,33735
5,1217,64,7,1700
1,1218,64,7,1995
12,1219,64,7,1300
2,1220,64,7,490
24,1221,64,7,5974
10,1222,64,7,7380
3,1223,64,7,22617
1,1224,64,7,45000
28,1225,64,7,86239
3,1226,64,7,1132
29,1227,64,7,5210.5
3,1228,64,7,360
46,1229,64,7,32800.3
1,1230,64,7,100
17,1231,64,7,5929
23,1232,64,7,13463
19,1233,64,7,43080
205,1234,64,7,81014.41
29,1235,64,7,1707.5
3,1236,64,7,106
3,1237,64,7,7504
4,1238,64,7,521.2
25,1239,64,7,8346
1,1240,64,7,500
1,1241,64,7,300
2,1242,64,7,1238
6,1243,64,7,96.15
