แรงม้า,ประเภทโรงงาน,ตำบล,ประกอบกิจการ,เลขทะเบียนโรงงานเดิม,คนงานรวม,ถนน,เลขที่,จังหวัด,จำพวก,รหัสไปรษณีย์,หมู่,ผู้ประกอบการ,เงินทุนรวม(ล้านบาท),ซอย,ชื่อโรงงาน,_id,FID,รหัสประเภท,อำเภอ,ปีที่อนุญาต
16712.88,การถนอมสัตว์น้ำโดยวิธีอบ รมควัน ใส่เกลือ ดอง ตากแห้งหรือทำให้เยือกแข็งโดยฉับพลัน,คลองปูน,แปรรูปอาหารทะเล และทำห้องเย็น,ศ3-6(2)-1/34รย,1560,สุขุมวิท กม.277,200,ระยอง,3,21170,1,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),260,,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),11,210000000000,602,แกลง,2534
5950.05,การทำอาหารหรือเครื่องดื่มจากผัก พืช หรือผลไม้ และบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,หนองละลอก,ทำน้ำพืชผักผลไม้บบรจุกระป๋อง กะทิบรรจุกระป๋อง และผลิตภัณฑ์จากพืช ผัก  ผลไม้แช่แข็ง,ศ3-8(1)-1/38รย,124,บ้านค่าย-บ้านบึง,46083,ระยอง,3,21120,1,บริษัท ไทยแทนฟู้ดส์ อินเตอร์เนชั่นแนล จำกัด,4,-,บริษัท ไทยแทนฟู้ดส์ อินเตอร์เนชั่นแนล จำกัด,12,210000000000,801,บ้านค่าย,2538
1402,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,ตาขัน,ทำน้ำแข็งซอง,ศ3-14-1/39รย,15,สายวัดตาขัน,,ระยอง,3,21120,5,บริษัท รวมประมงระยอง จำกัด,21.1,,บริษัท รวมประมงระยอง จำกัด,13,210000000000,1400,บ้านค่าย,2539
828.6,การเลื่อย ไส ซอย เซาะร่อง หรือการแปรรูปไม้ด้วยวิธีอื่นที่คล้ายคลึงกัน,ชากโดน,แปรรูปไม้ยางพารา โดยใช้เครื่องจักรแปรรูปไม้ 135 แรงม้า และเครื่องจักรอุปกรณ์ 20 แรงม้า,ศ3-34(1)-4/33รย,6,,101/1,ระยอง,3,21110,4,ห้างหุ้นส่วนจำกัด ที โอ เอส พาราวู้ดส์,1.5,,,14,210000000000,3401,แกลง,2533
486.31,การเลื่อย ไส ซอย เซาะร่อง หรือการแปรรูปไม้ด้วยวิธีอื่นที่คล้ายคลึงกัน,ทับมา,แปรรูปไม้ยางพาราเพื่อจำหน่าย ทำวงล้อเก็บสายไฟฟ้า และช้ินส่วนเครื่องเรื่อนจากไม้,ศ3-34(1)-4/36รย,68,ทางหลวงสาย 36,65/1,ระยอง,3,21000,3,บริษัท ทวีทรัพย์พาราวู้ด จำกัด,2.58,,บริษัท ทวีทรัพย์พาราวู้ด จำกัด,15,210000000000,3401,เมืองระยอง,2536
499,การเลื่อย ไส ซอย เซาะร่อง หรือการแปรรูปไม้ด้วยวิธีอื่นที่คล้ายคลึงกัน,ทุ่งควายกิน,แปรรูปไม้ยางพาราเพื่อจำหน่าย อัดน้ำยา-อบไม้ยางพารา และทำเครื่องเรือนจากไม้,ศ3-34(1)-4/39รย,28,สุขุมวิท,223,ระยอง,3,21110,4,ห้างหุ้นส่วนจำกัด จี.ยูเนี่ยน,9,-,ห้างหุ้นส่วนจำกัด จี.ยูเนียน,16,210000000000,3401,แกลง,2539
6958.42,การทำแป้ง,เขาหินซ้อน,ทำแป้งมันสำปะหลังแปรรูป,ศ3-9(2)-1/39ฉช,114,,99/2,ฉะเชิงเทรา,3,24120,3,บริษัท โซนิส สตาร์ช เทคโนโลยี จำกัด,64.321354,,บริษัท โซนิส สตาร์ช เทคโนโลยี จำกัด,17,240000000000,902,พนมสารคาม,2539
963,การทำผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น,วังตะเคียน,ทำเส้นก๋วยเตี๋ยว และขนมจีน,ศ3-10(3)-1/39ฉช,20,สุวินทวงศ์,46200,ฉะเชิงเทรา,3,24000,3,นางยกหลั่ง สืบสมาน,5,,ฮั่งเชียง,18,240000000000,1003,เมืองฉะเชิงเทรา,2539
878.5,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,หน้าเมือง,ทำน้ำแข็งก้อนเล็ก ได้วันละ 150 ตัน และทำน้ำดื่ม,ศ3-14-1/34ฉช,10,ฉะเชิงเทรา-บางปะกง,155,ฉะเชิงเทรา,3,24000,,ห้างหุ้นส่วนจำกัด จิตต์ส่งเสริม,32,,ห้างหุ้นส่วนจำกัด จิตต์ส่งเสริม,19,240000000000,1400,เมืองฉะเชิงเทรา,2534
1034.07,การถนอมสัตว์น้ำโดยวิธีอบ รมควัน ใส่เกลือ ดอง ตากแห้งหรือทำให้เยือกแข็งโดยฉับพลัน,บ้านโขด,ทำอาหารทะเลแช่แข็ง อาหารจากสัตว์น้ำและบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,ศ3-6(2)-1/36ชบ,688,พิพิธ,696 อ.,ชลบุรี,3,20000,,บริษัท ทิพย์วันชัยซีฟู๊ด จำกัด,264.8,เทศบาลสมมุติ,บริษัท ทิพย์วันชัยซีฟู๊ด จำกัด,20,200000000000,602,เมืองชลบุรี,2536
999.85,การทำเครื่องปรุงกลิ่น รส หรือสีของอาหาร,นาป่า,ทำซอสพริก,ศ3-13(2)-2/35ชบ,84,,46032,ชลบุรี,3,20000,6,บริษัท โกศล-อัมพา จำกัด,31.1,,บริษัท โกศล-อัมพา จำกัด,21,200000000000,1302,เมืองชลบุรี,2535
1971.56,การทำยางแผ่นรมควัน การทำยางเครป ยางแท่ง ยางน้ำ หรือการทำยางให้เป็นรูปแบบอื่นใด,หนองใหญ่,ผลิตน้ำยางข้น,ส3-52(3)-1/30ชบ,126,บ้านบึง - แกลง,29,ชลบุรี,3,20190,2,บริษัท ไทยรับเบอร์ลาเท็คซ์กรุ๊ป จำกัด (มหาชน),0,,บริษัท ไทยรับเบอร์ลาเท็คซ์กรุ๊ป จำกัด (มหาชน),22,200000000000,5203,หนองใหญ่,2530
183,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,นาเกลือ,ทำน้ำแข็งก้อนเล็ก ได้วันละ 23.12 ตัน และน้ำดื่ม,ศ3-14-1/33ชบ,12,พัทยา-นากลือ,36/21,ชลบุรี,3,20150,5,นายเตชธรรม อุรุเอกโอฬาร,5.4,นาเกลือ,โอฬารน้ำแข็งหลอด,23,200000000000,1400,บางละมุง,2533
449,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,หนองปรือ,ทำน้ำแข็งก้อนเล็ก,ศ3-14-3/34ชบ,9,,54,ชลบุรี,3,20150,12,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งบางละมุง,6.8,ชัยพรวิถี,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งบางละมุง,24,200000000000,1400,บางละมุง,2534
5582.33,การทำเครื่องปรุงกลิ่น รส หรือสีของอาหาร,บ้านปึก,ผลิตน้ำปลา ผลิตซีอิ๊ว,ศ3-13(2)-3/35ชบ,27,หนองมน-อ่างศิลา,46079,ชลบุรี,3,20130,7,บริษัท ชลบุรีตราแม่ครัวฉลากทอง จำกัด,120,หน้าวัดใหม่,บริษัท ชลบุรีตราแม่ครัวฉลากทอง จำกัด,25,200000000000,1302,เมืองชลบุรี,2535
73.5,การทำวงกบ ขอบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้ขอ,บึง,ทำวงกบประตู-หน้าต่าง ไม้คิ้ว ไม้บัว เครื่องเรือนและเครื่องใช้ในบ้านเรือน,ศ3-34(2)-10/35ชบ,13,,90/27,ชลบุรี,3,20230,1,นางอรุณ จันทร์เดช,0.6,,รุ่งอรุณการช่าง,26,200000000000,3402,ศรีราชา,2535
932.5,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,บ้านสวน,ทำน้ำแข็งซองได้วันละ 852 ซอง,ศ3-14-2/35ชบ,17,สุขุมวิท,22/51,ชลบุรี,3,20000,3,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งธาราทร,3.5,,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งธาราทร,27,200000000000,1400,เมืองชลบุรี,2535
5499.59,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำ,บ้านบึง,ผลิตคอนเดนเซอร์ชนิด Polyvaricon ชิ้นส่วนเครื่องเล่นเทป และ ชิ้นส่วนวิทยุรถยนต์,ส3-72-1/32ชบ,198,บ้านบึง-แกลง,168,ชลบุรี,3,20170,1,บริษัท ฮันซอล เทคนิคส์ (ประเทศไทย) จำกัด,199.887307,,บริษัท ฮันซอล เทคนิคส์ (ประเทศไทย) จำกัด,28,201000000000,7200,บ้านบึง,2532
484.49,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,เพ,ทำน้ำแข็งก้อนเล็กได้วันละ 38.74 ตัน และทำน้ำดื่ม,ศ3-14-1/36รย,12,,52/1,ระยอง,3,21160,5,นายสมศักดิ์ กิจกุศลทรัพย์,8.9,,บ้านเพน้ำแข็งหลอด,29,210000000000,1400,เมืองระยอง,2536
184,การเลื่อย ไส ซอย เซาะร่อง หรือการแปรรูปไม้ด้วยวิธีอื่นที่คล้ายคลึงกัน,วังหว้า,แปรรูปไม้ยางพาราเพื่อจำหน่าย ทำวงล้อเก็บสายไฟฟ้า และแท่นวางของ,ศ3-34(1)-6/39รย,32,สุขุมวิท,37265,ระยอง,3,21110,11,ห้างหุ้นส่วนจำกัด พรรณรักษ์ริลวู๊ด,13.3,,ห้างหุ้นส่วนจำกัด พรรณรักษ์ริลวู๊ด,30,210000000000,3401,แกลง,2539
747.9,การทำน้ำดื่ม,มาบข่า,ผลิตน้ำดื่มและภาชนะบรรจุ,ศ3-20(1)-2/35รย,97,บางนา-ตราด,99,ระยอง,3,21180,2,นางช่อฟ้า ชัยเศวตกานนท์,45.5,,บริษัท เนปจูน อาหารและเครื่องดื่ม จำกัด,31,210000000000,2001,นิคมพัฒนา,2535
949.56,การทำวงกบ ขอบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้ขอ,นิคมพัฒนา,ทำวงกบ-ประตูหน้าต่าง อบและไสไม้,ศ3-34(2)-4/34รย,8,,354/1,ระยอง,3,21180,2,ห้างหุ้นส่วนจำกัด ไชยรัตน์คอนกรีตบล๊อก,0.9,,ห้างหุ้นส่วนจำกัด ไชยรัตน์คอนกรีตบล๊อก,32,210000000000,3402,นิคมพัฒนา,2534
4057.16,การสกัดน้ำมันจากพืชหรือสัตว์หรือไขมันจากสัตว์,บางสมัคร,ผลิตน้ำมันจากผลิตผลการเกษตร (ผลิตน้ำมันรำดิบ),ส3-7(1)-1/33ฉช,34,-,107/1,ฉะเชิงเทรา,3,24180,2,บริษัท เอส.เอ็น.บี.ผลิตผลการเกษตร จำกัด,2.9,-,บริษัท เอส.เอ็น.บี ผลิตผลการเกษตร จำกัด,33,240000000000,701,บางปะกง,2533
1923.3,การฉาบ ขัดมัน หรือทากาวกระดาษหรือกระดาษแข็ง หรือการอัดกระดาษหรือกระดาษแข็งหลายชั,บางปะกง,ผลิตแผ่นลูกฟูก และกล่องกระดาษลูกฟูก,ส3-40(1)-1/35ฉช,30,สุขุมวิทสายเก่า,163/3,ฉะเชิงเทรา,3,24130,14,บริษัท ออโต้ บ๊อกซ์ จำกัด,0,-,บริษัท ออโต้ บ๊อกซ์ จำกัด,34,240000000000,4001,บางปะกง,2535
2763.15,การทำผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น,หนองขาม,ผลิตเส้นหมี่จากแป้งข้าวเจ้า,ส3-10(3)-1/32ชบ,159,สุขาภิบาล 8,600/7,ชลบุรี,3,20230,5,บริษัท เคนมิน ฟู้ดส์ (ไทยแลนด์) จำกัด,20.9,-,บริษัท เคนมิน ฟู้ดส์ (ไทยแลนด์) จำกัด,35,200000000000,1003,ศรีราชา,2532
1281.86,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,นาป่า,ผลิตอาหารสัตว์,ศ3-15(1)-1/33ชบ,18,สุขประยูร,68/6,ชลบุรี,3,20000,11,บริษัท ยู่สูง จำกัด,45,,บริษัท ยู่สูง จำกัด,36,200000000000,1501,เมืองชลบุรี,2533
619,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,มาบไผ่,ผลิตเฟอร์นิเจอร์จากไม้ยางพารา,ศ3-37-1/38ชบ,206,,20,ชลบุรี,3,20170,1,บริษัท รอยัล มาสเตอร์ จำกัด,50,,บริษัท รอยัล มาสเตอร์ จำกัด,37,200000000000,3700,บ้านบึง,2538
8156.72,การทำผลิตภัณฑ์ยางนอกจากที่ระบุไว้ใน ลำดับที่ 51 จากยางธรรมชาติหรือยางสังเคราะห์,เขาคันทรง,ผลิตถุงมือยาง,ส3-52(4)-1/32ชบ,341,บางคล้า-อู่ตะเภา,662/1,ชลบุรี,3,20110,3,บริษัท ด๊อกเตอร์ บู จำกัด,127,,บริษัท ด๊อกเตอร์ บู จำกัด,38,200000000000,5204,ศรีราชา,2532
940.5,การถนอมสัตว์น้ำโดยวิธีอบ รมควัน ใส่เกลือ ดอง ตากแห้งหรือทำให้เยือกแข็งโดยฉับพลัน,กร่ำ,ผลิตอาหารสำเร็จรูป และกึ่งสำเร็จรูปจากสัตว์น้ำ,ศ3-6(2)-1/35รย,65,แกลง-กร่ำ,230,ระยอง,3,21190,6,บริษัท ไทยโอกาเบ้ โพรโมชั่น จำกัด,16.92,สินสมุทร,บริษัท ไทยโอกาเบ้ โพรโมชั่น จำกัด,39,210000000000,602,แกลง,2535
1718.53,การทำผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น,วังจันทร์,ผลิตอาหารสำเร็จรูปและกึ่งสำเร็จรูปจากแป้ง เช่น ข้าวเกรียบ,ศ3-10(3)-1/37รย,167,บ้านบึง-แกลง,139,ระยอง,3,21210,3,บริษัท เอส.บี.ฟู้ด จำกัด,89,,บริษัท เอส.บี.ฟู้ด จำกัด,40,210000000000,1003,วังจันทร์,2537
547.59,การเลื่อย ไส ซอย เซาะร่อง หรือการแปรรูปไม้ด้วยวิธีอื่นที่คล้ายคลึงกัน,ทางเกวียน,แปรรูปไม้ยางพารา อบไม้ และเครื่องเรือนจากไม้ยางพารา,ศ3-34(1)-8/34รย,100,บ้านบึง-แกลง,2,ระยอง,3,21110,,บริษัท โตเกียวพาราวู้ด 1986 จำกัด,4.4,-,บริษัท โตเกียวพาราวู้ด 1986 จำกัด,41,210000000000,3401,แกลง,2534
2280.5,การทำส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร,มาบข่า,ผลิตท่อเหล็กต่าง ๆ และโครงสร้างเหล็กต่าง ๆ,ส3-63(2)-1/26รย,91,ทางหลวงแผ่นดินหมายเลข 36,100,ระยอง,3,21180,7,บริษัท เอเซี่ยนสติล โปรดักส์ จำกัด,35.6,,บริษัท เอเซี่ยนสติล โปรดักส์ จำกัด,42,210000000000,6302,นิคมพัฒนา,2526
4638.43,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,กระแสบน,ผลิตเฟอร์นิเจอร์และชิ้นส่วนจากไม้ยางพารา,ศ3-37-1/39รย,1234,บ้านบึง-แกลง,11,ระยอง,3,21110,3,บริษัท เฟอร์นิรอยส์ จำกัด,227,,บริษัท เฟอร์นิรอยส์ จำกัด,43,210000000000,3700,แกลง,2539
701,โรงงานห้องเย็น,ปากน้ำ,ทำห้องเย็น,ศ3-92-1/34รย,18,อารีราษฎร์,241,ระยอง,3,21000,,ห้างหุ้นส่วนจำกัด จุมพลระยอง,15,อารีราษฎร์ 10,ห้องเย็นจุมพลระยอง,44,210000000000,9200,เมืองระยอง,2534
1518.17,การทำเคมีภัณฑ์ สารเคมี หรือวัสดุเคมี ที่มิใช่ (3),ศาลาแดง,ผลิตผลิตภัณฑ์เคมีสำหรับอุตสาหกรรมเยื่อกระดาษจากแป้งมันสำป,ส3-42(1)-1/27ฉช,80,สายมีนบุรี-ฉะเชิงเทรา,74,ฉะเชิงเทรา,3,24000,22,บริษัท พิราปสทาช จำกัด,3,,บริษัท พิราปสทาช จำกัด,45,240000000000,4201,บางน้ำเปรี้ยว,2527
188.7,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,คู้ยายหมี,ทำน้ำแข็งก้อนเล็ก ได้วันละ 11 ตัน และทำน้ำดื่ม,ศ3-14-1/35ฉช,3,สนามชัย-หนองคอก,570/1,ฉะเชิงเทรา,3,24160,4,ห้างหุ้นส่วนจำกัด เก๋าไซร์ ไอซ์,3.95,,ห้างหุ้นส่วนจำกัด เก๋าไซร์ ไอซ์,46,240000000000,1400,สนามชัยเขต,2535
1671.04,การถนอมสัตว์น้ำโดยวิธีอบ รมควัน ใส่เกลือ ดอง ตากแห้งหรือทำให้เยือกแข็งโดยฉับพลัน,คลองประเวศ,ทำกุ้งกุลาดำแช่แข็ง กุ้งชนิดอื่น ๆ แช่เย็น และห้องเย็น,ศ3-6(2)-1/38ฉช,381,-,58/5,ฉะเชิงเทรา,3,24140,1,บริษัท ห้องเย็นกู้ดฟอร์จูน จำกัด,82,-,บริษัท ห้องเย็นกู้ดฟอร์จูน จำกัด,47,240000000000,602,บ้านโพธิ์,2538
4013.66,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องจักรหรือผลิตภัณฑ์ที่ระบุไว้ในลำดับที่ 70 เฉพาะที่ใช้ไฟฟ้า,บางสมัคร,"ผลิตหม้อแปลงไฟฟ้าสำหรับเตาอบไมโครเวฟ,ชิ้นส่วนอิเล็คทรอนิคส์ และ POWER SUPPLY",ส3-71-2/31ฉช,840,บางนา-ตราด กม.ที่ 37-38,88,ฉะเชิงเทรา,3,24180,5,บริษัท ไทยไดมอนด์แอนด์ซีบร้า อีเล็คทริค จำกัด,302.001,,บริษัท ไทยไดมอนด์แอนด์ซีบร้า อีเล็คทริค จำกัด,48,240000000000,7100,บางปะกง,2531
705.8,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำ,ท่าข้าม,ผลิตเครื่องรับโทรศัพท์ และชิ้นส่วนของเครื่องรับโทรศัพท์,ส3-72-2/32ฉช,291,บางนา-ตราด กม.52-53,71/12,ฉะเชิงเทรา,3,24130,5,บริษัท แอลเอ็น ศรีไทย คอม จำกัด,69.7,,บริษัท แอลเอ็น ศรีไทย คอม จำกัด,49,240000000000,7200,บางปะกง,2532
724.39,การทำผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น,หมอนนาง,ทำเส้นหมี่,ศ3-10(3)-2/38ชบ,63,ทุ่งเหียง-หนองเสม็ด,1,ชลบุรี,3,20140,8,นางนิตยา ฤทธิเลิศ,9.5,,โรงงานเส้นหมี่พนัสทิพย์,50,200000000000,1003,พนัสนิคม,2538
1652.75,การทำฝอยไม้ การบด ป่น หรือย่อยไม้,พลูตาหลวง,ผลิตชิ้นไม้สับจากไม้โตเร์ว,ส3-34(4)-1/35ชบ,35,ฉะเชิงเทรา-สัตหีบ,121/47,ชลบุรี,3,20180,3,บริษัท สยามทรีดีเวลลอปเม้นต์ จำกัด,0,,บริษัท สยามทรีดีเวลลอปเม้นต์ จำกัด,51,200000000000,3404,สัตหีบ,2535
4616.81,การทำเครื่องสุขภัณฑ์เหล็กหรือโลหะเคลือบ เครื่องทองเหลืองสำหรับใช้ในการต่อท่อ ,ท่าบุญมี,ผลิตผลิตภัณฑ์จากโลหะทองเหลืองสำหรับใช้ในการต่อท่อและประกอบเครื่องสุขภัณฑ์,ส3-64(8)-1/34ชบ,1058,ชลประทาน,64,ชลบุรี,3,20240,4,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,300,,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,52,201000000000,6408,เกาะจันทร์,2534
7.71,การทำเครื่องปรุงกลิ่น รส หรือสีของอาหาร,ตะพง,ทำน้ำปลา,ศ3-13(2)-1/33รย,8,สุขุมวิท,147/5,ระยอง,3,21000,4,นายศักดิ์ชัย ตั้งทรงเจริญ,3.3,,ตั้งซ่งจั้ว,53,210000000000,1302,เมืองระยอง,2533
1290.88,การเลื่อย ไส ซอย เซาะร่อง หรือการแปรรูปไม้ด้วยวิธีอื่นที่คล้ายคลึงกัน,กระแสบน,แปรรูปไม้ยางพารา อบและอัดน้ำยาถนอมเนื้อไม้ยางพารา โดยใช้เครื่องจักรแปรรูปไม้ 480.32 แรงม้า และเครื่องจักรอุปกรณ์ 40 แรงม้า,ศ3-34(1)-2/36รย,40, ,199,ระยอง,3,21110,3,บริษัท สหกิจแกลง จำกัด,9.5, ,บริษัท สหกิจแกลง จำกัด,54,210000000000,3401,แกลง,2536
4408.2,การถนอมสัตว์น้ำโดยวิธีอบ รมควัน ใส่เกลือ ดอง ตากแห้งหรือทำให้เยือกแข็งโดยฉับพลัน,แกลง,ทำผลิตภัณฑ์อาหารทะเลแช่แข็ง,ศ3-6(2)-3/33รย,346,สุขุมวิท,151/3,ระยอง,3,21160,2,บริษัท ยี่หนินอาหารแช่แข็ง จำกัด,205.48,,บริษัท ยี่หนินอาหารแช่แข็ง จำกัด,55,210000000000,602,เมืองระยอง,2533
