วันที่หมดอายุ,_id,ลำดับ,เลขทะเบียน,วันที่อนุมัติ,ระดับ GI,ชื่อโรงงาน
2570-02-13T00:00:00,108,108,20200226325621,2567-02-14T00:00:00,2,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด
2567-08-08T00:00:00,109,109,20200400225456,2564-09-08T00:00:00,2,บริษัท เด็คส์เตอร์ อินดัสทรี จำกัด
2570-02-13T00:00:00,110,110,20200410425641,2567-02-14T00:00:00,2,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด
2570-05-03T00:00:00,111,111,20200700225446,2567-06-03T00:00:00,2,บริษัท นวกาญจน์โลหะชลบุรี จำกัด
2568-03-13T00:00:00,112,112,20200800125439,2565-03-14T00:00:00,2,บริษัท ซิงหวอไท่ จำกัด
2570-03-27T00:00:00,113,113,20201200125375,2567-03-28T00:00:00,2,บริษัท ผลิตภัณฑ์คอนกรีตชลบุรี จำกัด (มหาชน)
2567-11-16T00:00:00,114,114,10200001525603,2564-11-17T00:00:00,2,บริษัท พีเอส ฟู้ด โปรดิ๊วส์ จำกัด
2568-07-31T00:00:00,115,115,10200002025538,2565-01-08T00:00:00,2,บริษัท เอ็น พี เอ็ม อัลลิแอนซ์ คาสติ้ง จำกัด
2569-05-06T00:00:00,116,116,10200003625484,2566-06-06T00:00:00,2,บริษัท ตะวันออกรุ่งเรือง จำกัด
2570-01-29T00:00:00,117,117,10200031625571,2567-01-30T00:00:00,2,บริษัท ซีซีพี เพวิ่งสโตนส์ จำกัด
2570-01-21T00:00:00,118,118,10200100125495,2567-01-22T00:00:00,2,บริษัท เฟมไลน์ โปรดักส์ จำกัด
2570-01-24T00:00:00,119,119,10200101425498,2567-01-25T00:00:00,2,บริษัท บุญรอด รีไซเคิล จำกัด
2569-11-12T00:00:00,120,120,10200182425631,2566-12-12T00:00:00,2,บริษัท ไทยออยล์ ทูล แมชีนเนอรี่ เซอร์วิสเซส จำกัด
2568-04-28T00:00:00,121,121,10200200125312,2565-04-29T00:00:00,2,บริษัท วาโก้ศรีราชา จำกัด
2568-01-23T00:00:00,122,122,10200469825644,2565-01-24T00:00:00,2,บริษัท บี.เอ.ซีเทค จำกัด
2569-02-11T00:00:00,123,123,10200800125340,2566-03-11T00:00:00,2,บริษัท ทีทีเอ็น นันวูเว่น โซลูชั่น จำกัด
2569-09-05T00:00:00,124,124,10200900125349,2566-10-05T00:00:00,2,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด
2569-09-04T00:00:00,125,125,20200001525536,2566-10-04T00:00:00,2,บริษัท เอสพีเค บางกอก จำกัด
2569-07-25T00:00:00,126,126,20200001625518,2566-07-26T00:00:00,2,บริษัท เอสพีซี อินเตอร์พรินท์ จำกัด
2570-03-29T00:00:00,127,127,20200002125492,2567-03-30T00:00:00,2,บริษัท ซี เอส ยูนิเทล เทคโนโลยี จำกัด
2570-01-21T00:00:00,128,128,20200002825612,2567-01-22T00:00:00,2,บริษัท ปิติ แอสเซมบลี จำกัด
2570-04-23T00:00:00,129,129,20200003525583,2567-04-24T00:00:00,2,บริษัท โอเอ็มเอส ออยล์ฟิลด์ เซอร์วิสซิส (ประเทศไทย) จำกัด
2570-09-06T00:00:00,130,130,20200003925486,2567-10-06T00:00:00,2,บริษัท สคิพ (1999) เอ็นจิเนียริ่ง จำกัด
2569-07-12T00:00:00,131,131,20200003925585,2566-08-12T00:00:00,2,บริษัท ไทยออยล์ ทูล แมชีนเนอรี่ เซอร์วิสเซส จำกัด
2569-06-07T00:00:00,132,132,20200004425593,2566-07-07T00:00:00,2,บริษัท คิงส์ เอ็นเนอร์จี แอนด์ เวซท์ โซลูชั่น จำกัด
2569-12-07T00:00:00,133,133,20200005325545,2566-07-13T00:00:00,2,บริษัท แหลมฉบัง อิมเม็กซ์ จำกัด
2567-12-12T00:00:00,134,134,20200005725496,2564-12-13T00:00:00,2,บริษัท ฮอนชวน เอฟดี แพ็คเกจจิ้ง จำกัด
2567-11-16T00:00:00,135,135,20200008625594,2564-11-17T00:00:00,2,บริษัท ไทยรุ่งเรือง โฟม จำกัด
2567-11-16T00:00:00,136,136,20200010825505,2564-11-17T00:00:00,2,แพล้นท์คอนกรีตผสมเสร็จ (แพล้นท์หนองข้างคอก)
2570-01-16T00:00:00,137,137,20200013725660,2567-01-17T00:00:00,2,บริษัท โอทีอาร์ วีล เอ็นจิเนียริ่ง (ไทยแลนด์) จำกัด
2567-09-16T00:00:00,138,138,20200014725594,2564-09-17T00:00:00,2,บริษัท เอเซีย ผลิตภัณฑ์ซีเมนต์ จำกัด
2569-04-10T00:00:00,139,139,20200022425567,2566-05-10T00:00:00,2,โรงงานคอนกรีตผสมเสร็จนิคมเหมราช 2
2570-01-02T00:00:00,140,140,20200029225564,2567-02-02T00:00:00,2,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด
2569-05-12T00:00:00,141,141,20200100325416,2566-06-12T00:00:00,2,บริษัท ไทยออยล์ ทูล แมชีนเนอรี่ เซอร์วิสเซส จำกัด
2567-11-16T00:00:00,142,142,20200102625532,2564-11-17T00:00:00,2,บริษัท อีสเทิร์น พลาสแพ็ค จำกัด
2567-08-29T00:00:00,143,143,20200201325612,2564-08-30T00:00:00,2,บริษัท แวนเทค เอ็ม.เอฟ จำกัด
2570-08-02T00:00:00,144,144,20200202025534,2567-09-02T00:00:00,2,บริษัท วิริยะสหกล จำกัด
2570-02-22T00:00:00,145,145,20200245725645,2567-02-23T00:00:00,2,บริษัท เอ็มทีที (ไทยแลนด์) จำกัด
2567-11-16T00:00:00,146,146,20200247625629,2564-11-17T00:00:00,2,แพล้นท์บ่อวิน
2568-05-06T00:00:00,147,147,20200301725588,2565-06-06T00:00:00,2,บริษัท เจ.เอส.ที. เซอร์วิสเซส จำกัด
2569-11-29T00:00:00,148,148,20200356025645,2566-11-30T00:00:00,2,บริษัท ไทย นิสโชกุ จำกัด
2570-01-28T00:00:00,149,149,20200400225548,2567-01-29T00:00:00,2,บริษัท เจ แอนด์ เค โซลูชั่น เทค จำกัด
2570-02-13T00:00:00,150,150,20200475625648,2567-02-14T00:00:00,2,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด
2570-11-03T00:00:00,151,151,20200800125413,2567-12-03T00:00:00,2,บริษัท ผลิตภัณฑ์คอนกรีตชลบุรี จำกัด (มหาชน)
2568-06-02T00:00:00,152,152,20201700125446,2565-07-02T00:00:00,2,บริษัท วิชั่น กลาส แอนด์ ดอร์ อินดัสเทรียล จำกัด
