VALUE,ST_GRADUATE,SOURCE,_id,EDUCATION_LEVEL,UNIT,YEAR,LABOUR_STATUS
681894,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,32,ปริญญาตรีขึ้นไป (Bachelor or higher),คน,2558,ทำงานด้านอื่น
1508639,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,33,รวม (Total),คน,2558,ทำงานด้านอื่น
29200,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,34,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2558,ผู้ว่างงาน
26070,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,35,ปริญญาตรีขึ้นไป (Bachelor or higher),คน,2558,ผู้ว่างงาน
55270,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,36,รวม (Total),คน,2558,ผู้ว่างงาน
2128854,รวม,สำนักงานสถิติแห่งชาติ,37,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2559,รวม
1879929,รวม,สำนักงานสถิติแห่งชาติ,38,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2559,รวม
4008783,รวม,สำนักงานสถิติแห่งชาติ,39,รวม (Total),คน,2559,รวม
1241415,รวม,สำนักงานสถิติแห่งชาติ,40,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1165528,รวม,สำนักงานสถิติแห่งชาติ,41,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2406943,รวม,สำนักงานสถิติแห่งชาติ,42,รวม (Total),คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1006500,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,43,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
788874,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,44,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1795374,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,45,รวม (Total),คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
234915,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,46,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
376654,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,47,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
611569,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,48,รวม (Total),คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
854677,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,49,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2559,ทำงานด้านอื่น
686599,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,50,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2559,ทำงานด้านอื่น
1541276,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,51,รวม (Total),คน,2559,ทำงานด้านอื่น
32762,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,52,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2559,ผู้ว่างงาน
27802,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,53,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2559,ผู้ว่างงาน
60564,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,54,รวม (Total),คน,2559,ผู้ว่างงาน
2139794,รวม,สำนักงานสถิติแห่งชาติ,55,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2560,รวม
1952940,รวม,สำนักงานสถิติแห่งชาติ,56,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2560,รวม
4092734,รวม,สำนักงานสถิติแห่งชาติ,57,รวม (Total),คน,2560,รวม
1214188,รวม,สำนักงานสถิติแห่งชาติ,58,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1203393,รวม,สำนักงานสถิติแห่งชาติ,59,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2417581,รวม,สำนักงานสถิติแห่งชาติ,60,รวม (Total),คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
978992,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,61,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
809300,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,62,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1788292,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,63,รวม (Total),คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
235196,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,64,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
394093,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,65,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
629289,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,66,รวม (Total),คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
880549,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,67,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2560,ทำงานด้านอื่น
713898,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,68,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2560,ทำงานด้านอื่น
1594447,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,69,รวม (Total),คน,2560,ทำงานด้านอื่น
45057,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,70,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2560,ผู้ว่างงาน
35649,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,71,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2560,ผู้ว่างงาน
80706,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,72,รวม (Total),คน,2560,ผู้ว่างงาน
2171054,รวม,สำนักงานสถิติแห่งชาติ,73,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2561,รวม
1920343,รวม,สำนักงานสถิติแห่งชาติ,74,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2561,รวม
4091397,รวม,สำนักงานสถิติแห่งชาติ,75,รวม (Total),คน,2561,รวม
1267877,รวม,สำนักงานสถิติแห่งชาติ,76,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1192757,รวม,สำนักงานสถิติแห่งชาติ,77,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2460634,รวม,สำนักงานสถิติแห่งชาติ,78,รวม (Total),คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1030918,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,79,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
791334,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,80,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1822252,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,81,รวม (Total),คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
236959,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,82,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
401423,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,83,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
638382,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,84,รวม (Total),คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
866057,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,85,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2561,ทำงานด้านอื่น
693361,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,86,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2561,ทำงานด้านอื่น
1559418,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,87,รวม (Total),คน,2561,ทำงานด้านอื่น
37120,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,88,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2561,ผู้ว่างงาน
34225,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,89,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2561,ผู้ว่างงาน
71345,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,90,รวม (Total),คน,2561,ผู้ว่างงาน
2218989,รวม,สำนักงานสถิติแห่งชาติ,91,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2562,รวม
1896468,รวม,สำนักงานสถิติแห่งชาติ,92,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2562,รวม
4115457,รวม,สำนักงานสถิติแห่งชาติ,93,รวม (Total),คน,2562,รวม
1278315,รวม,สำนักงานสถิติแห่งชาติ,94,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1182232,รวม,สำนักงานสถิติแห่งชาติ,95,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2460547,รวม,สำนักงานสถิติแห่งชาติ,96,รวม (Total),คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1053338,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,97,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
797532,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,98,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1850870,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,99,รวม (Total),คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
224977,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,100,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
384700,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,101,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
609677,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,102,รวม (Total),คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
902170,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,103,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2562,ทำงานด้านอื่น
688011,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,104,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2562,ทำงานด้านอื่น
1590181,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,105,รวม (Total),คน,2562,ทำงานด้านอื่น
38504,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,106,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2562,ผู้ว่างงาน
26225,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,107,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2562,ผู้ว่างงาน
64729,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,108,รวม (Total),คน,2562,ผู้ว่างงาน
2349523,รวม,สำนักงานสถิติแห่งชาติ,109,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2563,รวม
2137576,รวม,สำนักงานสถิติแห่งชาติ,110,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2563,รวม
4487099,รวม,สำนักงานสถิติแห่งชาติ,111,รวม (Total),คน,2563,รวม
1353265,รวม,สำนักงานสถิติแห่งชาติ,112,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1299557,รวม,สำนักงานสถิติแห่งชาติ,113,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2652822,รวม,สำนักงานสถิติแห่งชาติ,114,รวม (Total),คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1126319,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,115,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
884997,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,116,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2011316,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,117,รวม (Total),คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
226946,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,118,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
414560,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,119,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
641506,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,120,รวม (Total),คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
943500,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,121,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2563,ทำงานด้านอื่น
782240,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,122,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2563,ทำงานด้านอื่น
1725740,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,123,รวม (Total),คน,2563,ทำงานด้านอื่น
52758,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,124,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2563,ผู้ว่างงาน
55779,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,125,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2563,ผู้ว่างงาน
108537,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,126,รวม (Total),คน,2563,ผู้ว่างงาน
2460138,รวม,สำนักงานสถิติแห่งชาติ,127,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2564,รวม
2179644,รวม,สำนักงานสถิติแห่งชาติ,128,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2564,รวม
4639782,รวม,สำนักงานสถิติแห่งชาติ,129,รวม (Total),คน,2564,รวม
1425551,รวม,สำนักงานสถิติแห่งชาติ,130,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1348494,รวม,สำนักงานสถิติแห่งชาติ,131,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2774045,รวม,สำนักงานสถิติแห่งชาติ,132,รวม (Total),คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1171546,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,133,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
896112,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,134,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2067658,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,135,รวม (Total),คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
254005,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,136,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
452382,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,137,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
706387,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,138,รวม (Total),คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
978145,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,139,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2564,ทำงานด้านอื่น
771690,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,140,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2564,ทำงานด้านอื่น
1749835,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,141,รวม (Total),คน,2564,ทำงานด้านอื่น
56442,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,142,ต่ำกว่าปริญญาตรี (Lower than bachelor),คน,2564,ผู้ว่างงาน
59460,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,143,ปริญญาตรีขึ้นไป (Bachelor and higher),คน,2564,ผู้ว่างงาน
