จำนวน,กลุ่มอายุ,_id,ปี,เพศ,รายการ,จังหวัด,ประเภทแรงงาน,หน่วย
4945.3337,20 - 24,18,2558,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6662.1626,20 - 24,19,2559,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6182.4114,20 - 24,20,2560,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5690.8976,20 - 24,21,2561,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8340.2891,20 - 24,22,2562,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6740.835,20 - 24,23,2563,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5309.5315,20 - 24,24,2564,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6562.8713,20 - 24,25,2565,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4312.902,20 - 24,26,2566,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4593,20 - 24,27,2567,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
3735.9847,20 - 24,28,2568,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
10162.5987,25 - 29,29,2555,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7798.0872,25 - 29,30,2556,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8939.67360000001,25 - 29,31,2557,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7565.5789,25 - 29,32,2558,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
9506.671,25 - 29,33,2559,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8298.332,25 - 29,34,2560,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
11103.3627,25 - 29,35,2561,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
10592.4768,25 - 29,36,2562,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
9566.9934,25 - 29,37,2563,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8408.9515,25 - 29,38,2564,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7580.4177,25 - 29,39,2565,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8697.6967,25 - 29,40,2566,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7624,25 - 29,41,2567,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7404.1514,25 - 29,42,2568,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7108.1619,30 - 34,43,2555,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
10082.6297,30 - 34,44,2556,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8974.4764,30 - 34,45,2557,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7044.3078,30 - 34,46,2558,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8016.2546,30 - 34,47,2559,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7273.8583,30 - 34,48,2560,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7346.0506,30 - 34,49,2561,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5835.5866,30 - 34,50,2562,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6986.9139,30 - 34,51,2563,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6540.3361,30 - 34,52,2564,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6298.5677,30 - 34,53,2565,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7129.9349,30 - 34,54,2566,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5958,30 - 34,55,2567,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4417.608499999999,30 - 34,56,2568,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6503.1828,35 - 39,57,2555,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5284.5045,35 - 39,58,2556,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5751.3156,35 - 39,59,2557,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6317.9742,35 - 39,60,2558,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4051.3777,35 - 39,61,2559,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5363.5414,35 - 39,62,2560,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5259.5239,35 - 39,63,2561,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4560.6454,35 - 39,64,2562,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4237.6211,35 - 39,65,2563,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4907.9265,35 - 39,66,2564,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4405.0117,35 - 39,67,2565,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4408.3368,35 - 39,68,2566,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4279,35 - 39,69,2567,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5187.5763,35 - 39,70,2568,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4647.6915,40 - 44,71,2555,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4257.8603,40 - 44,72,2556,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5416.773,40 - 44,73,2557,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4535.7316,40 - 44,74,2558,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6717.2012,40 - 44,75,2559,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4473.2811,40 - 44,76,2560,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
3822.3096,40 - 44,77,2561,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5121.6361,40 - 44,78,2562,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5946.7078,40 - 44,79,2563,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6273.6901,40 - 44,80,2564,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5698.6882,40 - 44,81,2565,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
3876.9934,40 - 44,82,2566,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
3590,40 - 44,83,2567,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4510.4369,40 - 44,84,2568,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5633.0251,45 - 49,85,2555,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5844.1845,45 - 49,86,2556,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2377.3547,45 - 49,87,2557,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2376.8746,45 - 49,88,2558,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4005.0932,45 - 49,89,2559,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4178.9429,45 - 49,90,2560,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4195.0869,45 - 49,91,2561,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5445.8501,45 - 49,92,2562,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
3924.6252,45 - 49,93,2563,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
3367.6708,45 - 49,94,2564,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
3674.1579,45 - 49,95,2565,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2835.6772,45 - 49,96,2566,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4529,45 - 49,97,2567,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2678.4243999999994,45 - 49,98,2568,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4060.0431,50 - 54,99,2555,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2133.469,50 - 54,100,2556,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
3015.6926,50 - 54,101,2557,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2464.0052,50 - 54,102,2558,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4387.5896,50 - 54,103,2559,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
3571.4476,50 - 54,104,2560,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2527.1512,50 - 54,105,2561,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2606.8219,50 - 54,106,2562,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
3776.9407,50 - 54,107,2563,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2462.4479,50 - 54,108,2564,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5182.2619,50 - 54,109,2565,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5027.9178,50 - 54,110,2566,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4823,50 - 54,111,2567,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
1880.6626,50 - 54,112,2568,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2628.5553,55 - 59,113,2555,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2864.8898,55 - 59,114,2556,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2835.0239,55 - 59,115,2557,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2800.41,55 - 59,116,2558,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2716.1935,55 - 59,117,2559,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
3051.8761,55 - 59,118,2560,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
3552.1149,55 - 59,119,2561,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
3951.6961,55 - 59,120,2562,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
3912.0332,55 - 59,121,2563,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2916.3379,55 - 59,122,2564,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
3399.7429,55 - 59,123,2565,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2672.4554,55 - 59,124,2566,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2071,55 - 59,125,2567,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
3607.0984000000008,55 - 59,126,2568,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
1343.8897,60 ขึ้นไป,127,2555,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
1080.6634,60 ขึ้นไป,128,2556,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
1477.3531,60 ขึ้นไป,129,2557,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
1734.1004,60 ขึ้นไป,130,2558,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
1287.6046,60 ขึ้นไป,131,2559,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
1000.4862,60 ขึ้นไป,132,2560,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
1134.3454,60 ขึ้นไป,133,2561,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2733.3352,60 ขึ้นไป,134,2562,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
1920.2943,60 ขึ้นไป,135,2563,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
1779.3231,60 ขึ้นไป,136,2564,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2216.5653,60 ขึ้นไป,137,2565,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2402.7609,60 ขึ้นไป,138,2566,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2074,60 ขึ้นไป,139,2567,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
1173.1032999999998,60 ขึ้นไป,140,2568,ชาย,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
815.3549,15 - 19,141,2555,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
462.6106,15 - 19,142,2556,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
2308.6001,15 - 19,143,2557,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
1070.4018,15 - 19,144,2558,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
780.6366,15 - 19,145,2559,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
840.9694,15 - 19,146,2560,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
993.5535,15 - 19,147,2561,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
388.1541,15 - 19,148,2562,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
0,15 - 19,149,2563,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
0,15 - 19,150,2564,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
716.0666,15 - 19,151,2565,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
0,15 - 19,152,2566,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
182,15 - 19,153,2567,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
1301.1064000000001,15 - 19,154,2568,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7174.3661,20 - 24,155,2555,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8335.1267,20 - 24,156,2556,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7287.1337,20 - 24,157,2557,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
10237.3122,20 - 24,158,2558,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6735.5949,20 - 24,159,2559,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7859.4459,20 - 24,160,2560,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7603.4603,20 - 24,161,2561,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
9236.6014,20 - 24,162,2562,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7930.8232,20 - 24,163,2563,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4918.6349,20 - 24,164,2564,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6351.2334,20 - 24,165,2565,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8074.1175,20 - 24,166,2566,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4664,20 - 24,167,2567,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8112.110200000001,20 - 24,168,2568,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8879.4397,25 - 29,169,2555,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
9343.5363,25 - 29,170,2556,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
10533.6626,25 - 29,171,2557,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
10611.6588,25 - 29,172,2558,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
11323.7491,25 - 29,173,2559,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
10421.0595,25 - 29,174,2560,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
12297.1427,25 - 29,175,2561,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
11822.098,25 - 29,176,2562,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
10557.1023,25 - 29,177,2563,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
11705.2495,25 - 29,178,2564,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8846.6047,25 - 29,179,2565,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8875.9051,25 - 29,180,2566,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8490,25 - 29,181,2567,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
9161.324700000001,25 - 29,182,2568,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
10296.4171,30 - 34,183,2555,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
9357.3315,30 - 34,184,2556,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
9957.7088,30 - 34,185,2557,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7526.4776,30 - 34,186,2558,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7872.0459,30 - 34,187,2559,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7437.7765,30 - 34,188,2560,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7598.7247,30 - 34,189,2561,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8589.8157,30 - 34,190,2562,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7089.241,30 - 34,191,2563,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8129.0765,30 - 34,192,2564,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7951.272,30 - 34,193,2565,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7984.3232,30 - 34,194,2566,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6525,30 - 34,195,2567,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6502.7632,30 - 34,196,2568,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8579.1214,35 - 39,197,2555,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
9190.87240000001,35 - 39,198,2556,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
8250.0413,35 - 39,199,2557,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7498.2899,35 - 39,200,2558,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6147.1214,35 - 39,201,2559,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6684.2169,35 - 39,202,2560,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5009.2875,35 - 39,203,2561,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5437.285,35 - 39,204,2562,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6207.4336,35 - 39,205,2563,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5349.4388,35 - 39,206,2564,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5486.4994,35 - 39,207,2565,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5362.5969,35 - 39,208,2566,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5739,35 - 39,209,2567,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6297.545799999997,35 - 39,210,2568,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6139.1444,40 - 44,211,2555,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5118.1753,40 - 44,212,2556,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6518.3437,40 - 44,213,2557,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6351.9107,40 - 44,214,2558,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6391.6654,40 - 44,215,2559,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4909.5275,40 - 44,216,2560,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4490.4421,40 - 44,217,2561,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5242.3569,40 - 44,218,2562,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5379.9914,40 - 44,219,2563,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7541.9241,40 - 44,220,2564,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6421.0452,40 - 44,221,2565,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7045.5346,40 - 44,222,2566,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6140,40 - 44,223,2567,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4253.035099999999,40 - 44,224,2568,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4923.7794,45 - 49,225,2555,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4666.7697,45 - 49,226,2556,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
6166.0739,45 - 49,227,2557,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
7383.8138,45 - 49,228,2558,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4716.4285,45 - 49,229,2559,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4423.0202,45 - 49,230,2560,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4838.5978,45 - 49,231,2561,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
4881.3913,45 - 49,232,2562,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5132.8125,45 - 49,233,2563,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
3494.4323,45 - 49,234,2564,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
5681.2624,45 - 49,235,2565,หญิง,จำนวนผู้มีงานทำ,ลำพูน,แรงงานในระบบ,คน
