ค่าข้อมูล,ที่มา,_id,ปี,ประเภท/ชนิดโรงงาน,รายการ,จังหวัด,หน่วย
961,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,17,2566,การผลิต ประกอบ หรือซ่อมแซมตาข่าย แห หรืออวน และรวมถึงชิ้นส่วนอุปกรณ์ของผลิตภัณฑ์,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
356,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,18,2566,การทำแผ่นเส้นใยที่แช่หรือฉาบผิวหน้าด้วยวัสดุซึ่งมิใช่ยาง,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
1407,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,19,2566,การทำวัสดุจากเส้นใยสำหรับใช้ทำเบาะ นวม หรือสิ่งที่คล้ายคลึงกัน,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
369,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,20,2566,การตัดหรือเย็บเครื่องนุ่งห่ม เข็มขัด ผ้าเช็ดหน้า ผ้าพันคอ เนกไท หูกระต่าย ปลอกแขน ถุงมือ,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
149,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,21,2566,การเลื่อย ไส ซอย เซาะร่อง หรือการแปรรูปไม้ด้วยวิธีอื่นที่คล้ายคลึงกัน,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
2031,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,22,2566,การทำวงกบ ขอบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้ขอ,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
1736,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,23,2566,การทำฝอยไม้ การบด ป่น หรือย่อยไม้,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
265,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,24,2566,การเผาถ่านจากไม้,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
170,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,25,2566,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
131,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,26,2566,การพิมพ์ การทำแฟ้มเก็บเอกสาร การเย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
19030,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,27,2566,การผลิตวัตถุที่รับรองไว้ในตำรายาที่รัฐมนตรีว่าการกระทรวงสาธารณสุขประกาศ,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
6177,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,28,2566,การผสมผลิตภัณฑ์จากปิโตรเลียมเข้าด้วยกัน หรือการผสมผลิตภัณฑ์จากปิโตรเลียมกับวัสดุอื่น แต่ไม่รวมถึงการผสมผลิตภัณฑ์จากก๊าซธรรมชาติกับวัสดุอื่น,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
861,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,29,2566,การทำภาชนะบรรจุ เช่น ถุง หรือกระสอบ,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
479,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,30,2566,การทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชั้น ผง หรือรูปทรงต่าง ๆ,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
80,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,31,2566,การล้าง บด หรือย่อยพลาสติก,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
82,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,32,2566,โรงงานผลิตแก้ว เส้นใยแก้ว หรือผลิตภัณฑ์แก้ว,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
791,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,33,2566,โรงงานผลิตอิฐ กระเบื้องหรือท่อสำหรับใช้ในการก่อสร้างเบ้าหลอมโลหะ กระเบื้องประดับ,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
8431,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,34,2566,การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิปซัม หรือผลิตภัณฑ์ปูนปลาสเตอ,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
269,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,35,2566,การถลุง ผสม ทำให้บริสุทธิ์ หล่อ หลอม รีด ดึง หรือผลิตโลหะในขั้นต้นซึ่งมิใช่เหล็ก,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
268,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,36,2566,การทำส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
173,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,37,2566,การทำผลิตภัณฑ์ด้วยวิธีปั๊มหรือกระแทก,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
50,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,38,2566,การอัดเศษโลหะ,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
278,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,39,2566,การตัด พับ หรือม้วนโลหะ,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
165,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,40,2566,การกลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
190,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,41,2566,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องจักรสำหรับใช้ในการกสิกรรมหรือการเลี้ยงสัตว์,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
311,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,42,2566,โรงงานผลิต ประกอบหรือดัดแปลง เครื่องมือหรือเครื่องใช้ไฟฟ้าที่ไม่ได้ระบุไว้ในลำดับใด และส่วนประกอบ,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
416,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,43,2566,การสร้าง ประกอบ ดัดแปลง หรือเปลี่ยนแปลงสภาพรถยนต์หรือรถพ่วง,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
304,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,44,2566,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
96,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,45,2566,การสร้าง ประกอบ ดัดแปลง หรือเปลี่ยนแปลงสภาพจักรยานยนต์ จักรยานสามล้อ หรือจักรยาน,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
8404,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,46,2566,การผลิตพลังงานไฟฟ้าจากพลังงานแสงอาทิตย์ ยกเว้นที่ติดตั้งบนหลังคา ดาดฟ้า,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
1828,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,47,2566,การผลิตพลังงานไฟฟ้าจากพลังงานความร้อน,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
309,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,48,2566,โรงงานผลิตก๊าซ ซึ่งมิใช่ก๊าซธรรมชาติ และโรงงานส่งหรือจำหน่ายก๊าซ แต่ไม่รวมถึงโรงงานส่งหรือจำหน่ายก๊าซที่เป็นน้ำมันเชื้อเพลิงตามกฎหมายว่าด้วยการควบคุมน้ำม้นเชื้อเพลิง,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
508,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,49,2566,โรงงานห้องเย็น,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
1680,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,50,2566,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
72,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,51,2566,การพ่นสีกันสนิมยานที่ขับเคลื่อนด้วยเครื่องยนต์,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
1942,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,52,2566,โรงงานซักรีด ซักแห้ง ซักฟอก รีด อัด หรือย้อมผ้า หรือนุ่งห่ม พรม หรือขนสัตว์,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
323,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,53,2566,โรงงานปรับคุณภาพของเสียรวม (Central Waste Treatment Plant),เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
738,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,54,2566,การทำเกลือสินเธาว์,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
394,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,55,2566,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
257,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,56,2566,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,เครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
