ที่มา,ชนิดของพืชผัก,_id,ปี,ข้อมูล,รายการข้อมูล,หน่วย
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะเขือเทศบริโภคสด,86,2565, 671.00 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแดง,87,2565," 1,450.60 ",เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแบ่ง (ต้นหอม),88,2565, 205.00 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักบุ้งไทย,89,2565, 650.00 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะระไทย,90,2565, 14.60 ,เนื้อที่เพาะปลูก,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กระเทียมหัว,91,2565, 56.00 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำดอก,92,2565, 310.00 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กะหล่ำปลี,93,2565, 985.00 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดรับประทานฝักสด,94,2565, 201.00 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ข้าวโพดหวาน,95,2565," 2,206.50 ",เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,คะน้า,96,2565, 289.30 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,แตงกวา/แตงร้าน,97,2565," 1,105.65 ",เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ถั่วฝักยาว,98,2565, 956.00 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,บวบ,99,2565, 968.50 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดขาวปลี,100,2565, 16.55 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดเขียวปลี,101,2565, 40.00 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักกาดหอม,102,2565," 17,355.00 ",เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,พริกใหญ่,103,2565, 822.75 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะเขือเทศบริโภคสด,104,2565, 668.00 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแดง,105,2565," 1,392.50 ",เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,หอมแบ่ง (ต้นหอม),106,2565, 201.00 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,ผักบุ้งไทย,107,2565, 639.75 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,มะระไทย,108,2565, 9.46 ,เนื้อที่เก็บเกี่ยว ,ไร่
สำนักงานเกษตรจังหวัดอุบลราชธานี,กระเทียมหัว,109,2565, 45.65 ,ผลผลิต,ตัน
