วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
2569-04-27T00:00:00,136,GI(E) 3-681,บริษัท มอเรสโก้ (ไทยแลนด์) จำกัด,136,2566-04-28T00:00:00,ชลบุรี
2569-04-27T00:00:00,137,GI(E) 3-685,บริษัท ไมเดีย รีฟริจเจอเรชั่น อีควิปเมนท์ (ไทยแลนด์) จำกัด,137,2566-04-28T00:00:00,ชลบุรี
2569-02-05T00:00:00,138,GI(E) 3-687,บริษัท รชต รุ่งเรือง รีไซเคิล แอนด์ คอนสตรัคชั่น จำกัด,138,2566-03-05T00:00:00,ชลบุรี
2569-09-05T00:00:00,139,GI(E) 3-730,บริษัท แมคคีย์ ฟู้ด เซอร์วิสเซส (ประเทศไทย) จำกัด,139,2566-10-05T00:00:00,ชลบุรี
2569-11-05T00:00:00,140,GI(E) 3-738,บริษัท โมริตะ เซอิซาคุโข (ไทยแลนด์) จำกัด,140,2566-12-05T00:00:00,ชลบุรี
2569-05-21T00:00:00,141,GI(E) 3-757,บริษัท เอเซีย เวสต์ แมนเน็จเม้นท์ จำกัด,141,2566-05-22T00:00:00,ชลบุรี
2569-05-21T00:00:00,142,GI(E) 3-759,บริษัท นิสโช พรีซิชั่น (ไทยแลนด์) จำกัด,142,2566-05-22T00:00:00,ชลบุรี
2569-05-24T00:00:00,143,GI(E) 3-760,บริษัท ไทย ซัน เซมิทสึ คะโค แล็บ. จำกัด,143,2566-05-25T00:00:00,ชลบุรี
2569-05-25T00:00:00,144,GI(E) 3-765,บริษัท ฟาบริ-เทค คอมโพเนนซ์ (ประเทศไทย) จำกัด,144,2566-05-26T00:00:00,ชลบุรี
2569-05-25T00:00:00,145,GI(E) 3-767,บริษัท นิสโช พรีซิชั่น (ไทยแลนด์) จำกัด,145,2566-05-26T00:00:00,ชลบุรี
2569-05-28T00:00:00,146,GI(E) 3-781,บริษัท โซลาร์ พีพีเอ็ม จำกัด,146,2566-05-29T00:00:00,ชลบุรี
2569-05-31T00:00:00,147,GI(E) 3-790,บริษัท ไดอะ โมเดิร์น เอ็นจิเนียริ่ง (ประเทศไทย) จำกัด,147,2566-01-06T00:00:00,ชลบุรี
2569-05-31T00:00:00,148,GI(E) 3-791,บริษัท บางกอกเมทัลเครท จำกัด,148,2566-01-06T00:00:00,ชลบุรี
2569-05-06T00:00:00,149,GI(E) 3-799,บริษัท สยามคาลโซนิค จำกัด,149,2566-06-06T00:00:00,ชลบุรี
2569-06-06T00:00:00,150,GI(E) 3-801,บริษัท อีเคเค อีเกิล (ไทยแลนด์) จำกัด,150,2566-07-06T00:00:00,ชลบุรี
2569-11-06T00:00:00,151,GI(E) 3-806,บริษัท เคียวเด็น (ประเทศไทย) จำกัด,151,2566-12-06T00:00:00,ชลบุรี
2569-12-06T00:00:00,152,GI(E) 3-821,บริษัท อาร์เอ็มเอ ออโตโมทีฟ จำกัด,152,2566-06-13T00:00:00,ชลบุรี
2569-06-13T00:00:00,153,GI(E) 3-828,บริษัท ไทย อิเคดะ คากินูมา จำกัด,153,2566-06-14T00:00:00,ชลบุรี
2569-06-14T00:00:00,154,GI(E) 3-838,บริษัท ไทยคิวบิค เทคโนโลยี จำกัด,154,2566-06-15T00:00:00,ชลบุรี
2569-06-20T00:00:00,155,GI(E) 3-870,บริษัท ซูมิโช เมทัล (ประเทศไทย) จำกัด,155,2566-06-21T00:00:00,ชลบุรี
2569-06-21T00:00:00,156,GI(E) 3-874,บริษัท สยามมิชลิน จำกัด,156,2566-06-22T00:00:00,ชลบุรี
2569-06-22T00:00:00,157,GI(E) 3-881,บริษัท ไทย-นิฮอน ซีลส์ จำกัด,157,2566-06-23T00:00:00,ชลบุรี
2569-06-22T00:00:00,158,GI(E) 3-887,บริษัท ไทยสเปเชี่ยลแก๊ส จำกัด,158,2566-06-23T00:00:00,ชลบุรี
2569-06-22T00:00:00,159,GI(E) 3-888,บริษัท ไทยผลิตภัณฑ์ยิบซั่ม จำกัด (มหาชน),159,2566-06-23T00:00:00,ชลบุรี
2569-06-25T00:00:00,160,GI(E) 3-889,บริษัท สแตนบี เอเชีย จำกัด,160,2566-06-26T00:00:00,ชลบุรี
2569-06-26T00:00:00,161,GI(E) 3-895,บริษัท เอะซาคิ อินดัสเตรียล (ไทยแลนด์) จำกัด,161,2566-06-27T00:00:00,ชลบุรี
2569-06-27T00:00:00,162,GI(E) 3-898,บริษัท ดองกุก สตีล (ประเทศไทย) จำกัด,162,2566-06-28T00:00:00,ชลบุรี
2569-06-28T00:00:00,163,GI(E) 3-908,บริษัท อนโดะ ชินโช (ไทยแลนด์) จำกัด,163,2566-06-29T00:00:00,ชลบุรี
2569-06-29T00:00:00,164,GI(E) 3-915,บริษัท ซัมมิท แอนเซ่ ออโตพาร์ท จำกัด,164,2566-06-30T00:00:00,ชลบุรี
2569-06-29T00:00:00,165,GI(E) 3-916,บริษัท โคบายาชิ วอชเชอร์ เวิร์คส (ไทยแลนด์) จำกัด,165,2566-06-30T00:00:00,ชลบุรี
2569-04-07T00:00:00,166,GI(E) 3-923,บริษัท อาซาฮี เทค อลูมิเนียม (ประเทศไทย) จำกัด,166,2566-05-07T00:00:00,ชลบุรี
2569-06-07T00:00:00,167,GI(E) 3-934,บริษัท พอล แอนด์ โค (ประเทศไทย) จำกัด,167,2566-07-07T00:00:00,ชลบุรี
