จำนวน,ชั่วโมงการทำงาน,_id,ปี,ไตรมาส,หน่วยวัด
"11,272",30-34 ชั่วโมง,109,2566,2,คน
"22,011",35-39 ชั่วโมง,110,2566,2,คน
"68,802",40-49 ชั่วโมง,111,2566,2,คน
"63,688",50 ชั่วโมงขึ้นไป,112,2566,2,คน
803,0 ชั่วโมง,113,2566,3,คน
0,1-9 ชั่วโมง,114,2566,3,คน
"1,821",10-19 ชั่วโมง,115,2566,3,คน
"4,734",20-29 ชั่วโมง,116,2566,3,คน
"21,889",30-34 ชั่วโมง,117,2566,3,คน
"17,337",35-39 ชั่วโมง,118,2566,3,คน
"90,574",40-49 ชั่วโมง,119,2566,3,คน
"39,405",50 ชั่วโมงขึ้นไป,120,2566,3,คน
"3,461",0 ชั่วโมง,121,2566,4,คน
124,1-9 ชั่วโมง,122,2566,4,คน
"1,291",10-19 ชั่วโมง,123,2566,4,คน
"5,913",20-29 ชั่วโมง,124,2566,4,คน
"11,515",30-34 ชั่วโมง,125,2566,4,คน
"22,365",35-39 ชั่วโมง,126,2566,4,คน
"84,776",40-49 ชั่วโมง,127,2566,4,คน
"41,507",50 ชั่วโมงขึ้นไป,128,2566,4,คน
"6,008",0 ชั่วโมง,129,2567,1,คน
0,1-9 ชั่วโมง,130,2567,1,คน
603,10-19 ชั่วโมง,131,2567,1,คน
"9,015",20-29 ชั่วโมง,132,2567,1,คน
"13,078",30-34 ชั่วโมง,133,2567,1,คน
"25,249",35-39 ชั่วโมง,134,2567,1,คน
"80,590",40-49 ชั่วโมง,135,2567,1,คน
"47,644",50 ชั่วโมงขึ้นไป,136,2567,1,คน
"4,336",0 ชั่วโมง,137,2567,2,คน
0,1-9 ชั่วโมง,138,2567,2,คน
614,10-19 ชั่วโมง,139,2567,2,คน
"7,334",20-29 ชั่วโมง,140,2567,2,คน
"9,585",30-34 ชั่วโมง,141,2567,2,คน
"25,393",35-39 ชั่วโมง,142,2567,2,คน
"83,361",40-49 ชั่วโมง,143,2567,2,คน
"46,590",50 ชั่วโมงขึ้นไป,144,2567,2,คน
725,0 ชั่วโมง,145,2567,3,คน
0,1-9 ชั่วโมง,146,2567,3,คน
584,10-19 ชั่วโมง,147,2567,3,คน
"6,483",20-29 ชั่วโมง,148,2567,3,คน
"15,359",30-34 ชั่วโมง,149,2567,3,คน
"22,477",35-39 ชั่วโมง,150,2567,3,คน
"85,817",40-49 ชั่วโมง,151,2567,3,คน
"47,225",50 ชั่วโมงขึ้นไป,152,2567,3,คน
