_id,หน่วยผลผลิตเฉลี่ย,ปี,ผลผลิตรวม,หน่วยผลผลิต,มูลค่า,ราคาเฉลี่ย,หน่วยมูลค่า,หน่วยราคาเฉลี่ย,จังหวัด,ชนิดพืช,ผลผลิตเฉลี่ย
23,กิโลกรัม/ไร่/ปี/รอบ,2566," 201,210,716 ",กิโลกรัม," 2,611,715,093.68 ", 12.98 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,มะพร้าวน้ำหอม," 4,460.00 "
24,กิโลกรัม/ไร่/ปี/รอบ,2566," 1,526,780 ",กิโลกรัม," 19,848,140.00 ", 13.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,มะพร้าวแก่," 1,111.00 "
25,กิโลกรัม/ไร่/ปี/รอบ,2566," 15,398,598 ",กิโลกรัม," 446,559,342.00 ", 29.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,มะม่วง," 2,158.00 "
26,กิโลกรัม/ไร่/ปี/รอบ,2566," 21,227,551 ",กิโลกรัม," 1,073,477,254.07 ", 50.57 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,มะนาว," 3,108.00 "
27,กิโลกรัม/ไร่/ปี/รอบ,2566," 41,403,343 ",กิโลกรัม," 994,508,298.86 ", 24.02 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ฝรั่ง," 5,391.00 "
28,กิโลกรัม/ไร่/ปี/รอบ,2566," 5,487,400 ",กิโลกรัม," 274,370,000.00 ", 50.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ลำไย," 1,440.00 "
29,กิโลกรัม/ไร่/ปี/รอบ,2566," 1,473,200 ",กิโลกรัม," 50,206,656.00 ", 34.08 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ชมพู่," 2,081.00 "
30,กิโลกรัม/ไร่/ปี/รอบ,2566," 3,462,227 ",กิโลกรัม," 36,907,339.82 ", 10.66 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,กล้วยน้ำว้า," 2,189.00 "
31,กิโลกรัม/ไร่/ปี/รอบ,2566," 363,000 ",กิโลกรัม," 26,854,740.00 ", 73.98 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,มะขามเทศ, 600.00 
32,กิโลกรัม/ไร่/ปี/รอบ,2566," 783,500 ",กิโลกรัม," 19,587,500.00 ", 25.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,แก้วมังกร," 1,981.00 "
33,กิโลกรัม/ไร่/ปี/รอบ,2566," 384,725 ",กิโลกรัม," 8,860,216.75 ", 23.03 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,พุทรา," 2,286.00 "
34,กิโลกรัม/ไร่/ปี/รอบ,2566," 1,287,000 ",กิโลกรัม," 77,220,000.00 ", 60.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,องุ่น," 2,200.00 "
35,กิโลกรัม/ไร่/ปี/รอบ,2566," 6,253,582 ",กิโลกรัม," 287,664,772.00 ", 46.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,กล้วยไม้ ," 2,074.00 "
36,กิโลกรัม/ไร่/ปี/รอบ,2566," 8,901,250 ",กิโลกรัม," 108,417,225.00 ", 12.18 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,พืชผัก ," 5,902.00 "
37,กิโลกรัม/ไร่/ปี/รอบ,2566," 1,753,960 ",กิโลกรัม," 202,968,251.20 ", 115.72 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,สมุนไพร," 3,263.00 "
38,กิโลกรัม/ไร่/ปี/รอบ,2566," 728,225 ",กิโลกรัม," 104,358,000.00 ", 68.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ไม้ดอกอื่นๆ, 863.00 
39,กิโลกรัม/ไร่/ปี/รอบ,2566," 839,000 ",กิโลกรัม," 358,305,000.00 ", 26.12 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ไม้ประดับ," 1,262.00 "
40,กิโลกรัม/ไร่/ปี/รอบ,2566," 301,360,000 ",กิโลกรัม," 241,088,000.00 ", 0.80 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,นาเกลือ," 16,000.00 "
41,กิโลกรัม/ไร่/ปี/รอบ,2567," 1,695,878.75 ",กิโลกรัม," 15,822,548.74 ", 9.33 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ข้าวนาปรัง 65/66, 704.27 
42,กิโลกรัม/ไร่/ปี/รอบ,2567," 2,402,575.25 ",กิโลกรัม," 20,013,451.83 ", 8.33 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ข้าวนาปี 66/67, 708.44 
43,กิโลกรัม/ไร่/ปี/รอบ,2567," 141,592,800.00 ",กิโลกรัม," 2,571,325,248.00 ", 18.16 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,มะพร้าวน้ำหอม," 2,605.14 "
44,กิโลกรัม/ไร่/ปี/รอบ,2567," 1,304,820.34 ",กิโลกรัม," 19,572,305.10 ", 15.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,มะพร้าวแก่," 1,114.77 "
45,กิโลกรัม/ไร่/ปี/รอบ,2567," 15,446,905.00 ",กิโลกรัม," 423,399,666.05 ", 27.41 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,มะม่วง," 2,172.88 "
46,กิโลกรัม/ไร่/ปี/รอบ,2567," 20,032,781.00 ",กิโลกรัม," 996,831,182.56 ", 49.76 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,มะนาว," 3,104.65 "
47,กิโลกรัม/ไร่/ปี/รอบ,2567," 41,443,765.50 ",กิโลกรัม," 1,070,078,025.21 ", 25.82 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ฝรั่ง," 5,384.67 "
48,กิโลกรัม/ไร่/ปี/รอบ,2567," 5,928,350.00 ",กิโลกรัม," 296,417,500.00 ", 50.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ลำไย," 1,439.71 "
49,กิโลกรัม/ไร่/ปี/รอบ,2567," 1,461,500.00 ",กิโลกรัม," 52,526,310.00 ", 35.94 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ชมพู่," 2,080.79 "
50,กิโลกรัม/ไร่/ปี/รอบ,2567," 3,374,827.00 ",กิโลกรัม," 36,043,152.36 ", 10.68 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,กล้วยน้ำว้า," 2,189.22 "
51,กิโลกรัม/ไร่/ปี/รอบ,2567," 362,400.00 ",กิโลกรัม," 28,992,000.00 ", 80.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,มะขามเทศ, 600.00 
52,กิโลกรัม/ไร่/ปี/รอบ,2567," 774,000.00 ",กิโลกรัม," 19,350,000.00 ", 25.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,แก้วมังกร," 2,000.00 "
53,กิโลกรัม/ไร่/ปี/รอบ,2567," 379,525.00 ",กิโลกรัม," 10,046,026.75 ", 26.47 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,พุทรา," 2,292.65 "
54,กิโลกรัม/ไร่/ปี/รอบ,2567," 1,236,950.00 ",กิโลกรัม," 86,586,500.00 ", 70.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,องุ่น," 2,200.00 "
55,กิโลกรัม/ไร่/ปี/รอบ,2567," 6,534,877.00 ",กิโลกรัม," 326,743,850.00 ", 50.00 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,กล้วยไม้ ," 2,073.25 "
56,กิโลกรัม/ไร่/ปี/รอบ,2567," 15,657,225.00 ",กิโลกรัม," 388,925,469.00 ", 24.84 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,พืชผัก ," 13,692.37 "
57,กิโลกรัม/ไร่/ปี/รอบ,2567," 346,662.00 ",กิโลกรัม," 17,173,635.48 ", 49.54 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,สมุนไพร, 679.42 
58,กิโลกรัม/ไร่/ปี/รอบ,2567," 1,695,200.00 ",กิโลกรัม," 84,692,192.00 ", 49.96 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ไม้ดอกอื่นๆ," 2,106.62 "
59,กิโลกรัม/ไร่/ปี/รอบ,2567," 1,284.78 ",กิโลกรัม," 112,649.07 ", 87.68 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,ไม้ประดับ," 1,310.33 "
60,กิโลกรัม/ไร่/ปี/รอบ,2567," 225,720,000.00 ",กิโลกรัม," 180,576,000.00 ", 0.80 ,บาท/ปี,บาท/กิโลกรัม,สมุทรสาคร,นาเกลือ," 12,000.00 "
