VALUE,QUARTER,AREA,SOURCE,_id,REG,UNIT,YEAR,EDUCATIONAL
69.65,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,112,ภาคกลาง,พันคน,2567,ไม่ทราบ
254.94,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,113,ภาคกลาง,พันคน,2567,ไม่มีการศึกษา
117.24,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,114,ภาคกลาง,พันคน,2567,การศึกษาอื่นๆ
1039.1,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,115,ภาคกลาง,พันคน,2567,ต่ำกว่าประถมศึกษา
1486.1,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,116,ภาคกลาง,พันคน,2567,ประถมศึกษา
1702.61,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,117,ภาคกลาง,พันคน,2567,มัธยมศึกษาตอนต้น
2.58,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,118,ภาคกลาง,พันคน,2567,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
1471.96,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,119,ภาคกลาง,พันคน,2567,มัธยมศึกษาตอนปลาย สายสามัญ
492.17,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,120,ภาคกลาง,พันคน,2567,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
1454.72,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,121,ภาคกลาง,พันคน,2567,อุดมศึกษา สายวิชาการ
171.7,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,122,ภาคกลาง,พันคน,2567,อุดมศึกษา สายวิชาการศึกษา
542.26,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,123,ภาคกลาง,พันคน,2567,อุดมศึกษา สายวิชาชีพ
180.83,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,124,ภาคกลาง,พันคน,2567,ไม่ทราบ
240.19,ไตรมาส 1,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,125,ภาคกลาง,พันคน,2567,ไม่มีการศึกษา
2773.55,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,126,ภาคตะวันออกเฉียงเหนือ,พันคน,2567,ต่ำกว่าประถมศึกษา
2675.24,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,127,ภาคตะวันออกเฉียงเหนือ,พันคน,2567,ประถมศึกษา
2109.93,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,128,ภาคตะวันออกเฉียงเหนือ,พันคน,2567,มัธยมศึกษาตอนต้น
