_id,รถจดทะเบียนสะสม,ประเภทรถ,ปี,ที่มา,หน่วย,จังหวัด
17,10,รถโดยสารไม่ประจำทาง,2564,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
18,1565,รถโดยสารส่วนบุคคล,2564,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
19,242,รถบรรทุกไม่ประจำทาง,2564,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
20,22512,รถบรรทุกส่วนบุคคล,2564,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
21,12458,รถขนาดเล็ก,2564,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
22,40399,รวมยอด,2565,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
23,1699,รถโดยสารประจำทาง,2565,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
24,10,รถโดยสารไม่ประจำทาง,2565,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
25,1533,รถโดยสารส่วนบุคคล,2565,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
26,242,รถบรรทุกไม่ประจำทาง,2565,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
27,24509,รถบรรทุกส่วนบุคคล,2565,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
28,12406,รถขนาดเล็ก,2565,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
29,42084,รวมยอด,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
30,1627,รถโดยสารประจำทาง,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
31,1453,รถโดยสารไม่ประจำทาง,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
32,244,รถโดยสารส่วนบุคคล,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
33,26369,รถบรรทุกไม่ประจำทาง,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
34,12381,รถบรรทุกส่วนบุคคล,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
35,10,รถขนาดเล็ก,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
36,43139,รวมยอด,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
37,1561,รถโดยสารประจำทาง,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
38,1462,รถโดยสารไม่ประจำทาง,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
39,241,รถโดยสารส่วนบุคคล,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
40,27649,รถบรรทุกไม่ประจำทาง,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
41,12216,รถบรรทุกส่วนบุคคล,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
42,10,รถขนาดเล็ก,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
43,44494,รวมยอด,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
44,1518,รถโดยสารประจำทาง,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
45,1453,รถโดยสารไม่ประจำทาง,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
46,240,รถโดยสารส่วนบุคคล,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
47,41273,รถบรรทุกไม่ประจำทาง,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
48,12070,รถบรรทุกส่วนบุคคล,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
49,10,รถขนาดเล็ก,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,คัน,สมุทรปราการ
