จำนวน,_id,ปี,จำแนก,ราบการข้อมูล,หน่วย
46.0,40,2567,ทำงานส่วนตัว,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
28.2,41,2567,ช่วยธุรกิจครัวเรือน,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
0.1,42,2567,การรวมกลุ่ม,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
1.1,43,2567,นายจ้าง,สถานภาพการทำงาน ไตรมาส 4,ร้อยละ
10.0,44,2567,ลูกจ้างรัฐบาล,สถานภาพการทำงาน ไตรมาส 4,ร้อยละ
15.6,45,2567,ลูกจ้างเอกชน,สถานภาพการทำงาน ไตรมาส 4,ร้อยละ
48.7,46,2567,ทำงานส่วนตัว,สถานภาพการทำงาน ไตรมาส 4,ร้อยละ
24.6,47,2567,ช่วยธุรกิจครัวเรือน,สถานภาพการทำงาน ไตรมาส 4,ร้อยละ
0.0,48,2567,การรวมกลุ่ม,สถานภาพการทำงาน ไตรมาส 4,ร้อยละ
1.6,49,2568,นายจ้าง,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
11.3,50,2568,ลูกจ้างรัฐบาล,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
23.9,51,2568,ลูกจ้างเอกชน,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
44.1,52,2568,ทำงานส่วนตัว,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
18.9,53,2568,ช่วยธุรกิจครัวเรือน,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
0.2,54,2568,การรวมกลุ่ม,สถานภาพการทำงาน ไตรมาส 1,ร้อยละ
1.0,55,2568,นายจ้าง,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
10.4,56,2568,ลูกจ้างรัฐบาล,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
19.3,57,2568,ลูกจ้างเอกชน,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
45.4,58,2568,ทำงานส่วนตัว,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
23.6,59,2568,ช่วยธุรกิจครัวเรือน,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
0.3,60,2568,การรวมกลุ่ม,สถานภาพการทำงาน ไตรมาส 2,ร้อยละ
0.6,61,2568,นายจ้าง,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
9.2,62,2568,ลูกจ้างรัฐบาล,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
17.4,63,2568,ลูกจ้างเอกชน,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
47.6,64,2568,ทำงานส่วนตัว,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
25.2,65,2568,ช่วยธุรกิจครัวเรือน,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
0.0,66,2568,การรวมกลุ่ม,สถานภาพการทำงาน ไตรมาส 3,ร้อยละ
