﻿year,sex,quarter,_id,area,value,unit,source
2562,ชาย,ไตรมาส 3,20,ในเขตเทศบาล,7.76,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,หญิง,ไตรมาส 3,21,นอกเขตเทศบาล,19.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,รวม,ไตรมาส 4,22,รวม,15.33,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,ชาย,ไตรมาส 4,23,ในเขตเทศบาล,8.11,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,หญิง,ไตรมาส 4,24,นอกเขตเทศบาล,21.43,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,รวม,ไตรมาส 1,25,รวม,23.73,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,ชาย,ไตรมาส 1,26,ในเขตเทศบาล,18.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,หญิง,ไตรมาส 1,27,นอกเขตเทศบาล,28.09,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,รวม,ไตรมาส 2,28,รวม,27.36,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,ชาย,ไตรมาส 2,29,ในเขตเทศบาล,22.27,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,หญิง,ไตรมาส 2,30,นอกเขตเทศบาล,31.63,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,รวม,ไตรมาส 3,31,รวม,19.83,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,ชาย,ไตรมาส 3,32,ในเขตเทศบาล,13.25,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,หญิง,ไตรมาส 3,33,นอกเขตเทศบาล,25.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,รวม,ไตรมาส 4,34,รวม,16.54,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,ชาย,ไตรมาส 4,35,ในเขตเทศบาล,9.72,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,หญิง,ไตรมาส 4,36,นอกเขตเทศบาล,22.22,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,รวม,ไตรมาส 1,37,รวม,25.59,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,ชาย,ไตรมาส 1,38,ในเขตเทศบาล,20.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,หญิง,ไตรมาส 1,39,นอกเขตเทศบาล,29.86,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,รวม,ไตรมาส 2,40,รวม,19.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,ชาย,ไตรมาส 2,41,ในเขตเทศบาล,12.19,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,หญิง,ไตรมาส 2,42,นอกเขตเทศบาล,25.08,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,รวม,ไตรมาส 3,43,รวม,22.36,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,ชาย,ไตรมาส 3,44,ในเขตเทศบาล,15.57,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,หญิง,ไตรมาส 3,45,นอกเขตเทศบาล,27.96,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,รวม,ไตรมาส 4,46,รวม,18.34,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,ชาย,ไตรมาส 4,47,ในเขตเทศบาล,10.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,หญิง,ไตรมาส 4,48,นอกเขตเทศบาล,24.63,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,รวม,ไตรมาส 1,49,รวม,22.92,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,ชาย,ไตรมาส 1,50,ในเขตเทศบาล,17.16,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,หญิง,ไตรมาส 1,51,นอกเขตเทศบาล,27.91,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,รวม,ไตรมาส 2,52,รวม,17.11,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,ชาย,ไตรมาส 2,53,ในเขตเทศบาล,11.01,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,หญิง,ไตรมาส 2,54,นอกเขตเทศบาล,22.35,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,รวม,ไตรมาส 3,55,รวม,15.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,ชาย,ไตรมาส 3,56,ในเขตเทศบาล,8.46,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,หญิง,ไตรมาส 3,57,นอกเขตเทศบาล,21.11,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,รวม,ไตรมาส 4,58,รวม,15.87,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,ชาย,ไตรมาส 4,59,ในเขตเทศบาล,8.99,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,หญิง,ไตรมาส 4,60,นอกเขตเทศบาล,21.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,รวม,ไตรมาส 1,61,รวม,22.07,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,ชาย,ไตรมาส 1,62,ในเขตเทศบาล,17.15,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,หญิง,ไตรมาส 1,63,นอกเขตเทศบาล,26.36,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,รวม,ไตรมาส 2,64,รวม,16.21,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,ชาย,ไตรมาส 2,65,ในเขตเทศบาล,10.34,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,หญิง,ไตรมาส 2,66,นอกเขตเทศบาล,21.34,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,รวม,ไตรมาส 3,67,รวม,17.63,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,ชาย,ไตรมาส 3,68,ในเขตเทศบาล,12.32,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,หญิง,ไตรมาส 3,69,นอกเขตเทศบาล,22.18,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,รวม,ไตรมาส 4,70,รวม,16.41,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,ชาย,ไตรมาส 4,71,ในเขตเทศบาล,9.31,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,หญิง,ไตรมาส 4,72,นอกเขตเทศบาล,22.52,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 1,73,รวม,23.67,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,ชาย,ไตรมาส 1,74,1) เขตเทศบาล,19.14,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,หญิง,ไตรมาส 1,75,2) นอกเขตเทศบาล,27.69,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,76,รวม,15.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,ชาย,ไตรมาส 2,77,1) ในเขตเทศบาล,10.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,หญิง,ไตรมาส 2,78,2) นอกเขตเทศบาล,20.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 3,79,รวม,14.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,ชาย,ไตรมาส 3,80,1) ในเขตเทศบาล,8.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,หญิง,ไตรมาส 3,81,2) นอกเขตเทศบาล,20.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 4,82,รวม,15.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,ชาย,ไตรมาส 4,83,1) ในเขตเทศบาล,9.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,หญิง,ไตรมาส 4,84,2) นอกเขตเทศบาล,21.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,รวม,ไตรมาส 1,85,รวม,22.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,ชาย,ไตรมาส 1,86,1) ในเขตเทศบาล,19.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,หญิง,ไตรมาส 1,87,2) นอกเขตเทศบาล,25.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,รวม,ไตรมาส 2,88,รวม,16.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,ชาย,ไตรมาส 2,89,1) ในเขตเทศบาล,10.08,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,หญิง,ไตรมาส 2,90,2) นอกเขตเทศบาล,21.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,รวม,ไตรมาส 3,91,รวม,14.82,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,ชาย,ไตรมาส 3,92,1) ในเขตเทศบาล,8.33,ร้อยละ,สำนักงานสถิติแห่งชาติ
2568,หญิง,ไตรมาส 3,93,2) นอกเขตเทศบาล,20.43,ร้อยละ,สำนักงานสถิติแห่งชาติ
