จำนวน,_id,ปี,การศึกษา,ประเภทแรงงาน
29390,98,2562,ต่ำกว่าประถมศึกษา,แรงงานในระบบ
166314,99,2562,ประถมศึกษา,แรงงานในระบบ
246891,100,2562,มัธยมศึกษาตอนต้น,แรงงานในระบบ
255616,101,2562,มัธยมศึกษาตอนปลาย,แรงงานในระบบ
270708,102,2562,อุดมศึกษา,แรงงานในระบบ
0,103,2562,อื่นๆ,แรงงานในระบบ
72479,104,2562,ไม่ทราบ,แรงงานในระบบ
1477,105,2562,ไม่มีการศึกษา,แรงงานนอกระบบ
20805,106,2562,ต่ำกว่าประถมศึกษา,แรงงานนอกระบบ
83460,107,2562,ประถมศึกษา,แรงงานนอกระบบ
75846,108,2562,มัธยมศึกษาตอนต้น,แรงงานนอกระบบ
41327,109,2562,มัธยมศึกษาตอนปลาย,แรงงานนอกระบบ
53358,110,2562,อุดมศึกษา,แรงงานนอกระบบ
0,111,2562,อื่นๆ,แรงงานนอกระบบ
3449,112,2562,ไม่ทราบ,แรงงานนอกระบบ
40847,113,2561,ไม่มีการศึกษา,แรงงานในระบบ
44673,114,2561,ต่ำกว่าประถมศึกษา,แรงงานในระบบ
161808,115,2561,ประถมศึกษา,แรงงานในระบบ
266489,116,2561,มัธยมศึกษาตอนต้น,แรงงานในระบบ
245191,117,2561,มัธยมศึกษาตอนปลาย,แรงงานในระบบ
257570,118,2561,อุดมศึกษา,แรงงานในระบบ
0,119,2561,อื่นๆ,แรงงานในระบบ
58062,120,2561,ไม่ทราบ,แรงงานในระบบ
3255,121,2561,ไม่มีการศึกษา,แรงงานนอกระบบ
49573,122,2561,ต่ำกว่าประถมศึกษา,แรงงานนอกระบบ
64515,123,2561,ประถมศึกษา,แรงงานนอกระบบ
54837,124,2561,มัธยมศึกษาตอนต้น,แรงงานนอกระบบ
46043,125,2561,มัธยมศึกษาตอนปลาย,แรงงานนอกระบบ
38410,126,2561,อุดมศึกษา,แรงงานนอกระบบ
0,127,2561,อื่นๆ,แรงงานนอกระบบ
875,128,2561,ไม่ทราบ,แรงงานนอกระบบ
