industry,_id,year,value,unit,source
ไม่ทราบ,44,2557,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
เกษตรกรรม การป่าไม้ และการประมง,45,2558,32.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การทำเหมืองแร่ และเหมืองหิน,46,2558,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การผลิต,47,2558,17.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,48,2558,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,49,2558,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การก่อสร้าง,50,2558,6.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขายส่ง และการขายปลีก การซ่อมยานยนต์,51,2558,16.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขนส่ง และสถานที่เก็บสินค้า,52,2558,2.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
ที่พักแรมและบริการด้านอาหาร,53,2558,6.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
ข้อมูลข่าวสารและการสื่อสาร,54,2558,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางการเงินและการประกันภัย,55,2558,1.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมอสังหาริมทรัพย์,56,2558,0.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,57,2558,1.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการบริหารและการบริการสนับสนุน,58,2558,1.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
การบริหารราชการ การป้องกันประเทศ การประกันสังคม,59,2558,4.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การศึกษา,60,2558,3.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,61,2558,1.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
ศิลปะ ความบันเทิง และนันทนาการ,62,2558,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมบริการด้านอื่น ๆ,63,2558,2.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,64,2558,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมขององค์การระหว่างประเทศ,65,2558,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไม่ทราบ,66,2558,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
เกษตรกรรม การป่าไม้ และการประมง,67,2559,31.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การทำเหมืองแร่ และเหมืองหิน,68,2559,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การผลิต,69,2559,16.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,70,2559,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,71,2559,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การก่อสร้าง,72,2559,6.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขายส่ง และการขายปลีก การซ่อมยานยนต์,73,2559,17.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขนส่ง และสถานที่เก็บสินค้า,74,2559,2.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
ที่พักแรมและบริการด้านอาหาร,75,2559,7.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
ข้อมูลข่าวสารและการสื่อสาร,76,2559,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางการเงินและการประกันภัย,77,2559,1.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมอสังหาริมทรัพย์,78,2559,0.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,79,2559,0.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการบริหารและการบริการสนับสนุน,80,2559,1.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
การบริหารราชการ การป้องกันประเทศ การประกันสังคม,81,2559,4.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การศึกษา,82,2559,3.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,83,2559,1.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
ศิลปะ ความบันเทิง และนันทนาการ,84,2559,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมบริการด้านอื่น ๆ,85,2559,2.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,86,2559,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมขององค์การระหว่างประเทศ,87,2559,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไม่ทราบ,88,2559,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
เกษตรกรรม การป่าไม้ และการประมง,89,2560,31.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
การทำเหมืองแร่ และเหมืองหิน,90,2560,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การผลิต,91,2560,16.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,92,2560,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,93,2560,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การก่อสร้าง,94,2560,5.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขายส่ง และการขายปลีก การซ่อมยานยนต์,95,2560,17.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขนส่ง และสถานที่เก็บสินค้า,96,2560,3.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
ที่พักแรมและบริการด้านอาหาร,97,2560,7.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
ข้อมูลข่าวสารและการสื่อสาร,98,2560,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางการเงินและการประกันภัย,99,2560,1.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมอสังหาริมทรัพย์,100,2560,0.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,101,2560,1.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการบริหารและการบริการสนับสนุน,102,2560,1.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
การบริหารราชการ การป้องกันประเทศ การประกันสังคม,103,2560,4.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การศึกษา,104,2560,3.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,105,2560,1.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
ศิลปะ ความบันเทิง และนันทนาการ,106,2560,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมบริการด้านอื่น ๆ,107,2560,2.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,108,2560,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมขององค์การระหว่างประเทศ,109,2560,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไม่ทราบ,110,2560,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
เกษตรกรรม การป่าไม้ และการประมง,111,2561,32.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
การทำเหมืองแร่ และเหมืองหิน,112,2561,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การผลิต,113,2561,16.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,114,2561,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,115,2561,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การก่อสร้าง,116,2561,5.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขายส่ง และการขายปลีก การซ่อมยานยนต์,117,2561,16.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขนส่ง และสถานที่เก็บสินค้า,118,2561,3.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
ที่พักแรมและบริการด้านอาหาร,119,2561,7.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
ข้อมูลข่าวสารและการสื่อสาร,120,2561,0.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางการเงินและการประกันภัย,121,2561,1.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมอสังหาริมทรัพย์,122,2561,0.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,123,2561,1.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการบริหารและการบริการสนับสนุน,124,2561,1.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
การบริหารราชการ การป้องกันประเทศ การประกันสังคม,125,2561,4.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การศึกษา,126,2561,3.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,127,2561,1.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
ศิลปะ ความบันเทิง และนันทนาการ,128,2561,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมบริการด้านอื่น ๆ,129,2561,2.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,130,2561,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมขององค์การระหว่างประเทศ,131,2561,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไม่ทราบ,132,2561,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
เกษตรกรรม การป่าไม้ และการประมง,133,2562,31.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
การทำเหมืองแร่ และเหมืองหิน,134,2562,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การผลิต,135,2562,16.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,136,2562,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,137,2562,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การก่อสร้าง,138,2562,5.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขายส่ง และการขายปลีก การซ่อมยานยนต์,139,2562,16.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขนส่ง และสถานที่เก็บสินค้า,140,2562,3.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
ที่พักแรมและบริการด้านอาหาร,141,2562,7.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
ข้อมูลข่าวสารและการสื่อสาร,142,2562,0.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางการเงินและการประกันภัย,143,2562,1.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมอสังหาริมทรัพย์,144,2562,0.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,145,2562,1.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการบริหารและการบริการสนับสนุน,146,2562,1.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
การบริหารราชการ การป้องกันประเทศ การประกันสังคม,147,2562,4.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การศึกษา,148,2562,3.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,149,2562,1.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
ศิลปะ ความบันเทิง และนันทนาการ,150,2562,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมบริการด้านอื่น ๆ,151,2562,2.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,152,2562,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมขององค์การระหว่างประเทศ,153,2562,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไม่ทราบ,154,2562,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
เกษตรกรรม การป่าไม้ และการประมง,155,2563,31.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
การทำเหมืองแร่ และเหมืองหิน,156,2563,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การผลิต,157,2563,15.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,158,2563,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,159,2563,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การก่อสร้าง,160,2563,5.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขายส่ง และการขายปลีก การซ่อมยานยนต์,161,2563,16.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขนส่ง และสถานที่เก็บสินค้า,162,2563,3.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
ที่พักแรมและบริการด้านอาหาร,163,2563,7.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
ข้อมูลข่าวสารและการสื่อสาร,164,2563,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางการเงินและการประกันภัย,165,2563,1.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมอสังหาริมทรัพย์,166,2563,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,167,2563,1.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการบริหารและการบริการสนับสนุน,168,2563,1.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
การบริหารราชการ การป้องกันประเทศ การประกันสังคม,169,2563,4.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
การศึกษา,170,2563,3.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,171,2563,1.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
ศิลปะ ความบันเทิง และนันทนาการ,172,2563,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมบริการด้านอื่น ๆ,173,2563,2.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,174,2563,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมขององค์การระหว่างประเทศ,175,2563,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไม่ทราบ,176,2563,0.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
เกษตรกรรม การป่าไม้ และการประมง,177,2564,31.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
การทำเหมืองแร่ และเหมืองหิน,178,2564,0.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
การผลิต,179,2564,15.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,180,2564,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,181,2564,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การก่อสร้าง,182,2564,5.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขายส่ง และการขายปลีก การซ่อมยานยนต์,183,2564,16.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขนส่ง และสถานที่เก็บสินค้า,184,2564,3.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
ที่พักแรมและบริการด้านอาหาร,185,2564,7.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
ข้อมูลข่าวสารและการสื่อสาร,186,2564,0.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางการเงินและการประกันภัย,187,2564,1.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมอสังหาริมทรัพย์,188,2564,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,189,2564,1.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการบริหารและการบริการสนับสนุน,190,2564,1.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
การบริหารราชการ การป้องกันประเทศ การประกันสังคม,191,2564,4.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
การศึกษา,192,2564,3.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,193,2564,2.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
ศิลปะ ความบันเทิง และนันทนาการ,194,2564,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมบริการด้านอื่น ๆ,195,2564,2.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,196,2564,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมขององค์การระหว่างประเทศ,197,2564,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไม่ทราบ,198,2564,0.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
เกษตรกรรม การป่าไม้ และการประมง,199,2565,30.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
การทำเหมืองแร่ และเหมืองหิน,200,2565,0.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
การผลิต,201,2565,16.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,202,2565,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,203,2565,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การก่อสร้าง,204,2565,5.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขายส่ง และการขายปลีก การซ่อมยานยนต์,205,2565,17.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การขนส่ง และสถานที่เก็บสินค้า,206,2565,3.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
ที่พักแรมและบริการด้านอาหาร,207,2565,7.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
ข้อมูลข่าวสารและการสื่อสาร,208,2565,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางการเงินและการประกันภัย,209,2565,1.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมอสังหาริมทรัพย์,210,2565,1.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,211,2565,1.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการบริหารและการบริการสนับสนุน,212,2565,1.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
การบริหารราชการ การป้องกันประเทศ การประกันสังคม,213,2565,4.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
การศึกษา,214,2565,2.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,215,2565,2.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
ศิลปะ ความบันเทิง และนันทนาการ,216,2565,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมบริการด้านอื่น ๆ,217,2565,2.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,218,2565,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
กิจกรรมขององค์การระหว่างประเทศ,219,2565,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไม่ทราบ,220,2565,0.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
เกษตรกรรม การป่าไม้ และการประมง,221,2566,30.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การทำเหมืองแร่ และเหมืองหิน,222,2566,0.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
การผลิต,223,2566,15.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,224,2566,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,225,2566,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
การก่อสร้าง,226,2566,5.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
