ค่าข้อมูล,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
,40,2565,ทุ่งเขาหลวง,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,41,2566,เมืองร้อยเอ็ด,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"7,298.64",42,2566,เกษตรวิสัย,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
0,43,2566,ปทุมรัตต์,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
279.99,44,2566,จตุรพักตรพิมาน,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"1,268.00",45,2566,ธวัชบุรี,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,46,2566,พนมไพร,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"54,579.55",47,2566,โพนทอง,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"120,760.00",48,2566,โพธิ์ชัย,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"300,080.00",49,2566,หนองพอก,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
0,50,2566,เสลภูมิ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,51,2566,สุวรรณภูมิ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,52,2566,เมืองสรวง,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,53,2566,โพนทราย,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,54,2566,อาจสามารถ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"29,952.00",55,2566,เมยวดี,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,56,2566,ศรีสมเด็จ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,57,2566,จังหาร,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,58,2566,เชียงขวัญ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,59,2566,หนองฮี,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,60,2566,ทุ่งเขาหลวง,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,61,2567,เมืองร้อยเอ็ด,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"9,504.26",62,2567,เกษตรวิสัย,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
963.75,63,2567,ปทุมรัตต์,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"2,700.00",64,2567,จตุรพักตรพิมาน,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"1,466.00",65,2567,ธวัชบุรี,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
,66,2567,พนมไพร,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"111,871.40",67,2567,โพนทอง,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"98,100.00",68,2567,โพธิ์ชัย,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
"300,080.00",69,2567,หนองพอก,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
0,70,2567,เสลภูมิ,ผลผลิตอ้อยโรงงาน,ร้อยเอ็ด,ตัน
