จำนวน,ประเภท,ที่มา,_id,ปี,หน่วยนับ,ชนิด,รายการข้อมูล,จังหวัด
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,11,2560,คัน,รย.11 รถยนต์บริการให้เช่า,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
48918,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,12,2560,คัน,รย.12 รถจักรยานยนต์,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
3289,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,13,2560,คัน,รย.13 รถแทรกเตอร์,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
13,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,14,2560,คัน,รย.14 รถบดถนน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
361,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,15,2560,คัน,รย.15 รถใช้งานเกษตรกรรม,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
71,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,16,2560,คัน,รย.16 รถพ่วง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
10,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,17,2560,คัน,รย.17 รถจักรยานยนต์สาธารณะ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
88,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,18,2560,คัน,ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
276,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,19,2560,คัน,ไม่ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
23,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,20,2560,คัน,ส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
368,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,21,2560,คัน,ไม่ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
1876,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,22,2560,คัน,ส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,23,2560,คัน,รถขนาดเล็ก,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
18146,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,24,2561,คัน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
223,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,25,2561,คัน,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
8162,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,26,2561,คัน,รย. 3 รถยนต์บรรทุกส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,27,2561,คัน,รย. 4 รถยนต์สามล้อส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,28,2561,คัน,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
37,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,29,2561,คัน,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,30,2561,คัน,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
23,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,31,2561,คัน,รย. 8 รถยนต์รับจ้างสามล้อ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,32,2561,คัน,รย. 9 รถยนต์บริการธุรกิจ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,33,2561,คัน,รย.10 รถยนต์บริการทัศนาจร,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,34,2561,คัน,รย.11 รถยนต์บริการให้เช่า,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
49789,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,35,2561,คัน,รย.12 รถจักรยานยนต์,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
4312,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,36,2561,คัน,รย.13 รถแทรกเตอร์,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
15,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,37,2561,คัน,รย.14 รถบดถนน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
76,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,38,2561,คัน,รย.15 รถใช้งานเกษตรกรรม,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
46,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,39,2561,คัน,รย.16 รถพ่วง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
3,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,40,2561,คัน,รย.17 รถจักรยานยนต์สาธารณะ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
46,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,41,2561,คัน,ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
234,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,42,2561,คัน,ไม่ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
23,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,43,2561,คัน,ส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
549,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,44,2561,คัน,ไม่ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
2002,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,45,2561,คัน,ส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,46,2561,คัน,รถขนาดเล็ก,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
18361,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,47,2562,คัน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
222,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,48,2562,คัน,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
8260,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,49,2562,คัน,รย. 3 รถยนต์บรรทุกส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
2,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,50,2562,คัน,รย. 4 รถยนต์สามล้อส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,51,2562,คัน,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
4,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,52,2562,คัน,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,53,2562,คัน,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
9,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,54,2562,คัน,รย. 8 รถยนต์รับจ้างสามล้อ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,55,2562,คัน,รย. 9 รถยนต์บริการธุรกิจ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,56,2562,คัน,รย.10 รถยนต์บริการทัศนาจร,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,57,2562,คัน,รย.11 รถยนต์บริการให้เช่า,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
47570,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,58,2562,คัน,รย.12 รถจักรยานยนต์,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
3895,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,59,2562,คัน,รย.13 รถแทรกเตอร์,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
12,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,60,2562,คัน,รย.14 รถบดถนน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
52,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,61,2562,คัน,รย.15 รถใช้งานเกษตรกรรม,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
40,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,62,2562,คัน,รย.16 รถพ่วง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
3,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,63,2562,คัน,รย.17 รถจักรยานยนต์สาธารณะ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
63,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,64,2562,คัน,ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
189,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,65,2562,คัน,ไม่ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
13,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,66,2562,คัน,ส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
483,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,67,2562,คัน,ไม่ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
1707,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,68,2562,คัน,ส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,69,2562,คัน,รถขนาดเล็ก,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
14147,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,70,2563,คัน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
457,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,71,2563,คัน,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
6603,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,72,2563,คัน,รย. 3 รถยนต์บรรทุกส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
3,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,73,2563,คัน,รย. 4 รถยนต์สามล้อส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,74,2563,คัน,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
1,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,75,2563,คัน,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,76,2563,คัน,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
8,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,77,2563,คัน,รย. 8 รถยนต์รับจ้างสามล้อ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,78,2563,คัน,รย. 9 รถยนต์บริการธุรกิจ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,79,2563,คัน,รย.10 รถยนต์บริการทัศนาจร,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,80,2563,คัน,รย.11 รถยนต์บริการให้เช่า,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
40460,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,81,2563,คัน,รย.12 รถจักรยานยนต์,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
3480,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,82,2563,คัน,รย.13 รถแทรกเตอร์,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
23,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,83,2563,คัน,รย.14 รถบดถนน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
22,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,84,2563,คัน,รย.15 รถใช้งานเกษตรกรรม,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
47,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,85,2563,คัน,รย.16 รถพ่วง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
2,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,86,2563,คัน,รย.17 รถจักรยานยนต์สาธารณะ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
37,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,87,2563,คัน,ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
78,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,88,2563,คัน,ไม่ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
13,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,89,2563,คัน,ส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
444,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,90,2563,คัน,ไม่ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
1466,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,91,2563,คัน,ส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,92,2563,คัน,รถขนาดเล็ก,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
14511,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,93,2564,คัน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
299,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,94,2564,คัน,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
7104,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,95,2564,คัน,รย. 3 รถยนต์บรรทุกส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,96,2564,คัน,รย. 4 รถยนต์สามล้อส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,97,2564,คัน,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,98,2564,คัน,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,99,2564,คัน,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
1,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,100,2564,คัน,รย. 8 รถยนต์รับจ้างสามล้อ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,101,2564,คัน,รย. 9 รถยนต์บริการธุรกิจ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,102,2564,คัน,รย.10 รถยนต์บริการทัศนาจร,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,103,2564,คัน,รย.11 รถยนต์บริการให้เช่า,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
45542,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,104,2564,คัน,รย.12 รถจักรยานยนต์,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
4530,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,105,2564,คัน,รย.13 รถแทรกเตอร์,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
28,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,106,2564,คัน,รย.14 รถบดถนน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
433,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,107,2564,คัน,รย.15 รถใช้งานเกษตรกรรม,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
38,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,108,2564,คัน,รย.16 รถพ่วง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,109,2564,คัน,รย.17 รถจักรยานยนต์สาธารณะ,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
22,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,110,2564,คัน,ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
97,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,111,2564,คัน,ไม่ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
5,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,112,2564,คัน,ส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
484,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,113,2564,คัน,ไม่ประจำทาง,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
1952,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,114,2564,คัน,ส่วนบุคคล,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
,รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก   ,สำนักงานขนส่งจังหวัดนครราชสีมา ,115,2564,คัน,รถขนาดเล็ก,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
15433,รวมรถตามกฎหมายว่าด้วยรถยนต์  ,สำนักงานขนส่งจังหวัดนครราชสีมา ,116,2565,คัน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,จำนวนรถจดทะเบียนใหม่,นครราชสีมา
