จำนวน,_id,ปี,สถานภาพการทำงาน,เพศ,จังหวัด,ประเภทแรงงาน,หน่วย
16825,83,2561,ลูกจ้างรัฐบาล,ชาย,แพร่,แรงงานในระบบ,คน
19519,84,2561,ลูกจ้างเอกชน,ชาย,แพร่,แรงงานในระบบ,คน
94,85,2561,นายจ้าง,หญิง,แพร่,แรงงานในระบบ,คน
1718,86,2561,ประกอบธุรกิจส่วนตัว,หญิง,แพร่,แรงงานในระบบ,คน
1074,87,2561,ช่วยธุรกิจครัวเรือน,หญิง,แพร่,แรงงานในระบบ,คน
15059,88,2561,ลูกจ้างรัฐบาล,หญิง,แพร่,แรงงานในระบบ,คน
23264,89,2561,ลูกจ้างเอกชน,หญิง,แพร่,แรงงานในระบบ,คน
3635,90,2561,นายจ้าง,ชาย,แพร่,แรงงานนอกระบบ,คน
58956,91,2561,ประกอบธุรกิจส่วนตัว,ชาย,แพร่,แรงงานนอกระบบ,คน
16076,92,2561,ช่วยธุรกิจครัวเรือน,ชาย,แพร่,แรงงานนอกระบบ,คน
1669,93,2561,ลูกจ้างรัฐบาล,ชาย,แพร่,แรงงานนอกระบบ,คน
6106,94,2561,ลูกจ้างเอกชน,ชาย,แพร่,แรงงานนอกระบบ,คน
1663,95,2561,นายจ้าง,หญิง,แพร่,แรงงานนอกระบบ,คน
31669,96,2561,ประกอบธุรกิจส่วนตัว,หญิง,แพร่,แรงงานนอกระบบ,คน
36515,97,2561,ช่วยธุรกิจครัวเรือน,หญิง,แพร่,แรงงานนอกระบบ,คน
853,98,2561,ลูกจ้างรัฐบาล,หญิง,แพร่,แรงงานนอกระบบ,คน
4455,99,2561,ลูกจ้างเอกชน,หญิง,แพร่,แรงงานนอกระบบ,คน
69,100,2561,นายจ้าง,ชาย,น่าน,แรงงานในระบบ,คน
855,101,2561,ประกอบธุรกิจส่วนตัว,ชาย,น่าน,แรงงานในระบบ,คน
420,102,2561,ช่วยธุรกิจครัวเรือน,ชาย,น่าน,แรงงานในระบบ,คน
14675,103,2561,ลูกจ้างรัฐบาล,ชาย,น่าน,แรงงานในระบบ,คน
14523,104,2561,ลูกจ้างเอกชน,ชาย,น่าน,แรงงานในระบบ,คน
51,105,2561,นายจ้าง,หญิง,น่าน,แรงงานในระบบ,คน
158,106,2561,ประกอบธุรกิจส่วนตัว,หญิง,น่าน,แรงงานในระบบ,คน
329,107,2561,ช่วยธุรกิจครัวเรือน,หญิง,น่าน,แรงงานในระบบ,คน
14653,108,2561,ลูกจ้างรัฐบาล,หญิง,น่าน,แรงงานในระบบ,คน
9001,109,2561,ลูกจ้างเอกชน,หญิง,น่าน,แรงงานในระบบ,คน
477,110,2561,นายจ้าง,ชาย,น่าน,แรงงานนอกระบบ,คน
74778,111,2561,ประกอบธุรกิจส่วนตัว,ชาย,น่าน,แรงงานนอกระบบ,คน
18806,112,2561,ช่วยธุรกิจครัวเรือน,ชาย,น่าน,แรงงานนอกระบบ,คน
360,113,2561,ลูกจ้างรัฐบาล,ชาย,น่าน,แรงงานนอกระบบ,คน
13550,114,2561,ลูกจ้างเอกชน,ชาย,น่าน,แรงงานนอกระบบ,คน
821,115,2561,นายจ้าง,หญิง,น่าน,แรงงานนอกระบบ,คน
30401,116,2561,ประกอบธุรกิจส่วนตัว,หญิง,น่าน,แรงงานนอกระบบ,คน
47126,117,2561,ช่วยธุรกิจครัวเรือน,หญิง,น่าน,แรงงานนอกระบบ,คน
606,118,2561,ลูกจ้างรัฐบาล,หญิง,น่าน,แรงงานนอกระบบ,คน
4894,119,2561,ลูกจ้างเอกชน,หญิง,น่าน,แรงงานนอกระบบ,คน
357,120,2561,การรวมกลุ่ม,หญิง,น่าน,แรงงานนอกระบบ,คน
273,121,2561,นายจ้าง,ชาย,พะเยา,แรงงานในระบบ,คน
1022,122,2561,ประกอบธุรกิจส่วนตัว,ชาย,พะเยา,แรงงานในระบบ,คน
550,123,2561,ช่วยธุรกิจครัวเรือน,ชาย,พะเยา,แรงงานในระบบ,คน
13224,124,2561,ลูกจ้างรัฐบาล,ชาย,พะเยา,แรงงานในระบบ,คน
17160,125,2561,ลูกจ้างเอกชน,ชาย,พะเยา,แรงงานในระบบ,คน
1422,126,2561,ประกอบธุรกิจส่วนตัว,หญิง,พะเยา,แรงงานในระบบ,คน
367,127,2561,ช่วยธุรกิจครัวเรือน,หญิง,พะเยา,แรงงานในระบบ,คน
10907,128,2561,ลูกจ้างรัฐบาล,หญิง,พะเยา,แรงงานในระบบ,คน
12914,129,2561,ลูกจ้างเอกชน,หญิง,พะเยา,แรงงานในระบบ,คน
2987,130,2561,นายจ้าง,ชาย,พะเยา,แรงงานนอกระบบ,คน
63408,131,2561,ประกอบธุรกิจส่วนตัว,ชาย,พะเยา,แรงงานนอกระบบ,คน
16368,132,2561,ช่วยธุรกิจครัวเรือน,ชาย,พะเยา,แรงงานนอกระบบ,คน
143,133,2561,ลูกจ้างรัฐบาล,ชาย,พะเยา,แรงงานนอกระบบ,คน
7792,134,2561,ลูกจ้างเอกชน,ชาย,พะเยา,แรงงานนอกระบบ,คน
505,135,2561,นายจ้าง,หญิง,พะเยา,แรงงานนอกระบบ,คน
31007,136,2561,ประกอบธุรกิจส่วนตัว,หญิง,พะเยา,แรงงานนอกระบบ,คน
41212,137,2561,ช่วยธุรกิจครัวเรือน,หญิง,พะเยา,แรงงานนอกระบบ,คน
123,138,2561,ลูกจ้างรัฐบาล,หญิง,พะเยา,แรงงานนอกระบบ,คน
4631,139,2561,ลูกจ้างเอกชน,หญิง,พะเยา,แรงงานนอกระบบ,คน
568,140,2561,นายจ้าง,ชาย,เชียงราย,แรงงานในระบบ,คน
1041,141,2561,ประกอบธุรกิจส่วนตัว,ชาย,เชียงราย,แรงงานในระบบ,คน
498,142,2561,ช่วยธุรกิจครัวเรือน,ชาย,เชียงราย,แรงงานในระบบ,คน
27102,143,2561,ลูกจ้างรัฐบาล,ชาย,เชียงราย,แรงงานในระบบ,คน
52802,144,2561,ลูกจ้างเอกชน,ชาย,เชียงราย,แรงงานในระบบ,คน
2078,145,2561,ประกอบธุรกิจส่วนตัว,หญิง,เชียงราย,แรงงานในระบบ,คน
1442,146,2561,ช่วยธุรกิจครัวเรือน,หญิง,เชียงราย,แรงงานในระบบ,คน
21890,147,2561,ลูกจ้างรัฐบาล,หญิง,เชียงราย,แรงงานในระบบ,คน
46485,148,2561,ลูกจ้างเอกชน,หญิง,เชียงราย,แรงงานในระบบ,คน
18697,149,2561,นายจ้าง,ชาย,เชียงราย,แรงงานนอกระบบ,คน
155797,150,2561,ประกอบธุรกิจส่วนตัว,ชาย,เชียงราย,แรงงานนอกระบบ,คน
50602,151,2561,ช่วยธุรกิจครัวเรือน,ชาย,เชียงราย,แรงงานนอกระบบ,คน
248,152,2561,ลูกจ้างรัฐบาล,ชาย,เชียงราย,แรงงานนอกระบบ,คน
50479,153,2561,ลูกจ้างเอกชน,ชาย,เชียงราย,แรงงานนอกระบบ,คน
2710,154,2561,นายจ้าง,หญิง,เชียงราย,แรงงานนอกระบบ,คน
62457,155,2561,ประกอบธุรกิจส่วนตัว,หญิง,เชียงราย,แรงงานนอกระบบ,คน
121173,156,2561,ช่วยธุรกิจครัวเรือน,หญิง,เชียงราย,แรงงานนอกระบบ,คน
204,157,2561,ลูกจ้างรัฐบาล,หญิง,เชียงราย,แรงงานนอกระบบ,คน
