﻿year,sex,quarter,_id,area,region,value,unit,age_group,source
2556,ชาย,ไตรมาส 4,101,รวม,ภาคเหนือ,80.2,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 3,102,นอกเขตเทศบาล,ภาคกลาง,81.5,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 2,103,ในเขตเทศบาล,ภาคกลาง,79.7,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 2,104,นอกเขตเทศบาล,ภาคกลาง,80.9,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 2,105,รวม,ภาคเหนือ,76.8,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 2,106,ในเขตเทศบาล,ภาคเหนือ,74.4,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 2,107,นอกเขตเทศบาล,ภาคเหนือ,78.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 2,108,รวม,ภาคตะวันออกเฉียงเหนือ,76.4,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 2,109,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,74.1,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 2,110,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,77.4,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 2,111,รวม,ภาคใต้,80.9,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 2,112,ในเขตเทศบาล,ภาคใต้,78.5,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 2,113,นอกเขตเทศบาล,ภาคใต้,82.1,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 3,114,รวม,ทั่วประเทศ,78.6,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2558,ชาย,ไตรมาส 3,115,ในเขตเทศบาล,ทั่วประเทศ,77.5,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
