จำนวน,_id,ปี,แหล่งที่มา,เพศ,รายการ,จังหวัด,ช่วงเวลา,หน่วย
2.7,54,2564,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
0.9,55,2564,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
1.6,56,2564,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
1.2,57,2564,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
1.1,58,2564,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
0.7,59,2564,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
0.9,60,2564,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
0.9,61,2565,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
1.8,62,2565,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
1.3,63,2565,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
1.2,64,2565,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
0.2,65,2565,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
0.8,66,2565,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
1.9,67,2565,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
1.3,68,2565,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
1.7,69,2565,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
0.2,70,2565,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
0.7,71,2565,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
0.4,72,2565,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
1.9,73,2566,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
1,74,2566,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
1.5,75,2566,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
0.5,76,2566,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
0.5,77,2566,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
0.5,78,2566,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
1.7,79,2566,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
0.3,80,2566,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
1.1,81,2566,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
0.4,82,2566,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
0.3,83,2566,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
0.3,84,2566,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
0.5,85,2567,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
0.5,86,2567,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
0.5,87,2567,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
1,88,2567,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
1.1,89,2567,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
1,90,2567,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
2.8,91,2567,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
3.1,92,2567,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
2.9,93,2567,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
2.3,94,2567,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
0.5,95,2567,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
1.5,96,2567,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
0.1,97,2568,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
 n.a. ,98,2568,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
 -- ,99,2568,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 1,เปอร์เซ็น
 n.a. ,100,2568,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
 n.a. ,101,2568,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
 n.a. ,102,2568,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 2,เปอร์เซ็น
 n.a. ,103,2568,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
 n.a. ,104,2568,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
 n.a. ,105,2568,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 3,เปอร์เซ็น
 n.a. ,106,2568,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,ชาย,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
 n.a. ,107,2568,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,หญิง,อัตราการว่างงาน,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
 n.a. ,108,2568,การสำรวจภาวะการทำงานของประชากร ระดับจังหวัด,อัตราการว่างงานรวม,อัตราการว่างงานรวม,หนองบัวลำภู,ไตรมาสที่ 4,เปอร์เซ็น
