เงินทุนรวม,ประกอบกิจการ,พื้นที่อาคาร,อำเภอ,ถนน,ซอย,FID,คนงานรวม,ไปรษณีย์,จังหวัด,หมู่,เลขที่,ปี,แรงม้ารวม,ตำบล,ผู้ประกอบการ,คนงานชาย,_id,เลขทะเบียนเดิม,ชื่อโรงงาน,พื้นที่โรงงาน,คนงานหญิง
829700000,ผลิตอาหารอบแห้ง ,17837,เมืองสมุทรสาคร,คอกควายโคกขาม,,740000000000,245,74000,สมุทรสาคร,6,77,2566,17345.86,โคกขาม,บริษัท พรีเซิร์ฟ ฟู้ด สเปเชียลตี้ จำกัด,71,11,ศ32(1)1/38สค,บริษัท พรีเซิร์ฟ ฟู้ด สเปเชียลตี้ จำกัด,54192,174
19000000,คั่ว บด อบ ร่อน และผสม เครื่องเทศและสมุนไพร,1950,กระทุ่มแบน,,จัดสรรทหารเรือ,20740200000000,16,74130,สมุทรสาคร,9,,2566,127.53,อ้อมน้อย,บริษัท ทิพย์วารี ฟู้ดส์ จำกัด,6,12,จ32(2)10/62สค,บริษัท ทิพย์วารี ฟู้ดส์ จำกัด,3200,10
2050000,กระเทาะเปลือกมะพร้าว,547,บ้านแพ้ว,,,20741600000000,150,74120,สมุทรสาคร,12,111/111,2566,16.5,หลักสาม,บริษัท วาสนา 111 มะพร้าวอ่อน จำกัด,120,13,จ22(2)3/60สค,บริษัท วาสนา 111 มะพร้าวอ่อน จำกัด,12800,30
18000000,การกะเทาะเมล็ดหรือเปลือกเมล็ดพืช เช่น งา ถั่วเหลือง,3000,บ้านแพ้ว,,,20740000000000,15,74120,สมุทรสาคร,7,74/4,2566,530.73,หลักสาม,ห้างหุ้นส่วนจำกัด บ้านแพ้วตั้งเจริญ,15,14,จ32(2)2/47สค,ห้างหุ้นส่วนจำกัด บ้านแพ้วตั้งเจริญ,8480,0
21000000,ปอกเปลือกมะพร้าว,900,บ้านแพ้ว,,,20742400000000,115,74120,สมุทรสาคร,2,139/5,2566,28,หลักสาม,บริษัท เคเฟรช จำกัด,95,15,จ22(2)2/60สค,บริษัท เคเฟรช จำกัด,7780,20
14500000,ร่อนถั่วเขียว ถั่วเหลือง งา ถั่วต่าง ๆ เช่นถั่วดำ ถั่วแดง ถัวแขก ข้าวโพด,1980,เมืองสมุทรสาคร,วัดปากบ่อ,,20740000000000,57,74000,สมุทรสาคร,1,51/1,2566,131,ท่าทราย,นายประพัฒน์ สวรรค์พรเพ็ญ,35,16,จ32(2)1/39สค,,9936,22
35000000,การเก็บรักษาหรือลำเลียง เมล็ด หรือ ผลิตผล พืชสมุนไพรต่างๆ ในไซโลโกดังหรือคลังสินค้า,1080,บ้านแพ้ว,,,20740100000000,10,74120,สมุทรสาคร,5,โฉนดที่ดินเลขที่ 28180,2566,493,สวนส้ม,บริษัท เคดับบลิวเอชบี จำกัด,5,17,จ32(5)4/66สค,บริษัท เคดับบลิวเอชบี จำกัด,4800,5
5300000,การบด ป่น หรือย่อยส่วนต่าง ๆ ของพืช,600,กระทุ่มแบน,เอกชัยบางบอน,เชิดมหาชัย,20740000000000,4,74110,สมุทรสาคร,1,220,2566,97,แคราย,นางสาวอนัญญา พรภูบดินทร์,2,18,จ32(6)3/55สค,,1600,2
84500000,ย่อยสับ ทลายปาล์ม,400,เมืองสมุทรสาคร,,,20740000000000,10,74000,สมุทรสาคร,5,,2566,323.71,บ้านเกาะ,บริษัท ไมโครแมส เอ็นเนอร์จี จำกัด,8,19,จ32(6)9/58สค,บริษัท ไมโครแมส เอ็นเนอร์จี จำกัด,12403,2
50000000,บดย่อยและจำหน่ายชีวมวลชนิดต่าง ๆ เช่น ชีวมวลจากมะพร้าว ปาล์มน้ำมัน เป็นต้น,800,เมืองสมุทรสาคร,,,20740000000000,18,74000,สมุทรสาคร,2,1-Nov,2566,484,ชัยมงคล,บริษัท โคโค่ บริหารจัดการเชื้อเพลิงชีวมวล จำกัด,18,20,จ32(6)3/58สค,บริษัท โคโค่ บริหารจัดการเชื้อเพลิงชีวมวล จำกัด,48000,0
61000000,ผลิตเชื้อเพลิงชีวมวลโดยใช้เปลือกมะพร้าวและเศษไม้เป็นวัตถุดิบหลัก,4800,เมืองสมุทรสาคร,,,20740300000000,22,74000,สมุทรสาคร,7,100/3,2566,372.7,บ้านเกาะ,บริษัท ฮาร์มเลส ฮาร์เวสท์ (ไทยแลนด์) จำกัด,22,21,จ32(6)3/62สค,บริษัท ฮาร์มเลส ฮาร์เวสท์ (ไทยแลนด์) จำกัด,12400,0
13000000,ถ่านอัดแท่ง,960,กระทุ่มแบน,,,20740000000000,15,74110,สมุทรสาคร,2,99/28,2566,269.6,ท่าเสา,บริษัท ลอฟทิ คลาวด์ คาร์บอน ไทย จำกัด,15,22,จ32(7)2/60สค,บริษัท ลอฟทิ คลาวด์ คาร์บอน ไทย จำกัด,2908,0
210000000,เพาะเชื้อเห็ดและปลูกเห็ด,19685,กระทุ่มแบน,คลองมะเดื่อวัดศรีนวล,,10740000000000,70,74110,สมุทรสาคร,1,222,2566,17810.18,แคราย,บริษัท โปร เห็ด จำกัด,25,23,32(8)1/53สค,บริษัท โปร เห็ด จำกัด,142068,45
20000000,การร่อน ล้าง คัด หรือแยกขนาดหรือคุณภาพของผลิตผลเกษตรกรรม,1687,กระทุ่มแบน,คลองมะเดื่อวัดศรีนวล,,20740000000000,55,74110,สมุทรสาคร,1,222,2566,125,แคราย,บริษัท โปร เห็ด จำกัด,20,24,จ32(9)3/53สค,บริษัท โปร เห็ด จำกัด,142268,35
50000000,การล้าง คัดหรือแยกขนาดหรือคุณภาพของผลิตผลเกษตรกรรมเกี่ยวกับผักหรือผลไม้ การทำอาหารหรือเครื่องดื่มจากผัก พืช หรือผลไม้ และบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้ การถนอมผัก พืช ผลไม้ โดยวิธีทำให้เยือกแข็งโดยฉับพลันหรือเหือดแห้ง ,4000,บ้านแพ้ว,,,20740300000000,70,74120,สมุทรสาคร,9,133/3,2566,73.517,บ้านแพ้ว,บริษัท โยโก้ซิ่นไท้ เทรดดิ้ง จำกัด,42,25,จ22(9)17/64สค,บริษัท โยโก้ซิ่นไท้ เทรดดิ้ง จำกัด,34616,28
164000000,คัดแยกขนาดเปลือกกะลาปาล์ม,5000,เมืองสมุทรสาคร,บางปลา,,20740100000000,17,74000,สมุทรสาคร,4,88/55,2566,420,บ้านเกาะ,บริษัท ไฮบริด เอ็นเนอร์จี จำกัด,16,26,จ32(9)2/62สค,บริษัท ไฮบริด เอ็นเนอร์จี จำกัด,48000,1
18800000,ขุดตักดิน,26496,บ้านแพ้ว,,,20740100000000,6,74120,สมุทรสาคร,4,,2566,376,อำแพง,นายทรงพล ระหงษ์,6,27,จ33(2)549/48สค,,26496,0
18800000,ขุดตักดิน,0,บ้านแพ้ว,,,20740000000000,6,74120,สมุทรสาคร,5,"โฉนดที่ดินเลขที่ 3797,1370,1371",2566,376,อำแพง,นายคมชาญ เตมีย์วิบูลย์,6,28,จ33(2)229/48สค,,,0
18400000,ขุดตักดิน,165628,บ้านแพ้ว,คลองหลวง,,20740000000000,3,74120,สมุทรสาคร,5,,2566,211,อำแพง,พิชัย,3,29,จ33(2)124/48สค,พิชัย,165628,0
45000000,ขุดดิน,3200000,เมืองสมุทรสาคร,พระรามที่ 2,วัดปากบ่อ,20740000000000,10,74000,สมุทรสาคร,4,โฉนดที่ดินเลขที่รายละเอียดแนบท้าย,2566,483,ชัยมงคล,บริษัท ระวีแสงสูรย์ จำกัด,10,30,จ33(2)1/45สค,บริษัท ระวีแสงสูรย์ จำกัด,3200000,0
1317585311,ฆ่าไก่และชำแหละเนื้อไก่แช่แข็ง ทำลูกชิ้น ไส้กรอก,10996,กระทุ่มแบน,เพชรเกษม,พุทธมณฑลสาย 5,10740000000000,3109,74130,สมุทรสาคร,7,2-Apr,2566,10877.67,อ้อมน้อย,บริษัท อาหารเบทเทอร์ จำกัด,1462,31,34(1)1/24สค,บริษัท อาหารเบทเทอร์ จำกัด,0,1647
11000000,รับจ้างชำแหละเนื้อสัตว์ โรงฆ่าสัตว์ และทำผลิตภัณฑ์สำเร็จรูปจากสุกร,1577,กระทุ่มแบน,,,10740000000000,60,74110,สมุทรสาคร,8,75,2566,1775,ท่าเสา,บริษัท อีเค ซลอเทอร์เฮาส์ จำกัด,40,32,34(1)23/57สค,บริษัท อีเค ซลอเทอร์เฮาส์ จำกัด,15812,20
11000000,ฆ่าไก่ ชำแหละ ห้องเย็นแข่แข็ง,239,กระทุ่มแบน,,,20740100000000,20,74110,สมุทรสาคร,3,88,2566,197,ท่าเสา,ห้างหุ้นส่วนจำกัด ระเบียบ ไก่สด,10,33,จ34(1)25/60สค,ห้างหุ้นส่วนจำกัด ระเบียบ ไก่สด,1408,10
21000000,ถนอมเนื้อสัตว์โดยวิธีอบรมควันใส่เกลือ ดอง ตากแห้ง หรือทำให้เยือกแข็ง,910,กระทุ่มแบน,,,10740000000000,15,74130,สมุทรสาคร,4,129/46,2566,2654,อ้อมน้อย,บริษัท ซุ่นง้วนโภคภัณฑ์ จำกัด,15,34,34(2)1/63สค,บริษัท ซุ่นง้วนโภคภัณฑ์ จำกัด,914,0
7800000,ทำผลิตภัณฑ์อาหารสำเร็จรูป เช่น แคบหมู แหนม ไส้อั่ว ไส้กรอก กุนเชียง ข้าวเกรียบ หมูหยอง ห้องเย็น,520,กระทุ่มแบน,,,20740000000000,30,74110,สมุทรสาคร,4,535/8,2566,294,ท่าไม้,บริษัท อิน โคลเวอร์ มาร์เก็ตติ้ง จำกัด,15,35,จ34(2)7/60สค,บริษัท อิน โคลเวอร์ มาร์เก็ตติ้ง จำกัด,1568,15
55000000,ถนอมอาหารสำเร็จรูปจากเนื้อสัตว์ โดยใช้ความร้อน,450,กระทุ่มแบน,,,20740200000000,16,74110,สมุทรสาคร,2,100,2566,478.25,ท่าเสา,นายเกริกไกร เลิศธำรงกุล,6,36,จ34(2)3/66สค,นายเกริกไกร เลิศธำรงกุล,2408,10
19500000,"ถนอมเนื้อสัตว์โดยวิธีอบแห้ง รมควัน ตากแห้ง และแปรรูปผัก,ผลไม้อบแห้ง อบกรอบและทอดกรอบ",1000,กระทุ่มแบน,,,10740200000000,51,74110,สมุทรสาคร,8,195,2566,3037.2,คลองมะเดื่อ,บริษัท ทีพีเค อินเตอร์ฟู้ดส์ จำกัด,23,37,34(2)4/63สค,บริษัท ทีพีเค อินเตอร์ฟู้ดส์ จำกัด,7280,28
13600000,ทำปลาเค็ม ปลาหวาน,0,เมืองสมุทรสาคร,วิเชียรโชฎก,0,20740000000000,60,74000,สมุทรสาคร,0,1045/45,2566,162.94,มหาชัย,พงษ์ธิพันธ์,40,38,จ34(2)1/43สค,พงษ์ธิพันธ์,4800,20
203000000,ทำผลิตภัณฑ์อาหารสำเร็จรูป และอาหารแช่เยือกเข็ง,2721,เมืองสมุทรสาคร,วิเชียรโชฎก,,20740000000000,253,74000,สมุทรสาคร,,1285,2566,418.31,มหาชัย,บริษัท ยูเนี่ยนโฟรเซนโปรดักส์ จำกัด,35,39,จ34(2)1/50สค,บริษัท ยูเนี่ยนโฟรเซนโปรดักส์ จำกัด,25788,218
30598500,ห้องเย็น,1000,เมืองสมุทรสาคร,0,0,60740000000000,17,74000,สมุทรสาคร,3,44/37,2566,120,บางหญ้าแพรก,นายณัฐพล ฐิตเจริญวงศ์,13,40,อ24(2)2/59สค,นายณัฐพล ฐิตเจริญวงศ์,659,4
7000000,ถนอมเนื้อสัตว์โดยวิธีอบแห้ง รมควัน ตากแห้ง และแปรรูปผลไม้อบแห้ง,500,เมืองสมุทรสาคร,,,20740000000000,49,74000,สมุทรสาคร,4,48/191,2566,302,นาดี,บริษัท ทีพีเค อินเตอร์ฟู้ดส์ จำกัด,22,41,จ34(2)3/60สค,บริษัท ทีพีเค อินเตอร์ฟู้ดส์ จำกัด,1600,27
0,"ผลิตอาหารสำเร็จรูป,อาหารกึ่งสำเร็จรูป เช่น ไส้กรอก, อาหารอื่นๆ",175,เมืองสมุทรสาคร,,,82290000000000,0,74000,สมุทรสาคร,,,2566,0,โคกขาม,บริษัท แบรทบ๊อกซ์ จำกัด,0,42,น.4(2)98/2563นสค.,บริษัท แบรทบ๊อกซ์ จำกัด,175,0
176000000,ผลิตอาหารำเร็จรูปปรุงสุก แช่แข็ง พืช หรือผลไม้ แป้ง เช่น ข้าวผัดกะเพรา ข้าวผัด ข้าวเหนียวหมู ข้าวต้มหมู/ไก่ ข้าวต้มปลา โอนิกิริไส้ทูน่า/แซลมอน กิมจิผักตกแต่ง ผลไม้ตกแต่ง ฯลฯ,7278,เมืองสมุทรสาคร,,,10740100000000,730,74000,สมุทรสาคร,2,โฉนดเลขที่ 146016,2566,5545.88,ท่าจีน,บริษัท คิงส์ วิช จำกัด,235,43,34(2)2/65สค,บริษัท คิงส์ วิช จำกัด,24809,495
1124942560,ผลิตอาหารสำเร็จรูปแช่แข็งจากเนื้อสัตว์และสัตว์น้ำ,74050,เมืองสมุทรสาคร,สายเศรษฐกิจ,,10740000000000,1559,74000,สมุทรสาคร,4,"5/78,5/10",2566,9415.63,นาดี,บริษัท เอ็น แอนด์ เอ็น ฟูดส์ จำกัด,1152,44,34(2)2/48สค,บริษัท เอ็น แอนด์ เอ็น ฟูดส์ จำกัด,80450,407
295000000,"ผลิตอาหารสำเร็จรูปและกึ่งสำเร็จรูปจากสัตว์แช่เยือกแข็ง เช่น ซาลาเปา ขนมจีบ ติ่มซำ , ผลิตภัณฑ์อาหารจากแป้ง",1933,เมืองสมุทรสาคร,เอกชัย,,10740100000000,175,74000,สมุทรสาคร,4,49/5   ,2566,4476.8,นาดี,บริษัท แพ็คฟู้ด จำกัด (มหาชน),54,45,34(2)2/66สค,บริษัท แพ็คฟู้ด จำกัด (มหาชน),5111,121
47000000,ผลิตอาหารแปรรูปแช่น้ำ เช่น ปลาหมึกแช่ด่าง สไบนาง ขอบกระด้ง เอ็นหมู ฯลฯ,1860,เมืองสมุทรสาคร,เศรษฐกิจ 1,วัดพันธุวงศ์,20740000000000,17,74000,สมุทรสาคร,1,80/11,2566,99.42,บ้านเกาะ,บริษัท ดี.เอส.ฟู้ดโปรดักส์ จำกัด,11,46,จ34(2)5/58สค,บริษัท ดี.เอส.ฟู้ดโปรดักส์ จำกัด,5681,6
521000000,โรงงานแปรรูปอาหารวัตถุดิบจากเนื้อสัคว์ หนังสัตว์ แป้ง โดยวิธี บด ผสม อบ ทอด นึ่ง รมควัน และบรรจุผลิตภัณฑ์,5976,เมืองสมุทรสาคร,,,20740100000000,148,74000,สมุทรสาคร,2,77/12,2566,473.75,นาโคก,บริษัท อินเทคค์ ฟู้ดส์ จำกัด,30,47,จ34(2)1/64สค,บริษัท อินเทคค์ ฟู้ดส์ จำกัด,45544,118
28540000,ผลิตวัตถุดิบสำหรับบรรจุเนื้อสัตว์ เช่น ไส้กรอกอีสาน,2310,เมืองสมุทรสาคร,,,20740400000000,25,74000,สมุทรสาคร,5,โฉนดที่ดินเลขที่ 49520 และ 112786,2566,585.44,บ้านเกาะ,บริษัท พี.ดี.โฟรเซ่น ฟู้ดส์ จำกัด,10,48,จ34(2)4/64สค,บริษัท พี.ดี.โฟรเซ่น ฟู้ดส์ จำกัด,9500,15
13000000,ผลิตบะหมี่ แผ่นเกี๊ยวติ่มซำแช่แข็ง อาหารสำเร็จรูปแช่แข็ง,1680,กระทุ่มแบน,,,20740200000000,30,74110,สมุทรสาคร,6,51/11,2566,283.24,คลองมะเดื่อ,บริษัท เอชเคเอ็น เอ็กเพรส แฟรนไซส์ จำกัด,15,49,จ34(3)13/62สค,บริษัท เอชเคเอ็น เอ็กเพรส แฟรนไซส์ จำกัด,2154,15
50000000,ผลิตภัณฑ์อาหารสำเร็จรูป เช่น ไส่กรอกลูกชิ้น หมู ไก่ เนื้อ,1400,กระทุ่มแบน,,,20740000000000,40,74110,สมุทรสาคร,1,,2566,188.7,ดอนไก่ดี,บริษัท หัวหิน อินเตอร์ฟู้ดส์ จำกัด,25,50,จ34(3)16/59สค,บริษัท หัวหิน อินเตอร์ฟู้ดส์ จำกัด,3200,15
12700000,ทำลูกชิ้นหมู,900,กระทุ่มแบน,,,20740000000000,46,74110,สมุทรสาคร,12,78/3,2566,230,สวนหลวง,บริษัท เจริญรัชกฤต อินเตอร์ฟู้ดส์ จำกัด,18,51,จ34(3)12/54สค,บริษัท เจริญรัชกฤต อินเตอร์ฟู้ดส์ จำกัด,1512,28
55000000,ผลิตและบรรจุผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์,765,กระทุ่มแบน,,,20740200000000,13,74110,สมุทรสาคร,2,101,2566,69.5,ท่าเสา,นายเกริกไกร เลิศธำรงกุล,8,52,จ24(3)2/66สค,นายเกริกไกร เลิศธำรงกุล,2408,5
29800000,ทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ เช่น ลูกชิ้นปลาหมึก ลูกชิ้นเนื้อ ลูกชิ้นไก่,600,กระทุ่มแบน,,,20740000000000,37,74110,สมุทรสาคร,4,โฉนดที่ดินเลขที่ 74325,2566,682.29,ดอนไก่ดี,นายเฉลิมพล สระทองหา,22,53,จ34(3)14/61สค,นายเฉลิมพล สระทองหา,6400,15
30200000,ทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ เช่น จ๊อไก่ จ๊อกุ้งสด จ๊อปูอัด,600,กระทุ่มแบน,,,20740000000000,55,74110,สมุทรสาคร,4,79/8,2566,1140.4,ดอนไก่ดี,นายสุรพงษ์ สระทองหา,25,54,จ34(3)15/61สค,นายสุรพงษ์ สระทองหา,6400,30
7000000,ผลิตอาหาร วัตถุดิบผลิตอาหาร เช่น ลำไส้สุกรแห้ง สารประกอบยาจากสัตว์ เป็นตัน,1000,กระทุ่มแบน,,,20740000000000,26,74110,สมุทรสาคร,3,103/14,2566,50,ท่าเสา,บริษัท บางกอก นานาฟู้ดส์ จำกัด,11,55,จ24(3)1/63สค,บริษัท บางกอก นานาฟู้ดส์ จำกัด,2793,15
29500000,ทำผลิตภัณฑ์อาหารสำเร็จจากเนื้อสัตว์ เช่น ลูกชิ้นไก่ ลูกชิ้นหมู,1000,กระทุ่มแบน,,,20740000000000,40,74110,สมุทรสาคร,4,11-Aug,2566,845.89,ดอนไก่ดี,นายกิตติพล สระทองหา,32,56,จ34(3)13/61สค,นายกิตติพล สระทองหา,12888,8
19007869,ผลิตและแปรรูปอาหารจากเนื้อสัตว์ เช่น ลูกชิ้น ไส้กรอก หมูปิ้ง และผลิตน้ำจิ้ม,900,กระทุ่มแบน,เพชรเกษม,เพชรเกษม 120 ,20740000000000,49,74130,สมุทรสาคร,12,59/3942,2566,146.57,อ้อมน้อย,บริษัท เอ็นพี ฟู้ดส์ แอนด์ ดิสทริบิวชั่น จำกัด,32,57,จ34(3)17/61สค,บริษัท เอ็นพี ฟู้ดส์ แอนด์ ดิสทริบิวชั่น จำกัด,1673,17
1600000,ทำลูกชิ้นและไส้กรอก,8000,กระทุ่มแบน,,,20740000000000,25,74110,สมุทรสาคร,2,29/21,2566,69.44,ท่าเสา,นายแทน พรมวิหาร,5,58,จ24(3)1/65สค,นายแทน พรมวิหาร,8000,20
31000000,ผลิตลูกชิ้น หมูยอ หมูเด้ง แหนมย่าง,190,กระทุ่มแบน,เฉลิมพระเกียรติ,นาคบำรุง,20740000000000,30,74110,สมุทรสาคร,7,46/26,2566,2224.38,สวนหลวง,บริษัท ส.จิตเจริญ อินเตอร์ฟูดส์ จำกัด,3,59,จ34(3)4/56สค,บริษัท ส.จิตเจริญ อินเตอร์ฟูดส์ จำกัด,2220,27
26500000,แปรรูปเนื้อสัตว์,744,กระทุ่มแบน,เพชรเกษม,เพชรเกษม 118,20740200000000,15,74130,สมุทรสาคร,12,1-Jun,2566,212.5,อ้อมน้อย,บริษัท ทรูบีฟ จำกัด,7,60,จ34(3)16/62สค,บริษัท ทรูบีฟ จำกัด,1624,8
30100000,ทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ เช่น ลูกชิ้นหมู หมูเด้ง,798,กระทุ่มแบน,,,20740000000000,50,74110,สมุทรสาคร,2,29/67,2566,1277.9,ดอนไก่ดี,นายพรชัย สระทองหา,27,61,จ34(3)12/61สค,นายพรชัย สระทองหา,6400,23
20000000,ผลิตแหนมหมู และอาหารทะเลแปรรูป เช่น ปลาหมึกอบ,1000,กระทุ่มแบน,พุทธสาคร,,20740000000000,32,74110,สมุทรสาคร,12,91/8,2566,91.8,สวนหลวง,แหนมศศิมาภรณ์ ดอนเมือง,16,62,จ34(3)6/58สค,แหนมศศิมาภรณ์ ดอนเมือง,1354,16
13000000,ผลิตอาหาร วัตถุดิบอาหาร เช่น ลำไส้สุกรแห้ง สารประกอบยาจากสัตว์,1000,กระทุ่มแบน,,,20740200000000,26,74110,สมุทรสาคร,3,103/14,2566,471.74,ท่าเสา,นายณฤทธิ์ พจนานุวัตร,16,63,จ34(3)18/63สค,นายณฤทธิ์ พจนานุวัตร,2793,10
106640500,ผลิตอาหารทำจากเนื้อสัตว์ อาหารจากสัตว์น้ำ อาหารหรือเครื่องดื่มจากผัก พืชหรือผลไม้เครื่องปรุงรส อาหารสำเร็จรูปและกึ่งสำเร็จรูป อาหารแช่แข็งและเครื่องแกง,2570,กระทุ่มแบน,เศรษฐกิจเอกชัย,,10740000000000,73,74110,สมุทรสาคร,4,84,2566,5615.73,แคราย,บริษัท เอ็นอาร์ อินสแตนท์ โปรดัวช์ จำกัด,33,64,34(3)5/62สค,บริษัท เอ็นอาร์ อินสแตนท์ โปรดัวช์ จำกัด,5928,40
34800000,ผลิตอาหารสำเร็จรูปปรุงสุก แช่แข็ง เช่น ปอเปี๊ยะทอด ไก่ทอด ไก่ยาง ข้าวแกงเขียวหวาม ติ๋มซำ,750,เมืองสมุทรสาคร,เอกชัย,,20740000000000,98,74000,สมุทรสาคร,1,2-Sep,2566,195.85,นาดี,ห้างหุ้นส่วนจำกัด ท่าเรือมารีนโปรดัคส์,33,65,จ34(3)25/59สค,ห้างหุ้นส่วนจำกัด ท่าเรือมารีนโปรดัคส์,375,65
57000000,ผลิตอาหารสำเร็จรูปและกึ่งสำเร็จรูปจากเนื้อสัตว์,2900,เมืองสมุทรสาคร,,,20740200000000,80,74000,สมุทรสาคร,9,65/8889,2566,498,โคกขาม,บริษัท ยู.เอส.ที.สำเภาทอง จำกัด,40,66,จ34(3)15/63สค,บริษัท ยู.เอส.ที.สำเภาทอง จำกัด,8474,40
143960369,ผลิตอาหารสำเร็จรูปและกึ่งสำเร็จรูปจากสัตว์และสัตว์น้ำ พืช ผัก ผลไม้ เมล็ดพืช และหัวพืช บรรจุในภาชนะปิดผนึก,5400,เมืองสมุทรสาคร,เศรษฐกิจ 1,,10740000000000,468,74000,สมุทรสาคร,8,30/29,2566,1824,ท่าทราย,บริษัท ไทยรวมสินพัฒนาอุตสาหกรรม จำกัด,163,67,34(3)7/61สค,บริษัท ไทยรวมสินพัฒนาอุตสาหกรรม จำกัด,11000,305
80000000,ทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ เช่น หมูกระป๋อง ลูกชิ้นหมู,351,เมืองสมุทรสาคร,,,20740200000000,33,74000,สมุทรสาคร,4,48/92,2566,107,นาดี,บริษัท เกรียงชัยชาญ อิมพอร์ท จำกัด,18,68,จ34(3)15/62สค,บริษัท เกรียงชัยชาญ อิมพอร์ท จำกัด,448,15
