เดือน,ที่มา,_id,ปี,ลำดับเดือน,ค่า,รายการ,หน่วย
ก.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,45,2562,9,283163,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ต.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,46,2562,10,244263,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,47,2562,11,210620,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ธ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,48,2562,12,173119,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ม.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,49,2563,1,198721,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.พ.,สำนักงานพาณิชย์จังหวัดกระบี่,50,2563,2,252917,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มี.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,51,2563,3,262619,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
เม.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,52,2563,4,339565,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,53,2563,5,397107,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มิ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,54,2563,6,407142,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,55,2563,7,347929,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ส.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,56,2563,8,299754,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,57,2563,9,294736,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ต.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,58,2563,10,220132,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,59,2563,11,166939,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ธ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,60,2563,12,157906,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ม.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,61,2564,1,119110,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.พ.,สำนักงานพาณิชย์จังหวัดกระบี่,62,2564,2,213144,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มี.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,63,2564,3,331906,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
เม.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,64,2564,4,389023,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,65,2564,5,416538,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มิ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,66,2564,6,343399,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,67,2564,7,298820,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ส.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,68,2564,8,303348,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,69,2564,9,277575,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ต.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,70,2564,10,288023,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,71,2564,11,264689,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ธ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,72,2564,12,237175,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ม.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,73,2565,1,190983,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.พ.,สำนักงานพาณิชย์จังหวัดกระบี่,74,2565,2,240873,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มี.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,75,2565,3,355073,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
เม.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,76,2565,4,350006,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,77,2565,5,342211,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มิ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,78,2565,6,315707,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,79,2565,7,306743,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ส.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,80,2565,8,338313,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,81,2565,9,385864,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ต.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,82,2565,10,390153,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,83,2565,11,342990,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ธ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,84,2565,12,338703,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ม.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,85,2566,1,379767,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.พ.,สำนักงานพาณิชย์จังหวัดกระบี่,86,2566,2,373671,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มี.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,87,2566,3,352341,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
เม.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,88,2566,4,315393,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,89,2566,5,307775,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มิ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,90,2566,6,279207,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,91,2566,7,270827,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ส.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,92,2566,8,316536,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,93,2566,9,331772,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ต.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,94,2566,10,326820,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,95,2566,11,297109,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ธ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,96,2566,12,257876,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ม.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,97,2567,1,301259,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.พ.,สำนักงานพาณิชย์จังหวัดกระบี่,98,2567,2,269686,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มี.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,99,2567,3,440759,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
เม.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,100,2567,4,474492,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,101,2567,5,551129,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
มิ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,102,2567,6,541028,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,103,2567,7,494094,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ส.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,104,2567,8,387201,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ก.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,105,2567,9,277969,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ต.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,106,2567,10,220383,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
พ.ย.,สำนักงานพาณิชย์จังหวัดกระบี่,107,2567,11,237440,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
ธ.ค.,สำนักงานพาณิชย์จังหวัดกระบี่,108,2567,12,155924,ปริมาณการขายผลผลิตปาล์มน้ำมันจังหวัดกระบี่,ตัน/เดือน
