ประเภทกิจการโรงาน,จำนวนโรงงาน,_id,ปี,อำเภอ
โรงงานผลิต เอทิลแอลกอฮอล์ ซึ่งมิใช่ เอทิลแอลกอฮอล์ ที่ผลิตจากกากซัลไฟด์ในการทำเยื่อกระดาษ,1,11,2568,ชัยบาดาล
การทำแอสฟัลต์ หรือน้ำมันดิบ,1,12,2568,ชัยบาดาล
การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์หรือกระดูกสัตว์,1,13,2568,ชัยบาดาล
การผลิตพลังงานไฟฟ้าจากพลังงานความร้อน,1,14,2568,ชัยบาดาล
การผสมผลิตภัณฑ์จากปิโตรเลียมเข้าด้วยกัน หรือการผสมผลิตภัณฑ์จากปิโตรเลียมกับวัสดุอื่น แต่ไม่รวมถึงการผสมผลิตภัณฑ์จากก๊าซธรรมชาติกับวัสดุอื่น,1,15,2568,ชัยบาดาล
การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิบซัม หรือผลิตภัณฑ์ปูนปลาสเตอร์,1,16,2568,ท่าวุ้ง
โรงงานประกอบกิจการเกี่ยวกับถลุง ผสม ทำให้บริสุทธิ์ หลอม หล่อ รีด ดึง หรือผลิตโลหะในขั้นต้น ซึ่งมิใช่เหล็กหรือเหล็กกล้า (non-ferrous metal basic industries),1,17,2568,ท่าวุ้ง
การฆ่าสัตว์,1,18,2568,ท่าวุ้ง
การผลิตพลังงานไฟฟ้าจากพลังงานความร้อน,1,19,2568,ท่าวุ้ง
การผสมผลิตภัณฑ์จากปิโตรเลียมเข้าด้วยกัน หรือการผสมผลิตภัณฑ์จากปิโตรเลียมกับวัสดุอื่น แต่ไม่รวมถึงการผสมผลิตภัณฑ์จากก๊าซธรรมชาติกับวัสดุอื่น,1,20,2568,ท่าวุ้ง
การทำน้ำตาลทรายดิบ หรือน้ำตาลทรายขาว,1,21,2568,ท่าหลวง
การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิบซัม หรือผลิตภัณฑ์ปูนปลาสเตอร์,1,22,2568,บ้านหมี่
การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิบซัม หรือผลิตภัณฑ์ปูนปลาสเตอร์,11,23,2568,พัฒนานิคม
โรงงานประกอบกิจการเกี่ยวกับการถลุง หลอม หล่อ รีด ดึง หรือผลิตเหล็ก หรือเหล็กกล้าในขั้นต้น (iron and steel basic industries),2,24,2568,พัฒนานิคม
โรงงานผลิตอิฐ กระเบื้องหรือท่อสำหรับใช้ในการก่อสร้างเบ้าหลอมโลหะ กระเบื้องประดับ (architectural terracotta) รองในเตาไฟท่อหรือยอดปล่องไฟ หรือวัตถุทนไฟ จากดินเหนียว,1,25,2568,พัฒนานิคม
การฆ่าสัตว์,2,26,2568,พัฒนานิคม
การทำแป้ง,1,27,2568,พัฒนานิคม
การทำนมสดให้ไร้เชื้อ หรือฆ่าเชื้อ โดยวิธีการใดวิธีการหนึ่ง เช่น การพาสเจอร์ไรส์ หรือสเตอริไลส์,1,28,2568,พัฒนานิคม
การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์หรือกระดูกสัตว์,5,29,2568,พัฒนานิคม
การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,4,30,2568,พัฒนานิคม
การป่นหรือบด พืช เมล็ดพืช กากพืช เนื้อสัตว์ กระดูกสัตว์ ขนสัตว์ หรือเปลือกหอยสำหรับทำหรือผสมเป็นอาหารสัตว์,2,31,2568,พัฒนานิคม
การผสมผลิตภัณฑ์จากปิโตรเลียมเข้าด้วยกัน หรือการผสมผลิตภัณฑ์จากปิโตรเลียมกับวัสดุอื่น แต่ไม่รวมถึงการผสมผลิตภัณฑ์จากก๊าซธรรมชาติกับวัสดุอื่น,2,32,2568,พัฒนานิคม
การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิบซัม หรือผลิตภัณฑ์ปูนปลาสเตอร์,1,33,2568,ลำสนธิ
การทำน้ำตาลทรายดิบ หรือน้ำตาลทรายขาว,1,34,2568,สระโบสถ์
การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิบซัม หรือผลิตภัณฑ์ปูนปลาสเตอร์,1,35,2568,สระโบสถ์
การผลิตพลังงานไฟฟ้าจากพลังงานความร้อน,1,36,2568,สระโบสถ์
การทำผลิตภัณฑ์คอนกรีต ผลิตภัณฑ์คอนกรีตผสมผลิตภัณฑ์ยิบซัม หรือผลิตภัณฑ์ปูนปลาสเตอร์,4,37,2568,หนองม่วง
โรงงานผลิตรองเท้า หรือชิ้นส่วนของรองเท้า ซึ่งมิได้ทำจากไม้ ยางอบแข็ง ยางอัดเข้ารูป หรือพลาสติกอัดเข้ารูป,1,38,2568,หนองม่วง
