ชั่วโมงทำงาน,จำนวน,_id,ปี,เพศ,ไตรมาส,หน่วย
50 ชั่วโมงขึ้นไป,"31,739",64,2566,หญิง,4,คน
น้อยกว่า 1 ชั่วโมง,246,65,2567,ชาย,1,คน
1 - 9 ชั่วโมง, - ,66,2567,ชาย,1,คน
10 - 19 ชั่วโมง,"2,190",67,2567,ชาย,1,คน
20 - 29 ชั่วโมง,"11,592",68,2567,ชาย,1,คน
30 - 34 ชั่วโมง,"14,476",69,2567,ชาย,1,คน
35 - 39 ชั่วโมง,"12,774",70,2567,ชาย,1,คน
40 - 49 ชั่วโมง,"57,078",71,2567,ชาย,1,คน
50 ชั่วโมงขึ้นไป,"22,090",72,2567,ชาย,1,คน
น้อยกว่า 1 ชั่วโมง,660,73,2567,หญิง,1,คน
1 - 9 ชั่วโมง, - ,74,2567,หญิง,1,คน
10 - 19 ชั่วโมง,"1,247",75,2567,หญิง,1,คน
20 - 29 ชั่วโมง,"8,424",76,2567,หญิง,1,คน
30 - 34 ชั่วโมง,"10,249",77,2567,หญิง,1,คน
35 - 39 ชั่วโมง,"16,209",78,2567,หญิง,1,คน
40 - 49 ชั่วโมง,"52,831",79,2567,หญิง,1,คน
50 ชั่วโมงขึ้นไป,"25,634",80,2567,หญิง,1,คน
