_id,เลขทะเบียนเดิม,ชื่อผู้ประกอบการ,ปริมาณน้ำเสีย,หน่วย
151,3-14-2/52พล,บริษัท พิษณุโลก มหาทรัพย์ จำกัด,23,ลบ.ม.
152,3-14-34/65พล,บริษัท วารีเทพ วังทอง จำกัด,23,ลบ.ม.
153,3-14-41/50พล,บริษัท ไทยสมบูรณ์วังทอง จำกัด,23,ลบ.ม.
154,3-14-79/60พล,บริษัท คิงไอซ์ จำกัด,23,ลบ.ม.
155,จ2-14-22/64พล,นางเพียงใจ ประดิษฐ์,23,ลบ.ม.
156,จ3-14-1/14พล,บริษัท โกลไอซ์ จำกัด,23,ลบ.ม.
157,จ3-14-1/39พล,บริษัท ส.ทรงกรด จำกัด,23,ลบ.ม.
158,จ3-14-1/41พล,นายชูเกียรติ ดีไพบูลย์,23,ลบ.ม.
159,จ3-14-1/42พล,บริษัท โรงน้ำแข็งหลอดวิรัตน์ 1999 จำกัด,23,ลบ.ม.
160,จ3-14-1/45พล,บริษัท พิษณุโลก วารีเทพ จำกัด,23,ลบ.ม.
161,จ3-14-15/61พล,นายเลิศวัส โตสิน,23,ลบ.ม.
162,จ3-14-19/51พล,นายลภชัย นิรัติศัย,23,ลบ.ม.
163,จ3-14-2/44พล,นายวิรัตน์ เจริญศรี,23,ลบ.ม.
164,จ3-14-26/55พล,นายไพรัช นาคมอญ,23,ลบ.ม.
165,จ3-14-33/47พล,นางศีตลา โพธิสุวรรณ,23,ลบ.ม.
166,จ3-14-35/53พล,ห้างหุ้นส่วนจำกัด มีบุญ ไอซ์,23,ลบ.ม.
167,จ3-14-35/55พล,บริษัท โรงน้ำแข็งกิจวารี-ทิพย์วารี (พิษณุโลก) จำกัด,23,ลบ.ม.
168,จ3-14-37/58พล,นางสาวปิยะพร คำขอด,23,ลบ.ม.
169,จ3-14-4/45พล,บริษัท โรงน้ำแข็งวังน้ำทิพย์ จำกัด,23,ลบ.ม.
170,จ3-14-47/63พล,นางกองแก้ว บุญล้ำ,23,ลบ.ม.
171,จ3-14-82/60พล,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด,23,ลบ.ม.
172,ศ3-14-1/35พล,ห้างหุ้นส่วนจำกัด นิธิวิบูลย์ 1981 กรุ๊ป,23,ลบ.ม.
173,ศ3-15(1)-1/39พล,บริษัท คาร์กิลล์สยาม จำกัด,20,ลบ.ม.
174,ส3-15(1)-1/30พล,บริษัท ซีพีเอฟ (ประะทศไทย) จำกัด (มหาชน),20,ลบ.ม.
175,จ3-20(1)-3/56พล,ห้างหุ้นส่วนจำกัด สิริภัทร พลาสติก,23,ลบ.ม.
176,จ3-20(1)-4/54พล,นางสาววนิดา โพธิ์คำ,23,ลบ.ม.
177,จ2-28(1)-22/50พล,ทัณฑสถานหญิงพิษณุโลก,8,ลบ.ม.
178,จ3-28(1)-10/63พล,บริษัท ฐานะภัณฑ์ จำกัด,8,ลบ.ม.
