ค่าข้อมูล,ที่มา,_id,ปี,รายการ,ประเภทรถ,จังหวัด,หน่วย
 150 ,สำนักงานขนส่งจังหวัดมหาสารคาม,44,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
" 13,878 ",สำนักงานขนส่งจังหวัดมหาสารคาม,45,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถบรรทุก,มหาสารคาม,คัน
" 4,392 ",สำนักงานขนส่งจังหวัดมหาสารคาม,46,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
" 9,486 ",สำนักงานขนส่งจังหวัดมหาสารคาม,47,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
 120 ,สำนักงานขนส่งจังหวัดมหาสารคาม,48,2566,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถขนาดเล็ก,มหาสารคาม,คัน
 765 ,สำนักงานขนส่งจังหวัดมหาสารคาม,49,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถโดยสาร,มหาสารคาม,คัน
 525 ,สำนักงานขนส่งจังหวัดมหาสารคาม,50,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ประจำทาง,มหาสารคาม,คัน
 96 ,สำนักงานขนส่งจังหวัดมหาสารคาม,51,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ไม่ประจำทาง,มหาสารคาม,คัน
 144 ,สำนักงานขนส่งจังหวัดมหาสารคาม,52,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,ส่วนบุคคล,มหาสารคาม,คัน
" 14,290 ",สำนักงานขนส่งจังหวัดมหาสารคาม,53,2567,รถจดทะเบียนสะสม ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522,รถบรรทุก,มหาสารคาม,คัน
