_id,permission,﻿year,unit,source,province,license_type,region,value
60,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,นนทบุรี,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,217
61,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,15379
62,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,1495
63,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,277
64,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,12877
65,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,1956
66,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,903
67,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,13423
68,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,1513
69,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,327
70,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,16060
71,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,2074
72,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,ปทุมธานี,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,439
73,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,นครปฐม,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,6421
74,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,นครปฐม,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,377
75,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,นครปฐม,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,92
76,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,นครปฐม,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,7026
77,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,นครปฐม,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,307
78,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,นครปฐม,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,164
79,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,นครปฐม,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,6394
80,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,นครปฐม,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,386
81,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,นครปฐม,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,149
82,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,นครปฐม,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,6570
83,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,นครปฐม,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,388
84,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,นครปฐม,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,105
85,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,สมุทรสาคร,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,7227
86,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,สมุทรสาคร,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,1457
87,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,สมุทรสาคร,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,192
88,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,สมุทรสาคร,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,5689
89,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,สมุทรสาคร,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,1453
90,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,สมุทรสาคร,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,201
91,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,สมุทรสาคร,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,5327
92,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,สมุทรสาคร,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,1579
93,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,สมุทรสาคร,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,201
94,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,สมุทรสาคร,จำนวนอาคาร (หลัง),กรุงเทพมหานคร และปริมณฑล,7154
95,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,สมุทรสาคร,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),กรุงเทพมหานคร และปริมณฑล,1660
96,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,สมุทรสาคร,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),กรุงเทพมหานคร และปริมณฑล,243
97,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนอาคาร (หลัง),ภาคกลาง,7560
98,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),ภาคกลาง,414
99,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),ภาคกลาง,190
100,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนอาคาร (หลัง),ภาคกลาง,7082
101,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),ภาคกลาง,522
102,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),ภาคกลาง,137
103,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนอาคาร (หลัง),ภาคกลาง,7744
104,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),ภาคกลาง,502
105,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2561,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),ภาคกลาง,171
106,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนอาคาร (หลัง),ภาคกลาง,8700
107,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),ภาคกลาง,419
108,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2562,ราย,สำนักงานสถิติแห่งชาติ,รวม,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),ภาคกลาง,117
109,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,พระนครศรีอยุธยา,จำนวนอาคาร (หลัง),ภาคกลาง,2338
110,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,พระนครศรีอยุธยา,จำนวนสิ่งก่อสร้าง ประเภทความยาว (แห่ง),ภาคกลาง,46
111,สิ่งก่อสร้างที่มิใช่อาคารโรงเรือน,2559,ราย,สำนักงานสถิติแห่งชาติ,พระนครศรีอยุธยา,จำนวนสิ่งก่อสร้าง ประเภทพื้นที่ (แห่ง),ภาคกลาง,74
112,สิ่งก่อสร้างที่เป็นอาคารโรงเรือน,2560,ราย,สำนักงานสถิติแห่งชาติ,พระนครศรีอยุธยา,จำนวนอาคาร (หลัง),ภาคกลาง,2602
