จำนวน,_id,ปี,ชนิดของพืชไม้ผล,รายการ
0,154,2564,ยูคาลิปตัส,เนื้อที่เก็บเกี่ยว (ไร่)
0,155,2564,ยูคาลิปตัส,ผลผลิต (ตัน)
0,156,2564,ยูคาลิปตัส,ผลผลิตเฉลี่ยต่อไร่ (กก.)
3087,157,2564,ผักหวานป่า,เนื้อที่เพาะปลูก (ไร่)
2805,158,2564,ผักหวานป่า,เนื้อที่เก็บเกี่ยว (ไร่)
26507.25,159,2564,ผักหวานป่า,ผลผลิต (ตัน)
9450,160,2564,ผักหวานป่า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
6132.5,161,2565,กล้วยหอม,เนื้อที่เพาะปลูก (ไร่)
3489.5,162,2565,กล้วยหอม,เนื้อที่เก็บเกี่ยว (ไร่)
7879.291,163,2565,กล้วยหอม,ผลผลิต (ตัน)
2258,164,2565,กล้วยหอม,ผลผลิตเฉลี่ยต่อไร่ (กก.)
5030.5,165,2565,กล้วยน้ำว้า,เนื้อที่เพาะปลูก (ไร่)
2514.25,166,2565,กล้วยน้ำว้า,เนื้อที่เก็บเกี่ยว (ไร่)
3733.66125,167,2565,กล้วยน้ำว้า,ผลผลิต (ตัน)
1485,168,2565,กล้วยน้ำว้า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2304,169,2565,น้อยหน่า,เนื้อที่เพาะปลูก (ไร่)
1381,170,2565,น้อยหน่า,เนื้อที่เก็บเกี่ยว (ไร่)
2893.195,171,2565,น้อยหน่า,ผลผลิต (ตัน)
2095,172,2565,น้อยหน่า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
8277,173,2565,มะม่วง,เนื้อที่เพาะปลูก (ไร่)
6908.5,174,2565,มะม่วง,เนื้อที่เก็บเกี่ยว (ไร่)
8290.2,175,2565,มะม่วง,ผลผลิต (ตัน)
1200,176,2565,มะม่วง,ผลผลิตเฉลี่ยต่อไร่ (กก.)
354.75,177,2565,มะขาม,เนื้อที่เพาะปลูก (ไร่)
229,178,2565,มะขาม,เนื้อที่เก็บเกี่ยว (ไร่)
57.25,179,2565,มะขาม,ผลผลิต (ตัน)
250,180,2565,มะขาม,ผลผลิตเฉลี่ยต่อไร่ (กก.)
634,181,2565,องุ่น,เนื้อที่เพาะปลูก (ไร่)
