ค่าข้อมูล,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,สถานภาพ,จังหวัด,หน่วย
86703,สำนักงานสถิติจังหวัดมหาสารคาม,30,2563,หญิง,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
75847,สำนักงานสถิติจังหวัดมหาสารคาม,31,2563,รวม,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
31086,สำนักงานสถิติจังหวัดมหาสารคาม,32,2563,ชาย,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
44761,สำนักงานสถิติจังหวัดมหาสารคาม,33,2563,หญิง,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
140384,สำนักงานสถิติจังหวัดมหาสารคาม,34,2563,รวม,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
58790,สำนักงานสถิติจังหวัดมหาสารคาม,35,2563,ชาย,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
81594,สำนักงานสถิติจังหวัดมหาสารคาม,36,2563,หญิง,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
252082,สำนักงานสถิติจังหวัดมหาสารคาม,37,2563,รวม,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
83499,สำนักงานสถิติจังหวัดมหาสารคาม,38,2563,ชาย,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
168583,สำนักงานสถิติจังหวัดมหาสารคาม,39,2563,หญิง,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
60251,สำนักงานสถิติจังหวัดมหาสารคาม,40,2563,รวม,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
653,สำนักงานสถิติจังหวัดมหาสารคาม,41,2563,ชาย,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
59598,สำนักงานสถิติจังหวัดมหาสารคาม,42,2563,หญิง,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
79913,สำนักงานสถิติจังหวัดมหาสารคาม,43,2563,รวม,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
36471,สำนักงานสถิติจังหวัดมหาสารคาม,44,2563,ชาย,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
43442,สำนักงานสถิติจังหวัดมหาสารคาม,45,2563,หญิง,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
111918,สำนักงานสถิติจังหวัดมหาสารคาม,46,2563,รวม,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
46375,สำนักงานสถิติจังหวัดมหาสารคาม,47,2563,ชาย,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
65543,สำนักงานสถิติจังหวัดมหาสารคาม,48,2563,หญิง,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
260322,สำนักงานสถิติจังหวัดมหาสารคาม,49,2563,รวม,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
85160,สำนักงานสถิติจังหวัดมหาสารคาม,50,2563,ชาย,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
175162,สำนักงานสถิติจังหวัดมหาสารคาม,51,2563,หญิง,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
56619,สำนักงานสถิติจังหวัดมหาสารคาม,52,2563,รวม,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
2518,สำนักงานสถิติจังหวัดมหาสารคาม,53,2563,ชาย,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
54101,สำนักงานสถิติจังหวัดมหาสารคาม,54,2563,หญิง,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
88595,สำนักงานสถิติจังหวัดมหาสารคาม,55,2563,รวม,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
37306,สำนักงานสถิติจังหวัดมหาสารคาม,56,2563,ชาย,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
51289,สำนักงานสถิติจังหวัดมหาสารคาม,57,2563,หญิง,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
