จำนวน,_id,ปี,อำเภอ,หน่วยวัด
6,122,2566,คีรีรัฐนิคม,โรงงาน
2,123,2566,บ้านตาขุน,โรงงาน
5,124,2566,พนม,โรงงาน
8,125,2566,ท่าฉาง,โรงงาน
12,126,2566,บ้านนาสาร,โรงงาน
5,127,2566,บ้านนาเดิม,โรงงาน
6,128,2566,เคียนซา,โรงงาน
6,129,2566,เวียงสระ,โรงงาน
8,130,2566,พระแสง,โรงงาน
4,131,2566,ท่าชนะ,โรงงาน
2,132,2566,ชัยบุรี,โรงงาน
2,133,2566,วิภาวดี,โรงงาน
7,134,2567,เมืองสุราษฎร์ธานี,โรงงาน
20,135,2567,กาญจนดิษฐ์,โรงงาน
22,136,2567,พุนพิน,โรงงาน
3,137,2567,ดอนสัก,โรงงาน
3,138,2567,เกาะสมุย,โรงงาน
0,139,2567,เกาะพะงัน,โรงงาน
4,140,2567,ไชยา,โรงงาน
7,141,2567,คีรีรัฐนิคม,โรงงาน
2,142,2567,บ้านตาขุน,โรงงาน
5,143,2567,พนม,โรงงาน
8,144,2567,ท่าฉาง,โรงงาน
12,145,2567,บ้านนาสาร,โรงงาน
5,146,2567,บ้านนาเดิม,โรงงาน
6,147,2567,เคียนซา,โรงงาน
6,148,2567,เวียงสระ,โรงงาน
9,149,2567,พระแสง,โรงงาน
5,150,2567,ท่าชนะ,โรงงาน
2,151,2567,ชัยบุรี,โรงงาน
2,152,2567,วิภาวดี,โรงงาน
