จำนวน,ที่มา,ชนิดพืช,_id,ปี,หน่วย
" 3,021.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,50,2565, ไร่ 
" 2,082.75 ",สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,51,2565, ไร่ 
" 2,054.25 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,52,2565, ไร่ 
" 1,973.50 ",สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,53,2565, ไร่ 
 482.50 ,สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,54,2565, ไร่ 
" 1,381.75 ",สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,55,2565, ไร่ 
" 22,276.25 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,56,2566, ไร่ 
" 15,986.25 ",สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,57,2566, ไร่ 
" 1,619.25 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,58,2566, ไร่ 
" 2,279.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,59,2566, ไร่ 
" 13,363.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,60,2566, ไร่ 
" 2,071.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,61,2566, ไร่ 
" 1,954.50 ",สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,62,2566, ไร่ 
" 1,949.25 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,63,2566, ไร่ 
" 1,611.50 ",สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,64,2566, ไร่ 
 412.25 ,สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,65,2566, ไร่ 
" 3,268.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,66,2566, ไร่ 
"18,159.75",สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,67,2567,ไร่
"14,618.00",สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,68,2567,ไร่
"1,424.75",สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,69,2567,ไร่
"1,670.50",สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,70,2567,ไร่
"13,000.00",สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,71,2567,ไร่
"1,802.00",สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,72,2567,ไร่
"1,383.50",สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,73,2567,ไร่
"1,449.75",สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,74,2567,ไร่
"1,100.00",สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,75,2567,ไร่
416.5,สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,76,2567,ไร่
993,สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,77,2567,ไร่
