VALUE,QUARTER,SOURCE,_id,SEX,HOURS_WEEK,UNIT,REGION,YEAR
409.2,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,32,หญิง, 35-39 ชั่วโมง,พันคน,ภาคเหนือ,2563
1329.9,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,33,หญิง, 40-49 ชั่วโมง,พันคน,ภาคเหนือ,2563
478.7,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,34,หญิง, 50 ชั่วโมงขึ้นไป,พันคน,ภาคเหนือ,2563
49.7,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,35,ชาย, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
141.6,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,36,ชาย, 10-19 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
608.8,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,37,ชาย, 20-29 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
475.1,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,38,ชาย, 30-34 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
856.2,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,39,ชาย, 35-39 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
2370.5,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,40,ชาย, 40-49 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
740.0,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,41,ชาย, 50 ชั่วโมงขึ้นไป,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
39.8,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,42,หญิง, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
165.8,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,43,หญิง, 10-19 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
603.8,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,44,หญิง, 20-29 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
402.8,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,45,หญิง, 30-34 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
766.2,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,46,หญิง, 35-39 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
1821.4,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,47,หญิง, 40-49 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
557.2,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,48,หญิง, 50 ชั่วโมงขึ้นไป,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
155.1,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,49,ชาย, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคใต้,2563
193.6,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,50,ชาย, 10-19 ชั่วโมง,พันคน,ภาคใต้,2563
395.6,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,51,ชาย, 20-29 ชั่วโมง,พันคน,ภาคใต้,2563
307.2,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,52,ชาย, 30-34 ชั่วโมง,พันคน,ภาคใต้,2563
349.1,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,53,ชาย, 35-39 ชั่วโมง,พันคน,ภาคใต้,2563
1077.6,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,54,ชาย, 40-49 ชั่วโมง,พันคน,ภาคใต้,2563
328.6,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,55,ชาย, 50 ชั่วโมงขึ้นไป,พันคน,ภาคใต้,2563
110.6,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,56,หญิง, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคใต้,2563
159.2,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,57,หญิง, 10-19 ชั่วโมง,พันคน,ภาคใต้,2563
323.6,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,58,หญิง, 20-29 ชั่วโมง,พันคน,ภาคใต้,2563
245.3,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,59,หญิง, 30-34 ชั่วโมง,พันคน,ภาคใต้,2563
292.3,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,60,หญิง, 35-39 ชั่วโมง,พันคน,ภาคใต้,2563
821.7,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,61,หญิง, 40-49 ชั่วโมง,พันคน,ภาคใต้,2563
312.6,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,62,หญิง, 50 ชั่วโมงขึ้นไป,พันคน,ภาคใต้,2563
29.6,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,63,ชาย, น้อยกว่า 10 ชั่วโมง,พันคน,กรุงเทพมหานคร,2563
20.6,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,64,ชาย, 10-19 ชั่วโมง,พันคน,กรุงเทพมหานคร,2563
32.6,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,65,ชาย, 20-29 ชั่วโมง,พันคน,กรุงเทพมหานคร,2563
41.1,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,66,ชาย, 30-34 ชั่วโมง,พันคน,กรุงเทพมหานคร,2563
220.4,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,67,ชาย, 35-39 ชั่วโมง,พันคน,กรุงเทพมหานคร,2563
1946.2,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,68,ชาย, 40-49 ชั่วโมง,พันคน,กรุงเทพมหานคร,2563
498.6,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,69,ชาย, 50 ชั่วโมงขึ้นไป,พันคน,กรุงเทพมหานคร,2563
22.0,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,70,หญิง, น้อยกว่า 10 ชั่วโมง,พันคน,กรุงเทพมหานคร,2563
23.5,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,71,หญิง, 10-19 ชั่วโมง,พันคน,กรุงเทพมหานคร,2563
32.6,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,72,หญิง, 20-29 ชั่วโมง,พันคน,กรุงเทพมหานคร,2563
47.6,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,73,หญิง, 30-34 ชั่วโมง,พันคน,กรุงเทพมหานคร,2563
208.0,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,74,หญิง, 35-39 ชั่วโมง,พันคน,กรุงเทพมหานคร,2563
1784.7,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,75,หญิง, 40-49 ชั่วโมง,พันคน,กรุงเทพมหานคร,2563
577.9,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,76,ชาย, 35-39 ชั่วโมง,พันคน,ภาคกลาง,2564
3482.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,77,ชาย, 40-49 ชั่วโมง,พันคน,ภาคกลาง,2564
1167.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,78,ชาย, 50 ชั่วโมงขึ้นไป,พันคน,ภาคกลาง,2564
109.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,79,หญิง, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคกลาง,2564
134.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,80,หญิง, 10-19 ชั่วโมง,พันคน,ภาคกลาง,2564
469.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,81,หญิง, 20-29 ชั่วโมง,พันคน,ภาคกลาง,2564
339.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,82,หญิง, 30-34 ชั่วโมง,พันคน,ภาคกลาง,2564
559.7,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,83,หญิง, 35-39 ชั่วโมง,พันคน,ภาคกลาง,2564
2920.7,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,84,หญิง, 40-49 ชั่วโมง,พันคน,ภาคกลาง,2564
998.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,85,หญิง, 50 ชั่วโมงขึ้นไป,พันคน,ภาคกลาง,2564
101.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,86,ชาย, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคเหนือ,2564
113.7,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,87,ชาย, 10-19 ชั่วโมง,พันคน,ภาคเหนือ,2564
458.2,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,88,ชาย, 20-29 ชั่วโมง,พันคน,ภาคเหนือ,2564
376.1,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,89,ชาย, 30-34 ชั่วโมง,พันคน,ภาคเหนือ,2564
379.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,90,ชาย, 35-39 ชั่วโมง,พันคน,ภาคเหนือ,2564
1372.7,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,91,ชาย, 40-49 ชั่วโมง,พันคน,ภาคเหนือ,2564
505.8,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,92,ชาย, 50 ชั่วโมงขึ้นไป,พันคน,ภาคเหนือ,2564
66.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,93,หญิง, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคเหนือ,2564
100.8,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,94,หญิง, 10-19 ชั่วโมง,พันคน,ภาคเหนือ,2564
387.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,95,หญิง, 20-29 ชั่วโมง,พันคน,ภาคเหนือ,2564
322.8,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,96,หญิง, 30-34 ชั่วโมง,พันคน,ภาคเหนือ,2564
379.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,97,หญิง, 35-39 ชั่วโมง,พันคน,ภาคเหนือ,2564
1097.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,98,หญิง, 40-49 ชั่วโมง,พันคน,ภาคเหนือ,2564
435.8,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,99,หญิง, 50 ชั่วโมงขึ้นไป,พันคน,ภาคเหนือ,2564
218.7,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,100,ชาย, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
154.9,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,101,ชาย, 10-19 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
553.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,102,ชาย, 20-29 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
383.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,103,ชาย, 30-34 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
755.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,104,ชาย, 35-39 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
2193.9,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,105,ชาย, 40-49 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
646.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,106,ชาย, 50 ชั่วโมงขึ้นไป,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
169.8,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,107,หญิง, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
153.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,108,หญิง, 10-19 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
471.9,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,109,หญิง, 20-29 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
306.8,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,110,หญิง, 30-34 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
714.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,111,หญิง, 35-39 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
1648.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,112,หญิง, 40-49 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
537.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,113,หญิง, 50 ชั่วโมงขึ้นไป,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
120.8,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,114,ชาย, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคใต้,2564
203.7,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,115,ชาย, 10-19 ชั่วโมง,พันคน,ภาคใต้,2564
437.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,116,ชาย, 20-29 ชั่วโมง,พันคน,ภาคใต้,2564
344.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,117,ชาย, 30-34 ชั่วโมง,พันคน,ภาคใต้,2564
356.2,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,118,ชาย, 35-39 ชั่วโมง,พันคน,ภาคใต้,2564
1055.9,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,119,ชาย, 40-49 ชั่วโมง,พันคน,ภาคใต้,2564
289.1,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,120,ชาย, 50 ชั่วโมงขึ้นไป,พันคน,ภาคใต้,2564
91.9,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,121,หญิง, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคใต้,2564
171.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,122,หญิง, 10-19 ชั่วโมง,พันคน,ภาคใต้,2564
361.1,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,123,หญิง, 20-29 ชั่วโมง,พันคน,ภาคใต้,2564
266.2,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,124,หญิง, 30-34 ชั่วโมง,พันคน,ภาคใต้,2564
312.9,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,125,หญิง, 35-39 ชั่วโมง,พันคน,ภาคใต้,2564
822.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,126,หญิง, 40-49 ชั่วโมง,พันคน,ภาคใต้,2564
283.8,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,127,หญิง, 50 ชั่วโมงขึ้นไป,พันคน,ภาคใต้,2564
41.0,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,128,ชาย, น้อยกว่า 10 ชั่วโมง,พันคน,กรุงเทพมหานคร,2564
18.9,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,129,ชาย, 10-19 ชั่วโมง,พันคน,กรุงเทพมหานคร,2564
41.8,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,130,ชาย, 20-29 ชั่วโมง,พันคน,กรุงเทพมหานคร,2564
74.9,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,131,ชาย, 30-34 ชั่วโมง,พันคน,กรุงเทพมหานคร,2564
229.0,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,132,ชาย, 35-39 ชั่วโมง,พันคน,กรุงเทพมหานคร,2564
1925.5,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,133,ชาย, 40-49 ชั่วโมง,พันคน,กรุงเทพมหานคร,2564
471.9,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,134,ชาย, 50 ชั่วโมงขึ้นไป,พันคน,กรุงเทพมหานคร,2564
42.1,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,135,หญิง, น้อยกว่า 10 ชั่วโมง,พันคน,กรุงเทพมหานคร,2564
17.3,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,136,หญิง, 10-19 ชั่วโมง,พันคน,กรุงเทพมหานคร,2564
51.5,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,137,หญิง, 20-29 ชั่วโมง,พันคน,กรุงเทพมหานคร,2564
70.1,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,138,หญิง, 30-34 ชั่วโมง,พันคน,กรุงเทพมหานคร,2564
254.2,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,139,หญิง, 35-39 ชั่วโมง,พันคน,กรุงเทพมหานคร,2564
1744.9,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,140,หญิง, 40-49 ชั่วโมง,พันคน,กรุงเทพมหานคร,2564
391.2,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,141,หญิง, 50 ชั่วโมงขึ้นไป,พันคน,กรุงเทพมหานคร,2564
86.4,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,142,ชาย, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคกลาง,2564
81.5,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,143,ชาย, 10-19 ชั่วโมง,พันคน,ภาคกลาง,2564
230.1,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,144,ชาย, 20-29 ชั่วโมง,พันคน,ภาคกลาง,2564
229.3,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,145,ชาย, 30-34 ชั่วโมง,พันคน,ภาคกลาง,2564
636.3,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,146,ชาย, 35-39 ชั่วโมง,พันคน,ภาคกลาง,2564
3965.2,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,147,ชาย, 40-49 ชั่วโมง,พันคน,ภาคกลาง,2564
1261.8,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,148,ชาย, 50 ชั่วโมงขึ้นไป,พันคน,ภาคกลาง,2564
442.6,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,149,หญิง, 50 ชั่วโมงขึ้นไป,พันคน,กรุงเทพมหานคร,2563
84.6,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,150,หญิง, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคกลาง,2564
61.4,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,151,หญิง, 10-19 ชั่วโมง,พันคน,ภาคกลาง,2564
231.1,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,152,หญิง, 20-29 ชั่วโมง,พันคน,ภาคกลาง,2564
198.3,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,153,หญิง, 30-34 ชั่วโมง,พันคน,ภาคกลาง,2564
664.3,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,154,หญิง, 35-39 ชั่วโมง,พันคน,ภาคกลาง,2564
3236.5,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,155,หญิง, 40-49 ชั่วโมง,พันคน,ภาคกลาง,2564
1053.0,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,156,หญิง, 50 ชั่วโมงขึ้นไป,พันคน,ภาคกลาง,2564
65.1,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,157,ชาย, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคเหนือ,2564
94.5,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,158,ชาย, 10-19 ชั่วโมง,พันคน,ภาคเหนือ,2564
312.1,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,159,ชาย, 20-29 ชั่วโมง,พันคน,ภาคเหนือ,2564
315.0,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,160,ชาย, 30-34 ชั่วโมง,พันคน,ภาคเหนือ,2564
447.8,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,161,ชาย, 35-39 ชั่วโมง,พันคน,ภาคเหนือ,2564
1490.5,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,162,ชาย, 40-49 ชั่วโมง,พันคน,ภาคเหนือ,2564
564.4,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,163,ชาย, 50 ชั่วโมงขึ้นไป,พันคน,ภาคเหนือ,2564
65.2,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,164,หญิง, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคเหนือ,2564
83.5,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,165,หญิง, 10-19 ชั่วโมง,พันคน,ภาคเหนือ,2564
298.6,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,166,หญิง, 20-29 ชั่วโมง,พันคน,ภาคเหนือ,2564
247.0,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,167,หญิง, 30-34 ชั่วโมง,พันคน,ภาคเหนือ,2564
398.2,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,168,หญิง, 35-39 ชั่วโมง,พันคน,ภาคเหนือ,2564
1178.8,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,169,หญิง, 40-49 ชั่วโมง,พันคน,ภาคเหนือ,2564
481.1,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,170,หญิง, 50 ชั่วโมงขึ้นไป,พันคน,ภาคเหนือ,2564
147.2,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,171,ชาย, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
144.8,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,172,ชาย, 10-19 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
454.6,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,173,ชาย, 20-29 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
395.3,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,174,ชาย, 30-34 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
858.8,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,175,ชาย, 35-39 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
2410.4,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,176,ชาย, 40-49 ชั่วโมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564
