จำนวน,_id,ปี,ประเภทแรงงาน,อาชีพ
122072,103,2563,แรงงานในระบบ,วิชาชีพด้านเทคนิค
112126,104,2563,แรงงานในระบบ,เสมียน
126721,105,2563,แรงงานในระบบ,พนักงานบริการ
1988,106,2563,แรงงานในระบบ,ด้านเกษตรและประมง
171638,107,2563,แรงงานในระบบ,ด้านความสามารถทางฝีมือ
319265,108,2563,แรงงานในระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
98475,109,2563,แรงงานในระบบ,อาชีพพื้นฐานต่าง ๆ
0,110,2563,แรงงานในระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
13293,111,2563,แรงงานนอกระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
3794,112,2563,แรงงานนอกระบบ,วิชาชีพด้านต่าง ๆ
640,113,2563,แรงงานนอกระบบ,วิชาชีพด้านเทคนิค
905,114,2563,แรงงานนอกระบบ,เสมียน
44760,115,2563,แรงงานนอกระบบ,พนักงานบริการ
10485,116,2563,แรงงานนอกระบบ,ด้านเกษตรและประมง
10574,117,2563,แรงงานนอกระบบ,ด้านความสามารถทางฝีมือ
37958,118,2563,แรงงานนอกระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
5479,119,2563,แรงงานนอกระบบ,อาชีพพื้นฐานต่าง ๆ
0,120,2563,แรงงานนอกระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
54167,121,2562,แรงงานในระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
73527,122,2562,แรงงานในระบบ,วิชาชีพด้านต่าง ๆ
73018,123,2562,แรงงานในระบบ,วิชาชีพด้านเทคนิค
120130,124,2562,แรงงานในระบบ,เสมียน
164882,125,2562,แรงงานในระบบ,พนักงานบริการ
522,126,2562,แรงงานในระบบ,ด้านเกษตรและประมง
150833,127,2562,แรงงานในระบบ,ด้านความสามารถทางฝีมือ
289842,128,2562,แรงงานในระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
141473,129,2562,แรงงานในระบบ,อาชีพพื้นฐานต่าง ๆ
5493,130,2562,แรงงานในระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
33370,131,2562,แรงงานนอกระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
4185,132,2562,แรงงานนอกระบบ,วิชาชีพด้านต่าง ๆ
6928,133,2562,แรงงานนอกระบบ,วิชาชีพด้านเทคนิค
1815,134,2562,แรงงานนอกระบบ,เสมียน
134981,135,2562,แรงงานนอกระบบ,พนักงานบริการ
8385,136,2562,แรงงานนอกระบบ,ด้านเกษตรและประมง
14780,137,2562,แรงงานนอกระบบ,ด้านความสามารถทางฝีมือ
56495,138,2562,แรงงานนอกระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
18782,139,2562,แรงงานนอกระบบ,อาชีพพื้นฐานต่าง ๆ
0,140,2562,แรงงานนอกระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
55847,141,2561,แรงงานในระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
54641,142,2561,แรงงานในระบบ,วิชาชีพด้านต่าง ๆ
111385,143,2561,แรงงานในระบบ,วิชาชีพด้านเทคนิค
80082,144,2561,แรงงานในระบบ,เสมียน
148966,145,2561,แรงงานในระบบ,พนักงานบริการ
2025,146,2561,แรงงานในระบบ,ด้านเกษตรและประมง
174294,147,2561,แรงงานในระบบ,ด้านความสามารถทางฝีมือ
318707,148,2561,แรงงานในระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
123421,149,2561,แรงงานในระบบ,อาชีพพื้นฐานต่าง ๆ
5273,150,2561,แรงงานในระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
26488,151,2561,แรงงานนอกระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
6258,152,2561,แรงงานนอกระบบ,วิชาชีพด้านต่าง ๆ
1900,153,2561,แรงงานนอกระบบ,วิชาชีพด้านเทคนิค
1621,154,2561,แรงงานนอกระบบ,เสมียน
142659,155,2561,แรงงานนอกระบบ,พนักงานบริการ
9191,156,2561,แรงงานนอกระบบ,ด้านเกษตรและประมง
13895,157,2561,แรงงานนอกระบบ,ด้านความสามารถทางฝีมือ
33573,158,2561,แรงงานนอกระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
21923,159,2561,แรงงานนอกระบบ,อาชีพพื้นฐานต่าง ๆ
0,160,2561,แรงงานนอกระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
39157,161,2560,แรงงานในระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
39145,162,2560,แรงงานในระบบ,วิชาชีพด้านต่าง ๆ
92796,163,2560,แรงงานในระบบ,วิชาชีพด้านเทคนิค
83875,164,2560,แรงงานในระบบ,เสมียน
96780,165,2560,แรงงานในระบบ,พนักงานบริการ
0,166,2560,แรงงานในระบบ,ด้านเกษตรและประมง
163360,167,2560,แรงงานในระบบ,ด้านความสามารถทางฝีมือ
338221,168,2560,แรงงานในระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
134187,169,2560,แรงงานในระบบ,อาชีพพื้นฐานต่าง ๆ
10681,170,2560,แรงงานในระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
24154,171,2560,แรงงานนอกระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
605,172,2560,แรงงานนอกระบบ,วิชาชีพด้านต่าง ๆ
3036,173,2560,แรงงานนอกระบบ,วิชาชีพด้านเทคนิค
4657,174,2560,แรงงานนอกระบบ,เสมียน
198221,175,2560,แรงงานนอกระบบ,พนักงานบริการ
14334,176,2560,แรงงานนอกระบบ,ด้านเกษตรและประมง
24023,177,2560,แรงงานนอกระบบ,ด้านความสามารถทางฝีมือ
38674,178,2560,แรงงานนอกระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
13911,179,2560,แรงงานนอกระบบ,อาชีพพื้นฐานต่าง ๆ
0,180,2560,แรงงานนอกระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
61893,181,2559,แรงงานในระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
62127,182,2559,แรงงานในระบบ,วิชาชีพด้านต่าง ๆ
106921,183,2559,แรงงานในระบบ,วิชาชีพด้านเทคนิค
88331,184,2559,แรงงานในระบบ,เสมียน
126845,185,2559,แรงงานในระบบ,พนักงานบริการ
4077,186,2559,แรงงานในระบบ,ด้านเกษตรและประมง
172700,187,2559,แรงงานในระบบ,ด้านความสามารถทางฝีมือ
338704,188,2559,แรงงานในระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
136751,189,2559,แรงงานในระบบ,อาชีพพื้นฐานต่าง ๆ
7045,190,2559,แรงงานในระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
28937,191,2559,แรงงานนอกระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
0,192,2559,แรงงานนอกระบบ,วิชาชีพด้านต่าง ๆ
7135,193,2559,แรงงานนอกระบบ,วิชาชีพด้านเทคนิค
2802,194,2559,แรงงานนอกระบบ,เสมียน
119491,195,2559,แรงงานนอกระบบ,พนักงานบริการ
16796,196,2559,แรงงานนอกระบบ,ด้านเกษตรและประมง
25379,197,2559,แรงงานนอกระบบ,ด้านความสามารถทางฝีมือ
28161,198,2559,แรงงานนอกระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
14793,199,2559,แรงงานนอกระบบ,อาชีพพื้นฐานต่าง ๆ
0,200,2559,แรงงานนอกระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
