เงินทุนหมุนเวียน,_id,หน่วยงานเจ้าของ,หน่วย,ชื่อโรงงาน,ปีที่ได้รับอนุญาต,ตำบล,อำเภอ,TSIC,รหัสประเภท
1000000,47,สำนักงานอุตสาหกรรมจังหวัด,บาท,สุรัญญาพืชผล,2555,น้ำเที่ยง,คำชะอี,10621,906
500000,48,สำนักงานอุตสาหกรรมจังหวัด,บาท,ลูกชิ้นสมศักดิ์,2556,นาสีนวน,เมืองมุกดาหาร,10139,403
10000000,49,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท ธงทอง รับเบอร์ จำกัด,2556,โพนทราย,เมืองมุกดาหาร,22191,5203
2000000,50,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด บิ๊ก ดี เลี่ยงเมือง,2556,มุกดาหาร,เมืองมุกดาหาร,25111,6302
1000000,51,สำนักงานอุตสาหกรรมจังหวัด,บาท,ลานมันสุวิทย์พืชผล,2556,หนองแคน,ดงหลวง,10621,906
1000000,52,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท มุกดาหารไบโอแก๊ส จำกัด,2556,หนองแคน,ดงหลวง,20111,8900
2000000,53,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท ทรัสต์ รับเบอร์ อินดัสตรี จำกัด,2556,กกแดง,นิคมคำสร้อย,22191,5203
10000000,54,สำนักงานอุตสาหกรรมจังหวัด,บาท,โรงงานผลิตอาหารสัตว์หนองสูง,2556,หนองสูงเหนือ,หนองสูง,10801,1501
500000,55,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด ท่าทรายศรีเผย มุกดาหาร,2556,บางทรายน้อย,หว้านใหญ่,8103,304
500000,56,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด ทรัพย์ปรีชาวิศวกรรม,2557,คำอาฮวน,เมืองมุกดาหาร,23953,5801
6000000,57,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด บิ๊กดี โนนสว่าง,2557,บางทรายใหญ่,เมืองมุกดาหาร,25111,6302
2000000,58,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท บุญศิริ โฟรเซ่นโปรดักส์ จำกัด,2557,บางทรายใหญ่,เมืองมุกดาหาร,52101,9200
1000000,59,สำนักงานอุตสาหกรรมจังหวัด,บาท,บี-ควิก สาขาโรบินสัน มุกดาหาร,2557,มุกดาหาร,เมืองมุกดาหาร,33121,9501
6000000,60,สำนักงานอุตสาหกรรมจังหวัด,บาท,บิ๊ก ดี คำชะอี,2557,น้ำเที่ยง,คำชะอี,25111,6302
500000,61,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด มุกดาหาร บีเอ็มซี คอนกรีต,2558,คำอาฮวน,เมืองมุกดาหาร,23953,5801
500000,62,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท ดีโฮมคอนกรีตมุกดาหาร จำกัด,2558,มุกดาหาร,เมืองมุกดาหาร,23951,5801
500000,63,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด เอส.พี. คอนกรีตมุกดาหาร,2558,มุกดาหาร,เมืองมุกดาหาร,23953,5801
3000000,64,สำนักงานอุตสาหกรรมจังหวัด,บาท,บิ๊ก ดี วัสดุ,2558,มุกดาหาร,เมืองมุกดาหาร,25111,6302
4000000,65,สำนักงานอุตสาหกรรมจังหวัด,บาท,โรงงานหลังคาเหล็ก สยามช้างไทย มุกดาหาร,2558,มุกดาหาร,เมืองมุกดาหาร,25111,6302
5000000,66,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท พรีเมียร์ ควอลิตี้ สตาร์ช จำกัด,2558,คำป่าหลาย,เมืองมุกดาหาร,35101,8802
3000000,67,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้องเย็นมหาชัยวาริน,2558,มุกดาหาร,เมืองมุกดาหาร,52101,9200
5000000,68,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),2558,คำป่าหลาย,เมืองมุกดาหาร,38300,10600
500000,69,สำนักงานอุตสาหกรรมจังหวัด,บาท,สุวิทย์พืชผล,2558,ดงหลวง,ดงหลวง,38300,10600
500000,70,สำนักงานอุตสาหกรรมจังหวัด,บาท,,2558,โพธิ์ไทร,ดอนตาล,16230,3601
2000000,71,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท โรงสีมุกธัญญา จำกัด,2559,มุกดาหาร,เมืองมุกดาหาร,1630,201
50000000,72,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),2559,คำป่าหลาย,เมืองมุกดาหาร,10612,902
200000000,73,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท พรีเมียร์โมดิไฟด์สตาร์ช จำกัด,2559,คำป่าหลาย,เมืองมุกดาหาร,10612,902
1000000,74,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท กิมชุนไอซ์ มุกดาหาร จำกัด,2559,กุดแข้,เมืองมุกดาหาร,10795,1400
500000,75,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท มุกดาหาร พลาสติก จำกัด,2559,คำป่าหลาย,เมืองมุกดาหาร,22220,5304
500000,76,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท คิงส์ คอนกรีต มุกดาหาร จำกัด,2559,คำอาฮวน,เมืองมุกดาหาร,23951,5801
500000,77,สำนักงานอุตสาหกรรมจังหวัด,บาท,บิ๊กศิริมาศ,2559,ดงหลวง,ดงหลวง,23953,5801
50000,78,สำนักงานอุตสาหกรรมจังหวัด,บาท,,2559,นาสีนวน,เมืองมุกดาหาร,33151,7501
1000000,79,สำนักงานอุตสาหกรรมจังหวัด,บาท,โรงฆ่าสัตว์สหกรณ์การเกษตรหนองสูง จำกัด,2560,มุกดาหาร,เมืองมุกดาหาร,10111,401
1000000,80,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท เกียรติมุกดา พรีเมี่ยมไอซ์ จำกัด,2560,คำอาฮวน,เมืองมุกดาหาร,10795,1400
500000,81,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด ว่านใหญ่การเกษตร,2560,คำป่าหลาย,เมืองมุกดาหาร,23991,4001
315000000,82,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท นาคิเทค จำกัด,2560,คำป่าหลาย,เมืองมุกดาหาร,22191,5203
20000000,83,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท โมโตเมค จำกัด,2560,บางทรายใหญ่,เมืองมุกดาหาร,33121,9501
25000000,84,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท โตโยต้ามุกดาหาร(1993) ผู้จำหน่ายโตโยต้า จำกัด,2560,มุกดาหาร,เมืองมุกดาหาร,33121,9501
5000000,85,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท กิมชุนไอซ์ นิคมคำสร้อย จำกัด,2560,นิคมคำสร้อย,นิคมคำสร้อย,10795,1400
500000,86,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด ชนัญญาการเกษตร,2560,หว้านใหญ่,หว้านใหญ่,10611,901
500000,87,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด ว่านใหญ่การเกษตร,2561,คำป่าหลาย,เมืองมุกดาหาร,22191,5203
500000,88,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด สามอาร์ ซีเมนต์,2561,หนองเอี่ยน,คำชะอี,23953,5801
500000,89,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท หินสวย ทรายงาม จำกัด,2561,โพธิ์ไทร,ดอนตาล,8103,304
500000,90,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด ป.มุกดาหาร,2561,บางทรายน้อย,หว้านใหญ่,8103,304
500000,91,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด เอ พี แมชชีนเนอรี่ คอนสตรั๊คชั่น,2561,บางทรายน้อย,หว้านใหญ่,8103,304
500000,92,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด ท่าทรายโชคบริบูรณ์,2561,บางทรายน้อย,หว้านใหญ่,8103,304
200000,93,สำนักงานอุตสาหกรรมจังหวัด,บาท,โรงน้ำแข็งพีทีเอ็ม,2562,บางทรายใหญ่,เมืองมุกดาหาร,10795,1400
100000,94,สำนักงานอุตสาหกรรมจังหวัด,บาท,ไม้งาม,2562,ดงเย็น,เมืองมุกดาหาร,16230,3601
500000,95,สำนักงานอุตสาหกรรมจังหวัด,บาท,โรงงานแผ่นหลังคาเหล็ก BK,2562,บางทรายใหญ่,เมืองมุกดาหาร,25111,6302
500000,96,สำนักงานอุตสาหกรรมจังหวัด,บาท,สินเจริญ,2562,ดอนตาล,ดอนตาล,23953,5801
500000,97,สำนักงานอุตสาหกรรมจังหวัด,บาท,ท่าทรายนางสาววาสนา กำยาน,2562,บางทรายน้อย,หว้านใหญ่,8103,304
2000000,98,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท ดีดี พลาสติก จำกัด,2562,ชะโนด,หว้านใหญ่,22220,5304
10000000,99,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด เดอะมอส ไอเดีย แอนด์ ดราก้อน,2563,คำอาฮวน,เมืองมุกดาหาร,1630,201
1000000,100,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด มุกดาหารพัฒนาก่อสร้าง,2563,โพนทราย,เมืองมุกดาหาร,23951,5801
10000000,101,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท อินฟินิท รับเบอร์ จำกัด,2563,กกแดง,นิคมคำสร้อย,22191,5203
5000000,102,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท เอ็นเนอร์โกร (ประเทศไทย) จำกัด,2564,คำอาฮวน,เมืองมุกดาหาร,10491,701
1000000,103,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท ว่านใหญ่เอ็นเตอร์ไพรส์ จำกัด,2564,คำป่าหลาย,เมืองมุกดาหาร,22230,5305
50000,104,สำนักงานอุตสาหกรรมจังหวัด,บาท,เจริญอิฐแดง,2564,มุกดาหาร,เมืองมุกดาหาร,23921,5600
1000000,105,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท สามน้ำวิศวกรรม จำกัด,2564,มุกดาหาร,เมืองมุกดาหาร,23953,5801
500000,106,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด เอส.พี. คอนกรีตมุกดาหาร,2564,กุดแข้,เมืองมุกดาหาร,23953,5801
1000000,107,สำนักงานอุตสาหกรรมจังหวัด,บาท,ปาโก้เมทัลชีท,2564,มุกดาหาร,เมืองมุกดาหาร,25111,6302
10000,108,สำนักงานอุตสาหกรรมจังหวัด,บาท,มีชัยการช่าง,2564,มุกดาหาร,เมืองมุกดาหาร,25922,6413
2000000,109,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท มุกดาหาร ฮอนด้าคาร์ส จำกัด,2564,มุกดาหาร,เมืองมุกดาหาร,28110,6500
5000,110,สำนักงานอุตสาหกรรมจังหวัด,บาท,เจริญศิลป์,2564,มุกดาหาร,เมืองมุกดาหาร,29309,7702
700000,111,สำนักงานอุตสาหกรรมจังหวัด,บาท,มหาชัยวาริน (สาขามุกดาหาร),2564,มุกดาหาร,เมืองมุกดาหาร,52101,9200
500000,112,สำนักงานอุตสาหกรรมจังหวัด,บาท,ดอนตาลคอนกรีต,2564,ดอนตาล,ดอนตาล,23953,5801
5000000,113,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท ศรีรุ้งเฟอร์นิเจอร์ จำกัด,2564,กกแดง,นิคมคำสร้อย,16230,3601
1000000,114,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด ป่งแดงการช่าง,2564,หนองแวง,นิคมคำสร้อย,23953,5801
1000000,115,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด ท่าทรายศรีเผย มุกดาหาร,2564,ป่งขาม,หว้านใหญ่,33151,7501
1000000,116,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท ดีโฮมคอนกรีต มุกดาหาร จำกัด สาขา 1,2564,หนองเอี่ยน,คำชะอี,23953,5801
1000000,117,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด สมบูรณ์ธารา,2565,มุกดาหาร,เมืองมุกดาหาร,23961,301
1000000,118,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด ท่าทรายทรัพย์ทรายทอง 2001,2565,นาสีนวน,เมืองมุกดาหาร,8103,304
1000000,119,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท มุกดาหาร วู๊ดชิพ จำกัด,2565,คำป่าหลาย,เมืองมุกดาหาร,16299,3404
10000000,120,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท กู๊ด บิวดิ้ง ดีไซน์ จำกัด,2565,บางทรายใหญ่,เมืองมุกดาหาร,23951,5801
1000000,121,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท ป.วัสดุ มุกดาหาร จำกัด,2565,มุกดาหาร,เมืองมุกดาหาร,23951,5801
5000000,122,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด เมืองทองทวีทรัพย์,2565,ดงหลวง,ดงหลวง,19209,5004
500000,123,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท หินสวย ทรายงาม จำกัด,2565,โพธิ์ไทร,ดอนตาล,33151,7501
20000000,124,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท เสริมชัย คอมเมิร์ซ จำกัด,2565,โชคชัย,นิคมคำสร้อย,16299,3404
5000000,125,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท วารีเทพ มุกดาหาร จำกัด,2565,บางทรายน้อย,หว้านใหญ่,10795,1400
1000000,126,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด เอส บี คอนกรีต 1994,2565,หนองแวง,นิคมคำสร้อย,23953,5801
1000000,127,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท มหาอนันต์ วู๊ดชิพ จำกัด,2566,กุดแข้,เมืองมุกดาหาร,16299,3404
1000000,128,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท อิสาน ทิมเบอร์ จำกัด,2566,คำป่าหลาย,เมืองมุกดาหาร,16299,3404
1000000000,129,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท รับเบอร์แลนด์โปรดักส์ จำกัด,2566,บางทรายใหญ่,เมืองมุกดาหาร,22191,5202
10000000,130,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท สุริยาขนส่งอุบล จำกัด,2566,หนองเอี่ยน,คำชะอี,19201,5004
5000000,131,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท กิมชุนไอซ์ ดอนตาล จำกัด,2566,โพธิ์ไทร,ดอนตาล,10795,1400
400000,132,สำนักงานอุตสาหกรรมจังหวัด,บาท,กลุ่มเกษตรกรทำสวนยางพาราบ้านหนองบอน,2566,นาสะเม็ง,ดอนตาล,22191,5203
5000000,133,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด เพชรรวมสาส์น มุกดาหาร,2566,หนองแวง,นิคมคำสร้อย,19201,5004
500000,134,สำนักงานอุตสาหกรรมจังหวัด,บาท,นางสาวจารุณี เชื้อคำจันทร์,2567,หนองแคน,ดงหลวง,38300,10600
500000,135,สำนักงานอุตสาหกรรมจังหวัด,บาท,นางสาวนิสัย เชื้อคำจันทร์,2567,หนองแคน,ดงหลวง,38300,10600
5000000,136,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด ครอส ริเวอร์ โลจิสติกส์,2567,ผึ่งแดด,เมืองมุกดาหาร,19209,5004
