_id,รายชื่อสถานประกอบการ,ปี,ระดับ
2150,บริษัท สุขสมบูรณ์น้ำมันพืช จำกัด,2563,2
2151,บริษัท แสงเจริญอีสเทิร์น กัลวาไนซ์ จำกัด,2563,2
2152,บริษัท ยานากิซาวะ พรีซิชั่น (ไทยแลนด์) จำกัด,2563,2
2153,บริษัท ดีเอสเอ็ม นิวทริชั่นแนล โปรดักส์ (ประเทศไทย) จำกัด,2563,2
2154,บริษัท มิยามะ พรีซิชั่น (ประเทศไทย) จำกัด,2563,2
2155,บริษัท ฟูยิต้า ราชิ (ไทยแลนด์) จำกัด,2563,2
2156,บริษัท ซีออยล์ ปิโตรเคมีคอล จำกัด,2563,2
2157,บริษัท แอปโก ออโต้บอดี้ แอนด์ ดายส์ จำกัด,2563,2
2158,บริษัท อีสเทิน แมททีเรียล แอนด์ คอนกรีต จำกัด,2563,2
2159,บริษัท เกียนล็อค (ไทยแลนด์) จำกัด,2563,2
2160,บริษัท เกียนล็อค (ไทยแลนด์) จำกัด,2563,2
2161,บริษัท เกียนล็อค (ไทยแลนด์) จำกัด,2563,2
2162,บริษัท เกียนล็อค (ไทยแลนด์) จำกัด,2563,2
2163,บริษัท ฮัวเหว่ย อินดัสเทรียล จำกัด,2563,2
2164,บริษัท ฮัวเหว่ย อินดัสเทรียล จำกัด,2563,2
2165,ห้างหุ้นส่วนจำกัด ชาลี รีไซเคิล,2563,2
2166,บริษัท เคอรี่ สยามซีพอร์ต จำกัด,2563,2
2167,บริษัท เคอรี่ สยามซีพอร์ต จำกัด,2563,2
2168,บริษัท อลูคอน จำกัด (มหาชน),2563,2
2169,บริษัท บูรณาพา กรุ๊ป จำกัด,2563,2
2170,บริษัท พีซีซีเอ แล็บบอราเทอรี่ จำกัด,2562,2
2171,บริษัท ตั้งเซียะปิงโลหะกิจ จำกัด,2562,2
2172,บริษัท สหเครน เวอร์วิส จำกัด,2562,2
2173,บริษัท ฮิวเทค (เอเชีย) จำกัด,2562,2
2174,บริษัท บี.เอ.ซี.เทค จำกัด,2562,2
2175,บริษัท เอ๊กซ์เท็นซีฟว์ รีเสิร์ช โพลีเมอร์ส จำกัด,2562,2
2176,บริษัท เอส.วาย.เค.แฟคตอรี่ แอนด์ โปรดักส์ จำกัด,2562,2
2177,บริษัท สามเจริญพาเลต จำกัด,2562,2
2178,บริษัท เอสเลนไทย จำกัด,2562,2
2179,บริษัท โซโนโค (ประเทศไทย) จำกัด,2562,2
2180,บริษัท อีอาร์พี คอมปาวด์ จำกัด,2562,2
2181,บริษัท โค้วชั่งเอี๊ยะอุตสาหกรรมแป้งมันและสาคู จำกัด,2562,2
2182,บริษัท ทีดับเบิ้ลยู แพ็คเกจจิ้ง จำกัด,2562,2
2183,บริษัท คิชิโมโต อินดัสตรี (ประเทศไทย) จำกัด,2562,2
2184,บริษัท วาลเมท จำกัด,2562,2
2185,บริษัท โซโนโค (ประเทศไทย) จำกัด,2562,2
2186,บริษัท ตั้งเซียะปิง โลหะกิจ จำกัด,2562,2
2187,บริษัท แวนเทค เอ็ม.เอฟ จำกัด,2562,2
2188,บริษัท น้ำตาลนิวกว้างสุ้นหลี จำกัด,2562,2
2189,บริษัท เอ็นเนอร์ยี่ เพอร์เฟค จำกัด,2562,2
2190,บริษัท เด็คส์เตอร์ อินดัสทรี จำกัด,2562,2
2191,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),2562,2
2192,บริษัท ไฮมิก จำกัด,2562,2
2193,บริษัท น้ำปลาพิไชย จำกัด,2562,2
2194,บริษัท กันกุล โซล่าร์ พาวเวอร์ 2 จำกัด,2562,2
2195,บริษัท เอ.เจ.พลาสท์ จำกัด (มหาชน),2562,2
2196,บริษัท คิงส์ แพ็ค อินดัสเตรียล จำกัด,2562,2
2197,บริษัท พี เอส ซี สตาร์ช โปรดักส์ จำกัด (มหาชน),2562,2
2198,บริษัท ซัน-เอ็น (ไทยแลนด์) จำกัด,2562,2
2199,บริษัท พี.เอส.ซี.สตาร์ช โปรดักส์ จำกัด (มหาชน),2562,2
2200,บริษัท เอสเอ็ม-ไซโคล (ไทยแลนด์) จำกัด,2562,2
2201,บริษัท บี.ที.โอโต้พาร์ต จำกัด,2562,2
2202,บริษัท บี.ที.โอโต้พาร์ต จำกัด,2562,2
2203,บริษัท ลิลลี่ โทเบก้า จำกัด,2562,2
2204,บริษัท จัสมิน เอ็นไวรอนเม้นท์ จำกัด,2562,2
2205,บริษัท ยูนิเวอร์แซล วอเตอร์ เคมิคอล แอนด์ โซลูชั่นส์ จำกัด,2562,2
2206,บริษัท ยูนิเวอร์แซล โปรเซส เคมิคอล แอนด์ อีควิปเม้นต์ เซอร์วิส จำกัด,2562,2
2207,เปาเหล่ากง,2562,2
2208,วิสาหกิจชุมชนกลุ่มแม่บ้านเกษตรกรสิบเอ็ดร่วมใจ,2562,2
2209,บริษัท คอร์ดสแตรป (ประเทศไทย) จำกัด,2562,2
2210,บริษัท แคร์เท็กซ์ เอเซีย จำกัด,2562,2
2211,บริษัท ยุโรดรัม (ประเทศไทย) จำกัด,2562,2
2212,บริษัท ซีเค รีเจน ซิสเต็มส์ จำกัด,2562,2
2213,บริษัท ไดโดะ สตีล (ประเทศไทย) จำกัด,2562,2
2214,บริษัท คิงส์แบ็ก จำกัด,2562,2
2215,บริษัท ไทย อุย ไซเคน จำกัด,2562,2
2216,บริษัท พีซีซีเอ แล็บบอราเทอรี่ จำกัด,2564,2
2217,บริษัท แซฟฟรอน แลบบอราทอรีส์ จำกัด,2564,2
2218,บริษัท เอ็กซ์เท็นซีฟว์ รีเสิร์ช โพลีเมอร์ จำกัด,2564,2
2219,บริษัท อีอาร์พี คอมปาวด์ จำกัด,2564,2
2220,บริษัท ทีดับเบิ้ลยู แพ็คเกจจิ้ง จำกัด,2564,2
2221,บริษัท เอ.เจ.พลาสท์ จำกัด (มหาชน),2564,2
2222,บริษัท ไทย อุย ไซเคน จำกัด,2564,2
2223,บริษัท พี.เอส.ซี.สตาร์ช โปรดักส์ จำกัด (มหาชน),2564,2
2224,บริษัท พี.เอส.ซี.สตาร์ช โปรดักส์ จำกัด (มหาชน),2564,2
2225,บริษัท น้ำปลาพิไชย จำกัด,2564,2
2226,บริษัท บอนกาแฟ (ประเทศไทย) จำกัด,2564,2
2227,บริษัท ซัน-เอ็น (ไทยแลนด์) จำกัด,2564,2
2228,บริษัท เอสเอ็ม-ไซโคล (ไทยแลนด์) จำกัด,2564,2
2229,บริษัท แอดวานซ์ เอเลเวเทอร์ เซอร์วิส จำกัด,2564,2
2230,บริษัท ฮิวเทค (เอเชีย) จำกัด,2564,2
2231,บริษัท เจทีเอส อลูมิเนียม แอนด์ เมทเทิล จำกัด,2564,2
2232,บริษัท บี.ที.โอโต้พาร์ต จำกัด,2564,2
2233,บริษัท บี.ที.โอโต้พาร์ต จำกัด,2564,2
2234,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),2564,2
2235,บริษัท เด็คส์เตอร์ อินดัสทรี จำกัด,2564,2
2236,บริษัท สเตท คอนสตรัคชั่น จำกัด,2564,2
2237,บริษัท น้ำตาลนิวกว้างสุ้นหลี จำกัด,2564,2
2238,บริษัท ชลบุรี คลีน เอ็นเนอร์ยี่ จำกัด,2564,2
2239,บริษัท แวนเทค เอ็ม.เอฟ จำกัด,2564,2
2240,บริษัท ไทยโพลีเอสเตอร์ จำกัด,2564,2
2241,บริษัท ชาญมั่นคง จำกัด,2564,2
2242,บริษัท ชลประทานคอนกรีต จำกัด,2564,2
2243,บริษัท เอเซียผลิตภัณฑ์ซีเมนต์ จำกัด,2564,2
2244,บริษัท เว่ย ฮาวโมลด์ จำกัด,2562,1
2245,บริษัท ทีเอฟยู ลาเท็กซ์ จำกัด,2562,1
2246,บริษัท ผลิตภัณฑ์คอนกรีตชลบุรี จำกัด (มหาชน),2562,1
2247,บริษัท ผลิตภัณฑ์คอนกรีตชลบุรี จำกัด (มหาชน),2562,1
2248,บริษัท หลินซินเอ็นเตอร์ไพรส์ (ประเทศไทย) จำกัด,2562,1
2249,บริษัท ทีดับเบิ้ลยู แพ็คเกจจิ้ง จำกัด,2562,1
2250,บริษัท บียอนด์ แพ็คเกจจิ้ง จำกัด,2562,1
2251,บริษัท คิงส์ เอ็นเนอร์จี แอนด์ เวซท์ โซลูชั่น จำกัด,2562,1
2252,บริษัท ซินเนอร์จี เฮลท์ (ประเทศไทย) จำกัด,2562,1
2253,บริษัท ทากามัตซึ เอ็น พี เอ็ม (ประเทศไทย) จำกัด,2562,1
2254,บริษัท เอ็น พี เอ็ม อัลลิแอนซ์ คาสติ้ง จำกัด,2562,1
2255,บริษัท ไดโดะ สตีล (ประเทศไทย) จำกัด,2562,1
2256,บริษัท แซนด์ซอร์ จำกัด,2563,1
2257,บริษัท อีสเทิร์น พลาสแพ็ค จำกัด,2563,1
2258,บริษัท เกียนล็อค (ไทยแลนด์) จำกัด,2563,1
2259,บริษัท ฮัวเหว่ย อินดัสเทรียล จำกัด,2563,1
2260,บริษัท ซีออยล์ ปิโตรเคมีคอล จำกัด,2563,1
2261,บริษัท แอดวานซ์ เอเลเวเทอร์ เซอร์วิส จำกัด,2563,1
2262,บริษัท บอนกาแฟ (ประเทศไทย) จำกัด,2563,1
2263,บริษัท เจทีเอส อลูมิเนียม แอนด์ เมทเทิล จำกัด,2564,1
2264,บริษัท จุ้น จี้ แมททีเรียล เทคโนโลยี จำกัด,2564,1
2265,บริษัท ซันโค พลาสติกส์ (ประเทศไทย) จำกัด,2564,1
2266,บริษัท กระเบื้องหลังคาซีแพค จำกัด,2562,4
2267,บริษัท มิตซูบิชิ อีเล็คทริค คอนซูมเมอร์ โปรดักส์ (ประเทศไทย) จำกัด,2562,4
2268,บริษัท โซนี่ เทคโนโลยี (ประเทศไทย) จำกัด,2562,4
2269,บริษัท ไลอ้อน (ประเทศไทย) จำกัด,2562,4
2270,บริษัท นิคเคสยามอลูมิเนียม จำกัด,2562,4
2271,บริษัท อินทรี อีโคไซเคิล จำกัด,2562,4
2272,บริษัท ไวซ์เทค โซลูชั่น (ประเทศไทย) จำกัด,2562,4
2273,บริษัท เด็นโซ่ (ประเทศไทย) จำกัด โรงงานบางปะกง,2562,4
2274,บริษัท โตเกียว โรคิ (ประเทศไทย) จำกัด,2562,4
2275,บริษัท ไทยนิปปอนรับเบอร์อินดัสตรี้ จำกัด (มหาชน),2563,4
2276,บริษัท ไทย โอนลี่ วัน แมเนจ แอนด์ เซอร์วิส จำกัด,2563,4
2277,บริษัท มิตซูบิชิ เอลเลเวเตอร์ เอเชีย จำกัด,2563,4
2278,บริษัท โมเดอร์น ไดสตัฟส์ แอนด์ พิคเมนท์ส จำกัด,2563,4
2279,บริษัท สยามคูโบต้าคอร์ปอเรชั่น จำกัด,2563,4
2280,บริษัท ฮีดากาโยโก เอ็นเตอร์ไพรส์ จำกัด สาขาพานทอง,2564,4
2281,บริษัท ฮีดากาโยโก เอ็นเตอร์ไพรส์ จำกัด สาขาบ่อวิน,2564,4
2282,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน),2564,4
2283,บริษัท ศารายา เอ็มเอฟจี. (ไทยแลนด์) จำกัด,2564,4
2284,บริษัท อี.คิว.รับเบอร์ จำกัด,2564,4
2285,บริษัท ไลอ้อน (ประเทศไทย) จำกัด,2564,4
2286,บริษัท กรีน เมทัลส์ (ประเทศไทย) จำกัด,2564,4
2287,บริษัท อูซูอิ อินเตอร์เนชั่นแนล คอร์ปอเรชั่น (ไทยแลนด์) จำกัด เฟส 8,2564,4
2288,บริษัท อูซูอิ อินเตอร์เนชั่นแนล คอร์ปอเรชั่น (ไทยแลนด์) จำกัด เฟส 4,2564,4
2289,(โครงการโรงไฟฟ้าเอกชนศรีราชา),,
2290,บริษัท ซิก้า (ประเทศไทย) จำกัด,2564,3
2291,บริษัท แอดวานเนคซ์ (ประเทศไทย) จำกัด,2564,3
2292,บริษัท ศารายา เอ็มเอฟจี (ไทยแลนด์) จำกัด,2564,3
2293,บริษัท โทอะโกเซ (ประเทศไทย) จำกัด,2564,3
2294,บริษัท เฟิร์สวัสดุวิทยาศาสตร์ (ประเทศไทย) จำกัด,2564,3
2295,บริษัท จีเอฟพีที นิชิเร (ประเทศไทย) จำกัด,2564,3
2296,บริษัท อดัมแพค (ประเทศไทย) จำกัด,2564,3
2297,บริษัท พยนต์มารีนเซอร์วิส จำกัด,2564,3
2298,บริษัท เวฟ เครสท์ (ประเทศไทย) จำกัด,2564,3
2299,บริษัท อัลไลแอนซ์ ลอนดรี้ (ประเทศไทย) จำกัด,2564,3
2300,บริษัท โฟมเทค อินเตอร์เนชั่นแนล จำกัด,2564,3
2301,บริษัท นิฟโก้ (ไทยแลนด์) จำกัด,2564,3
2302,บริษัท หยวนเด้น อินดัสเตรียล จำกัด,2564,3
2303,บริษัท ไทย คีทาฮารา จำกัด,2564,3
2304,บริษัท ไทยดีเอนทีเพนท์ จำกัด,2564,3
2305,บริษัท วัฒนพันธุ์แพคเกจจิ้งซิสเท็ม จำกัด,2564,3
2306,บริษัท มิเอะ เซกิ (ประเทศไทย) จำกัด,2564,3
2307,บริษัท มาคิตะ แมนูแฟคเจอริ่ง (ไทยแลนด์) จำกัด,2564,3
2308,บริษัท อมตะ ฟาซิลิตี้ เซอร์วิส จำกัด,2564,3
2309,บริษัท เอจีซี เทคโน กลาส (ประเทศไทย) จำกัด,2564,3
2310,บริษัท แคนาเดียน โซลาร์ แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,2564,3
2311,บริษัท ยูเซ็น โลจิสติกส์ (ประเทศไทย) จำกัด,2564,3
2312,บริษัท ยูเซ็น โลจิสติกส์ (ประเทศไทย) จำกัด,2564,3
2313,บริษัท ยูนิไทย ชิปยาร์ด แอนด์ เอนจิเนียริ่ง จำกัด,2564,3
2314,บริษัท จีเอฟพีที นิชิเร (ประเทศไทย) จำกัด,2564,3
2315,บริษัท ไอเอชไอ เทอร์โบ (ประเทศไทย) จำกัด,2564,3
2316,บริษัท คาร์บอน เมจิก (ประเทศไทย) จำกัด,2564,3
2317,บริษัท โตโย เท็กซ์ไทล์ ไทย จำกัด,2564,3
2318,บริษัท เท็กซ์ไทล์เพรสทีจ จำกัด (มหาชน),2564,3
2319,บริษัท โอคุมะ อินด์ (ไทยแลนด์) จำกัด,2564,3
2320,บริษัท ตั้งเซียะปิง โลหะกิจ จำกัด,2564,3
2321,บริษัท เอเอสเอ คอร์รูเกท คอนเทนเนอร์ จำกัด,2564,3
2322,บริษัท ไทยซัมซุง อิเลคโทรนิคส์ จำกัด,2564,3
2323,บริษัท ไทยซัมซุง อิเลคโทรนิคส์ จำกัด,2564,3
2324,บริษัท ไทยซัมซุง อิเลคโทรนิคส์ จำกัด,2564,3
2325,บริษัท ไทยซัมซุง อิเลคโทรนิคส์ จำกัด,2564,3
2326,บริษัท ไทยซัมซุง อิเลคโทรนิคส์ จำกัด,2564,3
2327,บริษัท ไทยซัมซุง อิเลคโทรนิคส์ จำกัด,2564,3
2328,บริษัท นิปปอนเพนต์ (ประเทศไทย) จำกัด,2564,3
2329,บริษัท สึบาคิ โมชั่น คอนโทรล (ไทยแลนด์) จำกัด,2564,3
2330,บริษัท เควายบี (ประเทศไทย) จำกัด,2564,3
2331,บริษัท แชฟฟ์เลอร์ แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,2564,3
2332,บริษัท ไทเท็กซ์ เอเซีย จำกัด,2564,3
2333,บริษัท ซัมมิท โอซูกะ แมนูแฟคเจอริ่ง จำกัด,2564,3
2334,บริษัท คิงส์ แพ็ค อินดัสเตรียล จำกัด,2564,3
2335,บริษัท คิงส์ แบ็ก จำกัด,2564,3
2336,บริษัท อีโค แมเนจเม้นท์ อันดัสเตรียล จำกัด,2564,3
2337,บริษัท ยามาฮ่ามอเตอร์พาร์ทแมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,2564,3
2338,บริษัท วาลเมท จำกัด,2564,3
2339,บริษัท ทัศนาชลบุรี จำกัด,2564,3
2340,บริษัท ทัศนาชลบุรี จำกัด,2564,3
2341,บริษัท ทัศนาชลบุรี จำกัด,2564,3
2342,บริษัท ไลสตริทส์ (ไทยแลนด์) จำกัด,2564,3
2343,บริษัท ซัมโด (ประเทศไทย) จำกัด,2564,3
2344,บริษัท ไดโฮ แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,2564,3
2345,บริษัท โกลว์ ไอพีพี จำกัด,2564,3
2346,บริษัท ไทยนิปปอน คอมโพเนนท์ จำกัด,2564,3
2347,บริษัท เอเค เมคานิคอล แอนด์ รีไซคลิง จำกัด,2564,3
2348,บริษัท วูเทคไทย จำกัด (สาขาแหลมฉบัง),2564,3
2349,บริษัท เอส เอส ซี ออยล์ จำกัด,2564,3
2350,บริษัท ไทย เอ็นโอเค จำกัด,2564,3
2351,บริษัท ไทย เอ็นโอเค จำกัด,2564,3
2352,บริษัท ไทย เอ็นโอเค จำกัด (สำนักงานใหญ่),2564,3
2353,บริษัท ไทย เอ็นโอเค จำกัด,2564,3
2354,บริษัท มูซาชิ เพ้นท์ แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,2564,3
2355,บริษัท ที.เอส.เค. ฟอร์จิ้ง จำกัด,2564,3
2356,บริษัท ซากิโนมิยะ (ประเทศไทย) จำกัด,2564,3
2357,บริษัท พีซีเอ็ม โพรเซ็สซิ่ง (ประเทศไทย) จำกัด,2564,3
2358,บริษัท เด็นโซ่ อิเล็กทรอนิกส์ (ประเทศไทย) จำกัด,2564,3
2359,บริษัท ไดกิ้น แอร์คอนดิชั่นนิ่ง (ประเทศไทย) จำกัด,2564,3
2360,บริษัท เอจีซี แฟลทกลาส (ประเทศไทย) จำกัด (มหาชน),2564,3
2361,บริษัท รีเฟล็กซ์ แพคเก็จจิ้ง (ไทยแลนด์) จำกัด,2564,3
2362,บริษัท เมวา โมลด์ (ไทยแลนด์) จำกัด,2564,3
2363,บริษัท พรีเมี่ยมสตีล โพรเซสซิ่ง จำกัด,2564,3
2364,บริษัท ไอ.ที.จี. (ประเทศไทย) จำกัด,2564,3
2365,บริษัท แพน เอเซีย แพคกิ้ง จำกัด,2564,3
2366,บริษัท จุฑาวรรณ โมลิเทค (ไทยแลนด์) จำกัด,2564,3
2367,บริษัท เชียงอี้ เทคโนโลยี กรุ๊ป จำกัด,2564,3
2368,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน) โรงงานผลิตอาหารสัตว์ศรีราชา,2564,3
2369,บริษัท วาลีโอสยาม เทอร์มอลซิสเต็มส์ จำกัด,2564,3
2370,บริษัท รีฟายนิ่งโลหะมีค่า จำกัด,2564,3
2371,บริษัท นิปปอนซันโซ่ (ไทยแลนด์) จำกัด,2564,3
2372,บริษัท เฟลเทค แมนูแฟคเจอริ่ง จำกัด,2564,3
2373,บริษัท เฟลเทค แมนูแฟคเจอริ่ง จำกัด,2564,3
2374,บริษัท สยาม คีปเปอร์ แมนูแฟคเจอริ่ง จำกัด,2564,3
2375,บริษัท มัตซึดะ ซังเกียว (ประเทศไทย) จำกัด,2564,3
2376,บริษัท ไทยซัมมิท พีเคเค จำกัด,2564,3
2377,บริษัท เอ็นเอสดับบลิว (ประเทศไทย) จำกัด,2564,3
2378,บริษัท แอลแอลไอที (ประเทศไทย) จำกัด,2564,3
2379,บริษัท สยาม แอดวานซ์ เคมีคอล จำกัด,2564,3
2380,บริษัท ทาเคเบะ (ไทยแลนด์) จำกัด,2564,3
2381,บริษัท มิยาเทค (ประเทศไทย) จำกัด,2564,3
2382,บริษัท อีสเทิร์นซิลิเกต จำกัด,2564,3
2383,บริษัท ฟูยิต้า ราชิ (ไทยแลนด์) จำกัด,2564,3
2384,บริษัท ไทย เมน เทค จำกัด,2564,3
2385,บริษัท เออร์ลิคอน บัลเซอร์ส โค้ทติ้ง (ไทยแลนด์) จำกัด,2564,3
2386,บริษัท โกศล-อัมพา จำกัด,2564,3
2387,บริษัท บูรพา พรอสเพอร์ จำกัด,2564,3
2388,บริษัท แซฟฟรอน แลบบอราทอรี่ส์ จำกัด,2564,3
2389,บริษัท อีโค แมเนจเม้นท์ อันดัสเตรียล จำกัด,2564,3
2390,บริษัท อีโค แมเนจเม้นท์ อันดัสเตรียล จำกัด,2564,3
2391,บริษัท อีโค แมเนจเม้นท์ อันดัสเตรียล จำกัด,2564,3
2392,บริษัท ไวด์ เฟธ ฟู้ด (ชลบุรี) จำกัด,2564,3
2393,บริษัท มิตซูบิชิ เทอร์โบชาร์จเจอร์ เอเซีย จำกัด,2564,3
2394,บริษัท ดีไอซี กราฟฟิค (ประเทศไทย) จำกัด,2564,3
2395,บริษัท แอร์ ลิควิค (ประเทศไทย) จำกัด,2564,3
2396,บริษัท โคคุซัง พาร์ท (ประเทศไทย) จำกัด,2564,3
2397,บริษัท ไทยอาราอิ จำกัด *20230,2564,3
2398,บริษัท ไทยอาราอิ จำกัด *20230,2564,3
2399,บริษัท มิโตะ โคเกียว (ประเทศไทย) จำกัด,2564,3
2400,บริษัท ซัมมิท แหลมฉบัง โอโต บอดี้ เวิร์ค จำกัด,2564,3
2401,บริษัท คิชิโมโต อินดัสตรี (ประเทศไทย) จำกัด,2564,3
2402,บริษัท ไทยซัมมิท พลาสเทค จำกัด,2564,3
2403,บริษัท โรงปุ๋ยบ่อทอง จำกัด (สำนักงานใหญ่),2564,3
2404,บริษัท วอล์คเกอร์ เอ็กซอสท์ (ประเทศไทย) จำกัด,2564,3
2405,บริษัท ไทยเพรซิเดนท์ฟูดส์ จำกัด (มหาชน),2564,3
2406,บริษัท พีเจ้น อินดัสทรีส์ (ประเทศไทย) จำกัด,2564,3
2407,บริษัท โทเดนโค (ประเทศไทย) จำกัด,2564,3
2408,บริษัท คิตากาว่า (ประเทศไทย) จำกัด,2564,3
2409,บริษัท เจนโตส (ประเทศไทย) จำกัด,2564,3
2410,บริษัท นิคเคอิ เอ็มซี อลูมินัม (ประเทศไทย) จำกัด,2564,3
2411,บริษัท เอสจีเอฟ (ไทยแลนด์) จำกัด,2564,3
2412,บริษัท สยามโตโยต้าอุตสาหกรรม จำกัด,2564,3
2413,บริษัท ฟาบริเนท จำกัด,2564,3
2414,บริษัท เมทเทิลคอม จำกัด,2564,3
2415,บริษัท โฮริคาวะ รับเบอร์ (ประเทศไทย) จำกัด,2566,3
2416,บริษัท ซัมโด (ประเทศไทย) จำกัด,2566,3
2417,บริษัท ยูนิวานซ์ (ประเทศไทย) จำกัด,2566,3
2418,บริษัท เค.ดี.ฮีท เทคโนโลยี (ประเทศไทย) จำกัด,2566,3
2419,บริษัท ทีเอฟโอ เทค (ไทยแลนด์) จำกัด,2566,3
2420,บริษัท เมลเท็กซ์ เอเซีย (ประเทศไทย) จำกัด,2566,3
2421,บริษัท อาปิโก อมตะ จำกัด,2566,3
2422,บริษัท ชิโรกิ คอร์ปอร์เรชั่น (ไทยแลนด์) จำกัด,2566,3
2423,บริษัท วูเทคไทย จำกัด,2566,3
2424,บริษัท ไทรอัมพ์ เอวิเอชั่น เซอร์วิสเซส เอเซีย จำกัด,2566,3
2425,บริษัท ปิ่นทอง อินดัสเตรียล ปาร์ค จำกัด (มหาชน),2566,3
2426,บริษัท มารูโกะ รับเบอร์ (ไทยแลนด์) จำกัด,2566,3
2427,บริษัท ซี เอส รับเบอร์ อินดัสทรี่ จำกัด,2566,3
2428,บริษัท อาซาฮี เทค อลูมิเนียม (ประเทศไทย) จำกัด,2566,3
2429,บริษัท สยาม เซอร์วิส แอนด์ คอนซัลแทนซี่ จำกัด,2566,3
2430,บริษัท ออโตลิฟ (ประเทศไทย) จำกัด,2566,3
2431,บริษัท ไทย ทสึซูกิ จำกัด,2566,3
2432,บริษัท หมิงไท่ อินดัสเตรียล (ประเทศไทย) จำกัด,2566,3
2433,บริษัท กิฟุ เซอิคิ (ประเทศไทย) จำกัด,2566,3
2434,บริษัท ไทยลัสเตอร์โปรดักส์ จำกัด,2566,3
2435,บริษัท เอ็กซ์สตาร์ เอเชีย คอร์ปอเรชั่น จำกัด,2566,3
2436,บริษัท อาจีกาว่า แอนด์ เอส ซี ไอ เมทัล เทค จำกัด,2566,3
2437,บริษัท อาจีกาว่า แอนด์ เอสซีไอ เมทัล เทค จำกัด,2566,3
2438,บริษัท ชิมิซุ เมทัล แสตมปิ้ง (ไทยแลนด์) จำกัด,2566,3
2439,บริษัท เอ.เจ.พลาสท์ จำกัด (มหาชน),2566,3
2440,บริษัท ซีบีซี อิงส์ (ประเทศไทย) จำกัด,2566,3
2441,บริษัท เทคโนพลาสอุตสาหกรรม (ประเทศไทย) จำกัด,2566,3
2442,บริษัท สหพัฒนาอินเตอร์โฮลดิ้ง จำกัด (มหาชน),2566,3
2443,บริษัท มี้ด จอห์นสัน นิวทริชัน (ประเทศไทย) จำกัด,2566,3
2444,บริษัท นครหลวงคอนกรีต จำกัด,2566,3
2445,บริษัท โออิชิ เทรดดิ้ง จำกัด,2566,3
2446,บริษัท ฟรอยด์เดนเบิร์ก แอนด์ ไวลีน ฟิลเตอร์ (ไทยแลนด์) จำกัด,2566,3
2447,บริษัท เอชแอนด์อาร์ เคมฟาร์ม (ประเทศไทย) จำกัด,2566,3
2448,บริษัท มัลติแบกซ์ จำกัด (มหาชน),2566,3
2449,บริษัท ไทย นิปปอน เซอิกิ จำกัด,2566,3
2450,บริษัท ไทย นิปปอน เซอิกิ จำกัด,2566,3
2451,บริษัท ฮาน ยาง เอ็ม-เทค (ไทยแลนด์) จำกัด,2566,3
2452,บริษัท อู่สมศักดิ์ บอดี้ คาร์ (2018) จำกัด,2566,3
2453,บริษัท พรีแมกซ์ อิเล็กทรอนิกส์ (ประเทศไทย) จำกัด,2566,3
2454,บริษัท สยามเอทีอุตสาหกรรม จำกัด,2566,3
2455,บริษัท ไทย นิชชิน โมลด์ จำกัด,2566,3
2456,บริษัท เคไอ-อิโคเทค จำกัด,2566,3
2457,บริษัท มิยามะ พรีซิชั่น (ประเทศไทย) จำกัด,2566,3
2458,บริษัท ทิมฟานี อะคูสติก เทคโนโลยี (ประเทศไทย) จำกัด,2566,3
2459,บริษัท คาสทูล 180 จำกัด,2566,3
2460,บริษัท ลาบิกซ์ จำกัด,2566,3
2461,บริษัท อาปิโก ฟอร์จจิ้ง จำกัด (มหาชน),2566,3
2462,บริษัท นิชิอิ ไฟน์ เพรส (ไทยแลนด์) จำกัด,2566,3
2463,บริษัท เอ็มซี เมทัลเซอร์วิสเอเซีย (ประเทศไทย) จำกัด,2566,3
2464,บริษัท เอ็มซี เมทัลเซอร์วิสเอเชีย (ประเทศไทย) จำกัด,2566,3
2465,บริษัท จุน จี่ แมททีเรียล เทคโนโลยี จํากัด,2566,3
2466,บริษัท กั๋วหลิน (ไทยแลนด์) จำกัด,2566,3
2467,บริษัท ลู้บ เทคโนโลยี จำกัด,2566,3
2468,บริษัท เอสโซ่ (ประเทศไทย) จำกัด (มหาชน),2566,3
2469,บริษัท ไทโย สเตนเลส สปริง เอ็มเอฟจี (ประเทศไทย) จำกัด,2566,3
2470,บริษัท ยูชิโร (ประเทศไทย) จำกัด,2566,3
2471,บริษัท ไวกิ้ง ไลฟ์-เซฟวิ่ง อิควิปเม้นท์ (ประเทศไทย) จำกัด,2566,3
2472,บริษัท ฮอลลี่ กรุ๊ป อิเลคทริค (ประเทศไทย) จำกัด,2566,3
2473,บริษัท ฮอลลี่ อิเลคทรอนิค มิเตอร์ จำกัด,2566,3
