_id,ปี,ชื่อโรงงาน,ชื่อเจ้าของ,ประกอบกิจการ,อำเภอ,จังหวัด
45,2565,จักรวาลน้ำแข็งหลอด,จักรวาลน้ำแข็งหลอด,ทำน้ำแข็งก้อนเล็ก,ศรีราชา,ชลบุรี
46,2565,บริษัท น้ำแข็งศรีราชา จำกัด,บริษัท น้ำแข็งศรีราชา จำกัด,ผลิตน้ำแข็งหลอด,ศรีราชา,ชลบุรี
47,2565,ห้างหุ้นส่วนจำกัด บางพระดรอป,ห้างหุ้นส่วนจำกัด บางพระดรอป,ผลิตน้ำแข็งก้อนเล็กและน้ำดื่ม,ศรีราชา,ชลบุรี
48,2565,บริษัท ธารารัตน์ น้ำแข็งหลอด (บึงทอง) จำกัด,บริษัท ธารารัตน์ น้ำแข็งหลอด (บึงทอง) จำกัด,ผลิตน้ำแข็งหลอด,ศรีราชา,ชลบุรี
49,2565,บริษัท เอ็ม มารีน 2018 จำกัด,บริษัท เอ็ม มารีน 2018 จำกัด,ทำน้ำแข็งหลอด,ศรีราชา,ชลบุรี
50,2565,บริษัท โรงน้ำแข็ง อ.ลักขณา (บ่อวินกิจวารี) จำกัด,บริษัท โรงน้ำแข็ง อ.ลักขณา (บ่อวินกิจวารี) จำกัด,ทำน้ำแข็งหลอด,ศรีราชา,ชลบุรี
51,2565,บริษัท วรกิจรุ่งเรือง จำกัด,บริษัท วรกิจรุ่งเรือง จำกัด,ทำน้ำแข็ง ได้วันละ 400 ซอง,ศรีราชา,ชลบุรี
52,2565,บริษัท น้ำแข็งศรีราชา จำกัด,บริษัท น้ำแข็งศรีราชา จำกัด,ทำน้ำแข็งซอง,ศรีราชา,ชลบุรี
53,2565,เจริญกิจ,เจริญกิจ,ทำน้ำแข็งก้อนเล็ก,ศรีราชา,ชลบุรี
54,2565,ห้างหุ้นส่วนจำกัด สุขสวัสดิ์น้ำแข็งหลอด,ห้างหุ้นส่วนจำกัด สุขสวัสดิ์น้ำแข็งหลอด,ทำน้ำแข็งก้อนเล็กได้วันละ 21.31 ตัน,ศรีราชา,ชลบุรี
55,2565,นายเชียง เพิ่มพูลโชคคณา,นายเชียง เพิ่มพูลโชคคณา,ผลิตน้ำแข็งซอง กำลังการผลิต 330 ซองต่อวัน,ศรีราชา,ชลบุรี
56,2565,บริษัท โรงน้ำแข็ง สุขสวัสดิ์พันเสด็จ จำกัด,บริษัท โรงน้ำแข็ง สุขสวัสดิ์พันเสด็จ จำกัด,ทำน้ำแข็งซอง,ศรีราชา,ชลบุรี
57,2565,ห้างหุ้นส่วนจำกัด จิตติมาน้ำแข็งหลอด,ห้างหุ้นส่วนจำกัด จิตติมาน้ำแข็งหลอด,ผลิตน้ำแข็งก้อนเล็ก,สัตหีบ,ชลบุรี
58,2565,ห้างหุ้นส่วนสามัญนิติบุคคล โรงน้ำแข็งแสนอุดม,ห้างหุ้นส่วนสามัญนิติบุคคล โรงน้ำแข็งแสนอุดม,ทำน้ำแข็งซอง,สัตหีบ,ชลบุรี
59,2565,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งสัตหีบ,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งสัตหีบ, ทำน้ำแข็งซอง,สัตหีบ,ชลบุรี
60,2565,ห้างหุ้นส่วนจำกัด โรงน้ำเเข็งสัตหีบ,ห้างหุ้นส่วนจำกัด โรงน้ำเเข็งสัตหีบ,ทำน้ำแข็งซอง น้ำแข็งหลอดเล็ก และน้ำแข็งหลอดใหญ่,สัตหีบ,ชลบุรี
