ประเภทโรงงาน,วิธีการกำจัดกาก,_id,หน่วย,ประเภทหรือชนิดโรงงาน,ปริมาณกากอันตราย,ปี,อำเภอ
72,51,15,กิโลกรัม,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ เครื่องกระจายเสียงหรือบันทึกเสียง เครื่องเล่นแผ่นเสียง เครื่องบันทึกคำบอกเครื่องบันทึกเสียงด้วยเทป เครื่องบันทึกคำบอกเครื่องบันทึกด้วยเทป เครื่องเล่นหรือเครื่องบันทึกแถบภาพ (วิดิทัศน์) แผ่นเสียง เทปแม่เหล็กที่ได้บันทึกเสียงแล้ว เครื่องโทรศัพท์หรือโทรเลขชนิดมีสายหรือไม่มีสาย เครื่องส่งวิทยุ เครื่องส่งโทรทัศน์ เครื่องรับส่งสัญญาณหรือจับสัญญาณ เครื่องเรดาร์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำหรือตัวกึ่งนำชนิดไวที่เกี่ยวข้อง (semi-conductor or related sensitive semi- conductor devices) คาปาซิเตอร์หรือคอนเดนเซอร์อิเล็กทรอนิกส์ชนิดคงที่หรือเปลี่ยนแปลงได้ fixed or variable electronic capacitors or condensers) เครื่องหรือหลอดเรดิโอกราฟ เครื่องหรือหลอดฟลูโรสโคป หรือเครื่องหรือหลอดเอซเรย์ และรวมถึงการผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ดังกล่าว,"72,600.00",2566,เมืองลพบุรี
72,52,16,กิโลกรัม,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ เครื่องกระจายเสียงหรือบันทึกเสียง เครื่องเล่นแผ่นเสียง เครื่องบันทึกคำบอกเครื่องบันทึกเสียงด้วยเทป เครื่องบันทึกคำบอกเครื่องบันทึกด้วยเทป เครื่องเล่นหรือเครื่องบันทึกแถบภาพ (วิดิทัศน์) แผ่นเสียง เทปแม่เหล็กที่ได้บันทึกเสียงแล้ว เครื่องโทรศัพท์หรือโทรเลขชนิดมีสายหรือไม่มีสาย เครื่องส่งวิทยุ เครื่องส่งโทรทัศน์ เครื่องรับส่งสัญญาณหรือจับสัญญาณ เครื่องเรดาร์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำหรือตัวกึ่งนำชนิดไวที่เกี่ยวข้อง (semi-conductor or related sensitive semi- conductor devices) คาปาซิเตอร์หรือคอนเดนเซอร์อิเล็กทรอนิกส์ชนิดคงที่หรือเปลี่ยนแปลงได้ fixed or variable electronic capacitors or condensers) เครื่องหรือหลอดเรดิโอกราฟ เครื่องหรือหลอดฟลูโรสโคป หรือเครื่องหรือหลอดเอซเรย์ และรวมถึงการผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ดังกล่าว,"3,642.23",2566,เมืองลพบุรี
72,62,17,กิโลกรัม,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ เครื่องกระจายเสียงหรือบันทึกเสียง เครื่องเล่นแผ่นเสียง เครื่องบันทึกคำบอกเครื่องบันทึกเสียงด้วยเทป เครื่องบันทึกคำบอกเครื่องบันทึกด้วยเทป เครื่องเล่นหรือเครื่องบันทึกแถบภาพ (วิดิทัศน์) แผ่นเสียง เทปแม่เหล็กที่ได้บันทึกเสียงแล้ว เครื่องโทรศัพท์หรือโทรเลขชนิดมีสายหรือไม่มีสาย เครื่องส่งวิทยุ เครื่องส่งโทรทัศน์ เครื่องรับส่งสัญญาณหรือจับสัญญาณ เครื่องเรดาร์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำหรือตัวกึ่งนำชนิดไวที่เกี่ยวข้อง (semi-conductor or related sensitive semi- conductor devices) คาปาซิเตอร์หรือคอนเดนเซอร์อิเล็กทรอนิกส์ชนิดคงที่หรือเปลี่ยนแปลงได้ fixed or variable electronic capacitors or condensers) เครื่องหรือหลอดเรดิโอกราฟ เครื่องหรือหลอดฟลูโรสโคป หรือเครื่องหรือหลอดเอซเรย์ และรวมถึงการผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ดังกล่าว,"17,717.00",2566,เมืองลพบุรี
72,65,18,กิโลกรัม,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ เครื่องกระจายเสียงหรือบันทึกเสียง เครื่องเล่นแผ่นเสียง เครื่องบันทึกคำบอกเครื่องบันทึกเสียงด้วยเทป เครื่องบันทึกคำบอกเครื่องบันทึกด้วยเทป เครื่องเล่นหรือเครื่องบันทึกแถบภาพ (วิดิทัศน์) แผ่นเสียง เทปแม่เหล็กที่ได้บันทึกเสียงแล้ว เครื่องโทรศัพท์หรือโทรเลขชนิดมีสายหรือไม่มีสาย เครื่องส่งวิทยุ เครื่องส่งโทรทัศน์ เครื่องรับส่งสัญญาณหรือจับสัญญาณ เครื่องเรดาร์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำหรือตัวกึ่งนำชนิดไวที่เกี่ยวข้อง (semi-conductor or related sensitive semi- conductor devices) คาปาซิเตอร์หรือคอนเดนเซอร์อิเล็กทรอนิกส์ชนิดคงที่หรือเปลี่ยนแปลงได้ fixed or variable electronic capacitors or condensers) เครื่องหรือหลอดเรดิโอกราฟ เครื่องหรือหลอดฟลูโรสโคป หรือเครื่องหรือหลอดเอซเรย์ และรวมถึงการผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ดังกล่าว,"10,887.00",2566,เมืองลพบุรี
72,73,19,กิโลกรัม,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ เครื่องกระจายเสียงหรือบันทึกเสียง เครื่องเล่นแผ่นเสียง เครื่องบันทึกคำบอกเครื่องบันทึกเสียงด้วยเทป เครื่องบันทึกคำบอกเครื่องบันทึกด้วยเทป เครื่องเล่นหรือเครื่องบันทึกแถบภาพ (วิดิทัศน์) แผ่นเสียง เทปแม่เหล็กที่ได้บันทึกเสียงแล้ว เครื่องโทรศัพท์หรือโทรเลขชนิดมีสายหรือไม่มีสาย เครื่องส่งวิทยุ เครื่องส่งโทรทัศน์ เครื่องรับส่งสัญญาณหรือจับสัญญาณ เครื่องเรดาร์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำหรือตัวกึ่งนำชนิดไวที่เกี่ยวข้อง (semi-conductor or related sensitive semi- conductor devices) คาปาซิเตอร์หรือคอนเดนเซอร์อิเล็กทรอนิกส์ชนิดคงที่หรือเปลี่ยนแปลงได้ fixed or variable electronic capacitors or condensers) เครื่องหรือหลอดเรดิโอกราฟ เครื่องหรือหลอดฟลูโรสโคป หรือเครื่องหรือหลอดเอซเรย์ และรวมถึงการผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ดังกล่าว,"27,812.50",2566,เมืองลพบุรี
72,75,20,กิโลกรัม,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ เครื่องกระจายเสียงหรือบันทึกเสียง เครื่องเล่นแผ่นเสียง เครื่องบันทึกคำบอกเครื่องบันทึกเสียงด้วยเทป เครื่องบันทึกคำบอกเครื่องบันทึกด้วยเทป เครื่องเล่นหรือเครื่องบันทึกแถบภาพ (วิดิทัศน์) แผ่นเสียง เทปแม่เหล็กที่ได้บันทึกเสียงแล้ว เครื่องโทรศัพท์หรือโทรเลขชนิดมีสายหรือไม่มีสาย เครื่องส่งวิทยุ เครื่องส่งโทรทัศน์ เครื่องรับส่งสัญญาณหรือจับสัญญาณ เครื่องเรดาร์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำหรือตัวกึ่งนำชนิดไวที่เกี่ยวข้อง (semi-conductor or related sensitive semi- conductor devices) คาปาซิเตอร์หรือคอนเดนเซอร์อิเล็กทรอนิกส์ชนิดคงที่หรือเปลี่ยนแปลงได้ fixed or variable electronic capacitors or condensers) เครื่องหรือหลอดเรดิโอกราฟ เครื่องหรือหลอดฟลูโรสโคป หรือเครื่องหรือหลอดเอซเรย์ และรวมถึงการผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ดังกล่าว,"276,500.00",2566,เมืองลพบุรี
72,76,21,กิโลกรัม,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ เครื่องกระจายเสียงหรือบันทึกเสียง เครื่องเล่นแผ่นเสียง เครื่องบันทึกคำบอกเครื่องบันทึกเสียงด้วยเทป เครื่องบันทึกคำบอกเครื่องบันทึกด้วยเทป เครื่องเล่นหรือเครื่องบันทึกแถบภาพ (วิดิทัศน์) แผ่นเสียง เทปแม่เหล็กที่ได้บันทึกเสียงแล้ว เครื่องโทรศัพท์หรือโทรเลขชนิดมีสายหรือไม่มีสาย เครื่องส่งวิทยุ เครื่องส่งโทรทัศน์ เครื่องรับส่งสัญญาณหรือจับสัญญาณ เครื่องเรดาร์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำหรือตัวกึ่งนำชนิดไวที่เกี่ยวข้อง (semi-conductor or related sensitive semi- conductor devices) คาปาซิเตอร์หรือคอนเดนเซอร์อิเล็กทรอนิกส์ชนิดคงที่หรือเปลี่ยนแปลงได้ fixed or variable electronic capacitors or condensers) เครื่องหรือหลอดเรดิโอกราฟ เครื่องหรือหลอดฟลูโรสโคป หรือเครื่องหรือหลอดเอซเรย์ และรวมถึงการผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ดังกล่าว,"110,000.00",2566,เมืองลพบุรี
89,42,22,กิโลกรัม,โรงงานผลิตก๊าซ ซึ่งมิใช่ก๊าซธรรมชาติ ส่งหรือจำหน่ายก๊าซ,430,2566,เมืองลพบุรี
95(1),21,23,กิโลกรัม,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,"2,850.00",2566,เมืองลพบุรี
95(1),42,24,กิโลกรัม,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,"133,311.00",2566,เมืองลพบุรี
95(1),49,25,กิโลกรัม,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,"9,760.00",2566,เมืองลพบุรี
95(3),42,26,กิโลกรัม,การพ่นสีกันสนิม ยานที่ขับเคลื่อนด้วยเครื่องยนต์,400,2566,เมืองลพบุรี
95(3),49,27,กิโลกรัม,การพ่นสีกันสนิม ยานที่ขับเคลื่อนด้วยเครื่องยนต์,400,2566,เมืองลพบุรี
88(1),73,28,กิโลกรัม,"การผลิตพลังงานไฟฟ้าจาก พลังงานแสงอาทิตย์ ยกเว้นที่ติดตั้งบนหลังคา ดาดฟ้า หรือส่วนหนึ่งส่วนใดบนอาคารซึ่งบุคคลอาจเข้าอยู่หรือใช้สอยไดโดยมีขนาดกำลังการผลิตติดตั้ง สูงสุดรวมกันของแผงเซลล์แสงอาทิตย์ไม่เกิน 1,000 กิโลวัตต์","158,220.00",2566,โคกสำโรง
17,21,29,กิโลกรัม,	โรงงานผลิต เอทิลแอลกอฮอล์ ซึ่งมิใช่ เอทิลแอลกอฮอล์ ที่ผลิตจากกากซัลไฟด์ในการทำเยื่อกระดาษ,360,2566,โคกสำโรง
17,33,30,กิโลกรัม,	โรงงานผลิต เอทิลแอลกอฮอล์ ซึ่งมิใช่ เอทิลแอลกอฮอล์ ที่ผลิตจากกากซัลไฟด์ในการทำเยื่อกระดาษ,"4,905.00",2566,โคกสำโรง
17,42,31,กิโลกรัม,	โรงงานผลิต เอทิลแอลกอฮอล์ ซึ่งมิใช่ เอทิลแอลกอฮอล์ ที่ผลิตจากกากซัลไฟด์ในการทำเยื่อกระดาษ,"3,880.00",2566,โคกสำโรง
17,49,32,กิโลกรัม,	โรงงานผลิต เอทิลแอลกอฮอล์ ซึ่งมิใช่ เอทิลแอลกอฮอล์ ที่ผลิตจากกากซัลไฟด์ในการทำเยื่อกระดาษ,"2,090.00",2566,โคกสำโรง
17,73,33,กิโลกรัม,	โรงงานผลิต เอทิลแอลกอฮอล์ ซึ่งมิใช่ เอทิลแอลกอฮอล์ ที่ผลิตจากกากซัลไฟด์ในการทำเยื่อกระดาษ,630,2566,โคกสำโรง
17,75,34,กิโลกรัม,	โรงงานผลิต เอทิลแอลกอฮอล์ ซึ่งมิใช่ เอทิลแอลกอฮอล์ ที่ผลิตจากกากซัลไฟด์ในการทำเยื่อกระดาษ,850,2566,โคกสำโรง
2(11),73,35,กิโลกรัม,การฟักไข่ โดยใช้ตู้อบ,110,2566,โคกสำโรง
2(11),75,36,กิโลกรัม,การฟักไข่ โดยใช้ตู้อบ,"1,120.00",2566,โคกสำโรง
4(3),33,37,กิโลกรัม,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์หรือกระดูกสัตว์,253.5,2566,โคกสำโรง
46(2),21,38,กิโลกรัม,การผลิตวัตถุที่มุ่งหมายสำหรับใช้ในการวิเคราะห์ บำบัด บรรเทา รักษา หรือป้องกันโรค หรือความเจ็บป่วยของมนุษย์ หรือสัตว์,160,2566,โคกสำโรง
48(2),42,39,กิโลกรัม,การทำยาฆ่าเชื้อโรค หรือยาดับกลิ่น,"2,200.00",2566,โคกสำโรง
48(2),49,40,กิโลกรัม,การทำยาฆ่าเชื้อโรค หรือยาดับกลิ่น,10,2566,โคกสำโรง
48(2),75,41,กิโลกรัม,การทำยาฆ่าเชื้อโรค หรือยาดับกลิ่น,820,2566,โคกสำโรง
88(2),41,42,กิโลกรัม,การผลิตพลังงานไฟฟ้าจากพลังงานความร้อน,"3,700.00",2566,โคกสำโรง
88(2),42,43,กิโลกรัม,การผลิตพลังงานไฟฟ้าจากพลังงานความร้อน,"1,560.00",2566,โคกสำโรง
88(2),49,44,กิโลกรัม,การผลิตพลังงานไฟฟ้าจากพลังงานความร้อน,"3,350.00",2566,โคกสำโรง
95(1),21,45,กิโลกรัม,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,"1,580.00",2566,โคกสำโรง
95(1),42,46,กิโลกรัม,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,"42,854.00",2566,โคกสำโรง
95(1),49,47,กิโลกรัม,การซ่อมแซมยานที่ขับเคลื่อนด้วยเครื่องยนต์หรือส่วนประกอบของยานดังกล่าว,580,2566,โคกสำโรง
22(1),42,48,กิโลกรัม,การหมัก คาร์บอไนซ์ สาง หวี รีด ปั่น อบ ควบ บิดเกลียว กรอ เท็กเจอร์ไรซ์ ฟอก หรือย้อมสีเส้นใย,"5,030.00",2566,โคกสำโรง
22(1),73,49,กิโลกรัม,การหมัก คาร์บอไนซ์ สาง หวี รีด ปั่น อบ ควบ บิดเกลียว กรอ เท็กเจอร์ไรซ์ ฟอก หรือย้อมสีเส้นใย,70,2566,โคกสำโรง
44,41,50,กิโลกรัม,โรงงานประกอบกิจการเกี่ยวกับการผลิตยางเรซินสังเคราะห์ ยางอีลาสโตเมอร์ พลาสติก หรือเส้นใยสังเคราะห์ซึ่งมิใช่ใยแก้ว,"2,580.00",2566,โคกสำโรง
44,42,51,กิโลกรัม,โรงงานประกอบกิจการเกี่ยวกับการผลิตยางเรซินสังเคราะห์ ยางอีลาสโตเมอร์ พลาสติก หรือเส้นใยสังเคราะห์ซึ่งมิใช่ใยแก้ว,"41,180.00",2566,โคกสำโรง
44,75,52,กิโลกรัม,โรงงานประกอบกิจการเกี่ยวกับการผลิตยางเรซินสังเคราะห์ ยางอีลาสโตเมอร์ พลาสติก หรือเส้นใยสังเคราะห์ซึ่งมิใช่ใยแก้ว,"40,115.00",2566,โคกสำโรง
53(4),41,53,กิโลกรัม,การทำภาชนะบรรจุ เช่น ถุงหรือกระสอบ,480,2566,โคกสำโรง
53(4),42,54,กิโลกรัม,การทำภาชนะบรรจุ เช่น ถุงหรือกระสอบ,"1,892.00",2566,โคกสำโรง
53(5),41,55,กิโลกรัม,การทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชิ้น ผง หรือรูปทรงต่าง ๆ,"5,040.00",2566,โคกสำโรง
53(5),42,56,กิโลกรัม,การทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชิ้น ผง หรือรูปทรงต่าง ๆ,"14,735.00",2566,โคกสำโรง
53(5),75,57,กิโลกรัม,การทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชิ้น ผง หรือรูปทรงต่าง ๆ,"12,785.00",2566,โคกสำโรง
11(3),75,58,กิโลกรัม,การทำน้ำตาลทรายดิบ หรือน้ำตาลทรายขาว,"4,030.00",2566,ท่าหลวง
38(2),42,59,กิโลกรัม,การทำกระดาษ กระดาษแข็ง หรือกระดาษที่ใช้ในการก่อสร้างชนิดที่ทำจากเส้นใย (fibre) หรือแผ่นกระดาษไฟเบอร์ (fibreboard),60,2566,ท่าหลวง
38(2),73,60,กิโลกรัม,การทำกระดาษ กระดาษแข็ง หรือกระดาษที่ใช้ในการก่อสร้างชนิดที่ทำจากเส้นใย (fibre) หรือแผ่นกระดาษไฟเบอร์ (fibreboard),700,2566,ท่าหลวง
101,49,61,กิโลกรัม,	โรงงานปรับคุณภาพของเสียรวม (central waste treatment plant),925,2566,พัฒนานิคม
15(1),21,62,กิโลกรัม,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,644,2566,พัฒนานิคม
15(1),42,63,กิโลกรัม,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,"128,029.70",2566,พัฒนานิคม
15(1),44,64,กิโลกรัม,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,"2,500.00",2566,พัฒนานิคม
15(1),49,65,กิโลกรัม,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,"155,750.00",2566,พัฒนานิคม
15(1),73,66,กิโลกรัม,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,"12,130.00",2566,พัฒนานิคม
2(1),75,67,กิโลกรัม,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,"1,080.00",2566,พัฒนานิคม
2(11),21,68,กิโลกรัม,การฟักไข่ โดยใช้ตู้อบ,0,2566,พัฒนานิคม
2(11),42,69,กิโลกรัม,การฟักไข่ โดยใช้ตู้อบ,"2,568.00",2566,พัฒนานิคม
2(11),49,70,กิโลกรัม,การฟักไข่ โดยใช้ตู้อบ,"2,510.00",2566,พัฒนานิคม
2(5),75,71,กิโลกรัม,การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืช ในไซโล โกดังหรือคลังสินค้า,"453,475.00",2566,พัฒนานิคม
4(1),21,72,กิโลกรัม,การฆ่าสัตว์,30,2566,พัฒนานิคม
4(1),33,73,กิโลกรัม,การฆ่าสัตว์,122,2566,พัฒนานิคม
4(1),42,74,กิโลกรัม,การฆ่าสัตว์,"4,993.00",2566,พัฒนานิคม
4(1),49,75,กิโลกรัม,การฆ่าสัตว์,"8,067.00",2566,พัฒนานิคม
4(1),73,76,กิโลกรัม,การฆ่าสัตว์,622,2566,พัฒนานิคม
4(3),33,77,กิโลกรัม,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์หรือกระดูกสัตว์,"1,785.80",2566,พัฒนานิคม
4(3),41,78,กิโลกรัม,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์หรือกระดูกสัตว์,"1,850.00",2566,พัฒนานิคม
4(3),42,79,กิโลกรัม,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์หรือกระดูกสัตว์,"21,944.00",2566,พัฒนานิคม
4(3),49,80,กิโลกรัม,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์หรือกระดูกสัตว์,"14,758.00",2566,พัฒนานิคม
4(3),65,81,กิโลกรัม,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์หรือกระดูกสัตว์,60,2566,พัฒนานิคม
4(3),73,82,กิโลกรัม,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์หรือกระดูกสัตว์,"4,018.00",2566,พัฒนานิคม
