ไตรมาส 4,ไตรมาส 1,_id,ปี,ไตรมาส 3,ไตรมาส 2,เพศ,จังหวัด,อุตสาหกรรม
" 3,018 "," 2,391 ",36,2565," 2,103 "," 1,408 ",หญิง                        ,สระบุรี,กิจการทางการเงิน และการประกันภัย
 742 ," 1,736 ",37,2565," 2,475 "," 4,448 ",รวม,สระบุรี,กิจกรรมอสังหาริมทรัพย์
 454 ," 1,153 ",38,2565, 699 ," 1,754 ",ชาย                         ,สระบุรี,กิจกรรมอสังหาริมทรัพย์
 287 , 583 ,39,2565," 1,776 "," 2,694 ",หญิง                        ,สระบุรี,กิจกรรมอสังหาริมทรัพย์
" 4,401 "," 4,743 ",40,2565," 4,606 "," 1,961 ",รวม,สระบุรี,กิจกรรมทางวิชาชีพและเทคนิค
" 2,165 "," 2,311 ",41,2565," 2,551 "," 1,221 ",ชาย                         ,สระบุรี,กิจกรรมทางวิชาชีพและเทคนิค
" 2,236 "," 2,432 ",42,2565," 2,055 ", 740 ,หญิง                        ,สระบุรี,กิจกรรมทางวิชาชีพและเทคนิค
" 3,052 "," 4,960 ",43,2565," 2,403 "," 4,533 ",รวม,สระบุรี,การบริหารและการสนับสนุน
" 2,051 "," 3,541 ",44,2565," 1,714 "," 2,826 ",ชาย                         ,สระบุรี,การบริหารและการสนับสนุน
" 1,001 "," 1,420 ",45,2565, 689 ," 1,707 ",หญิง                        ,สระบุรี,การบริหารและการสนับสนุน
" 16,418 "," 18,055 ",46,2565," 17,523 "," 20,311 ",รวม,สระบุรี,การบริหารราชการและป้องกันประเทศ
" 8,713 "," 9,524 ",47,2565," 10,038 "," 12,282 ",ชาย                         ,สระบุรี,การบริหารราชการและป้องกันประเทศ
" 7,705 "," 8,531 ",48,2565," 7,485 "," 8,029 ",หญิง                        ,สระบุรี,การบริหารราชการและป้องกันประเทศ
" 6,132 "," 5,179 ",49,2565," 8,415 "," 7,237 ",รวม,สระบุรี,การศึกษา
" 1,428 "," 1,267 ",50,2565," 1,491 "," 2,260 ",ชาย                         ,สระบุรี,การศึกษา
" 4,705 "," 3,912 ",51,2565," 6,924 "," 4,977 ",หญิง                        ,สระบุรี,การศึกษา
" 4,067 "," 5,896 ",52,2565," 3,231 "," 5,646 ",รวม,สระบุรี,สุขภาพและสังคมสงเคราห์
 98 ," 1,359 ",53,2565, 111 ," 1,523 ",ชาย                         ,สระบุรี,สุขภาพและสังคมสงเคราห์
" 3,969 "," 4,537 ",54,2565," 3,120 "," 4,123 ",หญิง                        ,สระบุรี,สุขภาพและสังคมสงเคราห์
" 3,233 "," 3,240 ",55,2565," 6,036 "," 5,440 ",รวม,สระบุรี,ศิลปะ ความบันเทิง นันทนาการ
" 1,567 "," 1,984 ",56,2565," 3,025 "," 2,987 ",ชาย                         ,สระบุรี,ศิลปะ ความบันเทิง นันทนาการ
" 1,666 "," 1,256 ",57,2565," 3,011 "," 2,452 ",หญิง                        ,สระบุรี,ศิลปะ ความบันเทิง นันทนาการ
" 4,253 "," 7,967 ",58,2565," 6,733 "," 7,180 ",รวม,สระบุรี,กิจกรรมบริการด้านอื่นๆ
" 1,046 "," 2,973 ",59,2565," 2,620 "," 3,286 ",ชาย                         ,สระบุรี,กิจกรรมบริการด้านอื่นๆ
" 3,207 "," 4,994 ",60,2565," 4,113 "," 3,894 ",หญิง                        ,สระบุรี,กิจกรรมบริการด้านอื่นๆ
" 2,971 "," 1,468 ",61,2565," 1,105 ", 224 ,รวม,สระบุรี,ลูกจ้างในครัวเรือนส่วนบุคคล
" 1,172 ", 485 ,62,2565, 320 , 224 ,ชาย                         ,สระบุรี,ลูกจ้างในครัวเรือนส่วนบุคคล
" 1,799 ", 984 ,63,2565, 785 , - ,หญิง                        ,สระบุรี,ลูกจ้างในครัวเรือนส่วนบุคคล
 - , - ,64,2565, - , - ,รวม,สระบุรี,องค์การระหว่างประเทศ
 - , - ,65,2565, - , - ,ชาย                         ,สระบุรี,องค์การระหว่างประเทศ
 - , - ,66,2565, - , - ,หญิง                        ,สระบุรี,องค์การระหว่างประเทศ
 - ,-,67,2565, - , - ,รวม,สระบุรี,ไม่ทราบ
 - ,-,68,2565, - , - ,ชาย                         ,สระบุรี,ไม่ทราบ
 - ,-,69,2565, - , - ,หญิง                        ,สระบุรี,ไม่ทราบ
" 419,096 "," 417,998 ",70,2566," 420,184 "," 414,172 ",รวม,สระบุรี,ยอดรวม
" 234,113 "," 231,325 ",71,2566," 235,874 "," 235,907 ",ชาย                         ,สระบุรี,ยอดรวม
" 184,983 "," 186,673 ",72,2566," 184,309 "," 178,265 ",หญิง                        ,สระบุรี,ยอดรวม
" 64,390 "," 59,191 ",73,2566," 62,075 "," 50,086 ",รวม,สระบุรี,เกษตรกรรม การป่าไม้ และการประมง
" 40,922 "," 34,301 ",74,2566," 40,111 "," 30,394 ",ชาย                         ,สระบุรี,เกษตรกรรม การป่าไม้ และการประมง
" 23,468 "," 24,890 ",75,2566," 21,964 "," 19,692 ",หญิง                        ,สระบุรี,เกษตรกรรม การป่าไม้ และการประมง
 742 , 276 ,76,2566, 890 , 279 ,รวม,สระบุรี,การทำเหมืองแร่ เหมืองหิน
 742 , 276 ,77,2566, 890 , 279 ,ชาย                         ,สระบุรี,การทำเหมืองแร่ เหมืองหิน
 - , - ,78,2566, - , - ,หญิง                        ,สระบุรี,การทำเหมืองแร่ เหมืองหิน
" 137,981 "," 138,465 ",79,2566," 149,484 "," 145,243 ",รวม,สระบุรี,การผลิต
" 85,563 "," 81,132 ",80,2566," 91,008 "," 86,772 ",ชาย                         ,สระบุรี,การผลิต
" 52,417 "," 57,333 ",81,2566," 58,475 "," 58,472 ",หญิง                        ,สระบุรี,การผลิต
" 2,412 ", 650 ,82,2566," 2,498 "," 1,040 ",รวม,สระบุรี,การไฟฟ้า ก๊าซ และไอน้ำ
" 1,863 ", 650 ,83,2566," 1,994 "," 1,040 ",ชาย                         ,สระบุรี,การไฟฟ้า ก๊าซ และไอน้ำ
 549 , - ,84,2566, 505 , - ,หญิง                        ,สระบุรี,การไฟฟ้า ก๊าซ และไอน้ำ
" 2,103 "," 1,621 ",85,2566," 1,549 "," 1,496 ",รวม,สระบุรี,การจัดหาน้ำ บำบัดน้ำเสีย
" 1,716 "," 1,168 ",86,2566, 948 , 928 ,ชาย                         ,สระบุรี,การจัดหาน้ำ บำบัดน้ำเสีย
 387 , 453 ,87,2566, 601 , 569 ,หญิง                        ,สระบุรี,การจัดหาน้ำ บำบัดน้ำเสีย
" 18,470 "," 22,516 ",88,2566," 20,180 "," 23,261 ",รวม,สระบุรี,การก่อสร้าง
" 16,953 "," 19,182 ",89,2566," 17,764 "," 20,367 ",ชาย                         ,สระบุรี,การก่อสร้าง
" 1,517 "," 3,334 ",90,2566," 2,416 "," 2,895 ",หญิง                        ,สระบุรี,การก่อสร้าง
" 76,421 "," 77,714 ",91,2566," 72,677 "," 76,520 ",รวม,สระบุรี,การขายส่ง การขายปลีก
" 36,462 "," 38,449 ",92,2566," 30,624 "," 38,246 ",ชาย                         ,สระบุรี,การขายส่ง การขายปลีก
" 39,959 "," 39,265 ",93,2566," 42,053 "," 38,274 ",หญิง                        ,สระบุรี,การขายส่ง การขายปลีก
" 21,874 "," 23,717 ",94,2566," 24,449 "," 24,197 ",รวม,สระบุรี,การขนส่ง ที่เก็บสินค้า
" 14,563 "," 18,729 ",95,2566," 18,388 "," 19,944 ",ชาย                         ,สระบุรี,การขนส่ง ที่เก็บสินค้า
" 7,311 "," 4,987 ",96,2566," 6,062 "," 4,253 ",หญิง                        ,สระบุรี,การขนส่ง ที่เก็บสินค้า
" 31,226 "," 29,079 ",97,2566," 26,630 "," 27,631 ",รวม,สระบุรี,กิจกรรมโรงแรม และอาหาร
" 7,904 "," 8,742 ",98,2566," 7,384 "," 8,540 ",ชาย                         ,สระบุรี,กิจกรรมโรงแรม และอาหาร
" 23,323 "," 20,337 ",99,2566," 19,245 "," 19,091 ",หญิง                        ,สระบุรี,กิจกรรมโรงแรม และอาหาร
 - , 190 ,100,2566, 898 , 815 ,รวม,สระบุรี,ข้อมูลข่าวสาร และการสื่อสาร
 - , 190 ,101,2566, 600 , 815 ,ชาย                         ,สระบุรี,ข้อมูลข่าวสาร และการสื่อสาร
-, - ,102,2566, 297 , - ,หญิง                        ,สระบุรี,ข้อมูลข่าวสาร และการสื่อสาร
" 5,401 "," 3,355 ",103,2566," 2,231 ", 713 ,รวม,สระบุรี,กิจการทางการเงิน และการประกันภัย
" 1,854 ", 924 ,104,2566, 890 , 243 ,ชาย                         ,สระบุรี,กิจการทางการเงิน และการประกันภัย
" 3,547 "," 2,431 ",105,2566," 1,341 ", 470 ,หญิง                        ,สระบุรี,กิจการทางการเงิน และการประกันภัย
 471 ," 2,564 ",106,2566," 2,965 "," 4,980 ",รวม,สระบุรี,กิจกรรมอสังหาริมทรัพย์
 175 ," 1,472 ",107,2566, 934 ," 2,235 ",ชาย                         ,สระบุรี,กิจกรรมอสังหาริมทรัพย์
 296 ," 1,092 ",108,2566," 2,030 "," 2,744 ",หญิง                        ,สระบุรี,กิจกรรมอสังหาริมทรัพย์
" 5,501 "," 5,082 ",109,2566," 2,072 "," 2,320 ",รวม,สระบุรี,กิจกรรมทางวิชาชีพและเทคนิค
" 3,767 "," 2,694 ",110,2566," 1,292 ", 881 ,ชาย                         ,สระบุรี,กิจกรรมทางวิชาชีพและเทคนิค
" 1,733 "," 2,388 ",111,2566, 780 ," 1,439 ",หญิง                        ,สระบุรี,กิจกรรมทางวิชาชีพและเทคนิค
" 3,162 "," 5,103 ",112,2566," 3,899 "," 8,675 ",รวม,สระบุรี,การบริหารและการสนับสนุน
" 2,804 "," 2,601 ",113,2566," 2,351 "," 3,659 ",ชาย                         ,สระบุรี,การบริหารและการสนับสนุน
 358 ," 2,502 ",114,2566," 1,549 "," 5,016 ",หญิง                        ,สระบุรี,การบริหารและการสนับสนุน
" 20,380 "," 23,231 ",115,2566," 20,996 "," 22,411 ",รวม,สระบุรี,การบริหารราชการและป้องกันประเทศ
" 10,136 "," 13,097 ",116,2566," 11,481 "," 12,832 ",ชาย                         ,สระบุรี,การบริหารราชการและป้องกันประเทศ
" 10,245 "," 10,134 ",117,2566," 9,514 "," 9,580 ",หญิง                        ,สระบุรี,การบริหารราชการและป้องกันประเทศ
" 8,545 "," 7,463 ",118,2566," 10,689 "," 7,757 ",รวม,สระบุรี,การศึกษา
" 2,239 "," 3,200 ",119,2566," 2,047 "," 1,640 ",ชาย                         ,สระบุรี,การศึกษา
" 6,306 "," 4,263 ",120,2566," 8,642 "," 6,117 ",หญิง                        ,สระบุรี,การศึกษา
" 7,633 "," 9,246 ",121,2566," 5,570 "," 7,821 ",รวม,สระบุรี,สุขภาพและสังคมสงเคราห์
 641 ," 1,150 ",122,2566," 1,318 "," 1,701 ",ชาย                         ,สระบุรี,สุขภาพและสังคมสงเคราห์
" 6,992 "," 8,097 ",123,2566," 4,251 "," 6,120 ",หญิง                        ,สระบุรี,สุขภาพและสังคมสงเคราห์
" 2,293 ", 938 ,124,2566," 2,669 ", 901 ,รวม,สระบุรี,ศิลปะ ความบันเทิง นันทนาการ
" 1,609 ", 755 ,125,2566," 1,710 ", 536 ,ชาย                         ,สระบุรี,ศิลปะ ความบันเทิง นันทนาการ
 684 , 183 ,126,2566, 960 , 365 ,หญิง                        ,สระบุรี,ศิลปะ ความบันเทิง นันทนาการ
" 8,019 "," 5,457 ",127,2566," 5,832 "," 6,815 ",รวม,สระบุรี,กิจกรรมบริการด้านอื่นๆ
" 3,339 "," 2,613 ",128,2566," 3,477 "," 4,859 ",ชาย                         ,สระบุรี,กิจกรรมบริการด้านอื่นๆ
" 4,680 "," 2,844 ",129,2566," 2,355 "," 1,957 ",หญิง                        ,สระบุรี,กิจกรรมบริการด้านอื่นๆ
" 2,072 "," 2,139 ",130,2566," 1,932 "," 1,212 ",รวม,สระบุรี,ลูกจ้างในครัวเรือนส่วนบุคคล
 861 , - ,131,2566, 663 , - ,ชาย                         ,สระบุรี,ลูกจ้างในครัวเรือนส่วนบุคคล
" 1,211 "," 2,139 ",132,2566," 1,269 "," 1,212 ",หญิง                        ,สระบุรี,ลูกจ้างในครัวเรือนส่วนบุคคล
 - , - ,133,2566, - , - ,รวม,สระบุรี,องค์การระหว่างประเทศ
 - , - ,134,2566, - , - ,ชาย                         ,สระบุรี,องค์การระหว่างประเทศ
 - , - ,135,2566, - , - ,หญิง                        ,สระบุรี,องค์การระหว่างประเทศ
 - ,-,136,2566, - , - ,รวม,สระบุรี,ไม่ทราบ
 - ,-,137,2566, - , - ,ชาย                         ,สระบุรี,ไม่ทราบ
 - ,-,138,2566, - , - ,หญิง                        ,สระบุรี,ไม่ทราบ
