ถนน,คนงานชาย,ประเภท,เลขที่,ซอย,คนงานรวม,_id,ลำดับ,ประกอบกิจการ,ตำบล,อำเภอ,คนงานหญิง,ผู้ประกอบการ,หมู่
,6,อาหารคน,104,,44,14,14,ทำเครื่องปรุงกลิ่น รส หรือเครื่องประกอบอาหาร,หนองหญ้าปล้อง,หนองหญ้าปล้อง,38,บริษัท ซันซอสอุตสาหกรรมอาหาร จำกัด,4
,4,อาหารคน,72/1,,5,15,15,ทำนำแข็ง,บ้านแหลม,บ้านแหลม,1,สหกรณ์การประมงบ้านแหลม จำกัด,8
เพชรเกษม,3,อาหารคน,388/18,,4,16,16,ทำน้ำแข็งก้อนเล็ก,ชะอำ,ชะอำ,1,บริษัท ชะอำวารีเทพ จำกัด,
,2,อาหารคน,420,,3,17,17,ทำน้ำแข็งก้อนเล็ก 6 ตันต่อวัน,ท่ายาง,ท่ายาง,1,ประสาน จันทร์สมบูรณ์,7
เขาลูกช้าง-ห้วยโสก,14,อาหารคน,49/1,,24,18,18,ฆ่าและชำแหละไก่,กลัดหลวง,ท่ายาง,10,นายอำนาจ ภูมิประเทศ,1
เพชรบุรี - หาดเจ้าสำราญ,15,อาหารคน,3-มี.ค.,บ้านนาวุ้ง,30,19,19,ทำลูกชิ้นหมู - เนื้อและไส้กรอกไก่,นาวุ้ง,เมืองเพชรบุรี,15,นายสำรวย ทับคล้าย,3
,1,อาหารคน,59,,3,20,20,ผลิตนมพลาสเจอร์ไรส์,สามพระยา,ชะอำ,2,สำนักงานคณะกรรมการอาชีวศึกษา,3
จอมพล,1,อาหารคน,,,3,21,21,แปรรูปผลิตภัณฑ์นมเพื่อจำหน่าย,สามพระยา,ชะอำ,2,สหกรณ์โคนมชะอำห้วยทราย จำกัด,8
,4,อาหารคน,73,,5,22,22,โรงงานผลิตอาหารจากสัตว์น้ำ เช่น ลูกชิ้นปลา ทอดมันปลา,บางจาน,เมืองเพชรบุรี,1,นายเสถียร นิลทะเสน,4
,4,อาหารคน,โฉนดที่ดิน 53646 และ 53647,,21,23,23,ทำผลิตภัณฑ์แปรรูปจากมะนาว ผลิตภัณฑ์จากเปลืกมะนาวอัดแผ่น,ท่าไม้รวก,ท่ายาง,17,บริษัท เลม่อน โกล์ด (แอล.เอ็ม.จี) จำกัด,9
,2,อาหารคน,,,6,24,24,ผลิตผลไม้กวน เช่น กล้วยกวน สับปะรดกวน,ต้นมะม่วง,เมืองเพชรบุรี,4,พันเอกอัครชัย ทองแดง,4
เพชรเกษม,15,อาหารคน,34,,15,25,25,ทำน้ำแข็งซอง ได้วันละ 852 ซอง,เขาใหญ่,ชะอำ,0,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งเขาใหญ่,3
คันคลองชลประทาน,16,อาหารคน,666/5,,16,26,26,"ทำน้ำแข็งซอง กำลังการผลิตเพิ่มขึ้น 2,000 ซอง/วัน รวมเป็น 3,380 ซอง/วัน",ชะอำ,ชะอำ,0,บริษัท ชะอำธารทิพย์ จำกัด,
สมานประชากิจ,6,อาหารคน,62,,9,27,27,ทำน้ำแข็งซอง,บ้านหม้อ,เมืองเพชรบุรี,3,บริษัท เพชรบุรีธารทิพย์ จำกัด,1
,111,อาหารคน,254,,592,28,28,ทำผลิตภัณฑ์อาหารทะเลแช่แข็ง สัตว์น้ำแช่แข็ง อาหารปรุงแต่ง อาหารสำเร็จรูปและกึ่งสำเร็จรูปจากสัตว์น้ำ,บ้านแหลม,บ้านแหลม,481,บริษัท เซียนหนิง ซีฟู้ดส์ จำกัด,7
รพช.อู่ตะเภา,62,อาหารสัตว์,62,,62,29,29,ผลิตอาหารสัตว์น้ำ,หนองชุมพล,เขาย้อย,0,บริษัท ไทยลักซ์ เอ็นเตอร์ไพรส์ (ประเทศไทย) จำกัด,2
,44,อาหารสัตว์,79,,75,30,30,ผลิตอาหารสัตว์น้ำ,หนองชุมพลเหนือ,เขาย้อย,31,บริษัท คาร์กิลล์สยาม จำกัด,6
รพช.อู่ตะเภา,51,อาหารสัตว์,62/1,,52,31,31,ทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์ เช่น สัตว์น้ำ,หนองชุมพล,เขาย้อย,1,บริษัท ไทยลักซ์ เอ็นเตอร์ไพรส์ (ประเทศไทย) จำกัด,2
หนองชุมพล-อู่ตะเภา,65,อาหารสัตว์,128,,110,32,32,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,หนองชุมพลเหนือ,เขาย้อย,45,บริษัท แอ๊บโซลูท นูทรีชั่น จำกัด,6
,10,อาหารสัตว์,100,,20,33,33,ทำขนมจีน,นายาง,ชะอำ,10,นายวชรัต วงวาทิน,9
,14,อาหารสัตว์,85,,18,34,34,ผสมอาหารสำหรับสัตว์บก,เขาใหญ่,ชะอำ,4,นายวิทยา พรมรักษา,7
,18,อาหารสัตว์,119,,20,35,35,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,หนองจอก,ท่ายาง,2,นายณัฐวัฒน์ แสงขำ,13
,8,อาหารสัตว์,96,,8,36,36,ผลิตอาหารสัตว์,ไร่ส้ม,เมืองเพชรบุรี,0,ห้างหุ้นส่วนจำกัด ไทยเพิ่มทรัพย์อาหารสัตว์,7
บายพาสชะอำ-ปราณบุรี,9,อาหารสัตว์,699/29,,9,37,37,ผลิตอาหารสำหรับเลี้ยงสัตว์,ชะอำ,ชะอำ,0,สหกรณ์โคนมชะอำ-ห้วยทราย,
,3,อาหารสัตว์,88/8,,5,38,38,"ทำผลิตภัณฑ์อาหารสำเร็จรูป เช่น ผงโปรตีน, น้ำมันและป่นวัตถุดิบสำหรับอาหารสัตว์น้ำหรือตัวอ่อนของแมลง",ห้วยโรง,เขาย้อย,2,บริษัท ฟลายอิ้ง สปาร์ค (ประเทศไทย) จำกัด,3
เพชรเกษมกม.ที่180-181,174,อาหารสัตว์,239,,189,39,39,ผลิตอาหารสัตว์ผสมสำเร็จรูป,ท่ายาง,ท่ายาง,15,บริษัท เอเชี่ยน นิวทริชั่น จำกัด,3
เพชรเกษม,60,อาหารสัตว์,107,,60,40,40,ผลิตอาหารสัตว์น้ำ,หนองปรง,เขาย้อย,0,บริษัท โกรเบสท์คอร์โพเรชั่น จำกัด,3
,132,อาหารสัตว์,65,,205,41,41,ทำอาหารผสมหรืออาหารผสมสำเร็จรูปสำหรับเลี้ยงสัตว์บก,ห้วยท่าช้าง,เขาย้อย,73,บริษัท ลีพัฒนาผลิตภัณฑ์ จำกัด (มหาชน),2
,3,เครื่องดื่ม,171,,3,42,42,น้ำดื่มและผลิตขวดบรรจุน้ำดื่มใช้ในกิจการตนเอง,หนองกระเจ็ด,บ้านลาด,0,โชคคำแพง วอเตอร์,7
,0,เครื่องดื่ม,198,,4,43,43,ผลิตน้ำแร่,ยางน้ำกลัดใต้,หนองหญ้าปล้อง,4,บริษัท ถูกที่ ถูกทาง จำกัด,3
,21,เครื่องดื่ม,101,,42,44,44,การทำเครื่องดื่มที่ไม่มีแอลกอฮอล์ (เช่น น้ำหวานบรรจุในภาชนะพลาสติก),สระพัง,เขาย้อย,21,บริษัท สตาร์ ซัน ฟู้ดส์ (ไทยแลนด์) จำกัด,1
,,อาหารคน,,,,45,45,หีบหรือสกัดน้ำมันปาล์ม,ท่าตะคร้อ,หนองหญ้าปล้อง,,บริษัท บางกอกอุตสาหกรรมน้ำมันปาล์ม จำกัด,3
,,อาหารคน,,,,46,46,ฆ่า และชำแหละสุกร,หนองชุมพล,เขาย้อย,,บริษัท ฟาร์เมช จำกัด,6
,,อาหารคน,,,,47,47,ฆ่า และชำแหละไก่,หนองชุมพล,เขาย้อย,,บริษัท ฟาร์เมช จำกัด,7
,,อาหารคน,60/1,,,48,48,ทำเส้นหมี่,บ้านหม้อ,เมืองเพชรบุรี,,นายชิตชัย วิไลแก้ว,5
