จำนวน,_id,ปี,ประเภทรถ,หน่วย
99291,86,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,คัน
3337,87,2566,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,คัน
73742,88,2566,รถยนต์บรรทุกส่วนบุคคล,คัน
3,89,2566,รถยนต์สามล้อส่วนบุคคล,คัน
,90,2566,รถยนต์รับจ้างระหว่างจังหวัด,คัน
,91,2566,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,คัน
,92,2566,รถยนต์สี่ล้อเล็กรับจ้าง,คัน
12,93,2566,รถยนต์รับจ้างสามล้อ,คัน
,94,2566,รถยนต์บริการธุรกิจ,คัน
,95,2566,รถยนต์บริการทัศนาจร,คัน
,96,2566,รถยนต์บริการให้เช่า,คัน
244721,97,2566,รถจักรยานยนต์,คัน
6228,98,2566,รถแทรกเตอร์,คัน
184,99,2566,รถบดถนน,คัน
135,100,2566,รถใช้งานเกษตรกรรม,คัน
179,101,2566,รถพ่วง,คัน
1063,102,2566,รถจักรยานยนต์สาธารณะ,คัน
100682,103,2567,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,คัน
3331,104,2567,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,คัน
73225,105,2567,รถยนต์บรรทุกส่วนบุคคล,คัน
3,106,2567,รถยนต์สามล้อส่วนบุคคล,คัน
,107,2567,รถยนต์รับจ้างระหว่างจังหวัด,คัน
,108,2567,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,คัน
,109,2567,รถยนต์สี่ล้อเล็กรับจ้าง,คัน
12,110,2567,รถยนต์รับจ้างสามล้อ,คัน
,111,2567,รถยนต์บริการธุรกิจ,คัน
,112,2567,รถยนต์บริการทัศนาจร,คัน
,113,2567,รถยนต์บริการให้เช่า,คัน
245437,114,2567,รถจักรยานยนต์,คัน
6200,115,2567,รถแทรกเตอร์,คัน
188,116,2567,รถบดถนน,คัน
135,117,2567,รถใช้งานเกษตรกรรม,คัน
167,118,2567,รถพ่วง,คัน
978,119,2567,รถจักรยานยนต์สาธารณะ,คัน
1,120,2567,รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,คัน
