ค่าข้อมูล,การศึกษาที่สาเร็จ,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,จังหวัด,หน่วย
80485,มัธยมศึกษาตอนปลาย,สำนักงานสถิติจังหวัดมหาสารคาม,61,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
47069,มัธยมศึกษาตอนปลาย,สำนักงานสถิติจังหวัดมหาสารคาม,62,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
33415,มัธยมศึกษาตอนปลาย,สำนักงานสถิติจังหวัดมหาสารคาม,63,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
72590,สายสามัญ,สำนักงานสถิติจังหวัดมหาสารคาม,64,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
40796,สายสามัญ,สำนักงานสถิติจังหวัดมหาสารคาม,65,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
31794,สายสามัญ,สำนักงานสถิติจังหวัดมหาสารคาม,66,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
7895,สายอาชีวศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,67,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
6273,สายอาชีวศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,68,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
1622,สายอาชีวศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,69,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,70,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,71,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,72,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
62856,อุดมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,73,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
26407,อุดมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,74,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
36449,อุดมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,75,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
43990,สายวิชาการ,สำนักงานสถิติจังหวัดมหาสารคาม,76,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
16514,สายวิชาการ,สำนักงานสถิติจังหวัดมหาสารคาม,77,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
27476,สายวิชาการ,สำนักงานสถิติจังหวัดมหาสารคาม,78,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
10776,สายวิชาชีพ,สำนักงานสถิติจังหวัดมหาสารคาม,79,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
7443,สายวิชาชีพ,สำนักงานสถิติจังหวัดมหาสารคาม,80,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
3333,สายวิชาชีพ,สำนักงานสถิติจังหวัดมหาสารคาม,81,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
8091,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,82,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
2450,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,83,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
5640,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,84,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,อื่น ๆ,สำนักงานสถิติจังหวัดมหาสารคาม,85,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,อื่น ๆ,สำนักงานสถิติจังหวัดมหาสารคาม,86,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,อื่น ๆ,สำนักงานสถิติจังหวัดมหาสารคาม,87,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่ทราบ,สำนักงานสถิติจังหวัดมหาสารคาม,88,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่ทราบ,สำนักงานสถิติจังหวัดมหาสารคาม,89,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่ทราบ,สำนักงานสถิติจังหวัดมหาสารคาม,90,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
405956,รวมยอด,สำนักงานสถิติจังหวัดมหาสารคาม,91,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
219887,รวมยอด,สำนักงานสถิติจังหวัดมหาสารคาม,92,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
186069,รวมยอด,สำนักงานสถิติจังหวัดมหาสารคาม,93,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่มีการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,94,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่มีการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,95,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่มีการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,96,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
83012,ต่ำกว่าประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,97,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
42302,ต่ำกว่าประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,98,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
40710,ต่ำกว่าประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,99,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
114297,ประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,100,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
64242,ประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,101,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
50055,ประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,102,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
50902,มัธยมศึกษาตอนต้น,สำนักงานสถิติจังหวัดมหาสารคาม,103,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
34215,มัธยมศึกษาตอนต้น,สำนักงานสถิติจังหวัดมหาสารคาม,104,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
16687,มัธยมศึกษาตอนต้น,สำนักงานสถิติจังหวัดมหาสารคาม,105,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
90200,มัธยมศึกษาตอนปลาย,สำนักงานสถิติจังหวัดมหาสารคาม,106,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
47439,มัธยมศึกษาตอนปลาย,สำนักงานสถิติจังหวัดมหาสารคาม,107,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
42761,มัธยมศึกษาตอนปลาย,สำนักงานสถิติจังหวัดมหาสารคาม,108,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
84460,สายสามัญ,สำนักงานสถิติจังหวัดมหาสารคาม,109,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
43448,สายสามัญ,สำนักงานสถิติจังหวัดมหาสารคาม,110,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
41012,สายสามัญ,สำนักงานสถิติจังหวัดมหาสารคาม,111,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
5668,สายอาชีวศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,112,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
3991,สายอาชีวศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,113,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
1677,สายอาชีวศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,114,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
72,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,115,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,116,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
72,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,117,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
67545,อุดมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,118,2565,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
31689,อุดมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,119,2565,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
35856,อุดมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,120,2565,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,คน
