ที่มา,_id,ชื่อโรงงาน,ประกอบกิจการ,ตำบล,อำเภอ,รายการข้อมูล,จังหวัด,ผู้ประกอบการ
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,26,บริษัท เขตรุ่งเรืองคอนกรีตอัดแรง จำกัด,ทำเสา ท่อคอนกรีตและคอนกรีตบล๊อค,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท เขตรุ่งเรืองคอนกรีตอัดแรง จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,27,บริษัท กิตติพัทธ์ คอนกรีต จำกัด,ผลิตคอนกรีตผสมเสร็จ ,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท กิตติพัทธ์ คอนกรีต จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,28,บริษัท ซีพีพี คอนกรีต จำกัด,ทำคอนกรีตผสมเสร็จ และทำผลิตภัณฑ์คอนกรีต เช่น เสาเข็ม บ่อพัก ท่อเหลี่ยมระบายน้ำ เป็นต้น,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท ซีพีพี คอนกรีต จำกัด 
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,29,บริษัท ยงคอนกรีต จำกัด (มหาชน),ทำคอนกรีตผสมเสร็จ ,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท ยงคอนกรีต จำกัด (มหาชน) 
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,30,บริษัท ไทยมิกซ์ จำกัด,ทำคอนกรีตผสมเสร็จ และทำผลิตภัณฑ์คอนกรีต เช่น แผ่นพื้นสำเร็จรูป เสาเข็ม เป็นต้น ,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท ไทยมิกซ์ จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,31,บริษัท กอวัฒนาคอนกรีต จำกัด,ทำคอนกรีตผสมเสร็จ,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท กอวัฒนาคอนกรีต จำกัด 
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,32,บริษัท ที-วัน เม็ททอลลิค แอนด์ ซัพพลาย จำกัด,ผลิตภัณฑ์จากโลหะ สำหรับใช้ในงานก่อสร้าง เช่น แผ่นเมทัลชีท บานเกล็ด รั้ว ผนัง กันสาด ฯลฯ,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท ที-วัน เม็ททอลลิค แอนด์ ซัพพลาย จำกัด 
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,33,บริษัท วินโดว์ เอเซีย จำกัด (มหาชน),ผลิตวงกบประตู - หน้าต่าง และบานประตู หน้าต่างอลูมิเนียม และอุปกรณ์อื่นๆ ที่ใช้ประกอบประตูและหน้าต่าง,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท วินโดว์ เอเซีย จำกัด (มหาชน) 
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,34,บริษัท สยามแกรนด์ อลูมิเนียม จำกัด,ผลิตวงกบประตู-หน้าต่าง และบานประตู-หน้าต่างอลูมิเนียม และอุปกรณ์อื่นๆ ที่ใช้ประกอบประตูและหน้าต่าง,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท สยามแกรนด์ อลูมิเนียม จำกัด 
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,35,โรงกลิงแก้วมงคล,กลึง-เชื่อมโลหะ,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,นายเถลิงศักดิ์ เจนวัฒนะมงคล
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,36,อนันต์กลการ,กลึงและเชื่อมโลหะ,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,นายอนันตชัย วีรกุลวัฒนา
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,37,บริษัท เจ เอส ออโตโมบิล จำกัด,ซ่อมเครื่องยนต์รถยนต์,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท เจ เอส ออโตโมบิล จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,38,บี - ควิก จำกัด สาขาโรบินสัน กาญจนบุรี,ศูนย์บริการซ่อมแซมรถยนต์,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท บี-ควิก จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,39,อู่ช่างไก่ ออโต้คาร์,ซ่อมรถยนต์และพ่นสีรถยนต์,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,นายปราโมทย์ มูลประวัติ
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,40,บริษัท สหะภัณฑ์ ออโต้ เซอร์วิส จำกัด,ศูนย์บริการซ่อมและเคาะพ่นสีรถยนต์,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท สหะภัณฑ์ ออโต้ เซอร์วิส จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,41,บริษัท ซีทีพี โกลบอล (ประเทศไทย) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท ซีทีพี โกลบอล (ประเทศไทย) จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,42,บริษัท ฟาร์มไก่ดำ (กาญจนบุรี) จำกัด,ฆ่าไก่,ท่ามะขาม,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท ฟาร์มไก่ดำ (กาญจนบุรี) จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,43,บริษัท น้ำหนึ่งไพลิน จำกัด,ทำน้ำแข็งก้อนเล็ก ผลิตได้ 38 ตัน/วัน,ท่ามะขาม,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท น้ำหนึ่งไพลิน จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,44,บริษัท น้ำหนึ่งไพลิน จำกัด,ทำน้ำแข็งซอง ,ท่ามะขาม,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท น้ำหนึ่งไพลิน จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,45,บริษัท กอวัฒนาคอนกรีต จำกัด,ทำผลิตภัณฑ์คอนกรีต คอนกรีตผสมเสร็จ,ท่ามะขาม,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท กอวัฒนาคอนกรีต จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,46,บริษัท วงษ์พิทักษ์ คอนกรีต มิกเซอร์ จำกัด,ทำคอนกรีตผสมเสร็จ และผลิตภัณฑ์คอนกรีต ,ท่ามะขาม,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท วงษ์พิทักษ์ คอนกรีต มิกเซอร์ จำกัด 
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,47,เจริญชัยการช่าง,กลึงและเชื่อมโลหะ,ท่ามะขาม,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,นายวันชัย อยู่ปาน
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,48,อู่เบิ้มการช่าง,กลึง-เชื่อมโลหะ,ท่ามะขาม,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,นายศุภพงศ์ ทศพร
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,49,โรงกลึงพูนชัยยนต์,ซ่อมชิ้นส่วนและอุปกรณ์รถไถนาและรถบรรทุก เช่น สลัก เพลา,ท่ามะขาม,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,นายพูนชัย เหลืองรุ่งทรัพย์
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,50,บริษัท อีซูซุกาญจนบุรี จำกัด,ซ่อมรถยนต์,ท่ามะขาม,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท อีซูซุกาญจนบุรี จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,51,โรงงานผลิตเมล็ดพันธุ์ข้าวโพดหวาน จำกัด,ผลิตเมล็ดพันธุ์ข้าวโพดหวาน,แก่งเสี้ยน,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท ผลิตภัณฑ์ข้าวโพดหวาน จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,52,บริษัท อกริเฟร็ช จำกัด,ล้าง คัดแยก ขนาดคุณภาพผลิตผล พืช ผัก ผลไม้ ทางการเกษตร บรรจุสด แช่เย็น,แก่งเสี้ยน,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท อกริเฟร็ช จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,53,บริษัท ริเวอร์แคว อินเตอร์เนชั่นแนล อุตสาหกรรมอาหาร จำกัด,ดำเนินธุรกิจด้านอุตสาหกรรมอาหารประเภทข้าวโพดหวานบรรจุกระป๋องและบรรจุถุงสูญญากาศเพื่อการส่งออก,แก่งเสี้ยน,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท ริเวอร์แคว อินเตอร์เนชั่นแนล อุตสาหกรรมอาหาร จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,54,บริษัท วี.เอ.เอส.โอเรียนเชี่ยล ไทยแลนด์ 1999 จำกัด,หน่อไม้บรรจุปี๊ป บรรจุกระป๋อง หน่ไม้ดอง และผักกาด กระป๋อง,แก่งเสี้ยน,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท วี.เอ.เอส.โอเรียนเชี่ยล ไทยแลนด์ 1999 จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,55,บริษัท อกริเฟร็ช จำกัด,ทำผลิตภัณฑ์อาหารจากผัก พืชและผลไม้ เช่น เมล็ดข้าวโพดหวานแช่แข็ง,แก่งเสี้ยน,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท อกริเฟร็ช จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,56,บริษัท สุชานันท์ อินเตอร์ฟู้ดส์ จำกัด,ผลิตอาหารกระป๋อง,แก่งเสี้ยน,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท สุชานันท์ อินเตอร์ฟู้ดส์ จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,57,โรงงานโม่กระถินยินดีการเกษตร,บดใบกระถิน,แก่งเสี้ยน,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,นายวีระศักดิ์ ประสพโภคากร
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,58,บริษัท ซี.เอช.แบมบู จำกัด,ทำเครื่องใช้จากไม้ไผ่รวก,แก่งเสี้ยน,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท ซี.เอช.แบมบู จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,59,โรงงานบริษัท น้ำตาลไทยเอทานอล จำกัด (จังหวัดกาญจนบุรี),"ผลิตและจำหน่ายปุ๋ยชีวภาพ ผลิตและจำหน่ายปุ๋ยอินทรีย์, ผลิตและจำหน่ายปุ๋ยอินทรีย์ชีวภาพ, ผลิตและจำหน่ายปุ๋ยอินทรีย์ผสมเคมี, ผลิตและจำหน่ายปุ๋ยเคมีสูตรต่าง ๆ แบ่งบรรจุปุ๋ยชนิดต่าง ๆ",แก่งเสี้ยน,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท น้ำตาลไทยเอทานอล จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,60,บริษัท อัลฟาเอสไลน์ จำกัด,ผลิตแอสฟัลท์ติกคอนกรีต,แก่งเสี้ยน,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท อัลฟาเอสไลน์ จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,61,ห้างหุ้นส่วนจำกัด เมืองกาญเมทัลชีท,ผลิตภัณฑ์จากโลหะ สำหรับใช้ในงานก่อสร้าง เช่น แผ่นเมทัลชีท บานเกล็ด ฯลฯ,แก่งเสี้ยน,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,ห้างหุ้นส่วนจำกัด เมืองกาญเมทัลชีท
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,62,ไทย-ออสท์ อะลูมิเนียม,ประกอบประตูและหน้าต่างอลูมิเนียม,แก่งเสี้ยน,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท ไทย-ออสท์ อะลูมิเนียม จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,63,บริษัท ทีเอสเอ็ม ไบโอ เอนเนอร์ยี จำกัด,ผลิตกระแสไฟฟ้าจากก๊าซชีวภาพ,แก่งเสี้ยน,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท ทีเอสเอ็ม ไบโอ เอนเนอร์ยี จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,64,บริษัท ทีเอสเอ็ม ไบโอ เอนเนอร์ยี่ (2012) จำกัด,ผลิตและจำหน่ายพลังงานไฟฟ้า จากก๊าซชีวภาพ กำลังการผลิต 8 เมกะวัตต์,แก่งเสี้ยน,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท ทีเอสเอ็ม ไบโอ เอนเนอร์ยี (2012) จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,65,บริษัท กรีนเนอร์ยี ชาร์โคล จำกัด,ทำถ่านอัดแท่งจากกะลามะพร้าว,หนองบัว,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท กรีนเนอร์ยี ชาร์โคล จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,66,บริษัท สมบัติเพิ่มผล จำกัด,สีข้าว กำลังสีสูงสุดของร้านข้าว 120 เกวียน/วัน,หนองบัว,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท สมบัติเพิ่มผล จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,67,บริษัท เอ แอนด์ ที โกลบอล เอ็กซ์ปอร์ต จำกัด,แปรรูปไม้ไผ่รวกโดยใช้เครื่องจักร,หนองบัว,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท เอ แอนด์ ที โกลบอล เอ็กซ์ปอร์ต จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,68,บริษัท สยามฟาร์มเทค จำกัด,ผสมปุ๋ยเคมีและอาหารเสริมพืชชนิดน้ำ,หนองบัว,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท สยามฟาร์มเทค จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,69,บริษัท ไทยควอลิตี้ เอ็กซ์ปอร์ต 999 จำกัด,ทำผลิตภัณฑ์พลาสติก เช่น สายรัดกล่อง,หนองบัว,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท ไทยควอลิตี้ เอ็กซ์ปอร์ต 999 จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,70,บริษัท พลาสติสสิโม่ ฟิล์ม จำกัด,"ทำการผลิตเครื่องใช้พลาสติก ของใช้พลาสติกทุกชนิด,ผลิตถุงพลาสติก ทั้งชนิด พี.วี. พีวีซี และถุงพลาสติกชนิดอื่น ๆ ผลิตฟิล์มที่ใช้ในอุตสาหกรรมต่าง ๆ ฟิล์มห่ออาหาร ทั้งชนิดแผ่นและชนิดม้วน",หนองบัว,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท พลาสติสสิโม่ ฟิล์ม จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,71,บริษัท หยูวัสดุก่อสร้าง จำกัด,ทำอิฐบล๊อก เสา ท่อน้ำ,หนองบัว,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท หยูวัสดุก่อสร้าง จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,72,บริษัท วิชาญวัสดุภัณฑ์ จำกัด,ผลิตภัณฑ์คอนกรีต คอนกรีตผสม อิฐบล๊อค พื้นคอนกรีต,หนองบัว,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท วิชาญวัสดุภัณฑ์ จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,73,บริษัท โลตัส คอนกรีต จำกัด,ทำคอนกรีตผสมเสร็จ และผลิตภัณฑ์คอนกรีต เช่น เสา แผ่นพื้นสำเร็จ ฯลฯ ,หนองบัว,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท โลตัส คอนกรีต จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,74,บริษัท เอ็มพี.สตีล (2019) จำกัด,ผลิตส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร เช่น แผ่นหลังคาเมทัลชีท แผ่นบานเกล็ด แผ่นครอบ          ระแนงเมทัลชีท ฯลฯ,หนองบัว,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท เอ็มพี.สตีล (2019) จำกัด 
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,75,โรงน้ำแข็งเจือทิพย์,ผลิตน้ำแข็งซอง ปริมาณการผลิต 200 ซอง/วัน,ลาดหญ้า,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,นายธีระชัย ชุติมันต์
