_id,ปี,อำเภอ,รายการสถิติ,ตำบล,ประกอบกิจการ,คนงานรวม,จังหวัด,เงินทุนรวม,ชื่อโรงงาน
11,2563,สารภี,รายชื่อสถานประกอบการ,ยางเนิ้ง,บ่มและอบใบยาสูบ 7.5 ตัน,310,เชียงใหม่,963000000,บริษัท ไซแอมโทแบคโคเอกซ์ปอร์ตคอร์ปอเรชั่น จำกัด
12,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ท่าศาลา,ผลิตใบชาแห้งและใบชาผง,0,เชียงใหม่,0,บริษัท ชาระมิงค์ จำกัด
13,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ฟ้าฮ่าม,ทำน้ำแข็ง ได้วันละ 439 ซอง และทำน้ำแข็งก้อนเล็กได้วันละ 84 ต,2000000,เชียงใหม่,0,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งทวีชัยเชียงใหม่
14,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ช้างม่อย,ทำน้ำแข็งซองได้วันละ 337 ซอง และน้ำแข็งก้อนเล็กได้วันละ 91.44 ตัน,0,เชียงใหม่,0,บริษัท โรงน้ำแข็งวังสิงห์คำอุตสาหกรรม จำกัด
15,2563,จอมทอง,รายชื่อสถานประกอบการ,ข่วงเปา,ทำน้ำแข็งก้อนเล็ก และน้ำแข็งซอง,100000,เชียงใหม่,0,บริษัท วารีเทพ จอมทอง จำกัด
16,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ช้างเผือก,ทำน้ำแข็งซองได้วันละ 760 ซอง และน้ำแข็งก้อนเล็ก 176 ตัน/วัน,1500000,เชียงใหม่,0,บริษัท โรงน้ำแข็งรัตนโกสินทร์ จำกัด
17,2563,แม่แตง,รายชื่อสถานประกอบการ,สันมหาพน,ทำน้ำแข็งก้อนเล็กเพิ่มขึ้น 50 ตัน/วัน และผลิตน้ำแข็งซองมีกำลังการผลิต 500 ซอย/วัน,1000000,เชียงใหม่,0,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งอภิชัย (2013)
18,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ช้างม่อย,ทำน้ำแข็งซอง ได้วันละ 1343 ซอง และน้ำเข็งก้อนเล็ก,500000,เชียงใหม่,0,โรงน้ำแข็งวังสิงห์คำ
19,2563,แม่ริม,รายชื่อสถานประกอบการ,สันโป่ง,ผลิตน้ำแข็ง,1000000,เชียงใหม่,0,บริษัท โรงน้ำแข็งแม่ริม เชียงใหม่ กิจวารี จำกัด
20,2563,สารภี,รายชื่อสถานประกอบการ,หนองผึ้ง,ทำน้ำแข็งซอง,11,เชียงใหม่,6000000,โรงน้ำแข็งสารภี
21,2563,ดอยสะเก็ด,รายชื่อสถานประกอบการ,สันปูเลย,ผลิตน้ำแข็งหลอด,3000000,เชียงใหม่,0,นางภัทรา โตไพบูลย์
22,2563,ดอยสะเก็ด,รายชื่อสถานประกอบการ,เชิงดอย,ผลิตน้ำแข็ง,3000000,เชียงใหม่,0,บริษัท โรงน้ำแข็ง อ.ลักขณา (ดอยสะเก็ดกิจวารี) จำกัด
23,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ช้างม่อย,ทำน้ำแข็งซอง ได้วันละ 415 ซอง และน้ำแข็งก้อนเล็ก ได้วันละ 50 ตัน,6000000,เชียงใหม่,0,สโนไอซ์ (สาขา 1)
24,2563,สันป่าตอง,รายชื่อสถานประกอบการ,บ้านกลาง,อบ ป่น บด เมล็ดพืช หัวพืช เช่นกระเทียมผง กระเทียมเจียว พริกบด ข้าวสารอบแห้ง,52,เชียงใหม่,100000000,บริษัท นิธิฟู้ดส์ จำกัด
25,2563,ดอยเต่า,รายชื่อสถานประกอบการ,บงตัน,โรงงานอบลำไย,20000000,เชียงใหม่,0,บริษัท เอ.อะโกร จำกัด
26,2563,สันป่าตอง,รายชื่อสถานประกอบการ,ท่าวังพร้าว,อบพืชผลทางการเกษตร,10000000,เชียงใหม่,0,โรงอบลำไยท่าวังพร้าว
27,2563,แม่ริม,รายชื่อสถานประกอบการ,ขี้เหล็ก,อบแห้งแบบแอร์ดราย พืช ผัก ผลไม้และเนื้อสัตว์,0,เชียงใหม่,0,บริษัท พรีเซิร์ฟ อะโกร โปรดักส์ จำกัด
28,2563,จอมทอง,รายชื่อสถานประกอบการ,สบเตี๊ยะ,อบพืชผลทางการเกษตร ปรับปรุงคุณภาพของผลิตผลทางการเกษตร,10000000,เชียงใหม่,0,บริษัท สหซินหลงสารภี จำกัด
29,2563,ดอยหล่อ,รายชื่อสถานประกอบการ,ดอยหล่อ,อบลำใย,30000000,เชียงใหม่,0,บริษัท ฟู๋เซิง จำกัด
30,2563,จอมทอง,รายชื่อสถานประกอบการ,บ้านแปะ,อบพืชหรือเมล็ดพืช การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโลโกดัง หรือคลังสินค้า เช่น ข้าวโพด,50,เชียงใหม่,10000000,บริษัท 5เอ เทรดดิ้ง จำกัด
31,2563,สันป่าตอง,รายชื่อสถานประกอบการ,ท่าวังพร้าว,อบผลิตผลทางการเกษตร,30,เชียงใหม่,2000000,บริษัท เอส เอ็น พี อะโกร จำกัด
32,2563,พร้าว,รายชื่อสถานประกอบการ,แม่แวน,อบพืชผลทางการเกษตร,3000000,เชียงใหม่,0, บริษัท นอร์ท 87 จำกัด
33,2563,สารภี,รายชื่อสถานประกอบการ,สันทราย,อบพืชผลทางการเกษตร,1000000,เชียงใหม่,0,ศรีเจริญ
34,2563,สารภี,รายชื่อสถานประกอบการ,ท่ากว้าง,อบผลิตผลทางการเกษตร ,15000000,เชียงใหม่,0,โรงอบลำไยสรายุทธ
35,2563,ดอยหล่อ,รายชื่อสถานประกอบการ,ดอยหล่อ,อบลำไย,4000000,เชียงใหม่,0,บริษัท ชิ่งเฟิง อุตสาหกรรมอาหาร จำกัด
36,2563,ดอยหล่อ,รายชื่อสถานประกอบการ,ดอยหล่อ,อบพืชผลทางการเกษตร,10000000,เชียงใหม่,0,บริษัท เทียนเฉิน จำกัด
37,2563,สันกำแพง,รายชื่อสถานประกอบการ,แช่ช้าง,อบพืชผลทางการเกษตร,60000000,เชียงใหม่,0,บริษัท เค.พี.อุตสาหกรรมการผลิต จำกัด
38,2563,สันทราย,รายชื่อสถานประกอบการ,แม่แฝกใหม่,"ผลิตก้อนเชื้อเห็ดเมืองหนาว ได้ปีละ 6,550 ตัน",20000000,เชียงใหม่,0,บริษัท สหฟาร์มเห็ด จำกัด
39,2563,สันทราย,รายชื่อสถานประกอบการ,แม่แฝกใหม่,เพาะเห็ด เช่น เห็ดนางรมหลวง,20000000,เชียงใหม่,0,บริษัท เชียงใหม่ฟาร์มเห็ด จำกัด
40,2563,สันป่าตอง,รายชื่อสถานประกอบการ,ทุ่งต้อม,ผลิตน้ำดื่มและเครื่องดื่มที่ไม่มีแอลกอฮอล์,48,เชียงใหม่,57000000,บริษัท โอเค ฟู้ดแอนด์เบฟเวอร์เรจ จำกัด
41,2563,สันกำแพง,รายชื่อสถานประกอบการ,บวกค้าง,ฟอกย้อมผ้า และพิมพ์ผ้า,10,เชียงใหม่,2100000,นางสาวชริญา สุวรรณ
42,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ช้างคลาน,ย้อมด้าย,200000,เชียงใหม่,0,โฟร์สตาร์
43,2563,สันทราย,รายชื่อสถานประกอบการ,หนองจ๊อม,ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 156 เครื่อง),1000000,เชียงใหม่,0,บริษัท ตันติยานันท์ การ์เมนท์ จำกัด
44,2563,สันกำแพง,รายชื่อสถานประกอบการ,ทรายมูล,ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 90 เครื่อง),1000000,เชียงใหม่,0,บริษัท บ้านไทย การ์เมนท์ จำกัด
45,2563,แม่แตง,รายชื่อสถานประกอบการ,แม่แตง,"ดูดทราย ได้เดือนละ 4,000 ลูกบาศก์เมตร ใบอนุญาตใช้เรือเลขที่ 3650 01226",500000,เชียงใหม่,0,สวน-ท่าทรายชลาลัยห้วยชมพู
46,2563,แม่วาง,รายชื่อสถานประกอบการ,ดอนเปา,แปรรูปไม้โดยใช้เครื่องจักร,2000000,เชียงใหม่,0,นายสามชาย หิรัญรัตน์
47,2563,สันทราย,รายชื่อสถานประกอบการ,หนองแหย่ง,แปรรูปไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย,7,เชียงใหม่,1497000,กงกฤษ พันธ์พงษ์
48,2563,ดอยสะเก็ด,รายชื่อสถานประกอบการ,เชิงดอย,เลื่อยไม้,12,เชียงใหม่,4000000,บริษัท เชียงใหม่สุขสวัสดิ์ อุตสาหกรรม จำกัด
49,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ท่าศาลา,ทำวงกบประตู-หน้าต่างและไม้ปาร์เกต์,300000,เชียงใหม่,0,นายสมชาย วุฒิธนากร
50,2563,ดอยสะเก็ด,รายชื่อสถานประกอบการ,เชิงดอย,ทำวงกบประตู-หน้าต่าง เครื่องเรือน เครื่องใช้ ปาร์เกตโมเสค ไม้ประสาน ไม้ฉลุ ไม้คิ้ว ไม้บัว ไม้กั้นฝา ไม้กลึง ไม้เชิงราวบันได แกะสลักไม้ กรอบรูปไม้ อบอาบน้ำยาไม้   ,99600000,เชียงใหม่,0,บริษัท เชียงใหม่สุขสวัสดิ์ อุตสาหกรรม จำกัด
51,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ฟ้าฮ่าม,ทำวงกบบานประตู หน้าต่าง ปาร์เกต์ โมเสคและเครื่องเรือนจากไม้,200000,เชียงใหม่,0,บริษัท เชียงใหม่สุขสวัสดิ์ จำกัด
52,2563,สันกำแพง,รายชื่อสถานประกอบการ,ต้นเปา,ทำวงกบประตูหน้าต่าง และเครื่องเรือนจากไม้,20000000,เชียงใหม่,0,บริษัท เชียงใหม่สุดาลักษ์ จำกัด
53,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ท่าศาลา,ทำวงกบประตู-หน้าต่าง โมเสค ปาร์เก้ และเครื่องเรือนจากไม้,5060000,เชียงใหม่,0,บริษัท บี.เค.โฮมเฟอร์นิชิ่ง จำกัด
54,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ป่าตัน,ทำวงกบประตู หน้าต่างและเครื่องเรือนจากไม้,3000000,เชียงใหม่,0,
55,2563,แม่ริม,รายชื่อสถานประกอบการ,ดอนแก้ว,อบไม้ ผลิตไม้พื้นปาเกต์ โมเสก ของเด็กเล่น วงกบประตู-หน้าต่าง เครื่องเรือนจากไม้,44,เชียงใหม่,8050000,บริษัท ไม้อบทวีพรรณ จำกัด
56,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,วัดเกต,ทำเครื่องเรือนจากไม้,3000000,เชียงใหม่,0,ห้างหุ้นส่วนจำกัด พจนะศิลป์เฟอร์นิเจอร์
57,2563,หางดง,รายชื่อสถานประกอบการ,สันผักหวาน,ทำไม้ปาเก้ เครื่องเรือน,258,เชียงใหม่,17500000,ห้างหุ้นส่วนจำกัด ไทยอินเตอร์เนชั่นแนลแฮนดิคราฟท์
58,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,สุเทพ,ทำเครื่องเรือนจากไม้,7800000,เชียงใหม่,0,หมินเฉินเฟอร์นิเจอร์
59,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ท่าศาลา,ทำวงกบ บานประตู-หน้าต่างและเครื่องเรือนจากไม้,500000,เชียงใหม่,0,นางจินดา ชัยมงคล
60,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,วัดเกต,ทำเครื่องเรือนด้วยไม้,1100000,เชียงใหม่,0,เอส.วี.เฟอร์นิเจอร์
61,2563,แม่ริม,รายชื่อสถานประกอบการ,ดอนแก้ว,ทำเครื่องเรือนจากไม้,10000000,เชียงใหม่,0,บริษัท ทวีพรรณ เฟอร์นิเจอร์ จำกัด
62,2563,สันกำแพง,รายชื่อสถานประกอบการ,สันกำแพง,ทำกระดาษสา กำลังการผลิต 25 ตันต่อปี,5000000,เชียงใหม่,0,บริษัท สยามพรหมประทาน จำกัด
63,2563,สารภี,รายชื่อสถานประกอบการ,หนองแฝก,ผลิตแผ่นกระดาษลูกฟูก และกล่องกระดาษ,87,เชียงใหม่,100004172,บริษัท ซี.พี.ดี.ชีทบอร์ด จำกัด
64,2563,สารภี,รายชื่อสถานประกอบการ,หนองแฝก,ผลิตแผ่นกระดาษลูกฟูกและกล่องกระดาษลูกฟูก,13,เชียงใหม่,15161000,บริษัท ซี.พี.ดี.ชีทบอร์ด จำกัด
65,2563,ดอยสะเก็ด,รายชื่อสถานประกอบการ,แม่คือ,ฆ่าไก่,700000,เชียงใหม่,0,นายนิวัฒน์ ทานสุพรรณ
66,2563,แม่แตง,รายชื่อสถานประกอบการ,แม่แตง,โรงฆ่าสัตว์ และแปรรูปอาหาร,35,เชียงใหม่,55000000,บริษัท เชียงใหม่กิจมงคล จำกัด
67,2563,หางดง,รายชื่อสถานประกอบการ,สบแม่ข่า,ทำผลิตภัณฑ์จากผึ้ง เช่น น้ำผึ้งบริสุทธิ์ นมผึ้ง รังผึ้งเทียม ขี้ผึ้ง,1000000,เชียงใหม่,0,บริษัท หยางซิ่ง (ไทยแลนด์) จำกัด
68,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,วัดเกต,อัดเศษกระดาษ,500000,เชียงใหม่,0,ร้านเสี่ยกาย
69,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ช้างเผือก,ทำผลิตภัณฑ์นม,79,เชียงใหม่,19000000,โรงงานผลิตภัณฑ์นมห้วยแก้ว
70,2563,สันทราย,รายชื่อสถานประกอบการ,แม่แฝกใหม่,ผลิตแอสฟัลด์ติกคอนกรีต,3000000,เชียงใหม่,0,บริษัท อุดมศักดิ์เชียงใหม่ จำกัด
71,2563,ดอยสะเก็ด,รายชื่อสถานประกอบการ,ป่าป้อง, ผลิตแอสฟัลต์ติกคอนกรีต,300000,เชียงใหม่,0,บริษัท พีซีเอ็น คอร์ป จำกัด (มหาชน)
72,2563,สารภี,รายชื่อสถานประกอบการ,ไชยสถาน,ผลิตภัณฑ์ขวดพลาสติก,20000000,เชียงใหม่,0,บริษัท เมก้า พลาสติก จำกัด
73,2563,สารภี,รายชื่อสถานประกอบการ,สารภี,"ผลิตผลิตภัณฑ์พลาสติก เช่น ขวดพลาสติก ได้ปีละ 14,400,000 ใบ",4000000,เชียงใหม่,0,บริษัท รวมแพคส์ พลาสติก จำกัด
74,2563,ดอยสะเก็ด,รายชื่อสถานประกอบการ,ตลาดขวัญ,ทำผลิตภัณฑ์พลาสติก เช่น ขวดพลาสติก จุกขวดพลาสติก,24000000,เชียงใหม่,0,บริษัท เชียงใหม่อุตสาหกรรมพลาสติก จำกัด
75,2563,หางดง,รายชื่อสถานประกอบการ,หางดง,ผลิตแผ่นพลาสติกเพื่อการเกษตร,700000,เชียงใหม่,0,บริษัท โกลเด็น ไดมอนด์ จำกัด
76,2563,สันกำแพง,รายชื่อสถานประกอบการ,ต้นเปา,ทำเครื่องปั้นดินเผา,277,เชียงใหม่,9500000,เปรมประชาคอลเลคชั่น
77,2563,สารภี,รายชื่อสถานประกอบการ,สารภี,ทำเครื่องปั้นดินเผา,300000,เชียงใหม่,0,ศรีวรรณา
78,2563,หางดง,รายชื่อสถานประกอบการ,สันผักหวาน,ทำเครื่องปั้นดินเผา เช่น กระถางปลูกต้นไม้,50000,เชียงใหม่,0,เชียงใหม่เครื่องปั้นดินเผา
79,2563,แม่ริม,รายชื่อสถานประกอบการ,ดอนแก้ว,"ผลิตกระเบื้องมุงหลังคา, กระเบื้องปูพื้นและเกล็ดนาค",500000,เชียงใหม่,0,โรงงานกระเบื้องเคลือบเวียงพิงค์
80,2563,หางดง,รายชื่อสถานประกอบการ,หนองควาย,ทำอิฐ,100000,เชียงใหม่,0,บริษัท ภราดรอุตสาหกรรม จำกัด
81,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ท่าศาลา,ผลิตอิฐบล๊อกและกระเบื้องดินเผา,1983000,เชียงใหม่,0,บริษัท ธราดล จำกัด
82,2563,สารภี,รายชื่อสถานประกอบการ,หนองผึ้ง,ผลิตคอนกรีตผสมเสร็จ,500000,เชียงใหม่,0,หน่วยผลิตคอนกรีตเชียงใหม่1
83,2563,หางดง,รายชื่อสถานประกอบการ,หนองควาย,ผลิตคอนกรีตผสมเสร็จ,200000,เชียงใหม่,0,โรงงานคอนกรีตผสมเสร็จ เชียงใหม่-หางดง
84,2563,สารภี,รายชื่อสถานประกอบการ,สารภี,ผลิตคอนกรีตผสมเสร็จ,4000000,เชียงใหม่,0,หน่วยผลิตคอนกรีตเชียงใหม่
85,2563,สันทราย,รายชื่อสถานประกอบการ,แม่แฝก,ผลิตอิฐมวลเบา อบไอน้ำ,30000000,เชียงใหม่,0,บริษัท ไดมอนด์ วัสดุ จำกัด
86,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ท่าศาลา,ผลิตคอนกรีตผสมเสร็จ,6700000,เชียงใหม่,0,โรงงานคอนกรีตผสมเสร็จ เชียงใหม่
87,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ช้างเผือก,ทำคอนกรีตผสมเสร็จ,3,เชียงใหม่,8765000,บริษัท นครหลวงคอนกรีต จำกัด
88,2563,สันทราย,รายชื่อสถานประกอบการ,แม่แฝก,ผลิตพื้นสำเร็จรูป เสาเข็มคอนกรีตอัดแรง ท่อระบายน้ำ,30000000,เชียงใหม่,0,บริษัท พิบูลย์คอนกรีต จำกัด
89,2563,หางดง,รายชื่อสถานประกอบการ,หนองควาย,ทำผลิตภัณฑ์คอนกรีต เช่น เสาเข็ม เสาไฟฟ้า เสารั้ว และพื้นสำเร็จรูป,1000000,เชียงใหม่,0,บริษัท ฟ้างามคอนกรีต จำกัด
90,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,หายยา,ทำประตูเหล็กยืด หน้าต่างเหล็กและกลึงอะไหล่,500000,เชียงใหม่,0,กรโลหะทวีกิจ
91,2563,สารภี,รายชื่อสถานประกอบการ,สารภี,"ผลิตลวดตาข่ายเหล็กไร้สนิมผสมโครเมี่ยม  และบานประตู-หน้าต่าง ลวดตาข่าย เหล็กไร้สนิมชุบโครเมี่ยม แผ่นโลหะเจาะรู และบานประตู-หน้าต่าง แผ่นโลหะเจาะรู (แผ่นอลูมิเนียม, แผ่นเหล็ก, แผ่นเหล็กชุบเคลือบสังกะสี, แผ่นสแตนเลส)",58310000,เชียงใหม่,0,บริษัท แมชเทค อินเตอร์เนชั่นแนล จำกัด
92,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,หนองหอย,อัดเศษโลหะ,1000000,เชียงใหม่,0,ส.วิวัฒน์พานิชย์
93,2563,สันกำแพง,รายชื่อสถานประกอบการ,แช่ช้าง,ผลิตตู้โลหะสำหรับใช้ในงาน อิเล็คโทรนิคและโทรคมนาคม,11200000,เชียงใหม่,0,บริษัท เชอวาล เทคโนโลยี่ จำกัด
94,2563,สารภี,รายชื่อสถานประกอบการ,ป่าบง,ชุบโลหะและชุบดอกกล้วยไม้,5000000,เชียงใหม่,0,บริษัท สยามรอยัลออคิด จำกัด
95,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,หนองป่าครั่ง,ซ่อมและทำอุปกรณ์ของเครื่องยนต์,410000,เชียงใหม่,0,โรงกลึงหนองประทีป
96,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ช้างเผือก,ผลิต และซ่อมอุปกรณ์ชิ้นส่วนเครื่องยนต์,1000000,เชียงใหม่,0,เชียงใหม่บุญเจริญภัณฑ์
97,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ช้างคลาน,ซ่อมเครื่องยนต์,200000,เชียงใหม่,0,ห้างหุ้นส่วนจำกัด เชียงใหม่ยนต์กิจ
98,2563,สารภี,รายชื่อสถานประกอบการ,หนองผึ้ง,สกัดน้ำมันพืช,1000000,เชียงใหม่,0,บริษัท ชัยเสรี จำกัด
99,2563,สันทราย,รายชื่อสถานประกอบการ,ป่าไผ่,"สกัดน้ำมันจากไม้กฤษณา, ทำผงธูป",12,เชียงใหม่,5200000,ท๊อปเจริญผงธูป
100,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,วัดเกต,ซ่อมรถแทรกเตอร์,10000000,เชียงใหม่,0,บริษัท สรสิทธิกลการเชียงใหม่ จำกัด
101,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,สุเทพ,ผลิตอะไหล่วิทยุโทรทัศน์,24000000,เชียงใหม่,0,บริษัท เอลน่า (ประเทศไทย) จำกัด
102,2563,สันกำแพง,รายชื่อสถานประกอบการ,ออนใต้,ผลิตผลิตภัณฑ์โลหะรวมทั้งชิ้นส่วนโลหะ เช่น ตุ้สำหรับบรรจุอุปกรณ์อิเลคโทรนิคส์และคมนาคม และส่วนประกอบของตู้,93000000,เชียงใหม่,0,บริษัท อีจิซเทค จำกัด
103,2563,แม่ริม,รายชื่อสถานประกอบการ,ริมเหนือ,ทำซอสมะเขือเทศ ผลไม้กระป๋อง,27300000,เชียงใหม่,0,บริษัท รอแยลฟู้ดส์ จำกัด
104,2563,ฮอด,รายชื่อสถานประกอบการ,หางดง,ผลิตผักและผลไม้บรรจุกระป๋อง,300000,เชียงใหม่,0,บริษัท สุนันธนา จำกัด
105,2563,สันป่าตอง,รายชื่อสถานประกอบการ,สันกลาง,แปรรูปผลิตผลทางการเกษตร เช่น มะม่วง สับปะรด สตอเบอรี่ มะละกอ บ๊วย และผลผลิตทางการเกษตรอื่น ๆ,25000000,เชียงใหม่,0,บริษัท ที.เค.เค.จันทบุรี ฟู้ดส์ จำกัด
106,2563,หางดง,รายชื่อสถานประกอบการ,น้ำแพร่,การทำอาหารหรือเครื่องดื่มจากผัก พืชหรือผลไม้ และบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,13,เชียงใหม่,66000000,บริษัท ดีท็อกซ์ (ประเทศไทย) จำกัด
107,2563,หางดง,รายชื่อสถานประกอบการ,หนองตอง,ผลิตผักและผลไม้กระป๋องทุกชนิด,224,เชียงใหม่,42000000,บริษัท 121 เซลเซียส จำกัด
108,2563,ฝาง,รายชื่อสถานประกอบการ,เวียง,ผลิตข้าวโพดหวานและผลไม้บรรจุกระป๋อง,30000000,เชียงใหม่,0,บริษัท ฝางอินเตอร์ฟูดส์ จำกัด
109,2563,ไชยปราการ,รายชื่อสถานประกอบการ,หนองบัว,ผลิตภัณฑ์พืชผลทางการเกษครบรรจุกระป๋อง,4000000,เชียงใหม่,0,บริษัท หยางไทย จำกัด
110,2563,เมืองเชียงใหม่,รายชื่อสถานประกอบการ,ป่าแดด,"ทำเต้าหู้ยี้, ผักดอง, ขิงดอง",260000,เชียงใหม่,0,เชียงใหม่ซัวเตียงฮึ้ง
111,2563,สันป่าตอง,รายชื่อสถานประกอบการ,บ้านกลาง,ถนอมผัก พืช หรือผลไม้ โดยวิธีทอดและทำให้เยือกแข็งโดยฉับพลัน,0,เชียงใหม่,0,บริษัท ลีโอ ฟู้ดส์ จำกัด
112,2563,สันทราย,รายชื่อสถานประกอบการ,แม่แฝก,ผลิตหรือถนอมอาหารจากพืช ผัก และสัตว์พร้อมรับประทาน หรือกึ่งพร้อมรับประทาน,4137000,เชียงใหม่,0,บริษัท พรีเมี่ยมฟู้ดส์ จำกัด
