มาตรา 39,มาตรา 40,_id,ปี,มาตรา 33,รายการข้อมูล,จังหวัด,ทั้งหมด
77,201,33,2565,null,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พระนครศรีอยุธยา,278
6,1463,34,2565,3,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พะเยา,1472
3,247,35,2565,3,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พังงา,253
1,325,36,2565,1,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พัทลุง,327
10,259,37,2565,2,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พิจิตร,271
16,453,38,2565,7,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พิษณุโลก,476
12,136,39,2565,6,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เพชรบุรี,154
12,252,40,2565,10,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เพชรบูรณ์,274
8,364,41,2565,4,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,แพร่,376
40,217,42,2565,28,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ภูเก็ต,285
7,210,43,2565,2,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,มหาสารคาม,219
2,234,44,2565,5,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,มุกดาหาร,241
4,167,45,2565,0,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,แม่ฮ่องสอน,171
3,353,46,2565,0,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ยโสธร,356
3,93,47,2565,2,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ยะลา,98
13,248,48,2565,6,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ร้อยเอ็ด,267
1,170,49,2565,1,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ระนอง,172
72,218,50,2565,58,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ระยอง,348
33,274,51,2565,13,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ราชบุรี,320
18,189,52,2565,4,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ลพบุรี,211
22,418,53,2565,7,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ลำปาง,447
47,510,54,2565,9,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ลำพูน,566
6,385,55,2565,4,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เลย,395
6,413,56,2565,7,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ศรีสะเกษ,426
8,314,57,2565,4,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สกลนคร,326
49,257,58,2565,20,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สงขลา,326
0,145,59,2565,3,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สตูล,148
272,431,60,2565,104,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สมุทรปราการ,807
7,119,61,2565,9,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สมุทรสงคราม,135
81,207,62,2565,52,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สมุทรสาคร,340
5,183,63,2565,3,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สระแก้ว,191
31,251,64,2565,27,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สระบุรี,309
8,145,65,2565,2,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สิงห์บุรี,155
10,342,66,2565,3,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สุโขทัย,355
12,230,67,2565,7,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สุพรรณบุรี,249
20,320,68,2565,13,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สุราษฎร์ธานี,353
9,342,69,2565,3,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สุรินทร์,354
8,169,70,2565,2,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,หนองคาย,179
4,192,71,2565,0,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,หนองบัวลำภู,196
10,108,72,2565,2,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อ่างทอง,120
7,158,73,2565,2,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อำนาจเจริญ,167
15,527,74,2565,13,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อุดรธานี,555
6,347,75,2565,2,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อุตรดิตถ์,355
9,202,76,2565,0,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อุทัยธานี,211
20,345,77,2565,7,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อุบลราชธานี,372
