ค่าข้อมูล,ที่มา,_id,ปี,ชนิด,รายการ,จังหวัด,หน่วย
3,สำนักงานเกษตรจังหวัดมหาสารคาม,28,2566,มะยงชิด,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
10,สำนักงานเกษตรจังหวัดมหาสารคาม,29,2566,มะละกอ,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
9,สำนักงานเกษตรจังหวัดมหาสารคาม,30,2566,ลำไย,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
81,สำนักงานเกษตรจังหวัดมหาสารคาม,31,2566,โกโก้,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
378,สำนักงานเกษตรจังหวัดมหาสารคาม,32,2566,อินทผาลัม,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
433,สำนักงานเกษตรจังหวัดมหาสารคาม,33,2566,มะพร้าวอ่อน,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
1026,สำนักงานเกษตรจังหวัดมหาสารคาม,34,2567,กล้วยน้ำว้า,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
122,สำนักงานเกษตรจังหวัดมหาสารคาม,35,2567,กล้วยหอม,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
29,สำนักงานเกษตรจังหวัดมหาสารคาม,36,2567,ทุเรียน,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
43,สำนักงานเกษตรจังหวัดมหาสารคาม,37,2567,น้อยหน่า,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
122,สำนักงานเกษตรจังหวัดมหาสารคาม,38,2567,ฝรั่ง,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
17,สำนักงานเกษตรจังหวัดมหาสารคาม,39,2567,พุทรา,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
22,สำนักงานเกษตรจังหวัดมหาสารคาม,40,2567,มะขาม ,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
403,สำนักงานเกษตรจังหวัดมหาสารคาม,41,2567,มะนาว,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
1901,สำนักงานเกษตรจังหวัดมหาสารคาม,42,2567,มะม่วง,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
3,สำนักงานเกษตรจังหวัดมหาสารคาม,43,2567,มะยงชิด,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
10,สำนักงานเกษตรจังหวัดมหาสารคาม,44,2567,มะละกอ,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
18,สำนักงานเกษตรจังหวัดมหาสารคาม,45,2567,ลำไย,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
95,สำนักงานเกษตรจังหวัดมหาสารคาม,46,2567,โกโก้,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
409,สำนักงานเกษตรจังหวัดมหาสารคาม,47,2567,อินทผาลัม,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
582,สำนักงานเกษตรจังหวัดมหาสารคาม,48,2567,มะพร้าวอ่อน,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
935,สำนักงานเกษตรจังหวัดมหาสารคาม,49,2568,กล้วยน้ำว้า,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
59,สำนักงานเกษตรจังหวัดมหาสารคาม,50,2568,กล้วยหอม,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
150,สำนักงานเกษตรจังหวัดมหาสารคาม,51,2568,ฝรั่ง,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
21,สำนักงานเกษตรจังหวัดมหาสารคาม,52,2568,มะขามป้อม,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
295,สำนักงานเกษตรจังหวัดมหาสารคาม,53,2568,มะนาว,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
1556,สำนักงานเกษตรจังหวัดมหาสารคาม,54,2568,มะม่วง,เนื้อที่เพาะปลูกไม้ผลไม้ยืนต้น,มหาสารคาม,ไร่
