ค่าข้อมูล,ที่มา,_id,ปี,ชนิด,รายการ,จังหวัด,หน่วย
19,สำนักงานเกษตรจังหวัดมหาสารคาม,59,2567,ผักชีลาว,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
27,สำนักงานเกษตรจังหวัดมหาสารคาม,60,2567,แตงร้าน,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
418,สำนักงานเกษตรจังหวัดมหาสารคาม,61,2568,กะหล่ำปลี,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
566,สำนักงานเกษตรจังหวัดมหาสารคาม,62,2568,ข้าวโพดรับประทานฝักสด,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
509,สำนักงานเกษตรจังหวัดมหาสารคาม,63,2568,ข้าวโพดหวาน,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
275,สำนักงานเกษตรจังหวัดมหาสารคาม,64,2568,ตะไคร้,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
2029,สำนักงานเกษตรจังหวัดมหาสารคาม,65,2568,แตงโมเนื้อ,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
371,สำนักงานเกษตรจังหวัดมหาสารคาม,66,2568,ผักกวางตุ้ง,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
246,สำนักงานเกษตรจังหวัดมหาสารคาม,67,2568,ผักชี,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
220,สำนักงานเกษตรจังหวัดมหาสารคาม,68,2568,ผักบุ้งจีน,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
392,สำนักงานเกษตรจังหวัดมหาสารคาม,69,2568,พริกชี้ฟ้าแดง,เนื้อที่เพาะปลูกพืชผัก,มหาสารคาม,ไร่
