จำนวน,_id,ปี,จำแนก,ราบการข้อมูล,หน่วย
" 30,424 ",22,2566,อื่นๆ,สถานภาพแรงงาน ไตรมาส 2,คน
" 853,669 ",23,2566,ผู้มีอายุ 15 ปี ขึ้นไป,สถานภาพแรงงาน ไตรมาส 3,คน
" 589,245 ",24,2566,ผู้อยู่ในกำลังแรงงานรวม,สถานภาพแรงงาน ไตรมาส 3,คน
" 589,079 ",25,2566,กำลังแรงงานปัจจุบัน,สถานภาพแรงงาน ไตรมาส 3,คน
 166 ,26,2566,ผู้รอฤดูกาล,สถานภาพแรงงาน ไตรมาส 3,คน
" 582,415 ",27,2566,ผู้มีงานทำ,สถานภาพแรงงาน ไตรมาส 3,คน
" 6,664 ",28,2566,ผู้ว่างงาน,สถานภาพแรงงาน ไตรมาส 3,คน
" 264,424 ",29,2566,ผู้อยู่นอกกำลังแรงงาน,สถานภาพแรงงาน ไตรมาส 3,คน
" 53,638 ",30,2566,ทำงานบ้าน,สถานภาพแรงงาน ไตรมาส 3,คน
" 83,617 ",31,2566,เรียนหนังสือ,สถานภาพแรงงาน ไตรมาส 3,คน
" 104,875 ",32,2566,เด็ก ชรา ป่วย พิการ ,สถานภาพแรงงาน ไตรมาส 3,คน
" 22,295 ",33,2566,อื่นๆ,สถานภาพแรงงาน ไตรมาส 3,คน
" 852,985 ",34,2566,ผู้มีอายุ 15 ปี ขึ้นไป,สถานภาพแรงงาน ไตรมาส 4,คน
" 570,371 ",35,2566,ผู้อยู่ในกำลังแรงงานรวม,สถานภาพแรงงาน ไตรมาส 4,คน
" 571,227 ",36,2566,กำลังแรงงานปัจจุบัน,สถานภาพแรงงาน ไตรมาส 4,คน
" 2,144 ",37,2566,ผู้รอฤดูกาล,สถานภาพแรงงาน ไตรมาส 4,คน
" 565,596 ",38,2566,ผู้มีงานทำ,สถานภาพแรงงาน ไตรมาส 4,คน
" 2,631 ",39,2566,ผู้ว่างงาน,สถานภาพแรงงาน ไตรมาส 4,คน
" 282,614 ",40,2566,ผู้อยู่นอกกำลังแรงงาน,สถานภาพแรงงาน ไตรมาส 4,คน
" 74,196 ",41,2566,ทำงานบ้าน,สถานภาพแรงงาน ไตรมาส 4,คน
" 79,703 ",42,2566,เรียนหนังสือ,สถานภาพแรงงาน ไตรมาส 4,คน
" 102,651 ",43,2566,เด็ก ชรา ป่วย พิการ ,สถานภาพแรงงาน ไตรมาส 4,คน
" 26,064 ",44,2566,อื่นๆ,สถานภาพแรงงาน ไตรมาส 4,คน
" 852,367 ",45,2567,ผู้มีอายุ 15 ปี ขึ้นไป,สถานภาพแรงงาน ไตรมาส 1,คน
" 507,895 ",46,2567,ผู้อยู่ในกำลังแรงงานรวม,สถานภาพแรงงาน ไตรมาส 1,คน
" 500,548 ",47,2567,กำลังแรงงานปัจจุบัน,สถานภาพแรงงาน ไตรมาส 1,คน
" 7,436 ",48,2567,ผู้รอฤดูกาล,สถานภาพแรงงาน ไตรมาส 1,คน
" 498,721 ",49,2567,ผู้มีงานทำ,สถานภาพแรงงาน ไตรมาส 1,คน
" 1,827 ",50,2567,ผู้ว่างงาน,สถานภาพแรงงาน ไตรมาส 1,คน
" 344,382 ",51,2567,ผู้อยู่นอกกำลังแรงงาน,สถานภาพแรงงาน ไตรมาส 1,คน
" 87,787 ",52,2567,ทำงานบ้าน,สถานภาพแรงงาน ไตรมาส 1,คน
" 82,155 ",53,2567,เรียนหนังสือ,สถานภาพแรงงาน ไตรมาส 1,คน
" 158,190 ",54,2567,เด็ก ชรา ป่วย พิการ ,สถานภาพแรงงาน ไตรมาส 1,คน
" 16,251 ",55,2567,อื่นๆ,สถานภาพแรงงาน ไตรมาส 1,คน
" 851,810 ",56,2567,ผู้มีอายุ 15 ปี ขึ้นไป,สถานภาพแรงงาน ไตรมาส 2,คน
" 516,120 ",57,2567,ผู้อยู่ในกำลังแรงงานรวม,สถานภาพแรงงาน ไตรมาส 2,คน
" 506,382 ",58,2567,กำลังแรงงานปัจจุบัน,สถานภาพแรงงาน ไตรมาส 2,คน
" 9,738 ",59,2567,ผู้รอฤดูกาล,สถานภาพแรงงาน ไตรมาส 2,คน
" 499,526 ",60,2567,ผู้มีงานทำ,สถานภาพแรงงาน ไตรมาส 2,คน
" 6,856 ",61,2567,ผู้ว่างงาน,สถานภาพแรงงาน ไตรมาส 2,คน
" 335,690 ",62,2567,ผู้อยู่นอกกำลังแรงงาน,สถานภาพแรงงาน ไตรมาส 2,คน
" 82,629 ",63,2567,ทำงานบ้าน,สถานภาพแรงงาน ไตรมาส 2,คน
" 77,066 ",64,2567,เรียนหนังสือ,สถานภาพแรงงาน ไตรมาส 2,คน
" 157,529 ",65,2567,เด็ก ชรา ป่วย พิการ ,สถานภาพแรงงาน ไตรมาส 2,คน
" 18,466 ",66,2567,อื่นๆ,สถานภาพแรงงาน ไตรมาส 2,คน
" 851,201 ",67,2567,ผู้มีอายุ 15 ปี ขึ้นไป,สถานภาพแรงงาน ไตรมาส 3,คน
" 570,995 ",68,2567,ผู้อยู่ในกำลังแรงงานรวม,สถานภาพแรงงาน ไตรมาส 3,คน
" 570,800 ",69,2567,กำลังแรงงานปัจจุบัน,สถานภาพแรงงาน ไตรมาส 3,คน
 195 ,70,2567,ผู้รอฤดูกาล,สถานภาพแรงงาน ไตรมาส 3,คน
" 560,473 ",71,2567,ผู้มีงานทำ,สถานภาพแรงงาน ไตรมาส 3,คน
" 10,327 ",72,2567,ผู้ว่างงาน,สถานภาพแรงงาน ไตรมาส 3,คน
" 280,206 ",73,2567,ผู้อยู่นอกกำลังแรงงาน,สถานภาพแรงงาน ไตรมาส 3,คน
" 58,631 ",74,2567,ทำงานบ้าน,สถานภาพแรงงาน ไตรมาส 3,คน
" 79,365 ",75,2567,เรียนหนังสือ,สถานภาพแรงงาน ไตรมาส 3,คน
" 125,455 ",76,2567,เด็ก ชรา ป่วย พิการ ,สถานภาพแรงงาน ไตรมาส 3,คน
" 16,755 ",77,2567,อื่นๆ,สถานภาพแรงงาน ไตรมาส 3,คน
" 850,365 ",78,2567,ผู้มีอายุ 15 ปี ขึ้นไป,สถานภาพแรงงาน ไตรมาส 4,คน
" 547,240 ",79,2567,ผู้อยู่ในกำลังแรงงานรวม,สถานภาพแรงงาน ไตรมาส 4,คน
" 547,240 ",80,2567,กำลังแรงงานปัจจุบัน,สถานภาพแรงงาน ไตรมาส 4,คน
0,81,2567,ผู้รอฤดูกาล,สถานภาพแรงงาน ไตรมาส 4,คน
" 545,865 ",82,2567,ผู้มีงานทำ,สถานภาพแรงงาน ไตรมาส 4,คน
" 1,375 ",83,2567,ผู้ว่างงาน,สถานภาพแรงงาน ไตรมาส 4,คน
" 303,125 ",84,2567,ผู้อยู่นอกกำลังแรงงาน,สถานภาพแรงงาน ไตรมาส 4,คน
" 62,765 ",85,2567,ทำงานบ้าน,สถานภาพแรงงาน ไตรมาส 4,คน
" 78,377 ",86,2567,เรียนหนังสือ,สถานภาพแรงงาน ไตรมาส 4,คน
" 247,889 ",87,2567,เด็ก ชรา ป่วย พิการ ,สถานภาพแรงงาน ไตรมาส 4,คน
" 24,293 ",88,2567,อื่นๆ,สถานภาพแรงงาน ไตรมาส 4,คน
" 849,587 ",89,2568,ผู้มีอายุ 15 ปี ขึ้นไป,สถานภาพแรงงาน ไตรมาส 1,คน
" 513,838 ",90,2568,ผู้อยู่ในกำลังแรงงานรวม,สถานภาพแรงงาน ไตรมาส 1,คน
" 474,838 ",91,2568,กำลังแรงงานปัจจุบัน,สถานภาพแรงงาน ไตรมาส 1,คน
" 38,752 ",92,2568,ผู้รอฤดูกาล,สถานภาพแรงงาน ไตรมาส 1,คน
" 472,023 ",93,2568,ผู้มีงานทำ,สถานภาพแรงงาน ไตรมาส 1,คน
" 2,815 ",94,2568,ผู้ว่างงาน,สถานภาพแรงงาน ไตรมาส 1,คน
" 335,997 ",95,2568,ผู้อยู่นอกกำลังแรงงาน,สถานภาพแรงงาน ไตรมาส 1,คน
" 86,290 ",96,2568,ทำงานบ้าน,สถานภาพแรงงาน ไตรมาส 1,คน
" 77,445 ",97,2568,เรียนหนังสือ,สถานภาพแรงงาน ไตรมาส 1,คน
" 142,909 ",98,2568,เด็ก ชรา ป่วย พิการ ,สถานภาพแรงงาน ไตรมาส 1,คน
" 29,353 ",99,2568,อื่นๆ,สถานภาพแรงงาน ไตรมาส 1,คน
" 848,877 ",100,2568,ผู้มีอายุ 15 ปี ขึ้นไป,สถานภาพแรงงาน ไตรมาส 2,คน
" 546,638 ",101,2568,ผู้อยู่ในกำลังแรงงานรวม,สถานภาพแรงงาน ไตรมาส 2,คน
" 517,914 ",102,2568,กำลังแรงงานปัจจุบัน,สถานภาพแรงงาน ไตรมาส 2,คน
" 28,724 ",103,2568,ผู้รอฤดูกาล,สถานภาพแรงงาน ไตรมาส 2,คน
" 512,151 ",104,2568,ผู้มีงานทำ,สถานภาพแรงงาน ไตรมาส 2,คน
" 5,763 ",105,2568,ผู้ว่างงาน,สถานภาพแรงงาน ไตรมาส 2,คน
" 302,339 ",106,2568,ผู้อยู่นอกกำลังแรงงาน,สถานภาพแรงงาน ไตรมาส 2,คน
" 72,883 ",107,2568,ทำงานบ้าน,สถานภาพแรงงาน ไตรมาส 2,คน
" 73,131 ",108,2568,เรียนหนังสือ,สถานภาพแรงงาน ไตรมาส 2,คน
" 137,069 ",109,2568,เด็ก ชรา ป่วย พิการ ,สถานภาพแรงงาน ไตรมาส 2,คน
" 19,156 ",110,2568,อื่นๆ,สถานภาพแรงงาน ไตรมาส 2,คน
" 847,995 ",111,2568,ผู้มีอายุ 15 ปี ขึ้นไป,สถานภาพแรงงาน ไตรมาส 3,คน
" 553,163 ",112,2568,ผู้อยู่ในกำลังแรงงานรวม,สถานภาพแรงงาน ไตรมาส 3,คน
" 552,772 ",113,2568,กำลังแรงงานปัจจุบัน,สถานภาพแรงงาน ไตรมาส 3,คน
 391 ,114,2568,ผู้รอฤดูกาล,สถานภาพแรงงาน ไตรมาส 3,คน
" 550,932 ",115,2568,ผู้มีงานทำ,สถานภาพแรงงาน ไตรมาส 3,คน
" 1,840 ",116,2568,ผู้ว่างงาน,สถานภาพแรงงาน ไตรมาส 3,คน
" 294,832 ",117,2568,ผู้อยู่นอกกำลังแรงงาน,สถานภาพแรงงาน ไตรมาส 3,คน
" 59,641 ",118,2568,ทำงานบ้าน,สถานภาพแรงงาน ไตรมาส 3,คน
" 74,429 ",119,2568,เรียนหนังสือ,สถานภาพแรงงาน ไตรมาส 3,คน
" 126,481 ",120,2568,เด็ก ชรา ป่วย พิการ ,สถานภาพแรงงาน ไตรมาส 3,คน
" 34,281 ",121,2568,อื่นๆ,สถานภาพแรงงาน ไตรมาส 3,คน
