VALUE,QUARTER,SOURCE,_id,SEX,INDUSTRY,UNIT,REGION,YEAR
2.9,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,33,ชาย, กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน ,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
60.2,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,34,หญิง, กิจกรรมบริการด้านอื่น ๆ ,พันคน,ภาคใต้,2565
42.1,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,35,ชาย, ศิลปะ ความบันเทิง และนันทนาการ,พันคน,ภาคกลาง,2565
15.5,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,36,หญิง, ศิลปะ ความบันเทิง และนันทนาการ,พันคน,ภาคเหนือ,2565
31.9,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,37,ชาย, กิจกรรมการบริหารและการบริการสนับสนุน,พันคน,ภาคใต้,2565
75.8,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,38,หญิง, กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,กรุงเทพมหานคร,2565
23.3,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,39,ชาย, กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,ภาคเหนือ,2565
7.5,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,40,หญิง,  ข้อมูลข่าวสารและการสื่อสาร,พันคน,ภาคตะวันออกเฉียงเหนือ,2565
256.7,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,41,ชาย, ที่พักแรมและบริการด้านอาหาร,พันคน,กรุงเทพมหานคร,2566
115.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,42,หญิง, การขนส่ง และสถานที่เก็บสินค้า,พันคน,ภาคกลาง,2566
86.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,43,ชาย, การขนส่ง และสถานที่เก็บสินค้า,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
2.2,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,44,หญิง, การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,พันคน,ภาคใต้,2566
28.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,45,หญิง, การก่อสร้าง,พันคน,ภาคใต้,2566
488.7,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,46,หญิง, การขายส่ง และการขายปลีก การซ่อมยานยนต์,พันคน,ภาคใต้,2566
14.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,47,หญิง, การขนส่ง และสถานที่เก็บสินค้า,พันคน,ภาคใต้,2566
327.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,48,หญิง, ที่พักแรมและบริการด้านอาหาร,พันคน,ภาคใต้,2566
7.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,49,หญิง,  ข้อมูลข่าวสารและการสื่อสาร,พันคน,ภาคใต้,2566
31.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,50,หญิง,กิจกรรมทางการเงินและการประกันภัย,พันคน,ภาคใต้,2566
10.9,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,51,หญิง, กิจกรรมอสังหาริมทรัพย์,พันคน,ภาคใต้,2566
16.9,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,52,หญิง, กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,ภาคใต้,2566
19.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,53,หญิง, กิจกรรมการบริหารและการบริการสนับสนุน,พันคน,ภาคใต้,2566
95.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,54,หญิง,  การบริหารราชการ การป้องกันประเทศ การประกันสังคม,พันคน,ภาคใต้,2566
137.2,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,55,หญิง, การศึกษา,พันคน,ภาคใต้,2566
73.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,56,หญิง, กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,พันคน,ภาคใต้,2566
14.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,57,หญิง, ศิลปะ ความบันเทิง และนันทนาการ,พันคน,ภาคใต้,2566
64.1,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,58,หญิง, กิจกรรมบริการด้านอื่น ๆ ,พันคน,ภาคใต้,2566
14.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,59,หญิง, กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน ,พันคน,ภาคใต้,2566
0.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,60,หญิง, กิจกรรมขององค์การระหว่างประเทศ,พันคน,ภาคใต้,2566
0.2,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,61,หญิง, ไม่ทราบ,พันคน,ภาคใต้,2566
8.2,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,62,ชาย,เกษตรกรรม การป่าไม้ และการประมง,พันคน,กรุงเทพมหานคร,2566
1.3,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,63,ชาย,การทำเหมืองแร่ และเหมืองหิน,พันคน,กรุงเทพมหานคร,2566
448.4,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,64,ชาย, การผลิต,พันคน,กรุงเทพมหานคร,2566
157.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,65,ชาย, ที่พักแรมและบริการด้านอาหาร,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
10.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,66,ชาย,  ข้อมูลข่าวสารและการสื่อสาร,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
18.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,67,ชาย,กิจกรรมทางการเงินและการประกันภัย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
4.8,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,68,ชาย, กิจกรรมอสังหาริมทรัพย์,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
14.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,69,ชาย, กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
18.2,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,70,ชาย, กิจกรรมการบริหารและการบริการสนับสนุน,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
268.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,71,ชาย,  การบริหารราชการ การป้องกันประเทศ การประกันสังคม,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
91.2,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,72,ชาย, การศึกษา,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
43.8,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,73,ชาย, กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
27.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,74,ชาย, ศิลปะ ความบันเทิง และนันทนาการ,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
147.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,75,ชาย, กิจกรรมบริการด้านอื่น ๆ ,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
7.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,76,ชาย, กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน ,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
0.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,77,ชาย, กิจกรรมขององค์การระหว่างประเทศ,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
0.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,78,ชาย, ไม่ทราบ,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
1856.2,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,79,หญิง,เกษตรกรรม การป่าไม้ และการประมง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
0.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,80,หญิง,การทำเหมืองแร่ และเหมืองหิน,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
380.9,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,81,หญิง, การผลิต,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
2.7,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,82,หญิง, ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
4.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,83,หญิง, การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
73.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,84,หญิง, การก่อสร้าง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
739.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,85,หญิง, การขายส่ง และการขายปลีก การซ่อมยานยนต์,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
14.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,86,หญิง, การขนส่ง และสถานที่เก็บสินค้า,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
325.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,87,หญิง, ที่พักแรมและบริการด้านอาหาร,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
3.9,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,88,หญิง,  ข้อมูลข่าวสารและการสื่อสาร,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
36.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,89,หญิง,กิจกรรมทางการเงินและการประกันภัย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
9.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,90,หญิง, กิจกรรมอสังหาริมทรัพย์,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
13.8,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,91,หญิง, กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
16.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,92,หญิง, กิจกรรมการบริหารและการบริการสนับสนุน,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
174.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,93,หญิง,  การบริหารราชการ การป้องกันประเทศ การประกันสังคม,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
195.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,94,หญิง, การศึกษา,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
149.8,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,95,หญิง, กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
25.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,96,หญิง, ศิลปะ ความบันเทิง และนันทนาการ,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
96.8,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,97,หญิง, กิจกรรมบริการด้านอื่น ๆ ,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
28.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,98,หญิง, กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน ,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
0.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,99,หญิง, กิจกรรมขององค์การระหว่างประเทศ,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
0.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,100,หญิง, ไม่ทราบ,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
1342.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,101,ชาย,เกษตรกรรม การป่าไม้ และการประมง,พันคน,ภาคใต้,2566
16.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,102,ชาย,การทำเหมืองแร่ และเหมืองหิน,พันคน,ภาคใต้,2566
198.7,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,103,ชาย, การผลิต,พันคน,ภาคใต้,2566
10.2,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,104,ชาย, ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,พันคน,ภาคใต้,2566
4.9,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,105,ชาย, การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,พันคน,ภาคใต้,2566
277.8,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,106,ชาย, การก่อสร้าง,พันคน,ภาคใต้,2566
452.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,107,ชาย, การขายส่ง และการขายปลีก การซ่อมยานยนต์,พันคน,ภาคใต้,2566
97.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,108,ชาย, การขนส่ง และสถานที่เก็บสินค้า,พันคน,ภาคใต้,2566
149.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,109,ชาย, ที่พักแรมและบริการด้านอาหาร,พันคน,ภาคใต้,2566
7.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,110,ชาย,  ข้อมูลข่าวสารและการสื่อสาร,พันคน,ภาคใต้,2566
16.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,111,ชาย,กิจกรรมทางการเงินและการประกันภัย,พันคน,ภาคใต้,2566
9.7,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,112,ชาย, กิจกรรมอสังหาริมทรัพย์,พันคน,ภาคใต้,2566
15.9,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,113,ชาย, กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,ภาคใต้,2566
37.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,114,ชาย, กิจกรรมการบริหารและการบริการสนับสนุน,พันคน,ภาคใต้,2566
158.7,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,115,ชาย,  การบริหารราชการ การป้องกันประเทศ การประกันสังคม,พันคน,ภาคใต้,2566
48.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,116,ชาย, การศึกษา,พันคน,ภาคใต้,2566
19.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,117,ชาย, กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,พันคน,ภาคใต้,2566
19.5,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,118,ชาย, ศิลปะ ความบันเทิง และนันทนาการ,พันคน,ภาคใต้,2566
59.6,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,119,ชาย, กิจกรรมบริการด้านอื่น ๆ ,พันคน,ภาคใต้,2566
1.9,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,120,ชาย, กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน ,พันคน,ภาคใต้,2566
0.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,121,ชาย, กิจกรรมขององค์การระหว่างประเทศ,พันคน,ภาคใต้,2566
0.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,122,ชาย, ไม่ทราบ,พันคน,ภาคใต้,2566
907.4,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,123,หญิง,เกษตรกรรม การป่าไม้ และการประมง,พันคน,ภาคใต้,2566
2.1,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,124,หญิง,การทำเหมืองแร่ และเหมืองหิน,พันคน,ภาคใต้,2566
198.1,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,125,หญิง, การผลิต,พันคน,ภาคใต้,2566
1.8,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,126,หญิง, ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,พันคน,ภาคใต้,2566
12.4,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,127,ชาย, ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,พันคน,กรุงเทพมหานคร,2566
14.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,128,ชาย,เกษตรกรรม การป่าไม้ และการประมง,พันคน,กรุงเทพมหานคร,2567
1.27,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,129,ชาย,การทำเหมืองแร่ และเหมืองหิน,พันคน,กรุงเทพมหานคร,2567
445.74,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,130,ชาย, การผลิต,พันคน,กรุงเทพมหานคร,2567
9.91,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,131,ชาย, ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,พันคน,กรุงเทพมหานคร,2567
10.99,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,132,ชาย, การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,พันคน,กรุงเทพมหานคร,2567
299.96,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,133,ชาย, การก่อสร้าง,พันคน,กรุงเทพมหานคร,2567
615.93,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,134,ชาย, การขายส่ง และการขายปลีก การซ่อมยานยนต์,พันคน,กรุงเทพมหานคร,2567
445.94,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,135,ชาย, การขนส่ง และสถานที่เก็บสินค้า,พันคน,กรุงเทพมหานคร,2567
285.38,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,136,ชาย, ที่พักแรมและบริการด้านอาหาร,พันคน,กรุงเทพมหานคร,2567
58.56,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,137,ชาย,  ข้อมูลข่าวสารและการสื่อสาร,พันคน,กรุงเทพมหานคร,2567
80.41,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,138,ชาย,กิจกรรมทางการเงินและการประกันภัย,พันคน,กรุงเทพมหานคร,2567
96.19,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,139,ชาย, กิจกรรมอสังหาริมทรัพย์,พันคน,กรุงเทพมหานคร,2567
110.24,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,140,ชาย, กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,กรุงเทพมหานคร,2567
164.07,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,141,ชาย, กิจกรรมการบริหารและการบริการสนับสนุน,พันคน,กรุงเทพมหานคร,2567
140.18,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,142,ชาย,  การบริหารราชการ การป้องกันประเทศ การประกันสังคม,พันคน,กรุงเทพมหานคร,2567
41.29,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,143,ชาย, การศึกษา,พันคน,กรุงเทพมหานคร,2567
33.8,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,144,ชาย, กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,พันคน,กรุงเทพมหานคร,2567
42.41,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,145,ชาย, ศิลปะ ความบันเทิง และนันทนาการ,พันคน,กรุงเทพมหานคร,2567
75.56,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,146,ชาย, กิจกรรมบริการด้านอื่น ๆ,พันคน,กรุงเทพมหานคร,2567
24.08,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,147,ชาย, กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,พันคน,กรุงเทพมหานคร,2567
1.24,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,148,ชาย, กิจกรรมขององค์การระหว่างประเทศ,พันคน,กรุงเทพมหานคร,2567
19.86,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,149,ชาย, ไม่ทราบ,พันคน,กรุงเทพมหานคร,2567
9.78,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,150,หญิง,เกษตรกรรม การป่าไม้ และการประมง,พันคน,กรุงเทพมหานคร,2567
0.0,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,151,หญิง,การทำเหมืองแร่ และเหมืองหิน,พันคน,กรุงเทพมหานคร,2567
414.59,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,152,หญิง, การผลิต,พันคน,กรุงเทพมหานคร,2567
2.76,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,153,หญิง, ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,พันคน,กรุงเทพมหานคร,2567
