AGE_GROUP,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,YEAR
15-19 ปี,153.98,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,66,หญิง,พันคน,2568
20-24 ปี,1720.97,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,67,ชาย,พันคน,2568
20-24 ปี,1351.34,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,68,หญิง,พันคน,2568
25-29 ปี,2443.64,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,69,ชาย,พันคน,2568
25-29 ปี,2156.52,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,70,หญิง,พันคน,2568
30-34 ปี,2422.24,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,71,ชาย,พันคน,2568
30-34 ปี,2138.02,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,72,หญิง,พันคน,2568
35-39 ปี,2237.09,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,73,ชาย,พันคน,2568
35-39 ปี,1988.77,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,74,หญิง,พันคน,2568
40-49 ปี,4732.59,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,75,ชาย,พันคน,2568
40-49 ปี,4277.65,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,76,หญิง,พันคน,2568
50-59 ปี,4670.45,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,77,ชาย,พันคน,2568
50-59 ปี,4065.99,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,78,หญิง,พันคน,2568
60 ปีขึ้นไป,2967.88,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,79,ชาย,พันคน,2568
60 ปีขึ้นไป,2403.69,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,80,หญิง,พันคน,2568
ชาย,346.41,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,81,15-19 ปี,พันคน,2568
หญิง,164.46,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,82,15-19 ปี,พันคน,2568
ชาย,1707.8,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,83,20-24 ปี,พันคน,2568
หญิง,1355.42,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,84,20-24 ปี,พันคน,2568
ชาย,2457.81,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,85,25-29 ปี,พันคน,2568
หญิง,2168.82,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,86,25-29 ปี,พันคน,2568
ชาย,2440.29,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,87,30-34 ปี,พันคน,2568
หญิง,2122.79,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,88,30-34 ปี,พันคน,2568
ชาย,2258.87,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,89,35-39 ปี,พันคน,2568
หญิง,2016.7,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,90,35-39 ปี,พันคน,2568
ชาย,4739.62,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,91,40-49 ปี,พันคน,2568
หญิง,4247.63,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,92,40-49 ปี,พันคน,2568
ชาย,4677.53,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,93,50-59 ปี,พันคน,2568
หญิง,4045.55,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,94,50-59 ปี,พันคน,2568
ชาย,2950.6,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,95,60 ปีขึ้นไป,พันคน,2568
หญิง,2414.09,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,96,60 ปีขึ้นไป,พันคน,2568
หญิง,139.27,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,97,15-19 ปี,พันคน,2568
ชาย,1671.81,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,98,20-24 ปี,พันคน,2568
หญิง,1386.54,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,99,20-24 ปี,พันคน,2568
ชาย,2443.74,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,100,25-29 ปี,พันคน,2568
หญิง,2172.21,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,101,25-29 ปี,พันคน,2568
ชาย,2435.27,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,102,30-34 ปี,พันคน,2568
หญิง,2123.45,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,103,30-34 ปี,พันคน,2568
ชาย,2266.6,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,104,35-39 ปี,พันคน,2568
หญิง,1985.19,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,105,35-39 ปี,พันคน,2568
ชาย,4710.45,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,106,40-49 ปี,พันคน,2568
หญิง,4308.52,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,107,40-49 ปี,พันคน,2568
ชาย,4700.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,108,50-59 ปี,พันคน,2568
หญิง,4125.58,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,109,50-59 ปี,พันคน,2568
ชาย,2953.37,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,110,60 ปีขึ้นไป,พันคน,2568
หญิง,2463.13,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,111,60 ปีขึ้นไป,พันคน,2568
15-19 ปี,302.41,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,112,ชาย,พันคน,2568
15-19 ปี,134.42,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,113,หญิง,พันคน,2568
20-24 ปี,1727.74,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,114,ชาย,พันคน,2568
20-24 ปี,1361.45,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,115,หญิง,พันคน,2568
25-29 ปี,2458.44,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,116,ชาย,พันคน,2568
25-29 ปี,2157.67,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,117,หญิง,พันคน,2568
30-34 ปี,2442.78,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,118,ชาย,พันคน,2568
30-34 ปี,2141.62,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,119,หญิง,พันคน,2568
35-39 ปี,2258.42,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,120,ชาย,พันคน,2568
35-39 ปี,1991.53,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,121,หญิง,พันคน,2568
40-49 ปี,4686.97,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,122,ชาย,พันคน,2568
40-49 ปี,4267.03,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,123,หญิง,พันคน,2568
50-59 ปี,4670.1,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,124,ชาย,พันคน,2568
50-59 ปี,4069.19,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,125,หญิง,พันคน,2568
60 ปีขึ้นไป,2981.01,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,126,ชาย,พันคน,2568
60 ปีขึ้นไป,2476.69,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,127,หญิง,พันคน,2568
15-19 ปี,362.75,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,128,ชาย,พันคน,2569
15-19 ปี,182.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,129,หญิง,พันคน,2569
20-24 ปี,1743.07,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,130,ชาย,พันคน,2569
20-24 ปี,1419.02,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,131,หญิง,พันคน,2569
25-29 ปี,2499.95,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,132,ชาย,พันคน,2569
25-29 ปี,2205.39,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,133,หญิง,พันคน,2569
30-34 ปี,2461.79,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,134,ชาย,พันคน,2569
30-34 ปี,2244.49,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,135,หญิง,พันคน,2569
35-39 ปี,2276.96,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,136,ชาย,พันคน,2569
35-39 ปี,2077.11,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,137,หญิง,พันคน,2569
40-49 ปี,4711.31,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,138,ชาย,พันคน,2569
40-49 ปี,4422.04,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,139,หญิง,พันคน,2569
50-59 ปี,4681.48,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,140,ชาย,พันคน,2569
50-59 ปี,4373.56,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,141,หญิง,พันคน,2569
60 ปีขึ้นไป,3248.81,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,142,ชาย,พันคน,2569
60 ปีขึ้นไป,3002.09,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,143,หญิง,พันคน,2569
ชาย,311.2,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,144,15-19 ปี,พันคน,2568
 15-19 ปี,568.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,145,ชาย,พันคน,2561
 20-24 ปี,1821.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,146,ชาย,พันคน,2561
 25-29 ปี,2277.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,147,ชาย,พันคน,2561
 30-34 ปี,2230.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,148,ชาย,พันคน,2561
 35-39 ปี,2342.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,149,ชาย,พันคน,2561
 40-49 ปี,4930.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,150,ชาย,พันคน,2561
 50-59 ปี,4263.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,151,ชาย,พันคน,2561
 60 ปีขึ้นไป,2415.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,152,ชาย,พันคน,2561
 15-19 ปี,254.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,153,หญิง,พันคน,2561
 20-24 ปี,1312.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,154,หญิง,พันคน,2561
 25-29 ปี,1907.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,155,หญิง,พันคน,2561
 30-34 ปี,1893.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,156,หญิง,พันคน,2561
 35-39 ปี,2093.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,157,หญิง,พันคน,2561
 40-49 ปี,4457.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,158,หญิง,พันคน,2561
 50-59 ปี,3626.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,159,หญิง,พันคน,2561
 60 ปีขึ้นไป,1750.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,160,หญิง,พันคน,2561
 15-19 ปี,515.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,161,ชาย,พันคน,2561
 20-24 ปี,1808.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,162,ชาย,พันคน,2561
 25-29 ปี,2284.6,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,163,ชาย,พันคน,2561
 30-34 ปี,2230.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,164,ชาย,พันคน,2561
 35-39 ปี,2343.7,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,165,ชาย,พันคน,2561
 40-49 ปี,4934.6,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,166,ชาย,พันคน,2561
 50-59 ปี,4321.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,167,ชาย,พันคน,2561
 60 ปีขึ้นไป,2516.8,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,168,ชาย,พันคน,2561
 15-19 ปี,269.6,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,169,หญิง,พันคน,2561
 20-24 ปี,1334.9,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,170,หญิง,พันคน,2561
 25-29 ปี,1957.3,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,171,หญิง,พันคน,2561
 30-34 ปี,1892.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,172,หญิง,พันคน,2561
 35-39 ปี,2088.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,173,หญิง,พันคน,2561
 40-49 ปี,4461.7,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,174,หญิง,พันคน,2561
 50-59 ปี,3709.6,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,175,หญิง,พันคน,2561
 60 ปีขึ้นไป,1814.4,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,176,หญิง,พันคน,2561
 15-19 ปี,597.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,177,ชาย,พันคน,2561
 20-24 ปี,1838.7,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,178,ชาย,พันคน,2561
 25-29 ปี,2306.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,179,ชาย,พันคน,2561
 30-34 ปี,2219.8,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,180,ชาย,พันคน,2561
 35-39 ปี,2325.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,181,ชาย,พันคน,2561
 40-49 ปี,4908.2,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,182,ชาย,พันคน,2561
 50-59 ปี,4351.1,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,183,ชาย,พันคน,2561
 60 ปีขึ้นไป,2553.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,184,ชาย,พันคน,2561
 15-19 ปี,319.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,185,หญิง,พันคน,2561
 20-24 ปี,1358.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,186,หญิง,พันคน,2561
 25-29 ปี,1935.5,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,187,หญิง,พันคน,2561
 30-34 ปี,1893.3,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,188,หญิง,พันคน,2561
 35-39 ปี,2073.3,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,189,หญิง,พันคน,2561
 40-49 ปี,4483.5,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,190,หญิง,พันคน,2561
 50-59 ปี,3745.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,191,หญิง,พันคน,2561
 60 ปีขึ้นไป,1819.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,192,หญิง,พันคน,2561
 15-19 ปี,569.0,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,193,ชาย,พันคน,2561
 20-24 ปี,1857.7,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,194,ชาย,พันคน,2561
 25-29 ปี,2299.4,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,195,ชาย,พันคน,2561
 30-34 ปี,2213.1,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,196,ชาย,พันคน,2561
 35-39 ปี,2297.9,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,197,ชาย,พันคน,2561
 40-49 ปี,4883.4,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,198,ชาย,พันคน,2561
 50-59 ปี,4333.6,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,199,ชาย,พันคน,2561
 60 ปีขึ้นไป,2437.2,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,200,ชาย,พันคน,2561
 15-19 ปี,248.4,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,201,หญิง,พันคน,2561
 20-24 ปี,1390.8,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,202,หญิง,พันคน,2561
 25-29 ปี,1941.8,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,203,หญิง,พันคน,2561
 30-34 ปี,1885.9,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,204,หญิง,พันคน,2561
 35-39 ปี,2066.0,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,205,หญิง,พันคน,2561
 40-49 ปี,4474.3,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,206,หญิง,พันคน,2561
 50-59 ปี,3735.6,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,207,หญิง,พันคน,2561
 60 ปีขึ้นไป,1747.2,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,208,หญิง,พันคน,2561
 15-19 ปี,497.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,209,ชาย,พันคน,2562
 20-24 ปี,1774.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,210,ชาย,พันคน,2562
 25-29 ปี,2292.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,211,ชาย,พันคน,2562
 30-34 ปี,2212.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,212,ชาย,พันคน,2562
 35-39 ปี,2308.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,213,ชาย,พันคน,2562
 40-49 ปี,4881.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,214,ชาย,พันคน,2562
 50-59 ปี,4350.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,215,ชาย,พันคน,2562
 60 ปีขึ้นไป,2489.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,216,ชาย,พันคน,2562
 15-19 ปี,234.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,217,หญิง,พันคน,2562
 20-24 ปี,1370.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,218,หญิง,พันคน,2562
 25-29 ปี,1978.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,219,หญิง,พันคน,2562
 30-34 ปี,1895.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,220,หญิง,พันคน,2562
 35-39 ปี,2071.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,221,หญิง,พันคน,2562
 40-49 ปี,4446.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,222,หญิง,พันคน,2562
 50-59 ปี,3763.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,223,หญิง,พันคน,2562
 60 ปีขึ้นไป,1797.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,224,หญิง,พันคน,2562
 15-19 ปี,518.7,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,225,ชาย,พันคน,2562
 20-24 ปี,1796.4,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,226,ชาย,พันคน,2562
 25-29 ปี,2309.4,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,227,ชาย,พันคน,2562
 30-34 ปี,2203.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,228,ชาย,พันคน,2562
 35-39 ปี,2285.1,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,229,ชาย,พันคน,2562
 40-49 ปี,4871.1,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,230,ชาย,พันคน,2562
 50-59 ปี,4393.7,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,231,ชาย,พันคน,2562
 60 ปีขึ้นไป,2538.4,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,232,ชาย,พันคน,2562
 15-19 ปี,226.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,233,หญิง,พันคน,2562
 20-24 ปี,1339.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,234,หญิง,พันคน,2562
 25-29 ปี,1939.6,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,235,หญิง,พันคน,2562
 30-34 ปี,1908.3,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,236,หญิง,พันคน,2562
 35-39 ปี,2009.9,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,237,หญิง,พันคน,2562
 40-49 ปี,4442.6,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,238,หญิง,พันคน,2562
 50-59 ปี,3776.6,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,239,หญิง,พันคน,2562
 60 ปีขึ้นไป,1862.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,240,หญิง,พันคน,2562
