จำนวน,_id,ปี,ชื่อโรงงาน,แหล่งที่มา,เงื่อนไข,อำเภอ,รายการ,จังหวัด,หน่วย
1,20,2566,สงกรานต์ค้าไม้สงกรานต์ค้าไม้,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นากลาง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,21,2566,ห้างหุ้นส่วน อธิกพลาสติก ,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,105,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,22,2566,ห้างหุ้นส่วนจำกัด เกศรินทร์ค้าไม้และวัสดุก่อสร้าง,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,23,2566,ห้างหุ้นส่วนจำกัด เกศรินทร์ค้าไม้และวัสดุก่อสร้าง,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,24,2566,ห้างหุ้นส่วนจำกัด คลังเหล็กคอนกรีต,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,25,2566,ห้างหุ้นส่วนจำกัด คิงส์วินท๊อป,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,26,2566,ห้างหุ้นส่วนจำกัด เคพีอาร์ คอนกรีต,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,27,2566,ห้างหุ้นส่วนจำกัด ตังทอง,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,28,2566,ห้างหุ้นส่วนจำกัด ทศพร คอนกรีตห้างหุ้นส่วนจำกัด ทศพร คอนกรีต,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,29,2566,ห้างหุ้นส่วนจำกัด ที.วาย.ซี 2000,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นากลาง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,30,2566,ห้างหุ้นส่วนจำกัด นากลางพัฒนา (1992),สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นากลาง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,31,2566,ห้างหุ้นส่วนจำกัด นาซ่า คอนกรีตห้างหุ้นส่วนจำกัด นาซ่า คอนกรีต,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นากลาง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,32,2566,ห้างหุ้นส่วนจำกัด นาซ่า คอนกรีตห้างหุ้นส่วนจำกัด นาซ่า คอนกรีต,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,33,2566,ห้างหุ้นส่วนจำกัด นาวังพัฒนา,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นาวัง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,34,2566,ห้างหุ้นส่วนจำกัด ลิ้มชัยเจริญ,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,35,2566,ห้างหุ้นส่วนจำกัด วีรวุฒิ คอนกรีต,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,36,2566,ห้างหุ้นส่วนจำกัด ศรีกาญจนา,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,37,2566,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,38,2566,ห้างหุ้นส่วนจำกัด อุดมทรัพย์คอนกรีต 2018ห้างหุ้นส่วนจำกัด อุดมทรัพย์คอนกรีต 2018,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,39,2566,ห้างหุ้นส่วนจำกัด อุดรมิตรภาพ,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,40,2566,เอราวัณ พัฒนาการ,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นาวัง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,41,2567, บริษัท อุดรพรทิพย์ก่อสร้าง (1992) จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,42,2567,เกียรติพงษ์รัตน์ วัสดุก่อสร้าง,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,43,2567,นายสรวิชญ์ แขกเมฆ,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นาวัง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,44,2567,บริษัท ณัช รีไซเคิล (2020) จำกัด ,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,105,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,45,2567,บริษัท นอร์ทอีสท์ คอนกรีท จำกัดบริษัท นอร์ทอีสท์ คอนกรีท จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,46,2567,บริษัท บ้านวัสดุคอนกรีต จำกัดบริษัท บ้านวัสดุคอนกรีต จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,โนนสัง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,47,2567,บริษัท เบสท์-แพค คอนกรีต จำกัดบริษัท เบสท์-แพค คอนกรีต จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,48,2567,บริษัท พรทิพย์วัสดุก่อสร้าง จำกัดบริษัท พรทิพย์วัสดุก่อสร้าง จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,49,2567,บริษัท พีพีพี รีไซคลิ่ง จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,50,2567,บริษัท ไพโรจน์คอนกรีต จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,51,2567,บริษัท ไพโรจน์คอนกรีต จำกัดบริษัท ไพโรจน์คอนกรีต จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,52,2567,บริษัท หนองบัวลำภูคอนกรีต จำกัด,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,53,2567,บุญมาโฮม,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นากลาง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,54,2567,พาเจริญวัสดุก่อสร้างพาเจริญวัสดุก่อสร้าง,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,55,2567,ร้านทรัพย์ทวีวัสดุร้านทรัพย์ทวีวัสดุ,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,56,2567,ร้านศรีทองวัสดุ,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นากลาง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,57,2567,วิรัช คอนกรีต 2013วิรัช คอนกรีต 2013,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นากลาง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,58,2567,ศรีบุญเรืองนครคอนกรีต,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,59,2567,ส.เกลียวทองส.เกลียวทอง,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,60,2567,สงกรานต์ค้าไม้สงกรานต์ค้าไม้,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นากลาง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,61,2567,ห้างหุ้นส่วน อธิกพลาสติก ,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,105,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,62,2567,ห้างหุ้นส่วนจำกัด เกศรินทร์ค้าไม้และวัสดุก่อสร้าง,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,63,2567,ห้างหุ้นส่วนจำกัด เกศรินทร์ค้าไม้และวัสดุก่อสร้าง,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,64,2567,ห้างหุ้นส่วนจำกัด คลังเหล็กคอนกรีต,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,65,2567,ห้างหุ้นส่วนจำกัด คิงส์วินท๊อป,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,66,2567,ห้างหุ้นส่วนจำกัด เคพีอาร์ คอนกรีต,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,67,2567,ห้างหุ้นส่วนจำกัด ตังทอง,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,68,2567,ห้างหุ้นส่วนจำกัด ทศพร คอนกรีตห้างหุ้นส่วนจำกัด ทศพร คอนกรีต,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,69,2567,ห้างหุ้นส่วนจำกัด ที.วาย.ซี 2000,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นากลาง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,70,2567,ห้างหุ้นส่วนจำกัด นากลางพัฒนา (1992),สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นากลาง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,71,2567,ห้างหุ้นส่วนจำกัด นาซ่า คอนกรีตห้างหุ้นส่วนจำกัด นาซ่า คอนกรีต,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นากลาง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,72,2567,ห้างหุ้นส่วนจำกัด นาซ่า คอนกรีตห้างหุ้นส่วนจำกัด นาซ่า คอนกรีต,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,73,2567,ห้างหุ้นส่วนจำกัด นาวังพัฒนา,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,นาวัง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,74,2567,ห้างหุ้นส่วนจำกัด ลิ้มชัยเจริญ,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,เมืองหนองบัวลำภู,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,75,2567,ห้างหุ้นส่วนจำกัด วีรวุฒิ คอนกรีต,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,76,2567,ห้างหุ้นส่วนจำกัด ศรีกาญจนา,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,77,2567,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
1,78,2567,ห้างหุ้นส่วนจำกัด อุดมทรัพย์คอนกรีต 2018ห้างหุ้นส่วนจำกัด อุดมทรัพย์คอนกรีต 2018,สำนักงานอุตสาหกรรมจังหวัดหนองบัวลำภู,นโยบายจังหวัด PM 2.5,ศรีบุญเรือง,โรงงานอุตสาหกรรมที่มีความเสี่ยงด้านมลพิษทางอากาศ (ฝุ่นละออง),หนองบัวลำภู,แห่ง
