Unemployed F,Studies M,Others T,Persons not in labour force T,Others M,Unemployment rate F,province,Unemployed T,Persons not in labour force F,Studies F,Persons not in labour force M,Quarter,Unemployment rate T,Employed T,year,Employed M,Seasonally inactive M,Studies T,Others F,Seasonally inactive F,_id,Current labour force M,Employed F,Unemployment rate M,Unemployed M,Current labour force F,Seasonally inactive T,Household work T,Current labour force T,Household work F,Household work M
10931,24367,66221,177647,29734,7.61,Narathiwat,26729,122802,24369,54845,2,7.77,317081,2564,184438, - ,48736,36488, - ,18,200236,132644,7.89,15798,143575, - ,62690,343811,61945,744.0
10340,23538,66742,183266,31408,7.41,Narathiwat,27358,127165,27042,56101,3,8.07,311633,2564,182343, - ,50581,35334, - ,19,199360,129290,8.54,17017,139630, - ,65943,338990,64788,1155.0
11632,24933,64264,184611,30983,8.3,Narathiwat,29395,127008,28975,57603,4,8.69,308203,2564,179635,813.0,53908,33281, - ,20,198211,128568,8.96,17764,140200,813.0,66440,338411,64753,1687.0
9302,22136,82028,208060,37529,6.03,Narathiwat,24519,147466,25167,60594,1,6.58,348369,2565,203342, - ,47303,44500, - ,21,218559,145028,6.96,15217,154330, - ,78729,372889,77800,929.0
12371,22010,85029,207549,38482,7.93,Narathiwat,25868,146340,27185,61209,2,6.91,348272,2565,204896, - ,49195,46547,254.0,22,218393,143377,6.18,13497,156002,254.0,73326,374395,72608,718.0
10341,20503,85765,203756,38300,6.53,Narathiwat,28437,144482,26780,59274,3,7.5,350716,2565,202669, - ,47283,47465, - ,23,220765,148047,8.2,18096,158387, - ,70708,379152,70237,472.0
10243,20873,79640,204078,39075,6.39,Narathiwat,24315,143111,25788,60966,4,6.4,355349,2565,205334,82.0,46661,40565, - ,24,219488,150016,6.41,14072,160259,82.0,77776,379746,76758,1018.0
8104,20939,84656,201670,40619,4.93,Narathiwat,18463,139582,23528,62088,1,4.82,364611,2566,208422, - ,44467,44037, - ,25,218782,156188,4.74,10360,164292, - ,72547,383074,72017,530.0
9457,22893,93976,214278,42801,6.03,Narathiwat,18606,147557,21730,66721,2,5.01,352808,2566,205422, - ,44624,51175, - ,26,214571,147386,4.26,9149,156843, - ,75678,371414,74652,1027.0
8780,19762,94742,216460,43946,5.75,Narathiwat,20511,152269,22594,64191,3,5.54,349649,2566,205792, - ,42356,50796, - ,27,217523,143856,5.39,11731,152637, - ,79362,370160,78879,483.0
3612,20614,90274,213624,42090,2.33,Narathiwat,11775,150523,23804,63101,4,3.15,362067,2566,210829, - ,44418,48185, - ,28,218992,151238,3.73,8163,154850, - ,78931,373842,78534,397.0
5185,22151,103592,228200,48973,3.45,Narathiwat,17243,155432,26077,72767,1,4.79,342905,2567,197665, - ,48228,54618, - ,29,209723,145241,5.75,12058,150426, - ,76380,360148,74738,1642.0
5044,21452,101104,230633,44884,3.52,Narathiwat,14065,163149,23651,67484,2,3.92,344534,2567,206381, - ,45103,56219, - ,30,215402,138153,4.19,9021,143197, - ,84426,358599,83278,1148.0
6439,22116,98773,226538,41557,4.45,Narathiwat,16781,162059,26493,64479,3,4.62,346653,2567,208328,127.0,48609,57216,n.a.,31,218669,138325,4.73,10341,144764,127.0,79156,363434,78351,805.0
3773,24041,97647,231961,43098,2.61,Narathiwat,10014,162904,27347,69057,4,2.79,348691,2567,208329,n.a.,51388,54549,224.0,32,214570,140362,2.91,6241,144135,224.0,82927,358705,81009,1918.0
2388,21072,92689,212979,40355,1.56,Narathiwat,7429,151552,26782,61427,1,1.99,369429,2568,215415,n.a.,47854,52335,n.a.,33,222563,154014,2.3,5041,156161,n.a.,72435,378724,72435,n.a.
