ค่าข้อมูล,ที่มา,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
,สำนักงานแรงงานจังหวัดมหาสารคาม,55,2568,อำเภอโกสุมพิสัย,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,56,2568,อำเภอกันทรวิชัย,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,57,2568,อำเภอเชียงยืน,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,58,2568,อำเภอบรบือ,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,59,2568,อำเภอนาเชือก,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,60,2568,อำเภอพยัคฆภูมิพิสัย,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,61,2568,อำเภอวาปีปทุม,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,62,2568,อำเภอนาดูน,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,63,2568,อำเภอยางสีสุราช,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,64,2568,อำเภอกุดรัง,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
,สำนักงานแรงงานจังหวัดมหาสารคาม,65,2568,อำเภอชื่นชม,จำนวนแรงงานนอกระบบ โครงการจัดทำดัชนีชี้วัดคุณภาพชีวิตแรงงานนอกระบบ,มหาสารคาม,คน
