มาตรา39,ที่มา,_id,ปี,ในระบบ,มาตรา40,มาตรา33,จังหวัด,หน่วย
12,สำนักงานประกันสังคมจังหวัด,39,2565,154,136,6,เพชรบุรี,คน
12,สำนักงานประกันสังคมจังหวัด,40,2565,274,252,10,เพชรบูรณ์,คน
8,สำนักงานประกันสังคมจังหวัด,41,2565,376,364,4,แพร่,คน
40,สำนักงานประกันสังคมจังหวัด,42,2565,285,217,28,ภูเก็ต,คน
7,สำนักงานประกันสังคมจังหวัด,43,2565,219,210,2,มหาสารคาม,คน
2,สำนักงานประกันสังคมจังหวัด,44,2565,241,234,5,มุกดาหาร,คน
4,สำนักงานประกันสังคมจังหวัด,45,2565,171,167,0,แม่ฮ่องสอน,คน
3,สำนักงานประกันสังคมจังหวัด,46,2565,356,353,0,ยโสธร,คน
3,สำนักงานประกันสังคมจังหวัด,47,2565,98,93,2,ยะลา,คน
13,สำนักงานประกันสังคมจังหวัด,48,2565,267,248,6,ร้อยเอ็ด,คน
1,สำนักงานประกันสังคมจังหวัด,49,2565,172,170,1,ระนอง,คน
72,สำนักงานประกันสังคมจังหวัด,50,2565,348,218,58,ระยอง,คน
33,สำนักงานประกันสังคมจังหวัด,51,2565,320,274,13,ราชบุรี,คน
18,สำนักงานประกันสังคมจังหวัด,52,2565,211,189,4,ลพบุรี,คน
22,สำนักงานประกันสังคมจังหวัด,53,2565,447,418,7,ลำปาง,คน
47,สำนักงานประกันสังคมจังหวัด,54,2565,566,510,9,ลำพูน,คน
6,สำนักงานประกันสังคมจังหวัด,55,2565,395,385,4,เลย,คน
6,สำนักงานประกันสังคมจังหวัด,56,2565,426,413,7,ศรีสะเกษ,คน
8,สำนักงานประกันสังคมจังหวัด,57,2565,326,314,4,สกลนคร,คน
49,สำนักงานประกันสังคมจังหวัด,58,2565,326,257,20,สงขลา,คน
0,สำนักงานประกันสังคมจังหวัด,59,2565,148,145,3,สตูล,คน
272,สำนักงานประกันสังคมจังหวัด,60,2565,807,431,104,สมุทรปราการ,คน
7,สำนักงานประกันสังคมจังหวัด,61,2565,135,119,9,สมุทรสงคราม,คน
81,สำนักงานประกันสังคมจังหวัด,62,2565,340,207,52,สมุทรสาคร,คน
5,สำนักงานประกันสังคมจังหวัด,63,2565,191,183,3,สระแก้ว,คน
31,สำนักงานประกันสังคมจังหวัด,64,2565,309,251,27,สระบุรี,คน
8,สำนักงานประกันสังคมจังหวัด,65,2565,155,145,2,สิงห์บุรี,คน
10,สำนักงานประกันสังคมจังหวัด,66,2565,355,342,3,สุโขทัย,คน
12,สำนักงานประกันสังคมจังหวัด,67,2565,249,230,7,สุพรรณบุรี,คน
20,สำนักงานประกันสังคมจังหวัด,68,2565,353,320,13,สุราษฎร์ธานี,คน
9,สำนักงานประกันสังคมจังหวัด,69,2565,354,342,3,สุรินทร์,คน
8,สำนักงานประกันสังคมจังหวัด,70,2565,179,169,2,หนองคาย,คน
4,สำนักงานประกันสังคมจังหวัด,71,2565,196,192,0,หนองบัวลำภู,คน
10,สำนักงานประกันสังคมจังหวัด,72,2565,120,108,2,อ่างทอง,คน
7,สำนักงานประกันสังคมจังหวัด,73,2565,167,158,2,อำนาจเจริญ,คน
15,สำนักงานประกันสังคมจังหวัด,74,2565,555,527,13,อุดรธานี,คน
6,สำนักงานประกันสังคมจังหวัด,75,2565,355,347,2,อุตรดิตถ์,คน
9,สำนักงานประกันสังคมจังหวัด,76,2565,211,202,0,อุทัยธานี,คน
20,สำนักงานประกันสังคมจังหวัด,77,2565,372,345,7,อุบลราชธานี,คน
