OCCUPATION,VALUE,SOURCE,_id,UNIT,YEAR
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านวิทยาศาสตร์และวิศวกรรมศาสตร์,227803,สำนักงานสถิติแห่งชาติ,36,คน,2564
"ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านสุขภาพ (ไม่รวม เจ้าหน้าที่เทคนิคด้านอุปกรณ์การแพทย์เทียมและฟันเทียม
 เจ้าหน้าที่เวชระเบียนและเจ้าหน้าที่เทคนิคด้านข้อมูลสุขภาพ ผู้ปฏิบัติงานด้านรถพยาบาล)",51907,สำนักงานสถิติแห่งชาติ,37,คน,2564
ช่างเทคนิคด้านเทคโนโลยีสารสนเทศและการสื่อสาร,49473,สำนักงานสถิติแห่งชาติ,38,คน,2564
ผู้ปฏิบัติงานที่มีฝีมือด้านการเกษตรเพื่อการค้าขาย,358761,สำนักงานสถิติแห่งชาติ,39,คน,2564
ผู้ปฏิบัติงานที่มีฝีมือด้านการป่าไม้ ประมง และล่าสัตว์เพื่อการค้าขาย,20367,สำนักงานสถิติแห่งชาติ,40,คน,2564
ช่างก่อสร้างและผู้ปฏิบัติงานที่เกี่ยวข้อง (ไม่รวมช่างไฟฟ้า),72590,สำนักงานสถิติแห่งชาติ,41,คน,2564
ช่างโลหะ เครื่องจักร และผู้ปฏิบัติงานที่เกี่ยวข้อง,332618,สำนักงานสถิติแห่งชาติ,42,คน,2564
ช่างไฟฟ้าและอิเล็กทรอนิกส์,209411,สำนักงานสถิติแห่งชาติ,43,คน,2564
ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรชนิดติดตั้งประจำที่,99375,สำนักงานสถิติแห่งชาติ,44,คน,2564
ผู้ปฏิบัติงานด้านการประกอบ,83226,สำนักงานสถิติแห่งชาติ,45,คน,2564
ช่างถ่ายภาพ,1968,สำนักงานสถิติแห่งชาติ,46,คน,2564
"ผู้ปฏิบัติงานใต้น้ำ ผู้ปฏิบัติงานด้านวัตถุระเบิดและผู้ปฏิบัติงานจุดระเบิด ผู้คัดคุณภาพและทดสอบผลิตภัณฑ์  
 (ยกเว้นอาหารและเครื่องดื่ม) ผู้รมยาและกำจัดแมลงและสัตว์ศัตรูพืช",24932,สำนักงานสถิติแห่งชาติ,47,คน,2564
รวม,2067658,สำนักงานสถิติแห่งชาติ,48,คน,2564
"ผู้ประกอบวิชาชีพด้านวิทยาศาสตร์และวิศวกรรมศาสตร์ (ไม่รวม นักออกแบบผลิตภัณฑ์และเครื่องแต่งกาย 
นักออกแบบภาพกราฟฟิกและสื่อผสม)",227906,สำนักงานสถิติแห่งชาติ,49,คน,2565
ผู้ประกอบวิชาชีพด้านสุขภาพ,324641,สำนักงานสถิติแห่งชาติ,50,คน,2565
ผู้ประกอบวิชาชีพด้านเทคโนโลยีสารสนเทศและการสื่อสาร,74074,สำนักงานสถิติแห่งชาติ,51,คน,2565
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านวิทยาศาสตร์และวิศวกรรมศาสตร์,246571,สำนักงานสถิติแห่งชาติ,52,คน,2565
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านสุขภาพ (ไม่รวม เจ้าหน้าที่เทคนิคด้านอุปกรณ์การแพทย์เทียมและฟันเทียม เจ้าหน้าที่เวชระเบียนและเจ้าหน้าที่เทคนิคด้านข้อมูลสุขภาพ ผู้ปฏิบัติงานด้านรถพยาบาล),50571,สำนักงานสถิติแห่งชาติ,53,คน,2565
ช่างเทคนิคด้านเทคโนโลยีสารสนเทศและการสื่อสาร,56464,สำนักงานสถิติแห่งชาติ,54,คน,2565
ผู้ปฏิบัติงานที่มีฝีมือด้านการเกษตรเพื่อการค้าขาย,394803,สำนักงานสถิติแห่งชาติ,55,คน,2565
ผู้ปฏิบัติงานที่มีฝีมือด้านการป่าไม้ ประมง และล่าสัตว์เพื่อการค้าขาย,22757,สำนักงานสถิติแห่งชาติ,56,คน,2565
ช่างก่อสร้างและผู้ปฏิบัติงานที่เกี่ยวข้อง (ไม่รวมช่างไฟฟ้า),77839,สำนักงานสถิติแห่งชาติ,57,คน,2565
ช่างโลหะ เครื่องจักร และผู้ปฏิบัติงานที่เกี่ยวข้อง,356752,สำนักงานสถิติแห่งชาติ,58,คน,2565
ช่างไฟฟ้าและอิเล็กทรอนิกส์,245272,สำนักงานสถิติแห่งชาติ,59,คน,2565
ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรชนิดติดตั้งประจำที่,117585,สำนักงานสถิติแห่งชาติ,60,คน,2565
ผู้ปฏิบัติงานด้านการประกอบ,91368,สำนักงานสถิติแห่งชาติ,61,คน,2565
ช่างถ่ายภาพ,3259,สำนักงานสถิติแห่งชาติ,62,คน,2565
"ผู้ปฏิบัติงานใต้น้ำ ผู้ปฏิบัติงานด้านวัตถุระเบิดและผู้ปฏิบัติงานจุดระเบิด ผู้คัดคุณภาพและทดสอบผลิตภัณฑ์ 
(ยกเว้นอาหารและเครื่องดื่ม) ผู้รมยาและกำจัดแมลงและสัตว์ศัตรูพืช",21188,สำนักงานสถิติแห่งชาติ,63,คน,2565
รวม,2311050,สำนักงานสถิติแห่งชาติ,64,คน,2565
"ผู้ประกอบวิชาชีพด้านวิทยาศาสตร์และวิศวกรรมศาสตร์ (ไม่รวม นักออกแบบผลิตภัณฑ์และเครื่องแต่งกาย 
นักออกแบบภาพกราฟฟิกและสื่อผสม)",219393,สำนักงานสถิติแห่งชาติ,65,คน,2566
ผู้ประกอบวิชาชีพด้านสุขภาพ,296399,สำนักงานสถิติแห่งชาติ,66,คน,2566
ผู้ประกอบวิชาชีพด้านเทคโนโลยีสารสนเทศและการสื่อสาร,77365,สำนักงานสถิติแห่งชาติ,67,คน,2566
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านวิทยาศาสตร์และวิศวกรรมศาสตร์,234340,สำนักงานสถิติแห่งชาติ,68,คน,2566
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านสุขภาพ (ไม่รวม เจ้าหน้าที่เทคนิคด้านอุปกรณ์การแพทย์เทียมและฟันเทียม เจ้าหน้าที่เวชระเบียนและเจ้าหน้าที่เทคนิคด้านข้อมูลสุขภาพ ผู้ปฏิบัติงานด้านรถพยาบาล),50205,สำนักงานสถิติแห่งชาติ,69,คน,2566
ช่างเทคนิคด้านเทคโนโลยีสารสนเทศและการสื่อสาร,60349,สำนักงานสถิติแห่งชาติ,70,คน,2566
ผู้ปฏิบัติงานที่มีฝีมือด้านการเกษตรเพื่อการค้าขาย,401117,สำนักงานสถิติแห่งชาติ,71,คน,2566
ผู้ปฏิบัติงานที่มีฝีมือด้านการป่าไม้ ประมง และล่าสัตว์เพื่อการค้าขาย,20308,สำนักงานสถิติแห่งชาติ,72,คน,2566
ช่างก่อสร้างและผู้ปฏิบัติงานที่เกี่ยวข้อง (ไม่รวมช่างไฟฟ้า),90954,สำนักงานสถิติแห่งชาติ,73,คน,2566
ช่างโลหะ เครื่องจักร และผู้ปฏิบัติงานที่เกี่ยวข้อง,371044,สำนักงานสถิติแห่งชาติ,74,คน,2566
ช่างไฟฟ้าและอิเล็กทรอนิกส์,236260,สำนักงานสถิติแห่งชาติ,75,คน,2566
ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรชนิดติดตั้งประจำที่,136300,สำนักงานสถิติแห่งชาติ,76,คน,2566
ผู้ปฏิบัติงานด้านการประกอบ,91886,สำนักงานสถิติแห่งชาติ,77,คน,2566
ช่างถ่ายภาพ,3949,สำนักงานสถิติแห่งชาติ,78,คน,2566
"ผู้ปฏิบัติงานใต้น้ำ ผู้ปฏิบัติงานด้านวัตถุระเบิดและผู้ปฏิบัติงานจุดระเบิด ผู้คัดคุณภาพและทดสอบผลิตภัณฑ์ 
(ยกเว้นอาหารและเครื่องดื่ม) ผู้รมยาและกำจัดแมลงและสัตว์ศัตรูพืช",21004,สำนักงานสถิติแห่งชาติ,79,คน,2566
รวม,2310873,สำนักงานสถิติแห่งชาติ,80,คน,2566
"ผู้ประกอบวิชาชีพด้านวิทยาศาสตร์และวิศวกรรมศาสตร์ (ไม่รวม นักออกแบบผลิตภัณฑ์และเครื่องแต่งกาย 
นักออกแบบภาพกราฟฟิกและสื่อผสม)",213298,สำนักงานสถิติแห่งชาติ,81,คน,2567
ผู้ประกอบวิชาชีพด้านสุขภาพ,281839,สำนักงานสถิติแห่งชาติ,82,คน,2567
ผู้ประกอบวิชาชีพด้านเทคโนโลยีสารสนเทศและการสื่อสาร,80844,สำนักงานสถิติแห่งชาติ,83,คน,2567
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านวิทยาศาสตร์และวิศวกรรมศาสตร์,238522,สำนักงานสถิติแห่งชาติ,84,คน,2567
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านสุขภาพ (ไม่รวม เจ้าหน้าที่เทคนิคด้านอุปกรณ์การแพทย์เทียมและฟันเทียม เจ้าหน้าที่เวชระเบียนและเจ้าหน้าที่เทคนิคด้านข้อมูลสุขภาพ ผู้ปฏิบัติงานด้านรถพยาบาล),49573,สำนักงานสถิติแห่งชาติ,85,คน,2567
ช่างเทคนิคด้านเทคโนโลยีสารสนเทศและการสื่อสาร,59970,สำนักงานสถิติแห่งชาติ,86,คน,2567
ผู้ปฏิบัติงานที่มีฝีมือด้านการเกษตรเพื่อการค้าขาย,408901,สำนักงานสถิติแห่งชาติ,87,คน,2567
ผู้ปฏิบัติงานที่มีฝีมือด้านการป่าไม้ ประมง และล่าสัตว์เพื่อการค้าขาย,15790,สำนักงานสถิติแห่งชาติ,88,คน,2567
ช่างก่อสร้างและผู้ปฏิบัติงานที่เกี่ยวข้อง (ไม่รวมช่างไฟฟ้า),89618,สำนักงานสถิติแห่งชาติ,89,คน,2567
ช่างโลหะ เครื่องจักร และผู้ปฏิบัติงานที่เกี่ยวข้อง,364534,สำนักงานสถิติแห่งชาติ,90,คน,2567
ช่างไฟฟ้าและอิเล็กทรอนิกส์,237745,สำนักงานสถิติแห่งชาติ,91,คน,2567
ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรชนิดติดตั้งประจำที่,130555,สำนักงานสถิติแห่งชาติ,92,คน,2567
ผู้ปฏิบัติงานด้านการประกอบ,77788,สำนักงานสถิติแห่งชาติ,93,คน,2567
ช่างถ่ายภาพ,4985,สำนักงานสถิติแห่งชาติ,94,คน,2567
"ผู้ปฏิบัติงานใต้น้ำ ผู้ปฏิบัติงานด้านวัตถุระเบิดและผู้ปฏิบัติงานจุดระเบิด ผู้คัดคุณภาพและทดสอบผลิตภัณฑ์ 
(ยกเว้นอาหารและเครื่องดื่ม) ผู้รมยาและกำจัดแมลงและสัตว์ศัตรูพืช",27575,สำนักงานสถิติแห่งชาติ,95,คน,2567
รวม,2281537,สำนักงานสถิติแห่งชาติ,96,คน,2567
"ผู้ประกอบวิชาชีพด้านวิทยาศาสตร์และวิศวกรรมศาสตร์ (ไม่รวม นักออกแบบผลิตภัณฑ์และเครื่องแต่งกาย 
นักออกแบบภาพกราฟฟิกและสื่อผสม)",203500,สำนักงานสถิติแห่งชาติ,97,คน,2568
ผู้ประกอบวิชาชีพด้านสุขภาพ,270124,สำนักงานสถิติแห่งชาติ,98,คน,2568
ผู้ประกอบวิชาชีพด้านเทคโนโลยีสารสนเทศและการสื่อสาร,69140,สำนักงานสถิติแห่งชาติ,99,คน,2568
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านวิทยาศาสตร์และวิศวกรรมศาสตร์,230208,สำนักงานสถิติแห่งชาติ,100,คน,2568
ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านสุขภาพ (ไม่รวม เจ้าหน้าที่เทคนิคด้านอุปกรณ์การแพทย์เทียมและฟันเทียม เจ้าหน้าที่เวชระเบียนและเจ้าหน้าที่เทคนิคด้านข้อมูลสุขภาพ ผู้ปฏิบัติงานด้านรถพยาบาล),54105,สำนักงานสถิติแห่งชาติ,101,คน,2568
ช่างเทคนิคด้านเทคโนโลยีสารสนเทศและการสื่อสาร,56440,สำนักงานสถิติแห่งชาติ,102,คน,2568
ผู้ปฏิบัติงานที่มีฝีมือด้านการเกษตรเพื่อการค้าขาย,391826,สำนักงานสถิติแห่งชาติ,103,คน,2568
ผู้ปฏิบัติงานที่มีฝีมือด้านการป่าไม้ ประมง และล่าสัตว์เพื่อการค้าขาย,16908,สำนักงานสถิติแห่งชาติ,104,คน,2568
ช่างก่อสร้างและผู้ปฏิบัติงานที่เกี่ยวข้อง (ไม่รวมช่างไฟฟ้า),95639,สำนักงานสถิติแห่งชาติ,105,คน,2568
ช่างโลหะ เครื่องจักร และผู้ปฏิบัติงานที่เกี่ยวข้อง,369042,สำนักงานสถิติแห่งชาติ,106,คน,2568
ช่างไฟฟ้าและอิเล็กทรอนิกส์,245014,สำนักงานสถิติแห่งชาติ,107,คน,2568
ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรชนิดติดตั้งประจำที่,130566,สำนักงานสถิติแห่งชาติ,108,คน,2568
ผู้ปฏิบัติงานด้านการประกอบ,86860,สำนักงานสถิติแห่งชาติ,109,คน,2568
ช่างถ่ายภาพ,4336,สำนักงานสถิติแห่งชาติ,110,คน,2568
"ผู้ปฏิบัติงานใต้น้ำ ผู้ปฏิบัติงานด้านวัตถุระเบิดและผู้ปฏิบัติงานจุดระเบิด ผู้คัดคุณภาพและทดสอบผลิตภัณฑ์ 
(ยกเว้นอาหารและเครื่องดื่ม) ผู้รมยาและกำจัดแมลงและสัตว์ศัตรูพืช",21711,สำนักงานสถิติแห่งชาติ,111,คน,2568
รวม,2245419,สำนักงานสถิติแห่งชาติ,112,คน,2568
