จังหวัด,_id,จำนวนรถ,ประเภทเชื้อเพลิง,ประเภทรถ,ประเภทกฎหมาย
กรุงเทพมหานคร,14,56,CNG ร่วมกับดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,15,61777,CNG สลับเบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,16,1,LNG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,17,256,LPG+เบนซินสลับไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,18,9,ก๊าซ CNG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,19,107,แก๊ส LPG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,20,96,แก๊ส LPG +ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,21,222753,แก๊ส LPG +เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,22,1507717,ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,23,9285,ดีเซล-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,24,351,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,25,3386388,เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,26,418247,เบนซิน-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,27,67566,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,28,10,เบนซิน+LPG+CNG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,29,775,เบนซิน+เอทานอล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,30,217854,ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,31,556,ไม่ใช้เชื้อเพลิง,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรุงเทพมหานคร,32,310,ไม่ระบุ,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาญจนบุรี,33,828,CNG สลับเบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาญจนบุรี,34,2,LPG+เบนซินสลับไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาญจนบุรี,35,1,ก๊าซ CNG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาญจนบุรี,36,2,แก๊ส LPG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาญจนบุรี,37,2,แก๊ส LPG +ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาญจนบุรี,38,4005,แก๊ส LPG +เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาญจนบุรี,39,31380,ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาญจนบุรี,40,15,ดีเซล-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาญจนบุรี,41,3,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาญจนบุรี,42,47581,เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาญจนบุรี,43,2306,เบนซิน-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาญจนบุรี,44,109,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาญจนบุรี,45,2,เบนซิน+เอทานอล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาญจนบุรี,46,1006,ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาญจนบุรี,47,26,ไม่ใช้เชื้อเพลิง,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาญจนบุรี,48,15,ไม่ระบุ,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาฬสินธุ์,49,258,CNG สลับเบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาฬสินธุ์,50,1,ก๊าซ CNG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาฬสินธุ์,51,1,แก๊ส LPG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาฬสินธุ์,52,1,แก๊ส LPG +ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาฬสินธุ์,53,946,แก๊ส LPG +เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาฬสินธุ์,54,20429,ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาฬสินธุ์,55,20,ดีเซล-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาฬสินธุ์,56,34535,เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาฬสินธุ์,57,1237,เบนซิน-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาฬสินธุ์,58,84,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาฬสินธุ์,59,370,ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาฬสินธุ์,60,1,ไม่ใช้เชื้อเพลิง,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กาฬสินธุ์,61,4,ไม่ระบุ,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กำแพงเพชร,62,494,CNG สลับเบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กำแพงเพชร,63,1,LPG+เบนซินสลับไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กำแพงเพชร,64,2,แก๊ส LPG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กำแพงเพชร,65,1,แก๊ส LPG +ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กำแพงเพชร,66,1396,แก๊ส LPG +เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กำแพงเพชร,67,26109,ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กำแพงเพชร,68,20,ดีเซล-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กำแพงเพชร,69,1,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กำแพงเพชร,70,34709,เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กำแพงเพชร,71,1440,เบนซิน-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กำแพงเพชร,72,84,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กำแพงเพชร,73,3,เบนซิน+เอทานอล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กำแพงเพชร,74,615,ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กำแพงเพชร,75,7,ไม่ใช้เชื้อเพลิง,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กำแพงเพชร,76,8,ไม่ระบุ,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,77,4,CNG ร่วมกับดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,78,2327,CNG สลับเบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,79,4,LPG+เบนซินสลับไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,80,1,ก๊าซ CNG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,81,5,แก๊ส LPG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,82,6,แก๊ส LPG +ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,83,4147,แก๊ส LPG +เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,84,94030,ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,85,106,ดีเซล-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,86,4,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,87,151671,เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,88,8306,เบนซิน-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,89,844,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,90,2,เบนซิน+LPG+CNG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,91,3,เบนซิน+เอทานอล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,92,5706,ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,93,8,ไม่ใช้เชื้อเพลิง,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ขอนแก่น,94,45,ไม่ระบุ,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
จันทบุรี,95,604,CNG สลับเบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
จันทบุรี,96,3,LPG+เบนซินสลับไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
จันทบุรี,97,3,แก๊ส LPG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
จันทบุรี,98,2280,แก๊ส LPG +เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
จันทบุรี,99,36998,ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
จันทบุรี,100,40,ดีเซล-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
จันทบุรี,101,2,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
จันทบุรี,102,49495,เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
จันทบุรี,103,2537,เบนซิน-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
จันทบุรี,104,307,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
จันทบุรี,105,1,เบนซิน+เอทานอล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
จันทบุรี,106,1121,ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
จันทบุรี,107,19,ไม่ใช้เชื้อเพลิง,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
จันทบุรี,108,1,ไม่ระบุ,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ฉะเชิงเทรา,109,897,CNG สลับเบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ฉะเชิงเทรา,110,1,ก๊าซ CNG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ฉะเชิงเทรา,111,1,แก๊ส LPG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ฉะเชิงเทรา,112,2243,แก๊ส LPG +เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ฉะเชิงเทรา,113,39027,ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ฉะเชิงเทรา,114,35,ดีเซล-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ฉะเชิงเทรา,115,49767,เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ฉะเชิงเทรา,116,2434,เบนซิน-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ฉะเชิงเทรา,117,118,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ฉะเชิงเทรา,118,797,ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ฉะเชิงเทรา,119,5,ไม่ใช้เชื้อเพลิง,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ฉะเชิงเทรา,120,1,ไม่ระบุ,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชลบุรี,121,4,CNG ร่วมกับดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชลบุรี,122,2776,CNG สลับเบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชลบุรี,123,6,LPG+เบนซินสลับไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชลบุรี,124,4,แก๊ส LPG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชลบุรี,125,6,แก๊ส LPG +ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชลบุรี,126,8315,แก๊ส LPG +เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชลบุรี,127,186114,ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชลบุรี,128,194,ดีเซล-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชลบุรี,129,4,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชลบุรี,130,210629,เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชลบุรี,131,15731,เบนซิน-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชลบุรี,132,1752,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชลบุรี,133,13,เบนซิน+เอทานอล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชลบุรี,134,9306,ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชลบุรี,135,6,ไม่ใช้เชื้อเพลิง,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชลบุรี,136,27,ไม่ระบุ,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยนาท,137,229,CNG สลับเบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยนาท,138,1,แก๊ส LPG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยนาท,139,2,แก๊ส LPG +ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยนาท,140,1077,แก๊ส LPG +เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยนาท,141,14298,ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยนาท,142,8,ดีเซล-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยนาท,143,20538,เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยนาท,144,785,เบนซิน-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยนาท,145,45,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยนาท,146,231,ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยนาท,147,7,ไม่ใช้เชื้อเพลิง,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยนาท,148,2,ไม่ระบุ,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยภูมิ,149,383,CNG สลับเบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยภูมิ,150,2,แก๊ส LPG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยภูมิ,151,1,แก๊ส LPG +ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยภูมิ,152,972,แก๊ส LPG +เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยภูมิ,153,23667,ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยภูมิ,154,12,ดีเซล-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยภูมิ,155,2,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยภูมิ,156,32837,เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยภูมิ,157,1248,เบนซิน-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยภูมิ,158,83,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยภูมิ,159,282,ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชัยภูมิ,160,1,ไม่ระบุ,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชุมพร,161,1,CNG ร่วมกับดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชุมพร,162,198,CNG สลับเบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชุมพร,163,1,LPG+เบนซินสลับไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชุมพร,164,661,แก๊ส LPG +เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชุมพร,165,27487,ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชุมพร,166,13,ดีเซล-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชุมพร,167,2,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชุมพร,168,28953,เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชุมพร,169,1678,เบนซิน-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชุมพร,170,73,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชุมพร,171,446,ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ชุมพร,172,1,ไม่ระบุ,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เชียงราย,173,1189,CNG สลับเบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เชียงราย,174,1,LPG+เบนซินสลับไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เชียงราย,175,2,แก๊ส LPG +ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เชียงราย,176,1912,แก๊ส LPG +เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เชียงราย,177,54520,ดีเซล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เชียงราย,178,33,ดีเซล-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เชียงราย,179,1,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เชียงราย,180,110185,เบนซิน,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เชียงราย,181,6079,เบนซิน-ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เชียงราย,182,383,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เชียงราย,183,1,เบนซิน+LPG+CNG,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เชียงราย,184,4,เบนซิน+เอทานอล,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เชียงราย,185,3318,ไฟฟ้า,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เชียงราย,186,8,ไม่ใช้เชื้อเพลิง,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เชียงราย,187,37,ไม่ระบุ,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
