จำนวน,ที่มา,ผู้อยู่ในกำลังแรงงาน,สถานภาพแรงงาน,_id,ปี,ไตรมาส,จังหวัด,หน่วย
"28,344",สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,ผู้ไม่อยู่ในกำลังแรงงาน,35,2566,2,หนองบัวลำภู,คน
"84,347",สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,ผู้ไม่อยู่ในกำลังแรงงาน,36,2566,2,หนองบัวลำภู,คน
"263,050",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,ผู้อยู่ในกำลังแรงงาน,37,2566,3,หนองบัวลำภู,คน
"2,778",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,ผู้อยู่ในกำลังแรงงาน,38,2566,3,หนองบัวลำภู,คน
147,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,ผู้อยู่ในกำลังแรงงาน,39,2566,3,หนองบัวลำภู,คน
"8,077",สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,ผู้ไม่อยู่ในกำลังแรงงาน,40,2566,3,หนองบัวลำภู,คน
"28,526",สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,ผู้ไม่อยู่ในกำลังแรงงาน,41,2566,3,หนองบัวลำภู,คน
"82,716",สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,ผู้ไม่อยู่ในกำลังแรงงาน,42,2566,3,หนองบัวลำภู,คน
"262,263",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,ผู้อยู่ในกำลังแรงงาน,43,2566,4,หนองบัวลำภู,คน
885,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,ผู้อยู่ในกำลังแรงงาน,44,2566,4,หนองบัวลำภู,คน
385,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,ผู้อยู่ในกำลังแรงงาน,45,2566,4,หนองบัวลำภู,คน
"8,448",สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,ผู้ไม่อยู่ในกำลังแรงงาน,46,2566,4,หนองบัวลำภู,คน
"28,479",สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,ผู้ไม่อยู่ในกำลังแรงงาน,47,2566,4,หนองบัวลำภู,คน
"84,674",สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,ผู้ไม่อยู่ในกำลังแรงงาน,48,2566,4,หนองบัวลำภู,คน
"223,518",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,ผู้อยู่ในกำลังแรงงาน,49,2567,1,หนองบัวลำภู,คน
"1,058",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,ผู้อยู่ในกำลังแรงงาน,50,2567,1,หนองบัวลำภู,คน
"5,065",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,ผู้อยู่ในกำลังแรงงาน,51,2567,1,หนองบัวลำภู,คน
"16,699",สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,ผู้ไม่อยู่ในกำลังแรงงาน,52,2567,1,หนองบัวลำภู,คน
"31,449",สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,ผู้ไม่อยู่ในกำลังแรงงาน,53,2567,1,หนองบัวลำภู,คน
"107,214",สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,ผู้ไม่อยู่ในกำลังแรงงาน,54,2567,1,หนองบัวลำภู,คน
"208,330",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,ผู้อยู่ในกำลังแรงงาน,55,2567,2,หนองบัวลำภู,คน
"2,219",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,ผู้อยู่ในกำลังแรงงาน,56,2567,2,หนองบัวลำภู,คน
"6,860",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,ผู้อยู่ในกำลังแรงงาน,57,2567,2,หนองบัวลำภู,คน
"34,236",สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,ผู้ไม่อยู่ในกำลังแรงงาน,58,2567,2,หนองบัวลำภู,คน
"28,881",สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,ผู้ไม่อยู่ในกำลังแรงงาน,59,2567,2,หนองบัวลำภู,คน
"104,379",สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,ผู้ไม่อยู่ในกำลังแรงงาน,60,2567,2,หนองบัวลำภู,คน
"211,174",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,ผู้อยู่ในกำลังแรงงาน,61,2567,3,หนองบัวลำภู,คน
"6,405",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,ผู้อยู่ในกำลังแรงงาน,62,2567,3,หนองบัวลำภู,คน
209,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,ผู้อยู่ในกำลังแรงงาน,63,2567,3,หนองบัวลำภู,คน
"37,410",สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,ผู้ไม่อยู่ในกำลังแรงงาน,64,2567,3,หนองบัวลำภู,คน
"30,626",สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,ผู้ไม่อยู่ในกำลังแรงงาน,65,2567,3,หนองบัวลำภู,คน
"98,950",สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,ผู้ไม่อยู่ในกำลังแรงงาน,66,2567,3,หนองบัวลำภู,คน
"228,417",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,ผู้อยู่ในกำลังแรงงาน,67,2567,4,หนองบัวลำภู,คน
"3,439",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,ผู้อยู่ในกำลังแรงงาน,68,2567,4,หนองบัวลำภู,คน
0,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,ผู้อยู่ในกำลังแรงงาน,69,2567,4,หนองบัวลำภู,คน
"23,961",สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,ผู้ไม่อยู่ในกำลังแรงงาน,70,2567,4,หนองบัวลำภู,คน
"30,720",สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,ผู้ไม่อยู่ในกำลังแรงงาน,71,2567,4,หนองบัวลำภู,คน
"98,006",สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,ผู้ไม่อยู่ในกำลังแรงงาน,72,2567,4,หนองบัวลำภู,คน
"214,568",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,ผู้อยู่ในกำลังแรงงาน,73,2568,1,หนองบัวลำภู,คน
64,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,ผู้อยู่ในกำลังแรงงาน,74,2568,1,หนองบัวลำภู,คน
"4,783",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,ผู้อยู่ในกำลังแรงงาน,75,2568,1,หนองบัวลำภู,คน
"31,290",สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,ผู้ไม่อยู่ในกำลังแรงงาน,76,2568,1,หนองบัวลำภู,คน
"32,433",สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,ผู้ไม่อยู่ในกำลังแรงงาน,77,2568,1,หนองบัวลำภู,คน
"101,206",สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,ผู้ไม่อยู่ในกำลังแรงงาน,78,2568,1,หนองบัวลำภู,คน
"201,078",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,ผู้อยู่ในกำลังแรงงาน,79,2568,2,หนองบัวลำภู,คน
0,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,ผู้อยู่ในกำลังแรงงาน,80,2568,2,หนองบัวลำภู,คน
"4,382",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,ผู้อยู่ในกำลังแรงงาน,81,2568,2,หนองบัวลำภู,คน
"33,715",สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,ผู้ไม่อยู่ในกำลังแรงงาน,82,2568,2,หนองบัวลำภู,คน
"30,097",สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,ผู้ไม่อยู่ในกำลังแรงงาน,83,2568,2,หนองบัวลำภู,คน
"114,902",สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,ผู้ไม่อยู่ในกำลังแรงงาน,84,2568,2,หนองบัวลำภู,คน
"224,798",สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,ผู้อยู่ในกำลังแรงงาน,85,2568,3,หนองบัวลำภู,คน
0,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,ผู้อยู่ในกำลังแรงงาน,86,2568,3,หนองบัวลำภู,คน
0,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,ผู้อยู่ในกำลังแรงงาน,87,2568,3,หนองบัวลำภู,คน
"25,825",สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,ผู้ไม่อยู่ในกำลังแรงงาน,88,2568,3,หนองบัวลำภู,คน
"31,678",สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,ผู้ไม่อยู่ในกำลังแรงงาน,89,2568,3,หนองบัวลำภู,คน
"101,616",สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,ผู้ไม่อยู่ในกำลังแรงงาน,90,2568,3,หนองบัวลำภู,คน
