VALUE,SOURCE,_id,INDUSTRY,UNIT,REGION,YEAR
0.28,สำนักงานสถิติแห่งชาติ,26,04) ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,พันคน,2) ภาคกลาง,2563
0.58,สำนักงานสถิติแห่งชาติ,27,05) การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,พันคน,2) ภาคกลาง,2563
47.32,สำนักงานสถิติแห่งชาติ,28,06) การก่อสร้าง,พันคน,2) ภาคกลาง,2563
212.86,สำนักงานสถิติแห่งชาติ,29,07) การขายส่ง และการขายปลีก การซ่อมยานยนต์,พันคน,2) ภาคกลาง,2563
37.66,สำนักงานสถิติแห่งชาติ,30,08) การขนส่ง และสถานที่เก็บสินค้า,พันคน,2) ภาคกลาง,2563
99.73,สำนักงานสถิติแห่งชาติ,31,09) ที่พักแรมและบริการด้านอาหาร,พันคน,2) ภาคกลาง,2563
0.07,สำนักงานสถิติแห่งชาติ,32,10) ข้อมูลข่าวสารและการสื่อสาร,พันคน,2) ภาคกลาง,2563
1.19,สำนักงานสถิติแห่งชาติ,33,11) กิจกรรมทางการเงินและการประกันภัย,พันคน,2) ภาคกลาง,2563
13.34,สำนักงานสถิติแห่งชาติ,34,12) กิจกรรมอสังหาริมทรัพย์,พันคน,2) ภาคกลาง,2563
2.51,สำนักงานสถิติแห่งชาติ,35,13) กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,2) ภาคกลาง,2563
18.56,สำนักงานสถิติแห่งชาติ,36,14) กิจกรรมการบริหารและการบริการสนับสนุน,พันคน,2) ภาคกลาง,2563
13.5,สำนักงานสถิติแห่งชาติ,37,15) การบริหารราชการ การป้องกันประเทศ การประกันสังคม,พันคน,2) ภาคกลาง,2563
9.7,สำนักงานสถิติแห่งชาติ,38,16) การศึกษา,พันคน,2) ภาคกลาง,2563
9.17,สำนักงานสถิติแห่งชาติ,39,17) กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,พันคน,2) ภาคกลาง,2563
3.76,สำนักงานสถิติแห่งชาติ,40,18) ศิลปะ ความบันเทิง และนันทนาการ,พันคน,2) ภาคกลาง,2563
33.89,สำนักงานสถิติแห่งชาติ,41,19) กิจกรรมบริการด้านอื่น ๆ,พันคน,2) ภาคกลาง,2563
7.86,สำนักงานสถิติแห่งชาติ,42,20) กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,พันคน,2) ภาคกลาง,2563
0.0,สำนักงานสถิติแห่งชาติ,43,21) กิจกรรมขององค์การระหว่างประเทศ,พันคน,2) ภาคกลาง,2563
0.69,สำนักงานสถิติแห่งชาติ,44,22) ไม่ทราบ,พันคน,2) ภาคกลาง,2563
742.83,สำนักงานสถิติแห่งชาติ,45,01) เกษตรกรรม การป่าไม้ และการประมง,พันคน,3) ภาคเหนือ,2563
0.27,สำนักงานสถิติแห่งชาติ,46,02) การทำเหมืองแร่ และเหมืองหิน,พันคน,3) ภาคเหนือ,2563
103.52,สำนักงานสถิติแห่งชาติ,47,03) การผลิต,พันคน,3) ภาคเหนือ,2563
0.44,สำนักงานสถิติแห่งชาติ,48,04) ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,พันคน,3) ภาคเหนือ,2563
0.68,สำนักงานสถิติแห่งชาติ,49,05) การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,พันคน,3) ภาคเหนือ,2563
31.62,สำนักงานสถิติแห่งชาติ,50,06) การก่อสร้าง,พันคน,3) ภาคเหนือ,2563
138.59,สำนักงานสถิติแห่งชาติ,51,07) การขายส่ง และการขายปลีก การซ่อมยานยนต์,พันคน,3) ภาคเหนือ,2563
6.09,สำนักงานสถิติแห่งชาติ,52,08) การขนส่ง และสถานที่เก็บสินค้า,พันคน,3) ภาคเหนือ,2563
47.52,สำนักงานสถิติแห่งชาติ,53,09) ที่พักแรมและบริการด้านอาหาร,พันคน,3) ภาคเหนือ,2563
0.17,สำนักงานสถิติแห่งชาติ,54,10) ข้อมูลข่าวสารและการสื่อสาร,พันคน,3) ภาคเหนือ,2563
0.91,สำนักงานสถิติแห่งชาติ,55,11) กิจกรรมทางการเงินและการประกันภัย,พันคน,3) ภาคเหนือ,2563
1.45,สำนักงานสถิติแห่งชาติ,56,12) กิจกรรมอสังหาริมทรัพย์,พันคน,3) ภาคเหนือ,2563
2.2,สำนักงานสถิติแห่งชาติ,57,13) กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,3) ภาคเหนือ,2563
4.07,สำนักงานสถิติแห่งชาติ,58,14) กิจกรรมการบริหารและการบริการสนับสนุน,พันคน,3) ภาคเหนือ,2563
9.13,สำนักงานสถิติแห่งชาติ,59,15) การบริหารราชการ การป้องกันประเทศ การประกันสังคม,พันคน,3) ภาคเหนือ,2563
6.3,สำนักงานสถิติแห่งชาติ,60,16) การศึกษา,พันคน,3) ภาคเหนือ,2563
3.98,สำนักงานสถิติแห่งชาติ,61,17) กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,พันคน,3) ภาคเหนือ,2563
4.89,สำนักงานสถิติแห่งชาติ,62,18) ศิลปะ ความบันเทิง และนันทนาการ,พันคน,3) ภาคเหนือ,2563
19.49,สำนักงานสถิติแห่งชาติ,63,19) กิจกรรมบริการด้านอื่น ๆ,พันคน,3) ภาคเหนือ,2563
4.15,สำนักงานสถิติแห่งชาติ,64,20) กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,พันคน,3) ภาคเหนือ,2563
0.0,สำนักงานสถิติแห่งชาติ,65,21) กิจกรรมขององค์การระหว่างประเทศ,พันคน,3) ภาคเหนือ,2563
0.0,สำนักงานสถิติแห่งชาติ,66,22) ไม่ทราบ,พันคน,3) ภาคเหนือ,2563
1270.06,สำนักงานสถิติแห่งชาติ,67,01) เกษตรกรรม การป่าไม้ และการประมง,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
0.59,สำนักงานสถิติแห่งชาติ,68,02) การทำเหมืองแร่ และเหมืองหิน,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
73.46,สำนักงานสถิติแห่งชาติ,69,03) การผลิต,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
0.09,สำนักงานสถิติแห่งชาติ,70,04) ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
0.84,สำนักงานสถิติแห่งชาติ,71,05) การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
24.01,สำนักงานสถิติแห่งชาติ,72,06) การก่อสร้าง,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
130.28,สำนักงานสถิติแห่งชาติ,73,07) การขายส่ง และการขายปลีก การซ่อมยานยนต์,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
9.15,สำนักงานสถิติแห่งชาติ,74,08) การขนส่ง และสถานที่เก็บสินค้า,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
41.85,สำนักงานสถิติแห่งชาติ,75,09) ที่พักแรมและบริการด้านอาหาร,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
0.76,สำนักงานสถิติแห่งชาติ,76,10) ข้อมูลข่าวสารและการสื่อสาร,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
2.34,สำนักงานสถิติแห่งชาติ,77,11) กิจกรรมทางการเงินและการประกันภัย,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
1.84,สำนักงานสถิติแห่งชาติ,78,12) กิจกรรมอสังหาริมทรัพย์,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
0.91,สำนักงานสถิติแห่งชาติ,79,13) กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
2.34,สำนักงานสถิติแห่งชาติ,80,14) กิจกรรมการบริหารและการบริการสนับสนุน,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
25.39,สำนักงานสถิติแห่งชาติ,81,15) การบริหารราชการ การป้องกันประเทศ การประกันสังคม,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
8.44,สำนักงานสถิติแห่งชาติ,82,16) การศึกษา,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
2.23,สำนักงานสถิติแห่งชาติ,83,17) กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
4.13,สำนักงานสถิติแห่งชาติ,84,18) ศิลปะ ความบันเทิง และนันทนาการ,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
14.83,สำนักงานสถิติแห่งชาติ,85,19) กิจกรรมบริการด้านอื่น ๆ,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
5.22,สำนักงานสถิติแห่งชาติ,86,20) กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
0.0,สำนักงานสถิติแห่งชาติ,87,21) กิจกรรมขององค์การระหว่างประเทศ,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
0.0,สำนักงานสถิติแห่งชาติ,88,22) ไม่ทราบ,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
390.93,สำนักงานสถิติแห่งชาติ,89,01) เกษตรกรรม การป่าไม้ และการประมง,พันคน,5) ภาคใต้,2563
0.61,สำนักงานสถิติแห่งชาติ,90,02) การทำเหมืองแร่ และเหมืองหิน,พันคน,5) ภาคใต้,2563
33.11,สำนักงานสถิติแห่งชาติ,91,03) การผลิต,พันคน,5) ภาคใต้,2563
0.03,สำนักงานสถิติแห่งชาติ,92,04) ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,พันคน,5) ภาคใต้,2563
0.37,สำนักงานสถิติแห่งชาติ,93,05) การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,พันคน,5) ภาคใต้,2563
13.44,สำนักงานสถิติแห่งชาติ,94,06) การก่อสร้าง,พันคน,5) ภาคใต้,2563
90.77,สำนักงานสถิติแห่งชาติ,95,07) การขายส่ง และการขายปลีก การซ่อมยานยนต์,พันคน,5) ภาคใต้,2563
9.14,สำนักงานสถิติแห่งชาติ,96,08) การขนส่ง และสถานที่เก็บสินค้า,พันคน,5) ภาคใต้,2563
34.49,สำนักงานสถิติแห่งชาติ,97,09) ที่พักแรมและบริการด้านอาหาร,พันคน,5) ภาคใต้,2563
0.29,สำนักงานสถิติแห่งชาติ,98,10) ข้อมูลข่าวสารและการสื่อสาร,พันคน,5) ภาคใต้,2563
1.14,สำนักงานสถิติแห่งชาติ,99,11) กิจกรรมทางการเงินและการประกันภัย,พันคน,5) ภาคใต้,2563
2.05,สำนักงานสถิติแห่งชาติ,100,12) กิจกรรมอสังหาริมทรัพย์,พันคน,5) ภาคใต้,2563
2.18,สำนักงานสถิติแห่งชาติ,101,13) กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,5) ภาคใต้,2563
1.77,สำนักงานสถิติแห่งชาติ,102,14) กิจกรรมการบริหารและการบริการสนับสนุน,พันคน,5) ภาคใต้,2563
4.43,สำนักงานสถิติแห่งชาติ,103,15) การบริหารราชการ การป้องกันประเทศ การประกันสังคม,พันคน,5) ภาคใต้,2563
6.2,สำนักงานสถิติแห่งชาติ,104,16) การศึกษา,พันคน,5) ภาคใต้,2563
1.8,สำนักงานสถิติแห่งชาติ,105,17) กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,พันคน,5) ภาคใต้,2563
1.01,สำนักงานสถิติแห่งชาติ,106,18) ศิลปะ ความบันเทิง และนันทนาการ,พันคน,5) ภาคใต้,2563
14.11,สำนักงานสถิติแห่งชาติ,107,19) กิจกรรมบริการด้านอื่น ๆ,พันคน,5) ภาคใต้,2563
2.13,สำนักงานสถิติแห่งชาติ,108,20) กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,พันคน,5) ภาคใต้,2563
0.0,สำนักงานสถิติแห่งชาติ,109,21) กิจกรรมขององค์การระหว่างประเทศ,พันคน,5) ภาคใต้,2563
0.0,สำนักงานสถิติแห่งชาติ,110,22) ไม่ทราบ,พันคน,5) ภาคใต้,2563
2.54,สำนักงานสถิติแห่งชาติ,111,01) เกษตรกรรม การป่าไม้ และการประมง,พันคน,1) กรุงเทพมหานคร,2564
0.0,สำนักงานสถิติแห่งชาติ,112,02) การทำเหมืองแร่ และเหมืองหิน,พันคน,1) กรุงเทพมหานคร,2564
45.46,สำนักงานสถิติแห่งชาติ,113,03) การผลิต,พันคน,1) กรุงเทพมหานคร,2564
0.0,สำนักงานสถิติแห่งชาติ,114,04) ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,พันคน,1) กรุงเทพมหานคร,2564
0.0,สำนักงานสถิติแห่งชาติ,115,05) การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,พันคน,1) กรุงเทพมหานคร,2564
12.45,สำนักงานสถิติแห่งชาติ,116,06) การก่อสร้าง,พันคน,1) กรุงเทพมหานคร,2564
86.1,สำนักงานสถิติแห่งชาติ,117,07) การขายส่ง และการขายปลีก การซ่อมยานยนต์,พันคน,1) กรุงเทพมหานคร,2564
27.22,สำนักงานสถิติแห่งชาติ,118,08) การขนส่ง และสถานที่เก็บสินค้า,พันคน,1) กรุงเทพมหานคร,2564
55.52,สำนักงานสถิติแห่งชาติ,119,09) ที่พักแรมและบริการด้านอาหาร,พันคน,1) กรุงเทพมหานคร,2564
0.36,สำนักงานสถิติแห่งชาติ,120,10) ข้อมูลข่าวสารและการสื่อสาร,พันคน,1) กรุงเทพมหานคร,2564
2.94,สำนักงานสถิติแห่งชาติ,121,11) กิจกรรมทางการเงินและการประกันภัย,พันคน,1) กรุงเทพมหานคร,2564
7.8,สำนักงานสถิติแห่งชาติ,122,12) กิจกรรมอสังหาริมทรัพย์,พันคน,1) กรุงเทพมหานคร,2564
2.88,สำนักงานสถิติแห่งชาติ,123,13) กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,1) กรุงเทพมหานคร,2564
8.77,สำนักงานสถิติแห่งชาติ,124,14) กิจกรรมการบริหารและการบริการสนับสนุน,พันคน,1) กรุงเทพมหานคร,2564
3.97,สำนักงานสถิติแห่งชาติ,125,15) การบริหารราชการ การป้องกันประเทศ การประกันสังคม,พันคน,1) กรุงเทพมหานคร,2564
6.81,สำนักงานสถิติแห่งชาติ,126,16) การศึกษา,พันคน,1) กรุงเทพมหานคร,2564
3.82,สำนักงานสถิติแห่งชาติ,127,17) กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,พันคน,1) กรุงเทพมหานคร,2564
2.71,สำนักงานสถิติแห่งชาติ,128,18) ศิลปะ ความบันเทิง และนันทนาการ,พันคน,1) กรุงเทพมหานคร,2564
19.19,สำนักงานสถิติแห่งชาติ,129,19) กิจกรรมบริการด้านอื่น ๆ,พันคน,1) กรุงเทพมหานคร,2564
9.38,สำนักงานสถิติแห่งชาติ,130,20) กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,พันคน,1) กรุงเทพมหานคร,2564
0.0,สำนักงานสถิติแห่งชาติ,131,21) กิจกรรมขององค์การระหว่างประเทศ,พันคน,1) กรุงเทพมหานคร,2564
0.0,สำนักงานสถิติแห่งชาติ,132,22) ไม่ทราบ,พันคน,1) กรุงเทพมหานคร,2564
491.94,สำนักงานสถิติแห่งชาติ,133,01) เกษตรกรรม การป่าไม้ และการประมง,พันคน,2) ภาคกลาง,2564
1.67,สำนักงานสถิติแห่งชาติ,134,02) การทำเหมืองแร่ และเหมืองหิน,พันคน,2) ภาคกลาง,2564
101.51,สำนักงานสถิติแห่งชาติ,135,03) การผลิต,พันคน,2) ภาคกลาง,2564
1.11,สำนักงานสถิติแห่งชาติ,136,04) ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,พันคน,2) ภาคกลาง,2564
4.8,สำนักงานสถิติแห่งชาติ,137,05) การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,พันคน,2) ภาคกลาง,2564
48.37,สำนักงานสถิติแห่งชาติ,138,06) การก่อสร้าง,พันคน,2) ภาคกลาง,2564
227.87,สำนักงานสถิติแห่งชาติ,139,07) การขายส่ง และการขายปลีก การซ่อมยานยนต์,พันคน,2) ภาคกลาง,2564
33.9,สำนักงานสถิติแห่งชาติ,140,08) การขนส่ง และสถานที่เก็บสินค้า,พันคน,2) ภาคกลาง,2564
91.71,สำนักงานสถิติแห่งชาติ,141,09) ที่พักแรมและบริการด้านอาหาร,พันคน,2) ภาคกลาง,2564
1.79,สำนักงานสถิติแห่งชาติ,142,10) ข้อมูลข่าวสารและการสื่อสาร,พันคน,2) ภาคกลาง,2564
1.05,สำนักงานสถิติแห่งชาติ,143,11) กิจกรรมทางการเงินและการประกันภัย,พันคน,2) ภาคกลาง,2564
6.63,สำนักงานสถิติแห่งชาติ,144,12) กิจกรรมอสังหาริมทรัพย์,พันคน,2) ภาคกลาง,2564
1.15,สำนักงานสถิติแห่งชาติ,145,13) กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,2) ภาคกลาง,2564
15.35,สำนักงานสถิติแห่งชาติ,146,14) กิจกรรมการบริหารและการบริการสนับสนุน,พันคน,2) ภาคกลาง,2564
17.63,สำนักงานสถิติแห่งชาติ,147,15) การบริหารราชการ การป้องกันประเทศ การประกันสังคม,พันคน,2) ภาคกลาง,2564
8.79,สำนักงานสถิติแห่งชาติ,148,16) การศึกษา,พันคน,2) ภาคกลาง,2564
5.25,สำนักงานสถิติแห่งชาติ,149,17) กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,พันคน,2) ภาคกลาง,2564
4.14,สำนักงานสถิติแห่งชาติ,150,18) ศิลปะ ความบันเทิง และนันทนาการ,พันคน,2) ภาคกลาง,2564
31.14,สำนักงานสถิติแห่งชาติ,151,19) กิจกรรมบริการด้านอื่น ๆ,พันคน,2) ภาคกลาง,2564
7.62,สำนักงานสถิติแห่งชาติ,152,20) กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,พันคน,2) ภาคกลาง,2564
0.0,สำนักงานสถิติแห่งชาติ,153,21) กิจกรรมขององค์การระหว่างประเทศ,พันคน,2) ภาคกลาง,2564
0.64,สำนักงานสถิติแห่งชาติ,154,22) ไม่ทราบ,พันคน,2) ภาคกลาง,2564
774.38,สำนักงานสถิติแห่งชาติ,155,01) เกษตรกรรม การป่าไม้ และการประมง,พันคน,3) ภาคเหนือ,2564
0.9,สำนักงานสถิติแห่งชาติ,156,02) การทำเหมืองแร่ และเหมืองหิน,พันคน,3) ภาคเหนือ,2564
89.61,สำนักงานสถิติแห่งชาติ,157,03) การผลิต,พันคน,3) ภาคเหนือ,2564
0.13,สำนักงานสถิติแห่งชาติ,158,04) ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,พันคน,3) ภาคเหนือ,2564
1.02,สำนักงานสถิติแห่งชาติ,159,05) การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,พันคน,3) ภาคเหนือ,2564
28.58,สำนักงานสถิติแห่งชาติ,160,06) การก่อสร้าง,พันคน,3) ภาคเหนือ,2564
135.04,สำนักงานสถิติแห่งชาติ,161,07) การขายส่ง และการขายปลีก การซ่อมยานยนต์,พันคน,3) ภาคเหนือ,2564
7.22,สำนักงานสถิติแห่งชาติ,162,08) การขนส่ง และสถานที่เก็บสินค้า,พันคน,3) ภาคเหนือ,2564
37.78,สำนักงานสถิติแห่งชาติ,163,09) ที่พักแรมและบริการด้านอาหาร,พันคน,3) ภาคเหนือ,2564
0.0,สำนักงานสถิติแห่งชาติ,164,10) ข้อมูลข่าวสารและการสื่อสาร,พันคน,3) ภาคเหนือ,2564
1.02,สำนักงานสถิติแห่งชาติ,165,11) กิจกรรมทางการเงินและการประกันภัย,พันคน,3) ภาคเหนือ,2564
2.33,สำนักงานสถิติแห่งชาติ,166,12) กิจกรรมอสังหาริมทรัพย์,พันคน,3) ภาคเหนือ,2564
3.01,สำนักงานสถิติแห่งชาติ,167,13) กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,พันคน,3) ภาคเหนือ,2564
3.44,สำนักงานสถิติแห่งชาติ,168,14) กิจกรรมการบริหารและการบริการสนับสนุน,พันคน,3) ภาคเหนือ,2564
9.64,สำนักงานสถิติแห่งชาติ,169,15) การบริหารราชการ การป้องกันประเทศ การประกันสังคม,พันคน,3) ภาคเหนือ,2564
4.82,สำนักงานสถิติแห่งชาติ,170,16) การศึกษา,พันคน,3) ภาคเหนือ,2564
2.34,สำนักงานสถิติแห่งชาติ,171,17) กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,พันคน,3) ภาคเหนือ,2564
5.17,สำนักงานสถิติแห่งชาติ,172,18) ศิลปะ ความบันเทิง และนันทนาการ,พันคน,3) ภาคเหนือ,2564
17.77,สำนักงานสถิติแห่งชาติ,173,19) กิจกรรมบริการด้านอื่น ๆ,พันคน,3) ภาคเหนือ,2564
4.16,สำนักงานสถิติแห่งชาติ,174,20) กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,พันคน,3) ภาคเหนือ,2564
0.0,สำนักงานสถิติแห่งชาติ,175,21) กิจกรรมขององค์การระหว่างประเทศ,พันคน,3) ภาคเหนือ,2564
0.0,สำนักงานสถิติแห่งชาติ,176,22) ไม่ทราบ,พันคน,3) ภาคเหนือ,2564
1365.91,สำนักงานสถิติแห่งชาติ,177,01) เกษตรกรรม การป่าไม้ และการประมง,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
0.65,สำนักงานสถิติแห่งชาติ,178,02) การทำเหมืองแร่ และเหมืองหิน,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
72.59,สำนักงานสถิติแห่งชาติ,179,03) การผลิต,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
0.22,สำนักงานสถิติแห่งชาติ,180,04) ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
1.18,สำนักงานสถิติแห่งชาติ,181,05) การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
20.02,สำนักงานสถิติแห่งชาติ,182,06) การก่อสร้าง,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
141.31,สำนักงานสถิติแห่งชาติ,183,07) การขายส่ง และการขายปลีก การซ่อมยานยนต์,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
7.72,สำนักงานสถิติแห่งชาติ,184,08) การขนส่ง และสถานที่เก็บสินค้า,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
35.29,สำนักงานสถิติแห่งชาติ,185,09) ที่พักแรมและบริการด้านอาหาร,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
0.38,สำนักงานสถิติแห่งชาติ,186,10) ข้อมูลข่าวสารและการสื่อสาร,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
