ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ทำลูกชิ้นหมูและเนื้อ,วังทองหลาง,403,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์,ลาดพร้าว,,100000000000,34.5,45,กรุงเทพมหานคร,,258/1,2488.65,2539,วังทองหลาง,ศ3-4(3)-3/39,บริษัท อุตสาหกรรมแชมป์ จำกัด,14,บริษัท อุตสาหกรรมแชมป์ จำกัด,3,10310
ทำน้ำแข็งก้อนเล็ก ได้วันละ 20 ตัน,วัฒนา,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,สุขุมวิท,สุขุมวิท 43,100000000000,7.1,4,กรุงเทพมหานคร,,"1, 2/28",66,2515,คลองตันเหนือ,ศ3-14-4/15,บริษัท อาคเนย์ไอซ์ จำกัด,15,บริษัท อาคเนย์ไอซ์ จำกัด,3,10110
ทำซาละเปา ลูกชิ้นปลา เกี๊ยวปลา เกี๊ยวไก่,ห้วยขวาง,1003,การทำผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น,เพชรบุรีตัดใหม่,,100000000000,1,8,กรุงเทพมหานคร,,1895 - 1897,295.03,2535,บางกะปิ,ศ3-10(3)-4/35,นายสมบูรณ์ เลิศธนพันธุ์,16,นายสมบูรณ์ เลิศธนพันธุ์,3,10310
เจียระไนเพชรพลอย,บางกะปิ,8403,การตัด เจียระไน หรือขัดเพชร พลอย หรืออัญมณี,แฮปปี้แลนด์,1,100000000000,36.3,468,กรุงเทพมหานคร,,161-175,501.27,2529,คลองจั่น,ส3-84(3)-2/29กท,บริษัท พรีเมียร์ไดมอนคัตติ้ง จำกัด,17,บริษัท พรีเมียร์ไดมอนคัตติ้ง จำกัด,3,10240
ทำอาหารสำเร็จรูปจากเนื้อสัตว์และผัก และผลิตน้ำมันไบโอดีเซลจากน้ำมันใช้แล้ว,มีนบุรี,403,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์,สุวินทวงศ์,-,100000000000,50,500,กรุงเทพมหานคร,9,48,19441.51,2534,แสนแสบ,ศ3-4(3)-3/34,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),18,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),3,10510
ทำเครื่องเรือนและเครื่องใช้จากไม้,วังทองหลาง,3601,การทำภาชนะบรรจุ เครื่องมือ หรือเครื่องใช้จากไม้ และรวมถึงชิ้นส่วนของผลิตภัณฑ์,,ลาดพร้าว 87,100000000000,3.4,20,กรุงเทพมหานคร,,338/21,56.04,2533,คลองเจ้าคุณสิงห์,ศ3-36(1)-8/33,บริษัท พรศักดิ์ 87 จำกัด,19,บริษัท พรศักดิ์ 87 จำกัด,3,10310
ทำน้ำแข็งก้อนเล็ก ได้วันละ 36 ตัน,ประเวศ,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,ทุ่งเศรษฐี แยก 17,100000000000,11.3,11,กรุงเทพมหานคร,,19,469,2538,ดอกไม้,ศ3-14-9/38,บริษัท วารีเทพ มหานคร จำกัด,20,บริษัท วารีเทพ มหานคร จำกัด,3,10250
ทำประตู หน้าต่างจากไม้,ลาดพร้าว,3402,การทำวงกบ ขอบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้ขอ,,สตรีวิทยา 2 ซอย 7,100000000000,1.55,5,กรุงเทพมหานคร,,11,80,2534,ลาดพร้าว,ศ3-34(2)-12/34,นายสราวุธ สุรินทร์รัฐ,21,,3,10230
ทำเครื่องเรือนจากไม้,บางขุนเทียน,3700,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,,บางขุนเทียน 16,100000000000,9.5,22,กรุงเทพมหานคร,,19,142.18,2538,แสมดำ,ศ3-37-14/38,บริษัท โชติวัฒน์ เฟอร์นิเจอร์ จำกัด,22,บริษัท โชติวัฒน์ เฟอร์นิเจอร์ จำกัด,3,10150
ทำเครื่องเรือน เครื่องใช้ในบ้านเรือนโดยใช้ไม้แปรรูปเป็นโครง ประกอบด้วยไม้อัด ปาร์ติเกิลบอร์ด และวัสดุอื่นทดแทน,บางเขน,3700,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,,พหลโยธิน 48 แยก 49 ,100000000000,9,61,กรุงเทพมหานคร,,12,43.39,2539,ท่าแร้ง,ศ3-37-14/39,บริษัท ชีววัฒน์ กรุ๊ป จำกัด,23,บริษัท ชีววัฒน์ กรุ๊ป จำกัด,3,10220
การทำเครื่องประดับกาย,บางพลัด,8401,การทำเครื่องประดับโดยใช้เพชร พลอย ไข่มุก ทองคำ ทองขาว เงิน นาก หรืออัญมณี,บรมราชชนนี ,,100000000000,19.1,194,กรุงเทพมหานคร,,734736738,153.32,2530,บางบำหรุ,ส3-84(1)-1/30กท,บริษัท นิด้าแฟคตอรี่ จำกัด,24,บริษัท นิด้าแฟคตอรี่ จำกัด,3,10700
ผลิตบะหมี่และใบห่อเกี๊ยว,ทวีวัฒนา,1003,การทำผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น,ปิ่นเกล้า-นครชัยศรี,,100000000000,32,44,กรุงเทพมหานคร,8,46075,188.5,2534,ศาลาธรรมสพน์,ศ3-10(3)-1/34,นางดารา ศรีพัฒนกฤติ,25,นางดารา ศรีพัฒนกฤติ,3,10170
อบและกะเทาะเปลือเมล็ดพืช,ยานนาวา,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,สาธุประดิษฐ์,,100000000000,2.7,9,กรุงเทพมหานคร,,608,345.89,2535,บางโพงพาง,ศ3-2(1)-1/35,บริษัท ตั้งซุ่นหยู จำกัด,26,บริษัท ตั้งซุ่นหยู จำกัด,3,10120
ทำเครื่องเรือนจากไม้,ลาดกระบัง,3700,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,ร่มเกล้า,,100000000000,0.9,8,กรุงเทพมหานคร,,16,734.15,2535,คลองสามประเวศ,ศ3-37-20/35,บริษัท แนชั่นแนลเฟอร์นิเจอร์ จำกัด,27,บริษัท แนชั่นแนลเฟอร์นิเจอร์ จำกัด,3,10520
ทำเครื่องเรือนจากไม้,บางกะปิ,3700,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,ลาดพร้าว,ลาดพร้าว 107 ,100000000000,16.5,50,กรุงเทพมหานคร,4,555/1,236.25,2539,คลองจั่น,ศ3-37-23/39,บริษัท ฟาสเทคโน จำกัด,28,บริษัท ฟาสเทคโน จำกัด,3,10240
ทำเครื่องเรือนจากไม้,ประเวศ,3700,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,สุขาภิบาล 2,,100000000000,5,50,กรุงเทพมหานคร,14,139/1,179.4,2534,ประเวศ,ศ3-37-44/34,บริษัท เอ เค เค เอ จำกัด,29,บริษัท เอ เค เค เอ จำกัด,3,10250
ทำน้ำแข็งก้อนเล็ก ได้วันละ 31.96 ตัน,คลองเตย,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,เคหะคลองเตย 4,100000000000,3,14,กรุงเทพมหานคร,,100/789-793,232.5,2535,คลองเตย,ศ3-14-5/35,บริษัท ท่าเรือน้ำแข็งหลอด จำกัด,30,บริษัท ท่าเรือน้ำแข็งหลอด จำกัด,3,10110
ผลิตถุงพลาสติก,บางขุนเทียน,5304,การทำภาชนะบรรจุ เช่น ถุง หรือกระสอบ,บางกระดี่,,100000000000,70,174,กรุงเทพมหานคร,,141,2389.23,2528,แสมดำ,ส3-53(4)-1/28กท,บริษัท โพลีเวิลด์ จำกัด,31,บริษัท โพลีเวิลด์ จำกัด,3,10150
ทำบาร์บีคิวหมู เนื้อ ไก่ อาหารทะเล และเครื่องปรุงรสบาร์บีคิว,จตุจักร,403,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์,ลาดพร้าว,ลาดพร้าว 23,100000000000,36.5,60,กรุงเทพมหานคร,,32/124,99.6,2539,ลาดยาว,ศ3-4(3)-1/39,บริษัท ฟู้ดแพชชั่น จำกัด,32,บริษัท ฟู้ดแพชชั่น จำกัด,3,10900
ประกอบไม้ถูพื้นและแปรง,ลาดพร้าว,3601,การทำภาชนะบรรจุ เครื่องมือ หรือเครื่องใช้จากไม้ และรวมถึงชิ้นส่วนของผลิตภัณฑ์,นาคนิวาส,นาคนิวาส 37 แยก2-24,100000000000,25.5,20,กรุงเทพมหานคร,,11,293.46,2532,ลาดพร้าว,ศ3-36(1)-3/32,บริษัท เจริญภัณฑ์อินเตอร์กรุ๊ป จำกัด,33,บริษัท เจริญภัณฑ์อินเตอร์กรุ๊ป จำกัด,3,10230
ทำน้ำแข็งก้อนเล็ก ได้วันละ 10 ตัน,บางขุนเทียน,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,สะแกงาม 5 แยก 2,100000000000,3.106,6,กรุงเทพมหานคร,,21,305,2538,แสมดำ,ศ3-14-3/38,นายเสกสันต์ ลอรัตนเรืองกิต,34,ทวีคูณยูนิค,3,10150
ทำขนมปัง ขนมเค้กและคุกกี้,พระโขนง,1001,การทำขนมปังหรือขนมเค้ก,,สุขุมวิท 62 แยก 3,100000000000,85,350,กรุงเทพมหานคร,,2,827.12,2533,บางจาก,ศ3-10(1)-4/33,บริษัท เอส แอนด์ พี ซินดิเคท จำกัด (มหาชน),35,บริษัท เอส แอนด์ พี ซินดิเคท จำกัด(มหาชน),3,10260
ทำน้ำแข็งก้อนเล็ก กำลังการผลิต 98 ตัน/วัน,จอมทอง,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,สุขสวัสดิ์,-,100000000000,12,11,กรุงเทพมหานคร,-,132,2552.12,2538,จอมทอง,ศ3-14-4/38,บริษัท ดาวคะนองค้าน้ำแข็ง จำกัด,36,บริษัท ดาวคะนองค้าน้ำแข็ง จำกัด,3,10150
ทำเครื่องเรือนจากไม้,บางนา,3700,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,,แบริ่ง,100000000000,2.22,7,กรุงเทพมหานคร,,30,57,2539,บางนา,ศ3-37-5/39,ห้างหุ้นส่วนจำกัด กิมเจริญเฟอร์นิเจอร์,37,ห้างหุ้นส่วนจำกัด กิมเจริญเฟอร์นิเจอร์,3,10260
ผลิตถุงพลาสติกและหลอดพลาสติก,บางขุนเทียน,5301,การทำเครื่องมือ เครื่องใช้ เครื่องเรือน หรือเครื่องประดับ และรวมถึงชิ้นส่วนของผลิตภัณฑ์,บางขุนเทียน,บางขุนเทียน 16,100000000000,17,54,กรุงเทพมหานคร,,46,871.63,2527,แสมดำ,ส3-53(1)-1/27กท,บริษัท ไทยกริ๊พเทค จำกัด,38,บริษัท ไทยกริ๊พเทค จำกัด,3,10150
ผลิตยารักษาโรค และเครื่องสำอาง,วังทองหลาง,4601,การผลิตวัตถุที่รับรองไว้ในตำรายาที่รัฐมนตรีว่าการกระทรวงสาธารณสุขประกาศ,,ลาดพร้าว 64 แยก 9,100000000000,17,12,กรุงเทพมหานคร,,272/1,186,2533,วังทองหลาง,ศ3-46(1)-2/33,บริษัท ศรีจันทร์สหโอสถ จำกัด,39,บริษัท ศรีจันทร์สหโอสถ จำกัด,3,10310
ทำวงกบ ประตู หน้าต่าง ไม้คิ้ว ไม้บัว และเครื่องเรือนจากไม้,บางกะปิ,3402,การทำวงกบ ขอบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้ขอ,ลาดพร้าว,ลาดพร้าว 101(วัดบึงทองหลาง),100000000000,16.1,11,กรุงเทพมหานคร,,2553,792.05,2539,คลองจั่น,ศ3-34(2)-9/39,นายชาญวิทย์ อารีวิจิตร,40,,3,10240
ทำเครื่องเรือน วงกบ บานประตู - หน้าต่างจากไม้,บางแค,3700,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,,บางแค 12,100000000000,1.18,13,กรุงเทพมหานคร,,1,298.15,2538,บางแค,ศ3-37-10/38,ห้างหุ้นส่วนจำกัด พี แอนด์ พี เซี่ยงไฮ้เฟอร์นิเจอร์,41,ห้างหุ้นส่วนจำกัด พี แอนด์ พี เซี่ยงไฮ้เฟอร์นิเจอร์,3,10160
ทำวงกบ ขอบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง,สวนหลวง,3402,การทำวงกบ ขอบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้ขอ,อ่อนนุช,อ่อนนุช 39,100000000000,9.3,8,กรุงเทพมหานคร,,294,278,2539,สวนหลวง,ศ3-34(2)-10/39,บริษัท เอ.เอส.ที.สถาปัตย์ จำกัด,42,บริษัท เอ.เอส.ที.สถาปัตย์ จำกัด,3,10250
ทำเครื่องเรือนจากไม้อัด (เคลือบไม้อัด),บางคอแหลม,3700,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,,สุดประเสริฐ 3,100000000000,5.2,7,กรุงเทพมหานคร,,8,120,2532,บางโคล่,ศ3-37-12/32,บริษัท ไทยเอสแมน จำกัด,43,บริษัท ไทยเอสแมน จำกัด,3,10120
ผลิตของเด็กเล่นจากพลาสติก,บางขุนเทียน,8701,การทำเครื่องเล่น,บางกระดี่,,100000000000,17.1,40,กรุงเทพมหานคร,,64,1955.37,2528,แสมดำ,ส3-87(1)-2/28กท,บริษัท ยูเนี่ยนทอย (ไทยแลนด์) จำกัด,44,บริษัท ยูเนี่ยนทอย (ไทยแลนด์) จำกัด,3,10150
ผลิตน้ำแข็งก้อนเล็ก โดยผลิตน้ำแข็งก้อนเล็กเพิ่มขึ้นวันละ 50 ตัน รวมผลิตได้วันละ 200 ตัน,มีนบุรี,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,รามคำแหง (สุขาภิบาล 3),-,100000000000,33,41,กรุงเทพมหานคร,11,46095,2092,2535,มีนบุรี,ศ3-14-2/35,บริษัท น้ำแข็งมีนบุรี จำกัด,45,บริษัท น้ำแข็งมีนบุรี จำกัด,3,10510
ทำน้ำแข็งก้อนเล็กได้วันละ 60 ตัน/วัน,ทุ่งครุ,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,พุทธบูชา,วัดโอภาศรี,100000000000,8,0,กรุงเทพมหานคร,2,84/1,988.1,2539,บางมด,ศ3-14-2/39,นายเสรี สุจริตศรีชัยกุล,46,,3,10140
ไส-ซอยไม้แปรรูป,บางซื่อ,3401,การเลื่อย ไส ซอย เซาะร่อง หรือการแปรรูปไม้ด้วยวิธีอื่นที่คล้ายคลึงกัน,ประชาราษฎร์ สาย 1,เข้าวัดอนัมนิกายาราม,100000000000,2.5,8,กรุงเทพมหานคร,,711/23-27,85.5,2536,บางซื่อ,ศ3-34(1)-3/36,นายศุภโชค เจริญชัยพงศ์,47,ร้านนำโชค,3,10800
ไส ซอยไม้,หลักสี่,3401,การเลื่อย ไส ซอย เซาะร่อง หรือการแปรรูปไม้ด้วยวิธีอื่นที่คล้ายคลึงกัน,วิภาวดีรังสิต,,100000000000,1,5,กรุงเทพมหานคร,4,201/2,75.5,2539,ตลาดบางเขน,ศ3-34(1)-4/39,บริษัท เจริญวัฒน์ (เค.จิ้นฮวด 1977) จำกัด,48,บริษัท เจริญวัฒน์ (เค.จิ้นฮวด 1977) จำกัด,3,10210
ไส-ซอยไม้,จตุจักร,3401,การเลื่อย ไส ซอย เซาะร่อง หรือการแปรรูปไม้ด้วยวิธีอื่นที่คล้ายคลึงกัน,พหลโยธิน,,100000000000,1.02,4,กรุงเทพมหานคร,,1903,41.5,2534,ลาดยาว,ศ3-34(1)-7/34,ห้างหุ้นส่วนจำกัด สมบูรณ์สิน,49,ห้างหุ้นส่วนจำกัด สมบูรณ์สิน,3,10900
ทำไม้คิ้ว ไม้มอบ และไม้บัว,บางซื่อ,3402,การทำวงกบ ขอบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้ขอ,ประชาราษฎร์สาย 1,ประชานฤมิตร (ซอยแยกมนตรี),100000000000,1.15,7,กรุงเทพมหานคร,,"16/3, 26",110.5,2534,บางซื่อ,ศ3-34(2)-8/34,นายอมรเทพ โลโต,50,,3,10800
เลื่อยไม้ อบและอัดน้ำยาไม้ ผลิตไม้บาง(วีเนียร์) ไม้อัด ไม้พื้น ไม้ปาร์เก้ โมเสก,บางขุนเทียน,3401,การเลื่อย ไส ซอย เซาะร่อง หรือการแปรรูปไม้ด้วยวิธีอื่นที่คล้ายคลึงกัน,พระรามที่ 2,,100000000000,100,297,กรุงเทพมหานคร,4,44/45,281.5,2533,แสมดำ,ศ3-34(1)-9/33,บริษัท ชิดอุตสาหกรรมไม้ จำกัด,51,บริษัท ชิดอุตสาหกรรมไม้ จำกัด,3,10150
ทำวงกบ ประตู-หน้าต่าง และเครื่องเรือนจากไม้,สายไหม ,3700,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,สายไหม,,100000000000,5,4,กรุงเทพมหานคร,1,130,19,2535,สายไหม,ศ3-37-38/35,นางสาวเกื้อภัสสร ตะพาบน้ำ,52,ปิยพงษ์การช่าง,3,10220
ทำน้ำแข็งก้อนเล็ก ,ตลิ่งชัน,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,สวนผัก,,100000000000,10.5,7,กรุงเทพมหานคร,4,70/1,490,2539,ตลิ่งชัน,ศ3-14-1/39,นายมงคล กิตติรุจิระพันธ์,53,สยามน้ำแข็ง,3,10170
ทำเครื่องเรือนเครื่องใช้จากไม้,จตุจักร,3700,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,งามวงศ์วาน,-,100000000000,0,13,กรุงเทพมหานคร,,33/2,105.69,2537,ลาดยาว,ศ3-37-3/37,กรมราชทัณฑ์,54,เรือนจำกลางคลองเปรม,3,10900
ผลิตยารักษาโรคแผนปัจจุบัน ผลิตเครื่องมือแพทย์ และเครื่องมือเครื่องใช้ทางวิทยาศาสตร์,บางเขน,4602,การผลิตวัตถุที่มุ่งหมายสำหรับใช้ในการวิเคราะห์ บำบัด บรรเทา รักษา หรือป้องกันโรค ,รามอินทรา,อยู่เย็น,100000000000,14.5,74,กรุงเทพมหานคร,9,26/18,675.2,2534,ท่าแร้ง,ศ3-46(2)-3/34,บริษัท ยูเมด้า จำกัด,55,บริษัท ยูเมด้า จำกัด,3,10220
ผลิตหนังเทียม ฟองน้ำ และแผ่นพลาสติก พีวีซี,มีนบุรี,5305,การทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชั้น ผง หรือรูปทรงต่าง ๆ,หม่อมเจ้าสง่างาม สุประดิษฐ์,,100000000000,73.5,135,กรุงเทพมหานคร,,6,10666.27,2532,มีนบุรี,ส3-53(5)-1/32กท,บริษัท คอทโก้พลาสติกส์ จำกัด,56,บริษัท คอทโก้พลาสติกส์ จำกัด,3,10510
ทำกรอบรูปจากไม้,หนองแขม,3604,การทำกรอบรูปหรือกรอบกระจกจากไม้,บางบอน3 ซอย 9,,100000000000,37,200,กรุงเทพมหานคร,,37,602,2534,หนองแขม,ศ3-36(4)-1/34,บริษัท โมเดอร์นเฟรม จำกัด,57,บริษัท โมเดอร์นเฟรม จำกัด,3,10160
