ไตรมาส 4,ไตรมาส 1,สถานภาพแรงงาน,ภาค,_id,ปี,ไตรมาส 3,ไตรมาส 2,เพศ,รายการ
" 5,202,000 ","5,261,859",ทำงานบ้าน,  ทั่วราชอาณาจักร                  ,55,2565," 5,111,009 "," 5,199,164 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 267,971 ","290,735",ทำงานบ้าน,  ทั่วราชอาณาจักร                  ,56,2565," 284,822 "," 283,231 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 4,934,029 ","4,971,123",ทำงานบ้าน,  ทั่วราชอาณาจักร                  ,57,2565," 4,826,187 "," 4,915,934 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 4,543,015 ","4,856,107",เรียนหนังสือ,  ทั่วราชอาณาจักร                  ,58,2565," 4,558,353 "," 4,727,021 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 2,140,043 ","2,242,238",เรียนหนังสือ,  ทั่วราชอาณาจักร                  ,59,2565," 2,136,761 "," 2,208,157 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 2,402,972 ","2,613,869",เรียนหนังสือ,  ทั่วราชอาณาจักร                  ,60,2565," 2,421,592 "," 2,518,864 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 6,933,581 ","6,728,208",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,  ทั่วราชอาณาจักร                  ,61,2565," 6,963,366 "," 6,870,451 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 2,913,801 ","2,823,176",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,  ทั่วราชอาณาจักร                  ,62,2565," 2,886,580 "," 2,881,539 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 4,019,780 ","3,905,032",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,  ทั่วราชอาณาจักร                  ,63,2565," 4,076,786 "," 3,988,911 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 1,911,484 ","2,049,395",อื่น ๆ,  ทั่วราชอาณาจักร                  ,64,2565," 1,939,869 "," 2,026,771 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 1,125,958 ","1,253,484",อื่น ๆ,  ทั่วราชอาณาจักร                  ,65,2565," 1,196,571 "," 1,215,929 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 785,526 ","795,912",อื่น ๆ,  ทั่วราชอาณาจักร                  ,66,2565," 743,299 "," 810,841 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 550,437 ","565,662",ทำงานบ้าน,  กรุงเทพมหานคร                    ,67,2565," 581,516 "," 580,570 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 32,371 ","22,357",ทำงานบ้าน,  กรุงเทพมหานคร                    ,68,2565," 38,188 "," 26,499 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 518,066 ","543,306",ทำงานบ้าน,  กรุงเทพมหานคร                    ,69,2565," 543,328 "," 554,071 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 479,829 ","499,599",เรียนหนังสือ,  กรุงเทพมหานคร                    ,70,2565," 450,011 "," 460,227 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 233,869 ","235,894",เรียนหนังสือ,  กรุงเทพมหานคร                    ,71,2565," 210,613 "," 209,395 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 245,960 ","263,705",เรียนหนังสือ,  กรุงเทพมหานคร                    ,72,2565," 239,398 "," 250,832 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 737,232 ","691,939",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,  กรุงเทพมหานคร                    ,73,2565," 750,501 "," 731,499 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 312,981 ","304,935",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,  กรุงเทพมหานคร                    ,74,2565," 315,253 "," 320,828 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
