OCCUPATION,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
 ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,106.98,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,68,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 อาชีพขั้นพื้นฐานต่างๆ ในด้านการขายและการให้บริการ,309.62,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,69,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.0,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,70,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
 ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ,91.62,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,71,ชาย,พันคน,ภาคใต้,2567
 ผู้ประกอบวิชาชีพด้านต่างๆ,85.49,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,72,ชาย,พันคน,ภาคใต้,2567
 ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,82.37,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,73,ชาย,พันคน,ภาคใต้,2567
 เสมียน,43.27,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,74,ชาย,พันคน,ภาคใต้,2567
 พนักงานบริการและพนักงานในร้านค้าและตลาด,414.88,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,75,ชาย,พันคน,ภาคใต้,2567
 ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,1222.21,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,76,ชาย,พันคน,ภาคใต้,2567
 ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,379.25,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,77,ชาย,พันคน,ภาคใต้,2567
 ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,250.89,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,78,ชาย,พันคน,ภาคใต้,2567
 อาชีพขั้นพื้นฐานต่างๆ ในด้านการขายและการให้บริการ,376.45,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,79,ชาย,พันคน,ภาคใต้,2567
 คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.0,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,80,ชาย,พันคน,ภาคใต้,2567
 ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ,37.52,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,81,หญิง,พันคน,ภาคใต้,2567
 ผู้ประกอบวิชาชีพด้านต่างๆ,183.04,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,82,หญิง,พันคน,ภาคใต้,2567
 ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,107.73,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,83,หญิง,พันคน,ภาคใต้,2567
 เสมียน,129.66,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,84,หญิง,พันคน,ภาคใต้,2567
 พนักงานบริการและพนักงานในร้านค้าและตลาด,716.0,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,85,หญิง,พันคน,ภาคใต้,2567
 ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,788.39,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,86,หญิง,พันคน,ภาคใต้,2567
 ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,122.86,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,87,หญิง,พันคน,ภาคใต้,2567
 ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,16.86,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,88,หญิง,พันคน,ภาคใต้,2567
 อาชีพขั้นพื้นฐานต่างๆ ในด้านการขายและการให้บริการ,266.81,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,89,หญิง,พันคน,ภาคใต้,2567
 คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.0,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,90,หญิง,พันคน,ภาคใต้,2567
 ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ,221.72,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,91,ชาย,พันคน,กรุงเทพมหานคร,2567
 ผู้ประกอบวิชาชีพด้านต่างๆ,281.52,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,92,ชาย,พันคน,กรุงเทพมหานคร,2567
 ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,246.82,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,93,ชาย,พันคน,กรุงเทพมหานคร,2567
 เสมียน,144.82,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,94,ชาย,พันคน,กรุงเทพมหานคร,2567
 พนักงานบริการและพนักงานในร้านค้าและตลาด,725.14,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,95,ชาย,พันคน,กรุงเทพมหานคร,2567
 ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,22.02,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,96,ชาย,พันคน,กรุงเทพมหานคร,2567
 ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,449.1,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,97,ชาย,พันคน,กรุงเทพมหานคร,2567
 ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,627.52,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,98,ชาย,พันคน,กรุงเทพมหานคร,2567
 อาชีพขั้นพื้นฐานต่างๆ ในด้านการขายและการให้บริการ,241.35,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,99,ชาย,พันคน,กรุงเทพมหานคร,2567
 คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,14.69,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,100,ชาย,พันคน,กรุงเทพมหานคร,2567
 ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ,166.2,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,101,หญิง,พันคน,กรุงเทพมหานคร,2567
 ผู้ประกอบวิชาชีพด้านต่างๆ,313.17,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,102,หญิง,พันคน,กรุงเทพมหานคร,2567
 ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,312.97,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,103,หญิง,พันคน,กรุงเทพมหานคร,2567
 เสมียน,314.18,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,104,หญิง,พันคน,กรุงเทพมหานคร,2567
 พนักงานบริการและพนักงานในร้านค้าและตลาด,930.47,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,105,หญิง,พันคน,กรุงเทพมหานคร,2567
 ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,15.15,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,106,หญิง,พันคน,กรุงเทพมหานคร,2567
 ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,128.64,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,107,หญิง,พันคน,กรุงเทพมหานคร,2567
 ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,161.32,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,108,หญิง,พันคน,กรุงเทพมหานคร,2567
 อาชีพขั้นพื้นฐานต่างๆ ในด้านการขายและการให้บริการ,396.75,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,109,หญิง,พันคน,กรุงเทพมหานคร,2567
 คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,6.41,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,110,หญิง,พันคน,กรุงเทพมหานคร,2567
 ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ,268.63,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,111,ชาย,พันคน,ภาคกลาง,2567
 ผู้ประกอบวิชาชีพด้านต่างๆ,274.74,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,112,ชาย,พันคน,ภาคกลาง,2567
 ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,347.91,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,113,ชาย,พันคน,ภาคกลาง,2567
 เสมียน,176.8,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,114,ชาย,พันคน,ภาคกลาง,2567
 พนักงานบริการและพนักงานในร้านค้าและตลาด,1182.78,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,115,ชาย,พันคน,ภาคกลาง,2567
 ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,986.99,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,116,ชาย,พันคน,ภาคกลาง,2567
 ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,1320.5,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,117,ชาย,พันคน,ภาคกลาง,2567
 ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,1671.68,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,118,ชาย,พันคน,ภาคกลาง,2567
 อาชีพขั้นพื้นฐานต่างๆ ในด้านการขายและการให้บริการ,923.6,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,119,ชาย,พันคน,ภาคกลาง,2567
 คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,25.26,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,120,ชาย,พันคน,ภาคกลาง,2567
 ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ,186.34,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,121,หญิง,พันคน,ภาคกลาง,2567
 ผู้ประกอบวิชาชีพด้านต่างๆ,437.28,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,122,หญิง,พันคน,ภาคกลาง,2567
 ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,404.66,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,123,หญิง,พันคน,ภาคกลาง,2567
 เสมียน,557.1,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,124,หญิง,พันคน,ภาคกลาง,2567
 พนักงานบริการและพนักงานในร้านค้าและตลาด,1865.3,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,125,หญิง,พันคน,ภาคกลาง,2567
 ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,618.32,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,126,หญิง,พันคน,ภาคกลาง,2567
 ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,470.49,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,127,หญิง,พันคน,ภาคกลาง,2567
 ผู้ปฏิบัติการโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,791.53,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,128,หญิง,พันคน,ภาคกลาง,2567
 อาชีพขั้นพื้นฐานต่างๆ ในด้านการขายและการให้บริการ,912.17,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,129,หญิง,พันคน,ภาคกลาง,2567
 คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,27.56,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,130,หญิง,พันคน,ภาคกลาง,2567
 ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโสและผู้จัดการ,86.16,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,131,ชาย,พันคน,ภาคเหนือ,2567
 ผู้ประกอบวิชาชีพด้านต่างๆ,102.16,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,132,ชาย,พันคน,ภาคเหนือ,2567
 ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,89.46,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,133,ชาย,พันคน,ภาคเหนือ,2567
 เสมียน,50.03,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,134,ชาย,พันคน,ภาคเหนือ,2567
 พนักงานบริการและพนักงานในร้านค้าและตลาด,442.97,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,135,ชาย,พันคน,ภาคเหนือ,2567
 ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตรและการประมง,1435.64,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,136,ชาย,พันคน,ภาคเหนือ,2567
 ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,441.96,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,137,ชาย,พันคน,ภาคเหนือ,2567
